Takim,Oyuncu Adi,Guncel Piyasa Degeri
"SK SLAVIA PRAG","Jakub Markovic","2.80 mil. €"
"SK SLAVIA PRAG","Jindrich Stanek","2.80 mil. €"
"SK SLAVIA PRAG","Ondrej Kolar","100 bin €"
"SK SLAVIA PRAG","Stepan Chaloupek","8.00 mil. €"
"SK SLAVIA PRAG","David Zima","7.00 mil. €"
"SK SLAVIA PRAG","Igoh Ogbu","7.00 mil. €"
"SK SLAVIA PRAG","Tomas Vlcek","4.50 mil. €"
"SK SLAVIA PRAG","Tomas Holes","1.20 mil. €"
"SK SLAVIA PRAG","Jan Boril","200 bin €"
"SK SLAVIA PRAG","David Jurásek","5.00 mil. €"
"SK SLAVIA PRAG","Youssoupha Mbodji","1.50 mil. €"
"SK SLAVIA PRAG","Dominik Javorcek","450 bin €"
"SK SLAVIA PRAG","Samuel Isife","2.00 mil. €"
"SK SLAVIA PRAG","David Moses","9.00 mil. €"
"SK SLAVIA PRAG","Michal Sadílek","8.00 mil. €"
"SK SLAVIA PRAG","Oscar","7.00 mil. €"
"SK SLAVIA PRAG","Mubarak Suleiman","1.80 mil. €"
"SK SLAVIA PRAG","Alexandr Buzek","1.00 mil. €"
"SK SLAVIA PRAG","Petr Sevcik","200 bin €"
"SK SLAVIA PRAG","David Doudera","4.00 mil. €"
"SK SLAVIA PRAG","Simion Michez","850 bin €"
"SK SLAVIA PRAG","Lukas Provod","8.00 mil. €"
"SK SLAVIA PRAG","Muhammed Cham","4.00 mil. €"
"SK SLAVIA PRAG","Vasil Kusej","4.50 mil. €"
"SK SLAVIA PRAG","Youssoupha Sanyang","3.00 mil. €"
"SK SLAVIA PRAG","Ivan Schranz","750 bin €"
"SK SLAVIA PRAG","Mojmír Chytil","4.00 mil. €"
"SK SLAVIA PRAG","Tomas Chory","3.00 mil. €"
"SK SLAVIA PRAG","Erik Prekop","750 bin €"
"AC SPARTA PRAG","Peter Vindahl","2.50 mil. €"
"AC SPARTA PRAG","Jakub Surovcik","900 bin €"
"AC SPARTA PRAG","Daniel Kerl","200 bin €"
"AC SPARTA PRAG","Emmanuel Uchenna","5.00 mil. €"
"AC SPARTA PRAG","Adam Sevinsky","4.50 mil. €"
"AC SPARTA PRAG","Asger Sörensen","2.00 mil. €"
"AC SPARTA PRAG","Filip Panák","1.50 mil. €"
"AC SPARTA PRAG","Jakub Martinec","850 bin €"
"AC SPARTA PRAG","Jaroslav Zelený","700 bin €"
"AC SPARTA PRAG","Elias Cobbaut","600 bin €"
"AC SPARTA PRAG","Ivan Mensah","300 bin €"
"AC SPARTA PRAG","Jhoanner Chávez","2.80 mil. €"
"AC SPARTA PRAG","Oliver Sonne","4.00 mil. €"
"AC SPARTA PRAG","Patrik Vydra","7.00 mil. €"
"AC SPARTA PRAG","Sivert Mannsverk","3.50 mil. €"
"AC SPARTA PRAG","Kaan Kairinen","6.00 mil. €"
"AC SPARTA PRAG","Andrew Irving","5.00 mil. €"
"AC SPARTA PRAG","Magnus Kofod Andersen","1.50 mil. €"
"AC SPARTA PRAG","Hugo Sochurek","1.00 mil. €"
"AC SPARTA PRAG","Pavel Kaderabek","1.20 mil. €"
"AC SPARTA PRAG","Matej Rynes","4.50 mil. €"
"AC SPARTA PRAG","Santiago Eneme","2.00 mil. €"
