iter	RMSE
0	16502828.41
1	15729833.38
2	15055023.94
3	14377022.07
4	13706469.27
5	13116581.11
6	12558565.1
7	12019874.5
8	11548656.92
9	11101786.01
10	10686270.93
11	10267507.71
12	9895616.895
13	9553404.123
14	9220760.245
15	8915561.144
16	8604505.699
17	8332742.746
18	8088854.983
19	7834214.509
20	7612114.924
21	7383117.42
22	7172791.59
23	6983076.377
24	6811171.15
25	6661597.153
26	6513850.5
27	6376111.984
28	6237599.159
29	6111466.855
30	5987689.31
31	5888219.536
32	5789221.138
33	5693977.82
34	5596986.285
35	5504203.558
36	5428273.71
37	5361345.69
38	5290951.385
39	5229738.776
40	5166396.647
41	5113774.086
42	5062208.246
43	5022749.837
44	4973751.572
45	4929386.792
46	4890313.555
47	4852745.482
48	4808241.838
49	4770610.041
50	4735755.808
51	4693069.982
52	4662804.122
53	4625782.721
54	4596741.084
55	4572973.845
56	4543737.631
57	4511012.24
58	4484465.005
59	4459353.017
60	4438214.604
61	4417586.138
62	4390768.015
63	4374207.661
64	4351625.525
65	4321331.247
66	4302491.02
67	4287549.579
68	4270597.718
69	4255008.795
70	4241933.999
71	4217584.555
72	4204762.678
73	4194384.013
74	4184294.624
75	4167800.873
76	4148433.089
77	4134099.04
78	4114275.284
79	4102256.205
80	4095192.804
81	4076573.979
82	4065117.223
83	4050569.662
84	4027183.134
85	4017803.477
86	4005593.387
87	3988615.17
88	3978963.387
89	3969388.218
90	3954406.123
91	3946907.483
92	3937887.882
93	3930192.885
94	3917749.428
95	3910722.835
96	3888287.097
97	3877178.214
98	3864256.149
99	3855466.228
100	3850383.178
101	3842592.513
102	3838031.762
103	3827604.956
104	3819039.884
105	3806019.741
106	3794718.747
107	3784612.168
108	3775104.047
109	3767025.3
110	3757292.519
111	3749256.924
112	3743265.546
113	3731180.028
114	3722627.38
115	3709573.74
116	3704130.922
117	3691713.726
118	3679424.415
119	3670102.011
120	3668070.354
121	3659762.859
122	3650023.737
123	3642962.834
124	3628178.134
125	3621102.026
126	3619754.646
127	3612620.343
128	3605329.571
129	3601734.07
130	3592139.38
131	3580139.176
132	3575007.06
133	3563963.276
134	3560585.918
135	3548193.189
136	3546488.602
137	3540710.695
138	3527523.904
139	3513784.021
140	3507688.089
141	3497907.477
142	3492206.65
143	3488209.628
144	3472584.568
145	3469878.229
146	3459071.766
147	3456725.188
148	3450755.588
149	3437051.985
150	3435519.317
151	3429737.853
152	3423611.635
153	3414048.352
154	3408733.579
155	3389710.093
156	3384227.999
157	3376612.387
158	3366556.379
159	3357937.77
160	3351072.401
161	3339196.734
162	3334785.823
163	3329210.382
164	3322787.77
165	3309061.899
166	3304079.776
167	3298242.779
168	3292199.679
169	3276947.523
170	3270445.888
171	3267709.953
172	3261067.98
173	3254135.6
174	3247924.628
175	3241741.521
176	3236700.011
177	3226054.168
178	3222072.217
179	3218011.856
180	3215321.699
181	3214638.043
182	3204364.884
183	3195407.944
184	3186107.983
185	3180795.663
186	3178259.049
187	3173337.583
188	3167777.169
189	3159305.271
190	3157174.321
191	3153454.583
192	3148222.552
193	3142967.116
194	3142567.003
195	3135814.119
196	3123696.611
197	3118196.14
198	3108830.246
199	3103451.418
200	3099749.888
201	3094867.086
202	3089772.411
203	3088643.432
204	3079766.627
205	3076385.49
206	3066596.807
207	3061400.525
208	3051896.065
209	3042937.262
210	3036257.323
211	3033729.996
212	3027850.433
213	3022944.182
214	3018470.806
215	3013081.559
216	2996540.41
217	2988402.598
218	2985832.944
219	2982979.186
220	2973233.657
221	2965993.209
222	2965531.945
223	2963949.404
224	2957931.362
225	2952476.342
226	2948822.657
227	2942252.44
228	2942015.815
229	2938141.194
230	2935769.373
231	2932800.413
232	2927217.907
233	2920676.092
234	2914572.082
235	2912338.809
236	2907347.454
237	2906696.04
238	2905148.722
239	2898061.006
240	2890600.311
241	2883088.691
242	2876132.155
243	2869944.952
244	2864094.045
245	2856863.943
246	2854282.21
247	2850101.44
248	2845562.185
249	2840649.819
250	2832953.79
251	2827515.799
252	2827314.924
253	2823014.754
254	2820580.888
255	2817286.339
256	2813010.247
257	2810579.667
258	2801840.767
259	2800310.983
260	2795242.658
261	2794992.631
262	2792758.817
263	2788734.558
264	2784447.331
265	2784064.267
266	2780415.791
267	2771953.669
268	2768424.685
269	2768253.8
270	2761379.858
271	2756972.273
272	2753658.969
273	2749826.697
274	2747687.92
275	2747505.98
276	2747330.922
277	2743865.158
278	2740453.521
279	2732228.513
280	2724396.406
281	2718811.495
282	2714243.217
283	2711259.059
284	2711103.045
285	2707676.322
286	2705371.415
287	2703641.941
288	2703476.179
289	2700063.839
290	2692210.13
291	2688759.315
292	2684611.986
293	2681289.446
294	2678566.512
295	2676947.583
296	2676821.348
297	2669741.902
298	2666870.509
299	2662963.145
300	2658270.821
301	2655154.746
302	2647455.176
303	2643906.377
304	2638961.499
305	2636650.507
306	2633304.914
307	2626105.145
308	2619693.499
309	2617489.547
310	2608473.162
311	2603290.374
312	2600231.326
313	2596724.693
314	2589791.445
315	2585704.919
316	2581655.816
317	2578956.191
318	2574989.396
319	2572702.083
320	2567448.252
321	2565710.185
322	2559069.807
323	2555397.535
324	2552630.06
325	2543010.909
326	2538325.002
327	2532368.019
328	2527218.438
329	2524625.651
330	2515972.387
331	2506054.909
332	2505189.141
333	2500511.274
334	2497027.438
335	2491365.226
336	2486596.627
337	2482447.522
338	2480351.602
339	2475866.894
340	2472116.585
341	2471037.28
342	2468093.198
343	2464877.353
344	2461499.497
345	2456535.964
346	2455077.26
347	2452141.604
348	2449743.726
349	2448076.028
350	2443642.162
351	2439376.998
352	2434294.48
353	2431458.222
354	2427178.877
355	2422296.04
356	2416550.427
357	2412502.033
358	2408619.056
359	2403365.927
360	2400772.777
361	2395405.078
362	2386058.847
363	2383591.88
364	2380323.195
365	2374641.702
366	2372345.776
367	2370214.095
368	2365087.944
369	2359330.445
370	2358114.448
371	2355641.488
372	2350238.53
373	2346528.67
374	2342901.653
375	2338437.156
376	2335389.935
377	2331966.055
378	2330333.213
379	2327662.378
380	2324617.497
381	2322219.482
382	2319148.64
383	2316414.002
384	2314227.804
385	2309393.612
386	2306843.983
387	2305168.125
388	2301820.458
389	2294567.395
390	2291070.367
391	2287691.813
392	2284663.835
393	2281952.964
394	2278267.23
395	2275582.314
396	2265896.328
397	2264516.443
398	2261646.26
399	2261575.619
400	2254052.585
401	2253887.695
402	2251161.927
403	2246121.789
404	2243259.151
405	2237095.566
406	2234418.231
407	2233224.928
408	2232845.714
409	2231532.169
410	2227410.997
411	2227336.596
412	2222771.677
413	2216695.14
414	2214187.78
415	2210260.389
416	2207213.153
417	2201954.486
418	2196338.492
419	2193835.685
420	2188356.099
421	2183447.35
422	2179401.847
423	2179319.368
424	2176219.871
425	2174436.384
426	2172712.466
427	2168540.673
428	2166699.669
429	2165354.618
430	2162345.167
431	2160040.551
432	2158263.809
433	2155938.194
434	2154014.467
435	2150126.188
436	2149734.795
437	2147493.703
438	2143201.712
439	2139678.009
440	2137836.378
441	2132080.618
442	2131912.709
443	2130677.657
444	2128797.649
445	2124198.985
446	2120543.732
447	2117272.501
448	2115323.99
449	2113976.663
450	2112375.063
451	2106779.444
452	2101584.509
453	2095008.685
454	2092351.485
455	2089089.009
456	2086670.189
457	2084424.739
458	2082406.162
459	2079909.888
460	2075065.949
461	2071071.792
462	2066095.341
463	2064676.903
464	2063800.494
465	2062262.788
466	2059895.526
467	2056393.98
468	2054682.011
469	2051698.491
470	2049248.18
471	2047444.403
472	2040300.958
473	2036362.366
474	2034999.06
475	2030014.947
476	2026356.396
477	2023988.302
478	2022244.66
479	2018446.251
480	2016422.761
481	2014965.886
482	2012263.303
483	2008053.925
484	2004875.999
485	2002356.777
486	2001665.156
487	1998377.131
488	1997628.667
489	1995689.815
490	1991815.543
491	1990367.218
492	1986190.077
493	1983538.195
494	1980506.028
495	1976444.75
496	1975194.137
497	1973515.851
498	1971271.376
499	1969450.447
500	1968121.675
501	1967592.784
502	1966875.415
503	1964780.88
504	1964154.164
505	1962574.043
506	1961175.871
507	1957989.038
508	1954674.988
509	1953841.262
510	1953208.164
511	1951446.499
512	1950613.043
513	1949174.611
514	1945681.676
515	1943984.765
516	1940003.588
517	1937721.128
518	1934112.583
519	1932115.708
520	1927033.538
521	1924258.127
522	1921306.582
523	1919557.264
524	1915298.012
525	1913644.229
526	1909456.746
527	1907601.733
528	1906278.888
529	1903132.991
530	1900793.275
531	1899698.469
532	1897094.672
533	1895913.764
534	1894060.797
535	1891487.952
536	1889047.864
537	1887829.581
538	1884950.691
539	1883635.301
540	1879407.015
541	1873658.961
542	1868574.247
543	1866368.998
544	1862957.091
545	1859452.457
546	1857186.771
547	1854984.874
548	1853242.411
549	1853056.759
550	1850375.953
551	1848617.815
552	1848129.683
553	1844230.234
554	1840658.526
555	1837028.491
556	1832462.35
557	1829921.122
558	1829230.878
559	1826803.773
560	1823508.732
561	1821817.243
562	1821145.378
563	1819088.597
564	1816889.042
565	1814587.602
566	1812384.973
567	1810680.758
568	1807925.429
569	1805782.733
570	1805388.482
571	1803280.061
572	1800856.444
573	1798751.413
574	1797145.873
575	1796322.492
576	1794015.574
577	1790755.362
578	1787253.188
579	1786130.747
580	1783729.385
581	1782221.681
582	1779399.268
583	1776516.745
584	1775033.66
585	1772409.293
586	1771259.592
587	1770432.167
588	1768515.078
589	1766382.462
590	1764403.762
591	1760315.82
592	1759265.836
593	1757903.051
594	1756032.501
595	1754870.225
596	1753077.815
597	1751496.281
598	1750757.211
599	1749203.658
600	1747011.354
601	1745782.748
602	1743248.253
603	1742001.412
604	1740366.19
605	1738630.846
606	1736648.092
607	1735328.253
608	1733823.248
609	1732598.888
610	1729847.139
611	1727373.803
612	1725201.486
613	1724400.981
614	1722026.213
615	1719043.184
616	1717041.767
617	1716648.123
618	1716016.492
619	1715121.765
620	1713108.662
621	1712478.482
622	1708509.036
623	1707965.839
624	1707429.355
625	1705710.617
626	1703544.573
627	1701517.508
628	1699949.732
629	1696510.278
630	1695336.18
631	1693660.138
632	1692471.423
633	1690981.943
634	1690935.757
635	1687543.648
636	1686180.185
637	1682603.8
638	1682070.902
639	1680610.484
640	1678871.516
641	1677532.997
642	1675765.812
643	1673823.829
644	1670925.405
645	1669446.143
646	1668843.657
647	1666047.858
648	1663917.448
649	1661650.288
650	1661404.563
651	1659953.24
652	1658942.079
653	1657208.003
654	1655519.877
655	1652828.266
656	1651407.959
657	1650547.099
658	1649403.947
659	1647631.124
660	1646231.732
661	1644810.453
662	1644234.245
663	1641687.197
664	1640855.703
665	1639174.945
666	1637715.649
667	1636314.589
668	1635283.424
669	1633328.652
670	1631338.052
671	1629533.917
672	1628296.044
673	1626866.864
674	1624742.66
675	1623732.864
676	1622458.684
677	1620654.455
678	1619976.506
679	1617220.801
680	1615476.315
681	1613848.002
682	1612033.909
683	1609622.069
684	1607349.326
685	1605033.682
686	1603349.471
687	1601666.043
688	1600171.501
689	1599548.005
690	1597000.347
691	1596054.436
692	1594007.237
693	1591125.08
694	1590224.843
695	1588870.737
696	1587425.783
697	1586652.128
698	1585847.242
699	1585212.839
700	1583529.393
701	1580522.52
702	1579438.202
703	1577362.906
704	1576265.842
705	1574941.694
706	1574208.427
707	1572564.992
708	1570960.504
709	1569730.459
710	1569089.148
711	1568001.771
712	1566097.569
713	1564341.351
714	1562582.109
715	1561133.749
716	1559808.932
717	1557397.631
718	1556019.864
719	1554126.744
720	1552660.277
721	1551055.356
722	1549250.595
723	1546738.893
724	1545441.557
725	1543669.919
726	1543375.577
727	1541212.669
728	1539376.478
729	1537413.487
730	1535460.769
731	1535432.927
732	1534496.69
733	1533135.455
734	1531039.085
735	1531011.635
736	1530033.19
737	1530004.703
738	1529549.41
739	1529523.299
740	1527223.537
741	1525528.015
742	1524601.437
743	1524577.884
744	1523986.095
745	1522176.74
746	1519755.473
747	1519732.41
748	1516307.745
749	1516283.949
750	1514801.499
751	1512916.858
752	1509668.538
753	1509446.369
754	1507331.233
755	1506529.104
756	1505163.849
757	1504085.833
758	1504065.276
759	1502207.27
760	1500947.889
761	1500639.108
762	1499072.628
763	1496397.495
