İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented
Karim Konaté,1139103,Bundesliga 25/26,Austrian Bundesliga,Red Bull Salzburg,6.6111111111111,9,4,3,9,0,0.93224454,65,92,70.652173913043,16,49,35,8,9,60.0,2,1,2,0,0,1,50.0,31,14,17,39.53488372093,14,31.111111111111,583,12.903225806452,0,0,0,0,0,0,0,0.0,3,0,0,7,67,2,3,2,204,6,12,0,0,2,4,8,0,0,1,0,0,0,0,0,0,7,0.0,8,15,2,1,7,2,100.0,0,19,73,1,3.9085,9,0,9,0.0
Karim Konaté,1139103,Bundesliga 24/25,Austrian Bundesliga,Red Bull Salzburg,6.9,9,2,2,5,1,0.0,128,169,75.739644970414,44,85,55,10,9,36.0,3,1,0,0,0,1,25.0,28,11,18,32.142857142857,11,52.380952380952,756,7.1428571428571,1,1,0,0,1,0,5,71.428571428571,4,0,0,15,108,3,6,2,318,6,6,0,1,3,2,4,0,0,4,0,0,0,0,0,0,9,0.0,10,25,4,7,10,1,33.333333333333,0,49,124,1,0.0,13,0,9,0.0
Karim Konaté,1139103,Bundesliga 23/24,Austrian Bundesliga,Red Bull Salzburg,7.0931034482759,29,20,8,28,2,0.0,219,314,69.745222929936,55,167,119,23,29,40.845070422535,7,1,6,0,0,3,20.0,84,45,56,36.363636363636,22,24.444444444444,1859,23.809523809524,0,0,1,1,0,0,7,35.0,11,0,0,22,258,17,10,8,691,21,35,2,0,5,12,11,0,0,6,0,0,0,0,0,0,22,0.0,23,71,15,20,22,4,57.142857142857,0,69,260,6,0.0,48,0,29,0.0
Karim Konaté,1139103,UEFA Europa League 25/26,UEFA Europa League,Red Bull Salzburg,6.7,3,0,0,2,0,0.0643977,13,16,81.25,5,8,6,2,1,33.333333333333,0,1,0,0,0,0,0.0,5,2,2,33.333333333333,1,33.333333333333,69,0.0,0,0,0,0,0,0,1,100.0,0,0,0,1,8,0,1,0,33,1,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0.0,2,3,0,1,1,0,0.0,0,5,11,0,0.7015,1,0,4,0.0
Karim Konaté,1139103,UEFA Champions League 24/25,UEFA Champions League,Red Bull Salzburg,6.78,5,2,0,2,0,0.08743504,37,56,66.071428571429,21,16,8,2,3,42.857142857143,1,1,0,0,0,0,0.0,12,4,9,34.615384615385,4,30.769230769231,318,16.666666666667,1,0,0,0,0,0,0,0.0,1,0,0,6,42,2,1,0,111,5,8,1,0,0,3,4,0,0,0,0,0,0,0,0,0,4,0.0,2,7,0,2,10,1,100.0,0,28,28,0,2.6899,7,0,5,0.0
Karim Konaté,1139103,UEFA Champions League 23/24,UEFA Champions League,Red Bull Salzburg,6.58,5,0,0,2,0,0.12602057,38,50,76.0,14,24,17,3,4,50.0,2,3,0,0,0,0,0.0,11,3,9,37.5,2,14.285714285714,237,0.0,1,0,0,0,0,0,1,100.0,4,0,0,3,28,2,3,1,100,3,7,0,0,2,2,3,0,0,0,0,0,0,0,0,0,3,0.0,3,8,2,1,3,2,100.0,0,17,35,0,1.8359,8,0,5,0.0
Edmund Baidoo,1805062,Bundesliga 25/26,Austrian Bundesliga,Red Bull Salzburg,6.8782608695652,23,5,6,16,3,2.72168862,305,403,75.682382133995,76,229,145,31,32,45.070422535211,21,2,0,0,0,14,48.275862068966,47,23,67,48.201438848921,9,20.0,1368,10.63829787234,0,0,0,0,0,0,12,85.714285714286,8,0,0,20,227,8,19,6,723,14,9,0,0,7,9,12,0,0,0,0,0,0,0,0,0,17,0.0,31,71,29,14,17,16,76.190476190476,0,92,311,2,8.8718,55,0,23,0.0
Edmund Baidoo,1805062,Bundesliga 24/25,Austrian Bundesliga,Red Bull Salzburg,6.9647058823529,17,4,1,3,1,0.0,155,206,75.242718446602,41,123,79,18,24,57.142857142857,9,2,0,0,0,9,22.5,14,9,38,46.913580246914,6,30.0,479,28.571428571429,0,0,0,0,0,0,4,40.0,3,0,0,11,138,4,16,6,401,5,5,1,0,9,1,2,0,0,0,0,0,0,0,0,0,2,0.0,18,42,40,10,5,6,66.666666666667,0,48,198,2,0.0,30,0,18,0.0
Edmund Baidoo,1805062,UEFA Europa League 25/26,UEFA Europa League,Red Bull Salzburg,6.7125,8,1,1,4,0,0.8900887,113,148,76.351351351351,33,80,51,9,13,65.0,6,2,0,0,0,1,14.285714285714,16,8,27,44.262295081967,2,11.111111111111,576,6.25,0,0,0,0,0,0,1,50.0,2,0,0,16,81,12,6,3,263,8,5,0,0,6,9,2,0,0,0,0,0,0,0,0,0,7,0.0,9,20,7,2,9,4,66.666666666667,0,39,109,0,1.681,36,0,8,0.0
Yorbe Vertessen,909958,Bundesliga 25/26,Austrian Bundesliga,Red Bull Salzburg,6.965,20,6,3,7,2,1.78201335,167,238,70.168067226891,44,123,93,24,13,37.142857142857,24,1,3,0,0,2,22.222222222222,33,12,60,50.847457627119,15,42.857142857143,1025,18.181818181818,0,0,0,0,1,0,2,22.222222222222,9,0,0,14,150,10,5,2,465,23,18,0,0,5,2,9,0,0,0,0,0,0,0,0,0,11,0.0,24,35,9,9,14,16,66.666666666667,0,58,180,4,5.7443,34,3,20,0.0
