İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,ballRecovery,outfielderBlocks,appearances,expectedAssists,expectedGoals,goalsPrevented
Sebastián Valdez,896783,Liga Profesional 2024,Liga Profesional de Fútbol,Central Córdoba,6.8260869565217,23,0,0,0,0,898,1102,81.488203266788,574,325,76,8,14,73.684210526316,39,22,5,0,0,1,100.0,7,2,67,63.207547169811,49,66.216216216216,2040,0.0,0,0,0,0,0,0,72,47.682119205298,96,0,1,9,237,2,68,46,1406,14,18,0,0,8,1,2,0,0,5,0,0,0,0,0,0,23,0.0,8,19,1,151,29,20,51.282051282051,0,670,433,0,141,0,23,0.22803113,0.4006,0.0
Michael Santos,339115,Primera LPF 2026,Liga Profesional de Fútbol,Central Córdoba,6.8,11,3,2,1,1,101,145,69.655172413793,41,60,37,14,5,23.809523809524,4,3,1,0,0,1,16.666666666667,13,5,18,29.032258064516,27,44.262295081967,842,23.076923076923,1,1,1,0,0,0,3,42.857142857143,9,0,0,9,110,0,7,5,279,9,18,0,0,2,11,1,0,0,3,0,0,0,0,0,0,9,0.0,14,21,6,7,12,4,100.0,0,48,97,2,17,1,11,0.0,0.0,0.0
Lucas Varaldo,1003024,Primera LPF 2026,Liga Profesional de Fútbol,Central Córdoba,6.5,6,0,0,1,0,44,61,72.131147540984,13,31,16,0,7,77.777777777778,2,0,1,0,0,0,0.0,6,2,9,56.25,3,27.272727272727,247,0.0,0,0,0,0,0,0,2,100.0,0,0,0,2,27,1,4,2,92,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0.0,0,9,1,2,6,1,50.0,0,17,44,0,4,0,7,0.0,0.0,0.0
Lucas Varaldo,1003024,Liga Profesional 2024,Liga Profesional de Fútbol,Central Córdoba,6.84,20,3,5,2,2,251,345,72.753623188406,75,179,94,18,13,36.111111111111,7,1,0,0,0,3,27.272727272727,27,8,26,30.952380952381,22,25.882352941176,1317,11.111111111111,1,1,0,0,0,0,19,73.076923076923,20,0,0,21,198,5,24,15,574,6,9,0,0,7,4,5,0,0,1,0,0,0,0,0,0,16,0.0,18,36,11,26,11,3,42.857142857143,0,90,266,0,38,0,20,1.22309045,2.7529,0.0
Ezequiel Naya,1129485,Primera LPF 2026,Liga Profesional de Fútbol,Central Córdoba,6.6857142857143,7,1,0,1,0,41,65,63.076923076923,16,25,9,2,1,25.0,2,1,0,0,0,0,0.0,6,5,11,50.0,15,39.473684210526,442,16.666666666667,0,0,0,0,0,0,3,100.0,7,0,0,1,45,1,1,1,131,9,3,0,0,4,0,1,0,0,0,0,0,0,0,0,0,6,0.0,2,4,1,3,6,2,100.0,0,22,43,0,8,1,8,0.0,0.0,0.0
Diego Barrera,1462243,Primera LPF 2026,Liga Profesional de Fútbol,Central Córdoba,6.6545454545455,11,2,0,0,0,135,193,69.948186528497,70,65,30,8,13,48.148148148148,16,4,2,0,0,6,14.285714285714,11,5,40,50.0,13,54.166666666667,700,18.181818181818,0,0,0,0,0,0,4,30.769230769231,9,0,0,12,149,2,20,5,406,11,8,0,0,8,0,3,0,0,0,0,0,0,0,0,0,8,0.0,8,27,42,13,10,6,37.5,0,92,101,0,49,1,11,0.0,0.0,0.0
Joaquin Flores,1482279,Primera LPF 2026,Liga Profesional de Fútbol,Central Córdoba,6.525,4,0,0,0,0,11,16,68.75,3,8,4,3,1,50.0,1,0,0,0,0,2,22.222222222222,1,0,5,50.0,1,25.0,68,0.0,0,0,0,0,0,0,0,0.0,0,0,0,1,22,0,1,0,48,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,3,2,9,0,0,1,100.0,0,4,12,0,4,0,4,0.0,0.0,0.0
Alan Laprida,2192258,Primera LPF 2026,Liga Profesional de Fútbol,Central Córdoba,6.5714285714286,7,0,0,0,0,61,81,75.308641975309,22,39,25,2,11,50.0,7,0,1,0,0,0,0.0,1,0,31,50.819672131148,1,16.666666666667,325,0.0,0,0,0,0,0,0,3,37.5,0,0,0,9,65,1,12,3,177,13,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0.0,2,22,4,8,5,5,71.428571428571,0,24,57,0,17,0,7,0.0,0.0,0.0
Bautista Gerez,2036963,Primera LPF 2026,Liga Profesional de Fútbol,Central Córdoba,6.45,2,0,0,0,0,4,6,66.666666666667,1,3,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,20,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,2,4,0,1,0,2,0.0,0.0,0.0
Lucas González,985019,Primera LPF 2026,Liga Profesional de Fútbol,Central Córdoba,6.7909090909091,11,0,0,0,0,229,284,80.633802816901,112,117,55,5,11,73.333333333333,11,2,3,0,0,0,0.0,11,1,36,50.704225352113,3,33.333333333333,700,0.0,0,0,0,0,0,0,27,60.0,4,0,1,18,94,0,43,23,401,14,10,0,0,3,0,4,0,0,2,0,0,0,0,0,0,8,0.0,5,15,4,45,3,6,54.545454545455,0,126,158,0,54,1,11,0.0,0.0,0.0
