İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented
Marlon Freitas,840202,Brasileiro Serie A 2025,Brasileirão Betano,Botafogo,7.1828571428571,35,1,6,1,4,3.99744958,1983,2210,89.72850678733,939,1044,426,33,3,60.0,45,23,8,0,0,4,30.769230769231,27,8,57,41.605839416058,16,50.0,2928,3.7037037037037,0,0,0,0,0,0,190,71.969696969697,50,0,0,10,272,6,256,170,2517,9,40,0,0,29,0,7,0,0,11,0,0,0,0,0,0,33,0.0,33,5,13,264,34,29,64.444444444444,0,984,1226,2,1.2628,116,19,35,0.0
Marlon Freitas,840202,Brasileirão Betano 2024,Brasileirão Betano,Botafogo,7.24375,32,0,10,2,5,4.16987236,1579,1786,88.409854423292,675,909,444,43,5,50.0,43,21,7,0,0,5,23.809523809524,28,5,54,51.428571428571,13,38.235294117647,2434,0.0,0,0,0,0,0,0,154,71.627906976744,35,1,1,8,256,9,210,144,2060,7,23,2,0,16,1,8,0,0,8,0,0,0,0,0,0,28,0.0,43,10,21,215,15,27,62.790697674419,0,735,1072,4,1.7118,116,0,32,0.0
Artur,841128,Brasileiro Serie A 2025,Brasileirão Betano,Botafogo,7.0964285714286,28,5,5,4,4,4.20653621,462,558,82.795698924731,106,356,227,39,31,50.0,15,11,3,0,0,14,23.728813559322,46,17,76,47.798742138365,9,47.368421052632,1927,10.869565217391,0,0,0,0,2,0,17,62.962962962963,9,0,0,21,241,15,39,25,931,30,18,3,0,16,3,8,0,0,5,0,0,0,0,0,0,22,0.0,39,62,59,27,21,12,80.0,0,133,425,1,5.0877,70,0,28,0.0
Jefferson Savarino,874739,Brasileiro Serie A 2025,Brasileirão Betano,Botafogo,7.1703703703704,27,4,8,4,3,5.48047228,630,743,84.791386271871,210,420,236,49,11,45.833333333333,12,2,1,0,0,38,40.0,54,18,41,47.126436781609,0,0.0,1927,7.4074074074074,0,0,0,0,3,0,38,66.666666666667,8,0,0,17,235,10,64,34,1036,18,10,2,0,7,10,14,0,0,2,0,0,0,0,0,0,24,0.0,49,24,95,57,21,8,66.666666666667,0,224,519,3,4.1788,65,0,27,0.0
Jefferson Savarino,874739,Brasileirão Betano 2024,Brasileirão Betano,Botafogo,7.3464285714286,28,8,11,2,7,7.52091937,608,741,82.051282051282,141,511,303,74,8,42.105263157895,7,2,3,0,0,44,37.28813559322,61,29,21,22.105263157895,3,27.272727272727,2013,13.114754098361,0,0,0,0,4,1,41,68.333333333333,9,0,0,40,301,10,83,57,1080,6,9,1,0,14,6,17,0,0,6,0,0,0,0,0,0,22,25.0,74,19,118,60,15,2,28.571428571429,0,169,690,4,5.172,79,0,28,0.0
Joaquín Correa,249929,Brasileiro Serie A 2026,Brasileirão Betano,Botafogo,6.9,2,0,0,1,0,0.0268626,18,26,69.230769230769,7,11,8,0,1,50.0,1,0,1,0,0,0,0.0,3,1,6,66.666666666667,2,40.0,100,0.0,0,0,1,0,0,0,0,0.0,0,0,1,2,13,0,1,0,44,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,2,0,1,1,1,100.0,0,10,16,0,0.2044,0,0,2,0.0
Joaquín Correa,249929,Brasileiro Serie A 2025,Brasileirão Betano,Botafogo,6.9277777777778,18,2,0,5,0,1.41523732,343,407,84.275184275184,96,247,148,18,11,57.894736842105,12,2,2,0,0,4,21.052631578947,18,9,43,50.588235294118,5,41.666666666667,902,11.111111111111,0,0,1,0,2,0,10,66.666666666667,1,0,0,10,120,2,17,8,550,21,13,1,0,14,2,2,0,0,1,0,0,0,0,0,0,10,0.0,18,19,19,15,8,8,66.666666666667,0,111,296,2,2.4487,27,0,18,0.0
Arthur Cabral,870762,Brasileiro Serie A 2026,Brasileirão Betano,Botafogo,6.9571428571429,7,2,1,0,1,0.7404574,62,80,77.5,33,29,20,5,5,62.5,3,0,0,0,0,0,0.0,10,5,17,45.945945945946,15,45.454545454545,526,20.0,0,0,0,0,0,0,2,66.666666666667,6,0,0,7,42,2,2,1,146,9,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7,0.0,5,8,0,3,14,2,66.666666666667,0,36,44,0,0.661,12,2,7,0.0
Arthur Cabral,870762,Brasileiro Serie A 2025,Brasileirão Betano,Botafogo,7.0333333333333,21,4,2,6,2,0.47540514,154,203,75.862068965517,54,100,64,17,11,55.0,12,1,1,0,0,0,0.0,42,14,49,48.039215686275,43,44.329896907216,1447,9.5238095238095,0,0,1,0,0,0,5,50.0,21,0,0,15,106,6,13,5,418,27,33,1,0,1,5,10,0,0,2,0,0,0,0,0,0,16,0.0,17,20,0,10,17,5,41.666666666667,0,62,141,1,5.1557,33,3,21,0.0
Júnior Santos,922559,Brasileiro Serie A 2026,Brasileirão Betano,Botafogo,6.6166666666667,6,1,0,1,0,0.19619508,28,45,62.222222222222,10,18,9,1,9,75.0,1,1,2,0,0,0,0.0,6,3,16,51.612903225806,4,26.666666666667,291,16.666666666667,0,0,0,0,0,0,1,50.0,1,0,0,6,40,1,1,1,102,6,5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,4,0.0,1,12,3,2,5,1,100.0,0,12,33,0,0.8368,6,0,6,0.0
