İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented
Jádson,243651,Brasileiro Serie A 2025,Brasileirão Betano,Juventude,6.7,35,0,1,2,2,0.93794934,937,1130,82.920353982301,482,455,223,25,16,50.0,48,35,9,0,0,6,25.0,19,4,116,48.535564853556,7,29.166666666667,2842,0.0,0,0,0,1,0,0,62,55.357142857143,34,0,3,29,299,15,102,55,1554,52,45,0,0,35,2,3,0,0,6,0,0,0,0,0,0,32,0.0,25,32,24,112,58,25,52.083333333333,0,548,582,0,0.9977,168,11,35,0.0
Jádson,243651,Brasileirão Betano 2024,Brasileirão Betano,Juventude,7.1242424242424,33,1,5,1,5,2.29077623,1137,1332,85.36036036036,551,592,302,57,20,57.142857142857,90,37,13,0,1,6,18.181818181818,23,7,173,60.48951048951,12,32.432432432432,2851,4.3478260869565,0,0,1,1,1,0,77,66.95652173913,18,2,0,30,314,17,117,79,1820,64,43,2,0,30,1,5,0,0,3,0,0,0,0,0,0,33,0.0,57,35,33,115,43,51,56.666666666667,1,605,760,2,1.684,209,0,33,0.0
Lucas Barbosa,1067641,Brasileirão Betano 2024,Brasileirão Betano,Juventude,6.9515151515152,33,7,8,5,2,3.83626436,564,776,72.680412371134,200,373,204,28,18,36.734693877551,68,19,12,1,1,9,16.363636363636,70,25,119,42.805755395683,60,47.619047619048,2468,10.0,0,0,0,0,0,0,51,57.954545454545,18,1,0,31,392,28,77,45,1325,33,61,1,0,39,6,18,0,0,0,0,0,0,0,0,0,32,0.0,28,49,55,88,36,40,58.823529411765,0,246,585,1,6.408,103,0,33,0.0
Lucas Freitas,1069729,Brasileirão Betano 2024,Brasileirão Betano,Juventude,6.7625,16,0,0,0,0,0.22084808,565,652,86.656441717791,407,158,48,5,1,100.0,9,14,1,0,1,0,0.0,5,0,13,39.393939393939,17,44.736842105263,1258,0.0,0,0,0,2,0,0,46,55.421686746988,41,0,0,5,113,0,40,25,809,4,11,1,0,7,1,1,0,0,2,0,0,0,0,0,0,15,0.0,5,1,3,83,19,8,88.888888888889,1,448,207,0,0.2471,44,0,16,0.0
Ronaldo,824152,Brasileirão Betano 2024,Brasileirão Betano,Juventude,7.0923076923077,13,2,2,1,2,0.61114496,483,555,87.027027027027,278,205,76,7,5,50.0,36,13,1,0,0,0,0.0,10,3,49,52.688172043011,29,56.862745098039,1137,20.0,0,0,0,0,0,0,42,63.636363636364,27,0,0,9,99,4,64,41,725,10,24,0,0,10,0,3,0,0,1,0,0,0,0,0,0,13,0.0,7,10,3,66,22,24,66.666666666667,0,294,264,2,1.0174,57,0,13,0.0
Caique Gonçalves,871032,Brasileiro Serie A 2025,Brasileirão Betano,Juventude,6.8357142857143,28,0,1,0,1,0.86311627,837,952,87.920168067227,493,344,123,11,14,58.333333333333,66,19,10,0,0,0,0.0,6,0,117,56.25,21,58.333333333333,2062,0.0,0,0,0,1,0,0,63,70.786516853933,37,0,4,13,162,10,58,35,1242,37,55,0,0,18,0,4,0,0,1,0,0,0,0,0,0,26,0.0,11,24,2,89,35,43,65.151515151515,0,539,413,0,0.2124,128,13,28,0.0
Caique Gonçalves,871032,Brasileirão Betano 2024,Brasileirão Betano,Juventude,6.9882352941176,17,0,0,0,0,0.2631441,760,835,91.017964071856,477,284,92,6,12,75.0,44,23,5,0,0,1,50.0,3,0,84,64.615384615385,14,51.851851851852,1428,0.0,0,0,0,1,0,0,53,79.10447761194,30,0,1,7,95,3,31,22,1049,28,20,0,0,15,0,2,0,0,4,0,0,0,0,0,0,17,0.0,6,16,2,67,20,24,54.545454545455,0,506,331,0,0.0706,94,0,17,0.0
Gabriel Vasconcelos,147467,Brasileirão Betano 2024,Brasileirão Betano,Juventude,7.25,34,0,0,0,0,0.0844039,728,977,74.513817809621,633,95,35,3,2,100.0,1,0,5,1,1,0,0.0,0,0,6,54.545454545455,14,93.333333333333,3017,0.0,0,0,0,1,0,0,164,40.594059405941,52,0,0,0,253,0,73,35,1348,5,2,0,0,3,0,0,0,109,6,2,25,20,18,42,0,34,0.0,3,2,0,404,49,0,0.0,0,678,299,1,0.0,250,0,34,4.8089
Jean Carlos,850475,Brasileiro Serie A 2025,Brasileirão Betano,Juventude,6.5714285714286,7,0,1,0,0,0.53790527,38,54,70.37037037037,15,23,11,5,1,100.0,3,0,1,0,0,2,12.5,4,1,6,42.857142857143,1,14.285714285714,205,0.0,0,0,0,0,2,0,4,44.444444444444,1,0,0,3,40,1,9,2,96,2,3,0,0,2,3,0,0,0,0,0,0,0,0,0,0,2,0.0,5,1,16,9,7,3,100.0,0,17,37,0,0.1849,10,1,7,0.0
Jean Carlos,850475,Brasileirão Betano 2024,Brasileirão Betano,Juventude,6.9727272727273,22,4,5,0,2,2.49692942,234,324,72.222222222222,76,182,92,26,9,75.0,8,6,3,0,0,24,26.666666666667,28,9,26,45.614035087719,8,47.058823529412,1031,14.285714285714,0,0,0,1,9,1,21,52.5,4,0,0,8,192,9,61,27,542,9,14,0,0,7,1,7,1,0,0,0,0,0,0,0,0,13,11.111111111111,25,12,90,40,17,4,50.0,0,93,321,1,1.7171,39,0,22,0.0
