İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented
Lucas Moura,149710,Brasileiro Serie A 2026,Brasileirão Betano,São Paulo,6.7714285714286,7,1,1,0,1,0.69849181,77,100,77.0,20,57,27,4,3,50.0,1,1,0,0,0,2,66.666666666667,5,3,10,41.666666666667,6,54.545454545455,300,20.0,1,1,0,0,2,0,1,50.0,6,0,0,6,44,1,10,6,155,6,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0.0,3,6,3,2,2,0,0.0,0,23,77,0,1.1308,9,0,7,0.0
Lucas Moura,149710,Brasileiro Serie A 2025,Brasileirão Betano,São Paulo,6.8818181818182,11,2,1,0,0,0.66004004,118,160,73.75,25,93,51,8,10,52.631578947368,5,3,0,0,0,1,50.0,11,4,29,58.0,11,52.380952380952,450,18.181818181818,1,1,0,1,1,0,3,42.857142857143,3,0,0,5,72,2,10,4,257,14,6,0,0,2,1,1,0,0,0,0,0,0,0,0,0,4,0.0,8,19,2,7,7,2,40.0,0,34,126,0,1.5539,11,1,11,0.0
Lucas Moura,149710,Brasileirão Betano 2024,Brasileirão Betano,São Paulo,7.3428571428571,28,10,4,1,6,3.1419209,823,1011,81.404549950544,245,588,315,40,48,53.333333333333,27,21,4,0,0,10,23.255813953488,43,20,139,52.851711026616,38,53.521126760563,2255,23.255813953488,2,2,0,0,4,0,47,67.142857142857,24,0,0,42,386,21,57,33,1525,64,27,0,0,15,0,12,0,0,3,0,0,0,0,0,0,26,0.0,40,90,43,70,31,16,59.259259259259,0,285,769,7,5.2939,102,0,28,0.0
Jonathan Calleri,340519,Brasileiro Serie A 2026,Brasileirão Betano,São Paulo,6.99,10,6,0,2,0,0.53166345,99,134,73.880597014925,29,70,49,10,1,9.0909090909091,7,2,1,0,0,3,20.0,22,10,27,40.298507462687,27,45.762711864407,814,27.272727272727,1,1,0,0,0,0,1,50.0,10,0,0,8,87,4,5,1,277,19,17,0,0,5,5,2,0,0,2,0,0,0,0,0,0,9,0.0,10,11,15,2,7,4,57.142857142857,0,32,102,0,4.0899,12,2,10,0.0
Jonathan Calleri,340519,Brasileiro Serie A 2025,Brasileirão Betano,São Paulo,6.0,3,0,0,1,0,0.08946719,12,14,85.714285714286,4,8,4,1,0,0.0,2,0,0,1,1,0,0.0,3,1,4,40.0,1,14.285714285714,123,0.0,1,0,0,0,0,0,1,100.0,0,0,0,3,8,1,1,1,29,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,1,1,0,1,1,1,50.0,0,4,10,0,0.9201,1,0,3,0.0
Jonathan Calleri,340519,Brasileirão Betano 2024,Brasileirão Betano,São Paulo,6.9444444444444,27,5,2,8,4,1.33289086,272,395,68.860759493671,95,183,97,19,11,50.0,11,3,6,0,0,6,23.076923076923,43,14,70,46.35761589404,61,51.694915254237,2053,11.627906976744,0,0,1,0,0,0,8,57.142857142857,18,0,0,30,231,6,14,9,687,48,36,3,0,8,25,11,0,0,4,0,0,0,0,0,0,24,0.0,19,22,26,14,22,9,81.818181818182,0,109,312,2,5.6988,26,0,27,0.0
Luciano,282557,Brasileiro Serie A 2026,Brasileirão Betano,São Paulo,6.9555555555556,9,2,2,1,1,1.1349067,175,212,82.547169811321,46,129,78,11,1,14.285714285714,7,2,2,0,0,0,0.0,16,6,22,44.897959183673,6,42.857142857143,623,12.5,1,0,1,0,0,0,11,64.705882352941,4,0,0,8,63,2,16,9,295,15,10,0,0,4,4,4,1,0,0,0,0,0,0,0,0,7,0.0,10,7,4,17,6,5,71.428571428571,0,55,157,1,1.5693,19,0,9,0.0
Luciano,282557,Brasileiro Serie A 2025,Brasileirão Betano,São Paulo,7.028125,32,9,4,12,4,2.94034487,500,598,83.612040133779,184,316,175,29,17,48.571428571429,25,14,10,0,0,3,33.333333333333,76,26,85,52.795031055901,23,47.916666666667,2111,11.842105263158,2,1,2,0,3,0,19,52.777777777778,17,0,0,18,183,17,38,32,933,44,32,0,0,10,5,17,1,0,1,0,0,0,0,0,0,24,0.0,28,35,9,36,26,17,68.0,0,209,389,4,10.7275,79,1,32,0.0
Luciano,282557,Brasileirão Betano 2024,Brasileirão Betano,São Paulo,7.1129032258065,31,11,5,6,2,2.15130064,744,863,86.210892236385,270,475,240,23,15,44.117647058824,26,9,11,0,1,1,11.111111111111,77,28,84,48.554913294798,17,37.777777777778,2324,14.285714285714,2,1,1,0,1,1,49,75.384615384615,9,0,0,28,207,11,58,40,1204,43,29,4,0,15,5,22,0,0,1,0,0,0,0,0,0,27,100.0,23,34,9,65,27,17,65.384615384615,1,300,572,2,7.0165,110,0,31,0.0
Gonzalo Tapia,1002947,Brasileiro Serie A 2026,Brasileirão Betano,São Paulo,6.4666666666667,6,0,0,3,0,0.12401856,16,26,61.538461538462,3,13,8,1,1,50.0,3,0,0,0,0,1,10.0,6,1,8,47.058823529412,3,50.0,216,0.0,0,0,1,0,0,0,1,50.0,0,0,0,3,26,0,0,0,64,4,5,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0.0,1,2,10,2,1,3,100.0,0,3,23,0,1.2551,3,0,6,0.0
