İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented
Léo,360940,Brasileirão Betano 2024,Brasileirão Betano,Vasco da Gama,6.82,30,0,2,4,1,0.74291817,1093,1252,87.300319488818,704,390,116,7,2,66.666666666667,45,29,2,0,0,1,20.0,7,2,61,61.0,28,56.0,2700,0.0,0,0,0,0,0,0,81,47.368421052632,137,1,0,3,175,0,112,68,1561,14,27,0,0,8,1,2,0,0,7,0,0,0,0,0,0,30,0.0,7,3,5,171,45,24,53.333333333333,0,755,502,0,1.4585,89,0,30,0.0
Maicon,44691,Brasileirão Betano 2024,Brasileirão Betano,Vasco da Gama,6.9933333333333,30,1,0,1,0,0.87163031,966,1197,80.701754385965,649,317,102,5,3,75.0,42,29,5,0,0,0,0.0,8,3,51,62.962962962963,75,68.807339449541,2358,12.5,0,0,0,0,0,0,173,54.574132492114,157,0,0,3,261,0,186,117,1552,8,12,0,0,14,1,1,0,0,4,0,0,0,0,0,0,25,0.0,5,4,11,317,41,26,61.904761904762,0,724,484,0,0.7215,89,0,30,0.0
Matheus França,1116593,Brasileiro Serie A 2026,Brasileirão Betano,Vasco da Gama,6.4,3,0,0,0,0,0.01906475,15,21,71.428571428571,5,10,5,0,1,100.0,0,0,0,0,0,0,0.0,1,0,1,16.666666666667,4,44.444444444444,62,0.0,0,0,0,0,0,0,0,0.0,1,0,0,1,9,0,1,0,31,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,1,1,1,0,0.0,0,6,15,0,0.1282,3,1,3,0.0
Matheus França,1116593,Brasileiro Serie A 2025,Brasileirão Betano,Vasco da Gama,6.68,15,0,0,0,0,0.32704659,191,230,83.04347826087,84,107,51,3,10,71.428571428571,9,5,1,0,0,3,25.0,10,2,22,52.380952380952,6,46.153846153846,382,0.0,0,0,0,0,0,0,6,60.0,4,0,1,5,72,2,18,10,326,3,8,0,0,4,0,5,0,0,0,0,0,0,0,0,0,2,0.0,3,14,12,10,8,5,55.555555555556,0,94,136,0,0.535,21,2,15,0.0
Brenner,884980,Brasileiro Serie A 2026,Brasileirão Betano,Vasco da Gama,6.7166666666667,6,1,0,5,0,0.15863589,38,50,76.0,15,23,16,6,0,0.0,1,0,1,0,0,0,0.0,10,4,6,60.0,2,14.285714285714,219,10.0,0,0,0,0,0,0,1,50.0,2,0,0,2,19,2,1,0,82,5,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.0,6,1,0,2,4,0,0.0,0,18,32,0,2.4287,8,0,6,0.0
Claudio Spinelli,861297,Brasileiro Serie A 2026,Brasileirão Betano,Vasco da Gama,6.44,5,1,0,0,0,0.10879618,16,17,94.117647058824,9,7,4,1,0,0.0,2,0,0,0,0,1,50.0,7,2,4,23.529411764706,2,20.0,155,14.285714285714,0,0,0,0,0,0,0,0.0,3,0,0,7,19,1,1,1,58,2,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1,2,2,0,3,1,50.0,0,9,8,0,0.547,2,0,5,0.0
David,840291,Brasileiro Serie A 2026,Brasileirão Betano,Vasco da Gama,6.85,8,2,1,0,1,0.25264889,77,106,72.641509433962,18,59,44,7,5,50.0,3,0,0,0,0,0,0.0,5,4,11,47.826086956522,11,42.307692307692,443,40.0,0,0,0,0,0,0,0,0.0,5,0,0,2,60,1,1,0,166,3,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0.0,7,10,1,2,7,1,33.333333333333,0,19,87,0,1.548,8,0,8,0.0
David,840291,Brasileiro Serie A 2025,Brasileirão Betano,Vasco da Gama,6.775,24,2,5,2,3,0.95591936,188,239,78.661087866109,66,122,75,14,17,54.838709677419,9,5,3,1,1,1,16.666666666667,15,6,31,46.969696969697,11,39.285714285714,759,13.333333333333,0,0,0,0,0,0,5,62.5,4,0,2,6,109,4,10,4,389,5,13,0,0,4,2,4,0,0,0,0,0,0,0,0,0,5,0.0,14,31,6,8,11,5,55.555555555556,0,80,159,2,1.3391,36,0,24,0.0
David,840291,Brasileirão Betano 2024,Brasileirão Betano,Vasco da Gama,6.8652173913043,23,4,2,0,3,2.11498519,348,454,76.651982378855,109,243,142,20,37,58.730158730159,21,9,5,0,1,4,26.666666666667,33,7,81,47.92899408284,18,51.428571428571,1604,12.121212121212,0,0,0,0,0,0,15,62.5,11,0,1,26,230,4,19,13,756,23,24,0,0,14,9,10,0,0,2,0,0,0,0,0,0,20,0.0,20,63,15,24,22,15,71.428571428571,1,135,334,0,1.8265,92,0,23,0.0
Adson,1105970,Brasileiro Serie A 2026,Brasileirão Betano,Vasco da Gama,6.5,2,0,0,0,0,0.01712991,19,22,86.363636363636,4,15,9,2,0,0.0,2,0,0,0,0,0,0.0,3,0,3,33.333333333333,0,0.0,54,0.0,0,0,0,0,0,0,2,100.0,0,0,0,1,8,0,2,2,38,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,3,1,2,0,2,100.0,0,4,18,0,0.0787,1,0,2,0.0
