İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented
Julien Duranville,1171540,Super League 25/26,Swiss Super League,Basel,6.6444444444444,9,1,1,4,1,0.87062132,74,89,83.14606741573,32,42,26,7,9,45.0,5,5,0,0,0,0,0.0,16,10,22,37.931034482759,0,0.0,395,6.25,0,0,0,0,0,0,3,75.0,2,0,0,17,73,2,8,4,205,8,1,1,0,7,0,3,0,0,0,0,0,0,0,0,0,5,0.0,7,20,7,4,11,4,80.0,0,37,52,0,2.2277,18,4,10,0.0
Ibrahim Salah,1386639,Super League 25/26,Swiss Super League,Basel,6.8181818181818,22,3,4,3,2,1.82871587,347,430,80.697674418605,124,223,143,17,24,63.157894736842,15,11,3,0,0,8,15.686274509804,34,14,50,50.505050505051,7,50.0,1062,8.8235294117647,0,0,0,0,0,0,19,61.290322580645,4,0,0,12,196,11,27,13,700,11,13,1,0,11,1,10,0,0,1,0,0,0,0,0,0,8,0.0,17,38,51,31,10,7,46.666666666667,0,145,285,1,3.4999,61,1,22,0.0
Ibrahim Salah,1386639,UEFA Europa League 25/26,UEFA Europa League,Basel,6.6,6,1,0,0,0,0.08452198,49,58,84.48275862069,18,31,19,1,2,25.0,1,1,1,0,0,2,28.571428571429,6,2,4,26.666666666667,0,0.0,155,16.666666666667,0,0,0,0,0,0,1,50.0,3,0,0,1,29,2,2,1,102,1,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,1,0.0,1,8,7,2,3,1,100.0,0,20,38,0,0.5081,9,0,6,0.0
Albian Ajeti,282247,Super League 25/26,Swiss Super League,Basel,6.325,28,3,0,16,0,0.56386893,178,262,67.93893129771,59,119,75,9,10,50.0,5,5,3,0,0,0,0.0,58,18,36,37.894736842105,34,39.080459770115,1411,5.1724137931034,0,0,1,1,0,0,5,55.555555555556,7,0,0,14,160,10,8,8,489,22,28,2,0,10,10,11,0,0,0,0,0,0,0,0,0,15,0.0,9,20,1,9,17,3,60.0,0,71,191,0,9.1253,35,0,28,0.0
Albian Ajeti,282247,Super League 24/25,Swiss Super League,Basel,6.9633333333333,30,10,6,12,6,0.0,237,326,72.699386503067,69,169,116,20,8,32.0,16,6,1,1,2,1,100.0,61,24,48,43.636363636364,29,40.845070422535,1437,16.393442622951,0,0,0,0,0,0,7,58.333333333333,7,0,0,20,177,10,10,3,590,24,21,0,0,8,12,17,0,0,3,0,0,0,0,0,0,16,0.0,20,25,1,12,19,13,81.25,1,77,250,2,0.0,42,0,30,0.0
Albian Ajeti,282247,Super League 23/24,Swiss Super League,Basel,6.76,5,1,0,1,1,0.0,35,44,79.545454545455,11,24,15,2,1,50.0,1,0,0,0,0,0,0.0,6,2,6,30.0,0,0.0,183,16.666666666667,0,0,0,0,0,0,0,0.0,0,0,0,9,24,0,1,1,80,4,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0.0,2,2,0,0,0,1,100.0,0,11,33,0,0.0,6,0,5,0.0
Albian Ajeti,282247,UEFA Europa League 25/26,UEFA Europa League,Basel,6.4142857142857,7,1,0,1,0,0.05983315,52,75,69.333333333333,21,31,19,1,3,60.0,2,3,2,0,0,0,0.0,9,3,7,26.923076923077,11,37.931034482759,426,11.111111111111,0,0,0,0,0,0,3,100.0,2,0,0,8,50,8,3,2,142,2,7,0,0,3,1,2,0,0,0,0,0,0,0,0,0,4,0.0,1,5,0,3,5,2,100.0,0,25,50,0,1.1902,15,1,7,0.0
Moritz Broschinski,924205,Super League 25/26,Swiss Super League,Basel,6.4,17,1,1,3,0,0.32990417,57,80,71.25,15,42,28,9,2,25.0,0,0,2,0,0,0,0.0,16,5,10,23.255813953488,9,31.034482758621,520,6.25,0,0,0,0,0,0,1,100.0,3,0,0,13,66,4,1,1,168,8,12,0,0,2,8,8,0,0,0,0,0,0,0,0,0,5,0.0,9,8,0,1,10,0,0.0,0,16,64,0,1.8322,10,1,17,0.0
Moritz Broschinski,924205,UEFA Europa League 25/26,UEFA Europa League,Basel,6.2166666666667,6,0,0,1,0,0.14329978,27,35,77.142857142857,6,21,16,7,0,0.0,1,0,0,0,0,0,0.0,4,1,2,13.333333333333,4,44.444444444444,203,0.0,0,0,0,0,0,0,0,0.0,0,0,0,3,26,1,1,1,67,1,4,0,0,1,2,2,0,0,0,0,0,0,0,0,0,2,0.0,7,5,1,0,4,1,100.0,0,6,29,0,1.0148,4,0,6,0.0
Kaio Eduardo,1633802,Super League 25/26,Swiss Super League,Basel,6.0666666666667,3,0,0,0,0,0.15781334,7,13,53.846153846154,3,4,3,1,0,0.0,0,0,1,0,0,0,0.0,1,1,2,22.222222222222,2,33.333333333333,87,0.0,0,0,0,0,0,0,1,100.0,0,0,0,2,12,0,0,0,23,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,1,0,1,2,0,0.0,0,4,9,0,0.0882,1,0,3,0.0
