İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented
Georgios Koutsias,999237,Super League 25/26,Swiss Super League,FC Lugano,6.652,25,4,4,2,2,0.3937936,227,284,79.929577464789,109,118,64,12,12,50.0,5,3,3,0,0,0,0.0,21,8,33,47.142857142857,34,45.333333333333,1208,19.047619047619,0,0,0,0,0,0,8,88.888888888889,14,0,1,10,110,8,7,5,438,16,10,0,0,7,6,6,0,0,0,0,0,0,0,0,0,12,0.0,12,24,1,9,17,4,80.0,0,125,159,1,3.736,32,1,25,0.0
Georgios Koutsias,999237,Super League 24/25,Swiss Super League,FC Lugano,6.82,20,6,3,10,0,0.0,208,277,75.090252707581,113,97,54,12,14,70.0,6,1,2,0,0,2,50.0,40,23,31,51.666666666667,25,39.68253968254,1241,15.0,0,0,0,0,0,0,8,72.727272727273,12,0,0,11,126,8,8,6,449,11,10,1,0,5,15,12,0,0,0,0,0,0,0,0,0,14,0.0,12,20,4,11,24,4,66.666666666667,0,133,148,1,0.0,31,0,20,0.0
Kevin Behrens,164171,Super League 25/26,Swiss Super League,FC Lugano,6.9892857142857,28,11,3,10,1,1.99683853,293,432,67.824074074074,117,176,113,25,3,30.0,6,6,3,0,0,0,0.0,51,24,38,36.538461538462,100,64.516129032258,1938,21.56862745098,0,0,1,0,0,0,7,53.846153846154,35,0,1,28,236,12,9,5,712,30,30,1,0,5,21,7,0,0,3,0,0,0,0,0,0,23,0.0,25,10,6,13,23,5,83.333333333333,0,147,285,2,9.6094,33,2,28,0.0
Renato Steffen,243049,Super League 25/26,Swiss Super League,FC Lugano,7.0541666666667,24,5,4,5,3,3.79097563,555,679,81.737849779087,240,315,175,36,14,46.666666666667,22,3,2,1,1,17,30.909090909091,26,12,68,52.713178294574,13,37.142857142857,1620,19.230769230769,0,0,0,0,1,1,46,74.193548387097,8,0,2,14,229,10,83,56,957,32,20,1,0,12,9,5,1,0,0,0,0,0,0,0,0,18,100.0,35,30,55,62,24,18,81.818181818182,0,271,408,3,4.8034,61,1,24,0.0
Renato Steffen,243049,Super League 24/25,Swiss Super League,FC Lugano,7.4461538461538,26,7,14,7,5,0.0,708,885,80.0,259,482,269,60,22,52.380952380952,22,8,7,0,0,33,27.272727272727,34,13,87,50.877192982456,16,35.555555555556,1955,20.588235294118,1,1,0,0,0,0,53,71.621621621622,10,0,1,33,359,19,107,61,1326,43,24,2,0,11,6,7,0,0,4,0,0,0,0,0,0,21,0.0,60,42,121,74,34,19,86.363636363636,0,290,716,7,0.0,97,0,26,0.0
Renato Steffen,243049,Super League 23/24,Swiss Super League,FC Lugano,7.3838709677419,31,6,14,3,13,0.0,757,942,80.36093418259,266,545,279,78,30,49.180327868852,23,14,4,0,0,54,35.294117647059,37,15,102,50.246305418719,14,41.176470588235,2298,16.216216216216,1,0,1,0,3,0,59,68.604651162791,5,0,0,30,402,10,99,57,1441,51,25,0,0,16,7,8,0,0,4,0,0,0,0,0,0,25,0.0,78,61,153,86,31,16,69.565217391304,0,298,797,11,0.0,97,0,31,0.0
Mattia Bottani,70143,Super League 25/26,Swiss Super League,FC Lugano,6.5266666666667,15,0,0,0,0,0.37744858,126,165,76.363636363636,47,79,57,7,4,36.363636363636,5,1,2,0,0,2,15.384615384615,6,1,18,48.648648648649,5,41.666666666667,416,0.0,0,0,0,0,0,0,5,55.555555555556,3,0,0,3,74,1,8,5,239,9,6,1,0,3,3,3,0,0,0,0,0,0,0,0,0,4,0.0,7,11,13,9,5,4,80.0,0,60,105,0,0.548,21,0,15,0.0
Mattia Bottani,70143,Super League 24/25,Swiss Super League,FC Lugano,6.7074074074074,27,2,2,3,0,0.0,427,533,80.112570356473,136,299,177,21,27,39.130434782609,21,5,6,0,0,8,29.62962962963,31,11,65,40.123456790123,6,31.578947368421,1400,6.4516129032258,0,0,0,1,1,0,11,44.0,1,0,0,27,242,7,26,11,838,17,16,2,0,12,5,10,0,0,0,0,0,0,0,0,0,16,0.0,21,69,27,25,21,10,47.619047619048,0,164,396,0,0.0,78,0,27,0.0
Mattia Bottani,70143,Super League 23/24,Swiss Super League,FC Lugano,6.9666666666667,21,1,3,2,4,0.0,398,483,82.4016563147,130,275,169,23,25,53.191489361702,11,4,2,0,0,7,35.0,22,7,53,44.915254237288,3,21.428571428571,1111,4.5454545454545,0,0,1,0,0,0,12,60.0,2,0,0,23,178,9,30,18,700,17,10,1,0,11,2,9,0,0,0,0,0,0,0,0,0,14,0.0,23,47,20,20,18,6,54.545454545455,0,147,356,2,0.0,60,0,21,0.0
Ahmed Kendouci,1018588,Super League 25/26,Swiss Super League,FC Lugano,6.6666666666667,6,0,0,0,0,0.06085535,89,96,92.708333333333,55,34,10,0,1,25.0,6,0,1,0,0,0,0.0,0,0,8,57.142857142857,0,0.0,173,0.0,0,0,0,1,0,0,5,83.333333333333,2,0,1,0,17,0,10,9,123,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,4,0,6,2,3,50.0,0,57,39,0,0.0,13,1,7,0.0
