İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented
Federico Viñas,976104,LaLiga 25/26,LaLiga,Real Oviedo,6.9346153846154,26,7,4,9,1,1.71410923,273,391,69.820971867008,101,172,96,21,36,67.924528301887,39,11,3,2,3,1,50.0,42,19,133,57.575757575758,73,46.20253164557,1854,16.666666666667,2,2,1,0,1,0,10,66.666666666667,19,0,1,40,249,5,9,4,806,59,36,0,0,10,8,6,0,0,3,0,0,0,0,0,0,21,0.0,21,53,2,15,29,27,69.230769230769,1,122,269,1,6.976,69,3,26,0.0
Thiago Borbas,1018547,LaLiga 25/26,LaLiga,Real Oviedo,6.52,5,0,0,1,0,0.01343949,16,24,66.666666666667,8,8,4,0,0,0.0,2,0,1,0,0,0,0.0,3,1,4,50.0,6,54.545454545455,85,0.0,0,0,0,0,0,0,1,50.0,3,0,0,2,13,0,0,0,44,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,3,0,0.0,0,10,14,0,0.3984,2,0,6,0.0
Álex Forés,1086128,LaLiga 25/26,LaLiga,Real Oviedo,6.4642857142857,14,0,0,2,1,0.04378832,37,54,68.518518518519,18,19,13,1,3,60.0,1,1,0,0,0,0,0.0,8,2,8,44.444444444444,2,25.0,311,0.0,0,0,0,0,0,0,0,0.0,0,0,0,2,34,1,0,0,101,4,3,0,0,3,1,3,0,0,0,0,0,0,0,0,0,2,0.0,1,5,2,2,7,0,0.0,0,25,29,0,1.2118,11,0,15,0.0
Santi Cazorla,17651,LaLiga 25/26,LaLiga,Real Oviedo,6.775,20,0,2,0,1,1.51239027,318,365,87.123287671233,122,196,102,18,7,53.846153846154,11,1,1,1,1,11,26.829268292683,7,1,31,60.78431372549,4,80.0,640,0.0,0,0,0,0,1,0,31,68.888888888889,6,0,1,3,111,3,40,27,507,13,5,1,0,8,0,1,0,0,0,0,0,0,0,0,0,4,0.0,18,13,41,45,12,6,54.545454545455,0,131,234,0,0.3601,43,1,21,0.0
Haissem Hassan,942836,LaLiga 25/26,LaLiga,Real Oviedo,6.8413793103448,29,0,2,2,3,2.90592603,325,405,80.246913580247,145,180,96,18,51,53.125,31,6,1,0,0,23,24.731182795699,30,7,95,51.075268817204,2,33.333333333333,1614,0.0,0,0,0,0,0,0,38,70.37037037037,9,1,0,13,270,13,47,24,811,13,9,1,0,24,3,9,0,0,0,0,0,0,0,0,0,17,0.0,18,96,93,54,27,20,64.516129032258,0,162,243,1,1.5087,63,0,29,0.0
Kwasi Sibo,905639,LaLiga 25/26,LaLiga,Real Oviedo,6.6142857142857,21,0,0,0,0,0.19075538,485,561,86.452762923351,295,190,68,3,3,75.0,28,12,3,0,0,0,0.0,8,2,35,42.682926829268,13,48.148148148148,1379,0.0,0,0,0,0,0,0,23,65.714285714286,27,0,3,12,100,3,17,9,711,4,23,1,0,12,0,3,0,0,2,0,0,0,0,0,0,17,0.0,3,4,0,35,23,17,60.714285714286,0,325,236,0,0.3251,67,6,21,0.0
Ilyas Chaira,1008037,LaLiga 25/26,LaLiga,Real Oviedo,6.5392857142857,28,4,3,6,1,1.06710099,420,500,84.0,182,238,145,12,24,28.571428571429,39,5,2,1,1,7,13.207547169811,56,24,86,36.134453781513,14,33.333333333333,1854,7.1428571428571,0,0,1,0,0,0,9,60.0,10,0,0,30,291,12,13,8,974,23,44,1,0,21,16,14,0,0,2,0,0,0,0,0,0,23,0.0,12,84,53,15,29,28,71.794871794872,0,207,293,0,5.2026,83,4,28,0.0
Leander Dendoncker,190405,LaLiga 25/26,LaLiga,Real Oviedo,6.7611111111111,18,1,0,1,0,0.46455553,477,554,86.101083032491,279,198,91,6,4,50.0,36,12,2,0,0,2,40.0,9,4,43,53.086419753086,23,54.761904761905,1339,11.111111111111,0,0,0,1,0,0,13,52.0,34,0,2,6,114,2,19,11,744,3,12,0,0,17,1,2,0,0,2,0,0,0,0,0,0,15,0.0,6,8,5,25,25,25,69.444444444444,0,308,246,1,0.8047,54,7,19,0.0
Thiago Fernández,1201412,LaLiga 25/26,LaLiga,Real Oviedo,6.6555555555556,9,0,3,0,3,1.64760782,90,108,83.333333333333,24,66,35,5,8,36.363636363636,7,3,2,0,0,2,16.666666666667,7,3,21,38.181818181818,1,14.285714285714,398,0.0,0,0,0,0,0,0,3,42.857142857143,1,1,0,11,72,0,8,4,215,6,4,1,0,5,1,0,0,0,0,0,0,0,0,0,0,4,0.0,5,22,12,7,11,3,42.857142857143,0,25,83,0,0.3546,20,0,9,0.0
Luka Ilić,885664,LaLiga 25/26,LaLiga,Real Oviedo,6.4444444444444,18,1,0,3,0,0.51986415,181,226,80.088495575221,80,101,52,3,3,25.0,10,5,2,0,1,1,14.285714285714,9,5,20,28.571428571429,6,42.857142857143,729,11.111111111111,0,0,0,0,0,0,11,52.380952380952,8,0,0,11,89,3,14,8,336,7,16,0,0,15,2,0,0,0,0,0,0,0,0,0,0,8,0.0,3,12,7,21,14,4,40.0,1,96,130,0,0.6924,30,3,18,0.0
Nicolas Fonseca,944629,LaLiga 25/26,LaLiga,Real Oviedo,6.7615384615385,13,0,0,0,0,0.26913229,285,340,83.823529411765,155,130,48,2,2,66.666666666667,27,10,4,0,0,1,33.333333333333,6,1,34,50.0,5,45.454545454545,600,0.0,0,0,0,0,0,0,35,63.636363636364,12,0,0,6,74,5,36,21,458,5,15,0,0,14,0,2,0,0,1,0,0,0,0,0,0,6,0.0,2,3,3,55,13,17,62.962962962963,0,174,166,0,0.2697,30,4,13,0.0
Santiago Colombatto,822379,LaLiga 25/26,LaLiga,Real Oviedo,6.775,24,0,3,0,1,1.52730129,655,770,85.064935064935,357,298,162,20,5,71.428571428571,36,14,6,0,0,14,26.415094339623,12,2,77,57.894736842105,9,40.909090909091,1666,0.0,0,0,0,0,1,0,32,49.230769230769,33,0,4,9,187,8,62,32,1050,36,36,0,0,12,1,3,0,0,4,0,0,0,0,0,0,18,0.0,20,7,53,65,26,17,47.222222222222,0,391,379,0,0.5038,81,6,25,0.0
Alberto Reina,882475,LaLiga 25/26,LaLiga,Real Oviedo,6.6586206896552,29,3,3,3,1,1.64642087,628,744,84.408602150538,302,326,171,24,11,52.380952380952,30,11,4,0,1,12,35.294117647059,16,7,72,52.554744525547,15,40.540540540541,1801,18.75,0,0,0,1,0,0,42,62.686567164179,12,0,4,18,192,9,60,32,1009,32,28,2,0,12,2,3,0,0,0,0,0,0,0,0,0,23,0.0,24,21,34,67,31,11,36.666666666667,1,325,419,0,2.5176,66,4,29,0.0
Ovie Ejaria,845025,LaLiga 25/26,LaLiga,Real Oviedo,6.6571428571429,7,0,0,0,0,0.39773399,82,94,87.234042553191,26,56,29,1,2,50.0,4,2,1,0,0,0,0.0,3,1,10,43.478260869565,7,53.846153846154,177,0.0,0,0,0,0,0,0,2,50.0,3,0,0,4,22,2,2,0,130,5,3,0,0,4,1,1,0,0,0,0,0,0,0,0,0,2,0.0,1,4,0,4,3,3,75.0,0,29,65,0,0.1386,7,0,7,0.0
Pablo Agudín,1587199,LaLiga 25/26,LaLiga,Real Oviedo,6.36,5,0,0,0,0,0.00134307,8,15,53.333333333333,4,4,1,0,1,100.0,1,0,0,0,0,0,0.0,2,0,3,27.272727272727,2,100.0,81,0.0,0,0,0,1,0,0,0,0.0,2,0,0,3,19,1,3,1,42,1,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,1,2,0,0.0,0,7,8,0,0.0352,6,0,5,0.0
Eric Bailly,606346,LaLiga 25/26,LaLiga,Real Oviedo,6.98,10,1,0,0,0,0.197908,348,414,84.057971014493,259,89,23,1,3,75.0,7,10,3,0,0,0,0.0,4,1,16,55.172413793103,31,65.957446808511,864,25.0,0,0,0,0,0,0,23,37.704918032787,56,0,0,2,76,1,37,17,538,6,12,0,0,0,0,1,0,0,3,0,0,0,0,0,0,10,0.0,1,4,1,61,16,5,71.428571428571,0,275,139,0,0.2877,35,12,10,0.0
Abdel Rahim,1120504,LaLiga 25/26,LaLiga,Real Oviedo,6.65,20,0,2,0,0,0.80833953,494,612,80.718954248366,268,226,110,14,7,43.75,31,24,1,0,0,10,16.949152542373,2,0,44,61.971830985915,18,64.285714285714,1448,0.0,0,0,0,0,0,0,20,40.816326530612,63,1,1,4,238,1,25,10,1058,6,7,0,0,7,8,2,0,0,3,0,0,0,0,0,0,15,0.0,14,16,59,49,27,16,51.612903225806,0,318,294,0,0.0414,70,6,21,0.0
