İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented
Kepa Arrizabalaga,232422,Premier League 24/25,Premier League,Bournemouth,7.1387096774194,31,0,0,0,0,0.04625512,634,901,70.366259711432,528,106,26,1,1,100.0,1,0,3,0,0,0,0.0,1,0,7,63.636363636364,8,88.888888888889,2790,0.0,0,0,0,2,0,0,175,40.137614678899,36,1,2,0,275,0,74,45,1197,6,2,0,0,2,0,0,0,97,8,0,21,20,18,18,0,31,0.0,1,1,0,436,39,0,0.0,0,579,322,1,0.061,250,0,31,2.1435
Antoine Semenyo,934354,Premier League 24/25,Premier League,Bournemouth,7.1945945945946,37,11,11,12,5,4.34677849,780,997,78.234704112337,182,606,383,46,69,54.761904761905,55,11,9,0,0,8,13.559322033898,125,41,160,40.816326530612,67,46.527777777778,3209,8.8,0,0,1,0,0,0,20,36.363636363636,34,1,1,77,525,37,28,14,1849,37,73,5,0,27,15,44,0,0,6,0,0,0,0,0,0,36,0.0,46,126,59,55,41,35,63.636363636364,0,223,833,3,9.9787,158,0,37,0.0
Antoine Semenyo,934354,Premier League 23/24,Premier League,Bournemouth,6.8939393939394,33,8,6,5,2,2.33277276,436,587,74.27597955707,128,316,193,29,50,47.619047619048,24,6,6,0,0,8,17.777777777778,70,31,98,36.842105263158,52,39.097744360902,2119,11.428571428571,0,0,1,0,0,0,15,45.454545454545,20,0,0,53,373,16,13,9,1132,24,43,1,0,18,3,20,0,0,2,0,0,0,0,0,0,25,0.0,29,105,45,33,33,17,70.833333333333,0,157,475,0,4.6425,111,2,33,0.0
Miloš Kerkez,1097425,Premier League 24/25,Premier League,Bournemouth,7.0552631578947,38,2,8,0,5,2.57627484,1086,1350,80.444444444444,448,677,345,37,22,56.410256410256,52,45,4,0,0,39,27.464788732394,19,5,124,59.903381642512,28,36.363636363636,3342,10.526315789474,0,0,0,0,0,0,44,29.530201342282,99,1,3,22,527,11,92,35,2264,50,30,1,0,14,3,8,1,0,9,0,0,0,0,0,0,38,0.0,36,39,142,149,45,26,50.0,0,512,980,1,0.5867,169,0,38,0.0
Miloš Kerkez,1097425,Premier League 23/24,Premier League,Bournemouth,6.7321428571429,28,0,3,2,1,1.02754975,484,627,77.19298245614,213,282,148,12,12,50.0,47,20,4,1,1,11,20.0,16,5,80,58.823529411765,18,36.0,1983,0.0,0,0,1,0,0,0,22,32.352941176471,56,1,1,10,283,11,43,19,1144,21,25,1,1,12,1,5,0,0,2,0,0,0,0,0,0,22,0.0,12,24,55,68,37,26,55.31914893617,0,265,417,0,1.206,93,11,28,0.0
Dango Ouattara,1106451,Premier League 24/25,Premier League,Bournemouth,7.090625,32,7,10,12,4,3.2854302,326,495,65.858585858586,95,248,152,35,39,53.424657534247,35,11,3,0,0,17,19.318181818182,62,20,92,46.938775510204,46,41.818181818182,2012,11.290322580645,0,0,0,0,1,0,9,24.324324324324,48,0,0,32,386,26,23,8,1051,19,16,3,0,24,14,14,0,0,2,0,0,0,0,0,0,21,0.0,35,73,88,37,23,26,74.285714285714,0,135,448,1,8.3646,92,0,32,0.0
Dango Ouattara,1106451,Premier League 23/24,Premier League,Bournemouth,6.8827586206897,29,1,1,2,2,1.40642727,303,448,67.633928571429,125,186,108,17,21,51.219512195122,45,22,3,0,0,8,22.222222222222,30,7,83,58.86524822695,35,52.238805970149,1234,3.3333333333333,0,0,0,0,0,0,17,36.95652173913,33,0,0,12,248,8,21,7,849,17,15,0,0,15,4,10,0,0,2,0,0,0,0,0,0,12,0.0,17,41,36,46,24,27,60.0,0,167,317,1,2.5991,69,3,30,0.0
Mark Travers,856720,Premier League 24/25,Premier League,Bournemouth,7.62,5,0,0,0,0,0.01039282,71,113,62.83185840708,44,27,9,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,100.0,1,100.0,450,0.0,0,0,0,0,0,0,34,45.333333333333,9,0,0,0,42,0,0,0,175,1,0,0,0,0,0,0,0,20,1,0,4,3,3,1,0,5,0.0,0,0,0,75,5,0,0.0,0,49,64,1,0.0,35,0,5,4.4786
Mark Travers,856720,Premier League 23/24,Premier League,Bournemouth,7.175,4,0,0,0,0,0.00529414,54,105,51.428571428571,33,21,7,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,50.0,2,100.0,360,0.0,0,0,0,1,0,0,23,31.081081081081,4,0,0,0,51,0,5,1,139,1,1,0,0,0,0,0,0,13,2,0,2,2,2,3,0,4,0.0,0,0,0,74,5,0,0.0,0,37,68,0,0.0,27,0,4,0.0702
Amine Adli,991478,Premier League 25/26,Premier League,Bournemouth,6.7846153846154,26,3,1,3,1,1.58659656,299,389,76.863753213368,112,187,119,15,8,38.095238095238,34,6,2,0,0,2,5.0,19,9,64,54.700854700855,26,50.0,1050,15.789473684211,0,0,1,0,1,0,2,20.0,17,0,0,9,171,5,12,7,635,22,26,1,0,7,4,5,0,0,0,0,0,0,0,0,0,10,0.0,15,21,40,10,16,15,44.117647058824,0,131,258,1,2.5398,59,2,27,0.0
