İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented
Eberechi Eze,864921,Premier League 24/25,Premier League,Crystal Palace,7.2823529411765,34,8,11,8,8,4.67777189,745,914,81.509846827133,334,440,239,59,67,51.937984496124,39,11,1,0,0,29,25.892857142857,102,29,157,53.040540540541,7,15.909090909091,2600,7.843137254902,2,1,0,0,16,0,36,55.384615384615,8,0,3,45,437,18,100,50,1586,51,13,5,0,19,9,41,1,0,2,0,0,0,0,0,0,31,0.0,58,129,112,65,34,22,56.410256410256,0,360,666,2,10.4976,146,0,34,0.0
Eberechi Eze,864921,Premier League 23/24,Premier League,Crystal Palace,7.5807692307692,26,11,7,5,4,5.55498772,662,791,83.691529709229,239,458,265,54,69,51.87969924812,35,11,3,0,0,35,32.710280373832,83,34,152,50.0,12,33.333333333333,2065,13.253012048193,1,1,1,1,12,1,27,69.230769230769,4,0,0,48,405,32,45,22,1442,48,27,0,0,16,11,28,0,0,2,0,0,0,0,0,0,24,8.3333333333333,54,133,107,39,28,17,48.571428571429,0,262,636,5,9.1243,135,2,27,0.0
Marc Guéhi,877994,Premier League 24/25,Premier League,Crystal Palace,7.0970588235294,34,3,5,2,2,2.00863202,1465,1741,84.147041929925,917,551,202,16,12,85.714285714286,61,28,7,0,1,3,23.076923076923,15,7,99,63.461538461538,69,53.90625,3060,20.0,0,0,0,0,0,0,113,45.748987854251,156,0,2,18,331,4,162,86,2206,27,24,0,3,16,1,6,0,0,11,0,0,0,0,0,0,34,0.0,16,14,13,247,42,34,55.737704918033,1,1022,732,5,1.9797,146,0,34,0.0
Marc Guéhi,877994,Premier League 23/24,Premier League,Crystal Palace,6.872,25,0,1,0,1,0.98541187,1133,1299,87.220939183988,759,374,134,8,7,63.636363636364,28,18,2,0,0,0,0.0,5,0,61,67.032967032967,29,50.0,2022,0.0,0,0,0,0,0,0,85,48.022598870056,88,1,0,2,186,0,138,66,1540,26,14,0,0,10,0,1,1,0,4,0,0,0,0,0,0,23,0.0,7,11,3,177,32,19,67.857142857143,0,815,487,0,0.6562,120,17,25,0.0
Joachim Andersen,362682,Premier League 23/24,Premier League,Crystal Palace,7.0184210526316,38,2,5,3,3,2.31653415,1713,2155,79.489559164733,1104,619,236,20,14,70.0,56,41,7,0,0,10,32.258064516129,21,8,91,60.264900662252,91,65.942028985507,3416,9.5238095238095,0,0,0,0,1,0,202,42.436974789916,202,1,0,6,501,2,305,149,2673,23,43,0,0,10,1,5,0,0,8,0,0,0,0,0,0,38,0.0,20,20,31,476,58,35,62.5,0,1223,963,3,1.6807,193,18,38,0.0
Ismaïla Sarr,845286,Premier League 25/26,Premier League,Crystal Palace,6.895,20,7,3,6,1,0.66416741,270,378,71.428571428571,83,187,108,14,10,37.037037037037,17,8,2,0,0,1,6.25,34,14,62,48.062015503876,21,28.767123287671,1730,20.588235294118,2,2,1,0,0,0,7,43.75,25,0,2,37,219,8,18,6,701,35,11,2,0,6,12,7,0,0,7,0,0,0,0,0,0,20,0.0,14,27,16,16,19,9,52.941176470588,0,106,272,1,7.9698,62,3,20,0.0
Ismaïla Sarr,845286,Premier League 24/25,Premier League,Crystal Palace,7.0657894736842,38,8,17,17,6,6.73534459,476,680,70.0,144,345,215,46,17,32.692307692308,22,9,4,0,0,13,23.636363636364,59,29,95,46.79802955665,37,41.573033707865,2719,13.559322033898,0,0,1,0,0,0,10,37.037037037037,38,0,0,43,404,13,29,18,1198,56,14,2,0,17,11,10,2,0,3,0,0,0,0,0,0,30,0.0,44,52,55,27,39,10,45.454545454545,0,197,538,1,10.7218,113,0,38,0.0
Brennan Johnson,1085180,Premier League 25/26,Premier League,Crystal Palace,6.6185185185185,27,2,1,1,1,0.91170525,183,277,66.064981949458,65,118,70,14,6,30.0,20,3,5,0,0,12,23.529411764706,17,5,34,44.155844155844,12,54.545454545455,1261,11.764705882353,0,0,0,0,1,0,8,22.857142857143,22,0,1,8,183,8,20,10,505,9,13,0,0,10,11,5,0,0,2,0,0,0,0,0,0,13,0.0,14,20,51,35,13,14,70.0,0,88,189,0,1.8356,37,1,27,0.0
Jean-Philippe Mateta,848276,Premier League 25/26,Premier League,Crystal Palace,6.7125,24,8,2,17,0,1.24703171,175,279,62.724014336918,65,110,57,6,14,46.666666666667,8,5,2,0,0,4,50.0,55,26,37,33.035714285714,58,41.428571428571,1944,14.545454545455,3,3,1,0,0,0,11,61.111111111111,41,0,1,36,219,12,12,6,595,15,17,1,0,9,16,7,0,0,5,0,0,0,0,0,0,23,0.0,6,30,8,18,23,4,50.0,0,76,203,1,12.0786,52,5,24,0.0
Jean-Philippe Mateta,848276,Premier League 24/25,Premier League,Crystal Palace,6.9243243243243,37,14,7,19,2,2.26730738,286,420,68.095238095238,82,209,121,29,20,47.619047619048,18,2,2,0,0,5,19.230769230769,70,33,65,37.790697674419,64,37.426900584795,2654,20.0,2,2,0,0,0,0,5,38.461538461538,22,0,0,45,297,20,18,9,835,28,27,2,0,13,21,17,0,0,4,0,0,0,0,0,0,33,0.0,29,42,26,13,37,12,66.666666666667,0,103,343,1,13.5332,68,0,37,0.0
Jean-Philippe Mateta,848276,Premier League 23/24,Premier League,Crystal Palace,7.0257142857143,35,16,5,7,5,1.34324053,305,413,73.849878934625,88,221,133,32,25,40.983606557377,22,4,3,0,0,4,20.0,46,29,69,31.081081081081,50,42.372881355932,2305,34.782608695652,2,2,2,0,0,0,8,80.0,14,0,0,78,328,30,9,7,845,22,35,0,0,4,24,7,0,0,4,0,0,0,0,0,0,25,0.0,32,61,20,10,44,15,68.181818181818,0,108,325,3,10.9376,81,4,35,0.0
