İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented
Amadou Onana,923973,Premier League 23/24,Premier League,Everton,7.06,30,2,4,1,0,1.37201603,869,1023,84.94623655914,390,480,246,18,12,60.0,71,21,5,0,0,1,33.333333333333,29,6,127,63.18407960199,53,73.611111111111,2090,6.8965517241379,0,0,0,1,0,0,61,70.93023255814,30,0,0,10,205,17,83,52,1363,45,37,0,0,21,1,8,0,0,5,0,0,0,0,0,0,23,0.0,18,20,3,86,38,38,53.521126760563,0,432,594,0,2.0091,160,6,30,0.0
Tyrique George,1403061,Premier League 25/26,Premier League,Everton,6.45,8,0,0,1,0,0.12434987,54,70,77.142857142857,17,37,27,0,3,42.857142857143,2,1,2,0,0,2,66.666666666667,5,3,6,23.076923076923,1,50.0,264,0.0,0,0,0,0,0,0,0,0.0,0,0,1,7,38,4,3,1,114,1,8,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0.0,0,7,3,4,4,2,100.0,0,21,49,0,0.4435,9,0,9,0.0
Thierno Barry,1395746,Premier League 25/26,Premier League,Everton,6.4838709677419,31,6,2,9,0,0.40212842,189,313,60.38338658147,59,130,76,9,8,30.769230769231,3,5,3,0,0,1,33.333333333333,32,10,18,18.75,110,46.02510460251,1662,18.75,0,0,0,0,0,0,1,33.333333333333,20,0,0,18,238,8,4,1,583,7,37,1,0,10,11,7,0,0,0,0,0,0,0,0,0,19,0.0,9,26,3,3,24,2,66.666666666667,0,86,227,0,6.1423,28,2,31,0.0
Beto,987489,Premier League 25/26,Premier League,Everton,6.58,30,6,1,8,1,0.20447977,102,169,60.355029585799,37,65,40,8,11,30.555555555556,14,1,2,0,0,0,0.0,32,13,36,33.333333333333,79,46.198830409357,1241,18.75,0,0,0,0,0,0,0,0.0,32,0,1,21,180,7,2,1,449,11,28,1,0,2,7,8,0,0,0,0,0,0,0,0,0,12,0.0,8,36,2,0,14,3,21.428571428571,0,54,115,2,7.1656,25,2,31,0.0
Beto,987489,Premier League 24/25,Premier League,Everton,6.8033333333333,30,8,2,12,0,0.46924525,155,264,58.712121212121,67,89,53,12,19,52.777777777778,14,4,2,0,0,1,25.0,49,23,56,38.356164383562,99,48.529411764706,1541,16.326530612245,0,0,0,0,0,0,3,37.5,24,1,0,37,244,10,3,1,601,23,33,2,0,3,16,8,0,0,1,0,0,0,0,0,0,15,0.0,12,36,4,8,24,6,42.857142857143,0,87,181,1,7.8648,40,0,30,0.0
Beto,987489,Premier League 23/24,Premier League,Everton,6.7321428571429,28,3,3,8,0,0.31663987,107,174,61.494252873563,28,79,51,11,15,46.875,14,1,2,0,0,0,0.0,43,13,48,42.105263157895,47,45.192307692308,973,6.9767441860465,1,0,0,0,0,0,6,75.0,13,0,0,22,158,15,11,7,427,19,21,0,0,8,10,4,0,0,0,0,0,0,0,0,0,9,0.0,11,32,5,8,20,6,42.857142857143,0,34,145,0,6.7901,36,0,30,0.0
Iliman Ndiaye,914309,Premier League 25/26,Premier League,Everton,6.96,25,6,6,1,3,4.17730815,640,765,83.660130718954,226,414,252,23,55,52.884615384615,57,12,2,0,0,7,16.279069767442,31,16,144,48.979591836735,10,27.777777777778,2156,19.354838709677,2,2,0,0,0,0,6,31.578947368421,15,0,1,53,335,21,6,2,1274,32,26,2,0,22,9,8,0,0,5,0,0,0,0,0,0,25,0.0,23,104,43,19,29,36,63.157894736842,0,248,517,0,5.08,149,2,25,0.0
Iliman Ndiaye,914309,Premier League 24/25,Premier League,Everton,7.0393939393939,33,9,3,3,0,1.35183541,587,691,84.949348769899,213,384,219,18,68,51.515151515152,53,20,3,0,0,10,26.315789473684,37,18,171,52.134146341463,8,29.62962962963,2440,24.324324324324,2,2,0,0,0,0,15,68.181818181818,15,1,0,44,305,16,15,8,1246,52,24,0,0,27,5,10,0,0,7,0,0,0,0,0,0,29,0.0,18,132,38,22,24,28,52.830188679245,0,241,488,1,6.2444,172,0,33,0.0
Jack Grealish,189061,Premier League 25/26,Premier League,Everton,7.23,20,2,5,4,6,3.56887946,482,573,84.118673647469,135,347,238,40,23,40.350877192982,21,12,3,0,1,10,25.641025641026,26,8,102,54.545454545455,4,17.391304347826,1631,7.6923076923077,0,0,0,0,0,0,18,56.25,11,0,2,30,227,16,29,18,932,58,13,1,0,10,0,12,2,0,5,0,0,0,0,0,0,18,0.0,38,57,39,32,23,15,71.428571428571,1,157,416,3,2.1457,87,6,20,0.0
Idrissa Gueye,106337,Premier League 25/26,Premier League,Everton,6.8227272727273,22,2,1,0,2,1.02784436,831,953,87.198321091291,344,487,237,12,6,31.578947368421,42,27,1,1,1,4,22.222222222222,26,6,75,58.139534883721,13,61.904761904762,1851,7.6923076923077,0,0,0,0,0,0,18,45.0,18,0,2,8,181,4,32,18,1222,27,18,2,0,16,0,10,0,0,4,0,0,0,0,0,0,22,0.0,12,19,18,40,22,19,45.238095238095,0,384,569,0,1.4961,103,7,22,0.0
