İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented
Bryan Mbeumo,927083,Premier League 25/26,Premier League,Manchester United,6.8807692307692,26,9,5,10,3,4.31965464,548,695,78.848920863309,168,380,254,40,14,30.434782608696,23,7,4,0,0,30,33.707865168539,60,30,63,41.176470588235,11,14.102564102564,2196,15.0,0,0,1,0,0,0,13,50.0,12,0,1,26,350,19,27,13,1149,26,20,1,0,12,7,8,0,0,0,0,0,0,0,0,0,26,0.0,40,46,89,26,33,10,43.478260869565,0,194,501,2,8.1948,75,1,26,0.0
Amad Diallo,971037,Premier League 25/26,Premier League,Manchester United,6.96,25,2,5,4,2,3.5401729,691,782,88.363171355499,245,446,281,38,36,52.173913043478,33,15,2,0,0,10,25.0,43,17,102,53.968253968254,9,36.0,1919,4.6511627906977,0,0,1,0,0,0,22,68.75,25,0,0,21,229,9,23,13,1222,33,17,1,0,17,11,14,0,0,3,0,0,0,0,0,0,22,0.0,38,69,40,32,27,21,63.636363636364,0,268,514,0,4.6861,100,1,25,0.0
Amad Diallo,971037,Premier League 24/25,Premier League,Manchester United,7.4153846153846,26,8,7,1,6,4.17759302,734,854,85.948477751756,297,456,295,49,41,48.809523809524,38,11,5,0,0,19,45.238095238095,47,17,107,49.082568807339,10,40.0,1908,17.021276595745,0,0,2,0,0,0,13,48.148148148148,16,0,1,35,282,29,36,17,1319,28,21,0,0,13,9,20,0,0,5,0,0,0,0,0,0,20,0.0,49,84,42,27,30,31,81.578947368421,0,331,565,4,4.685,109,0,26,0.0
Amad Diallo,971037,Premier League 23/24,Premier League,Manchester United,6.9444444444444,9,1,1,0,1,0.48309135,147,167,88.023952095808,41,106,51,10,11,52.380952380952,10,1,1,0,0,0,0.0,10,4,25,43.103448275862,4,40.0,388,10.0,0,0,0,0,0,0,3,75.0,6,0,0,14,53,1,4,4,258,4,5,0,0,4,0,3,0,0,0,0,0,0,0,0,0,3,0.0,10,21,1,4,6,3,30.0,0,47,121,0,0.518,14,1,9,0.0
Amad Diallo,971037,UEFA Europa League 24/25,UEFA Europa League,Manchester United,7.19,10,2,3,1,1,1.42281914,239,273,87.545787545788,79,164,102,12,14,42.424242424242,13,2,1,0,0,4,20.0,18,7,41,51.898734177215,4,50.0,600,11.111111111111,0,0,0,0,0,0,4,50.0,1,0,0,8,93,7,9,4,430,14,4,0,0,8,2,9,0,0,0,0,0,0,0,0,0,6,0.0,12,33,20,8,6,9,69.230769230769,0,85,208,1,1.4418,35,0,11,0.0
Benjamin Šeško,986397,Premier League 25/26,Premier League,Manchester United,6.7230769230769,26,9,0,11,1,0.22880222,178,257,69.260700389105,67,111,51,8,6,25.0,5,3,2,0,0,0,0.0,53,28,15,21.12676056338,54,50.467289719626,1332,16.981132075472,0,0,0,0,0,0,4,80.0,14,0,0,24,158,4,9,5,470,4,15,3,0,2,5,8,0,0,1,0,0,0,0,0,0,13,0.0,8,24,2,5,26,3,60.0,0,81,176,1,7.1679,30,2,26,0.0
Matheus Cunha,886363,Premier League 25/26,Premier League,Manchester United,7.0607142857143,28,7,3,4,2,2.58521899,592,739,80.108254397835,199,393,239,27,38,45.78313253012,33,16,1,0,0,8,18.181818181818,72,29,118,48.559670781893,27,40.909090909091,2075,9.7222222222222,0,0,2,0,0,0,19,52.777777777778,17,0,0,47,356,17,35,19,1281,48,17,3,0,16,2,22,1,0,2,0,0,0,0,0,0,24,0.0,26,83,44,36,29,19,57.575757575758,0,233,506,2,5.9278,106,3,28,0.0
Joshua Zirkzee,917007,Premier League 25/26,Premier League,Manchester United,6.5333333333333,18,2,2,4,1,0.32748187,156,207,75.36231884058,65,91,40,10,5,62.5,8,1,1,0,0,2,40.0,21,7,17,43.589743589744,17,40.47619047619,550,9.5238095238095,0,0,0,0,0,0,2,40.0,8,0,0,10,99,2,6,4,331,4,8,0,0,1,1,5,0,0,0,0,0,0,0,0,0,4,0.0,10,8,5,5,8,5,62.5,0,79,128,0,2.3854,16,2,18,0.0
Joshua Zirkzee,917007,Premier League 24/25,Premier League,Manchester United,6.64375,32,3,4,7,1,1.07062974,292,405,72.098765432099,107,185,101,12,11,31.428571428571,14,6,2,0,0,0,0.0,28,11,36,34.615384615385,23,29.87012987013,1406,10.714285714286,0,0,1,0,0,0,6,54.545454545455,8,0,1,30,215,13,12,4,644,13,9,0,0,5,3,9,0,0,2,0,0,0,0,0,0,14,0.0,12,35,4,11,24,8,57.142857142857,0,137,272,0,4.8166,57,0,32,0.0
Joshua Zirkzee,917007,UEFA Europa League 24/25,UEFA Europa League,Manchester United,6.98,10,2,1,1,1,0.94940577,109,144,75.694444444444,49,60,38,7,7,70.0,3,2,1,0,0,0,0.0,15,5,18,46.153846153846,8,44.444444444444,533,13.333333333333,0,0,0,0,0,0,4,66.666666666667,5,0,0,8,67,1,4,4,242,8,9,0,0,2,0,5,0,0,0,0,0,0,0,0,0,6,0.0,7,10,1,6,6,3,100.0,0,62,83,0,1.7204,22,0,11,0.0
