İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented
Josep Martínez,845291,Serie A 23/24,Serie A,Genoa,7.0694444444444,36,0,0,0,0,0.066698,912,1317,69.248291571754,741,171,57,1,3,100.0,0,1,2,0,1,0,0.0,0,0,8,80.0,19,95.0,3240,0.0,0,0,0,1,0,0,297,43.548387096774,51,1,2,0,413,0,211,108,1638,11,2,0,0,0,0,0,0,88,8,1,30,17,17,39,1,36,0.0,1,3,0,682,43,0,0.0,1,827,490,0,0.0,311,0,36,-2.5326
Koni De Winter,1001828,Serie A 24/25,Serie A,Genoa,6.808,25,3,0,4,0,0.16762381,1070,1232,86.850649350649,801,271,67,3,6,35.294117647059,33,25,6,0,0,2,50.0,13,7,51,42.5,76,69.090909090909,2133,23.076923076923,0,0,0,2,0,0,41,45.555555555556,112,0,3,8,210,1,55,24,1590,14,43,0,0,8,1,0,0,0,7,0,0,0,0,0,0,23,0.0,3,17,4,90,33,19,57.575757575758,0,868,368,0,2.0846,114,0,25,0.0
Koni De Winter,1001828,Serie A 23/24,Serie A,Genoa,6.8,29,0,1,1,1,0.29235647,1084,1219,88.925348646432,755,329,114,5,7,77.777777777778,44,21,6,0,1,0,0.0,11,2,59,51.304347826087,61,59.803921568627,2379,0.0,0,0,0,1,0,0,33,47.142857142857,77,0,0,10,185,3,24,13,1545,11,37,0,0,10,0,0,0,0,4,0,0,0,0,0,0,26,0.0,5,9,5,70,29,25,56.818181818182,1,820,404,0,0.7887,120,0,29,0.0
Fabio Miretti,1010223,Serie A 24/25,Serie A,Genoa,6.812,25,3,4,3,3,2.1321117,395,493,80.121703853955,170,246,116,23,25,39.68253968254,28,7,2,0,0,21,34.426229508197,24,6,105,48.837209302326,12,34.285714285714,1694,12.5,0,0,0,0,1,0,19,41.304347826087,8,1,1,36,289,12,44,22,939,53,23,1,0,15,2,9,1,0,1,0,0,0,0,0,0,22,0.0,22,63,61,46,23,15,53.571428571429,0,195,359,1,3.1703,85,0,25,0.0
Lorenzo Venturino,1618563,Serie A 24/25,Serie A,Genoa,6.9,6,2,0,1,0,0.10180959,25,44,56.818181818182,9,18,6,3,4,66.666666666667,5,0,0,0,0,2,20.0,4,3,10,52.631578947368,1,50.0,163,50.0,0,0,0,0,0,0,1,33.333333333333,4,0,0,1,39,0,1,1,94,1,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0.0,3,6,10,3,2,3,60.0,0,17,37,1,0.9595,8,0,6,0.0
Honest Ahanor,1634980,Serie A 24/25,Serie A,Genoa,6.7333333333333,6,0,0,1,0,0.05780935,43,62,69.354838709677,20,24,6,2,0,0.0,7,1,0,0,0,1,25.0,3,1,15,68.181818181818,5,62.5,270,0.0,0,0,0,0,0,0,2,40.0,9,0,0,2,34,1,2,1,118,8,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0.0,2,0,4,5,7,5,71.428571428571,0,25,41,0,0.6195,14,0,6,0.0
Andrea Pinamonti,826198,Serie A 24/25,Serie A,Genoa,6.9472222222222,36,10,2,4,1,1.28241904,414,644,64.285714285714,200,218,107,15,11,47.826086956522,10,1,4,0,0,4,23.529411764706,79,30,61,46.923076923077,86,43.21608040201,2860,12.658227848101,1,0,0,0,2,0,12,44.444444444444,28,1,1,34,363,8,32,13,1040,43,21,4,0,6,16,20,0,0,6,0,0,0,0,0,0,33,0.0,15,23,17,27,39,6,60.0,0,246,415,5,7.8626,53,0,36,0.0
Alessandro Zanoli,922928,Serie A 24/25,Serie A,Genoa,6.6838709677419,31,1,0,0,0,1.10958189,287,399,71.929824561404,138,168,82,19,20,38.461538461538,29,12,3,0,0,19,29.230769230769,11,3,67,49.264705882353,20,51.282051282051,1714,9.0909090909091,0,0,0,0,0,0,8,25.806451612903,33,0,0,9,248,9,20,5,768,19,17,0,0,13,1,4,0,0,1,0,0,0,0,0,0,19,0.0,19,52,65,31,22,20,68.965517241379,0,171,293,1,0.4332,60,0,31,0.0
Lorenzo Colombo,930191,Serie A 25/26,Serie A,Genoa,6.541935483871,31,6,1,9,1,0.80012739,277,398,69.597989949749,94,183,101,14,16,39.024390243902,16,1,2,0,0,0,0.0,54,21,70,39.772727272727,51,32.692307692308,1910,11.111111111111,1,0,1,1,0,0,4,30.769230769231,19,0,0,42,275,11,13,3,781,41,35,1,0,10,1,12,0,0,0,0,0,0,0,0,0,24,0.0,14,41,14,13,28,11,68.75,0,122,276,0,6.8266,45,2,31,0.0
Vitinha,1093695,Serie A 25/26,Serie A,Genoa,6.7862068965517,29,5,5,6,1,1.90620243,203,312,65.064102564103,60,143,84,15,30,32.608695652174,28,11,4,0,0,13,23.214285714286,54,16,113,45.019920318725,54,44.628099173554,1811,9.2592592592593,0,0,1,0,1,0,9,37.5,26,1,0,33,334,14,15,7,835,55,29,1,0,17,12,22,0,0,0,0,0,0,0,0,0,23,0.0,15,92,56,24,29,22,78.571428571429,0,84,228,1,5.2815,79,4,29,0.0
Vitinha,1093695,Serie A 24/25,Serie A,Genoa,6.7166666666667,24,2,6,1,3,2.01775086,172,268,64.179104477612,73,111,60,16,22,34.375,23,12,2,0,0,12,26.666666666667,33,6,70,37.837837837838,31,51.666666666667,1337,6.0606060606061,0,0,0,0,1,0,7,36.842105263158,21,0,0,34,264,10,13,3,652,25,23,0,0,19,8,13,0,0,0,0,0,0,0,0,0,16,0.0,16,64,45,19,23,8,34.782608695652,0,95,218,0,1.6559,53,0,25,0.0
Vitinha,1093695,Serie A 23/24,Serie A,Genoa,6.8,9,2,0,0,0,0.20108205,29,47,61.702127659574,11,20,13,2,2,25.0,2,0,2,0,0,2,22.222222222222,14,5,12,38.709677419355,7,30.434782608696,300,14.285714285714,0,0,0,0,0,0,1,33.333333333333,2,0,0,3,51,6,2,2,124,8,10,0,0,1,2,4,0,0,1,0,0,0,0,0,0,2,0.0,2,8,9,3,4,2,100.0,0,13,43,0,1.1396,13,0,9,0.0
Maxwel Cornet,280439,Serie A 25/26,Serie A,Genoa,6.2333333333333,6,0,0,2,0,0.14495532,25,33,75.757575757576,6,19,11,5,0,0.0,5,0,0,0,0,2,16.666666666667,4,2,6,35.294117647059,3,42.857142857143,112,0.0,1,0,0,1,0,0,0,0.0,1,0,0,3,25,1,0,0,69,1,6,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,5,3,12,3,5,3,60.0,0,7,26,0,1.5371,4,0,7,0.0
Maxwel Cornet,280439,Serie A 24/25,Serie A,Genoa,6.8428571428571,7,2,3,1,1,0.69506126,46,62,74.193548387097,20,28,17,5,3,37.5,2,2,0,0,0,2,25.0,5,3,6,40.0,1,10.0,242,40.0,0,0,0,0,0,0,2,100.0,2,0,0,3,35,0,1,0,104,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0.0,5,8,8,2,4,1,50.0,0,22,48,0,1.0549,14,0,7,0.0
Junior Messias,888219,Serie A 25/26,Serie A,Genoa,7.00625,16,3,0,0,0,0.72252585,165,218,75.688073394495,49,116,79,4,19,54.285714285714,16,5,0,0,0,3,20.0,16,7,54,60.674157303371,11,42.307692307692,581,18.75,1,1,0,0,0,0,19,70.37037037037,12,0,0,10,118,6,18,12,408,19,8,0,0,2,0,4,0,0,0,0,0,0,0,0,0,5,0.0,4,35,15,27,6,7,43.75,0,63,155,1,1.6218,35,1,16,0.0
Junior Messias,888219,Serie A 24/25,Serie A,Genoa,6.7235294117647,17,1,1,2,1,0.63055048,140,205,68.292682926829,39,105,65,8,10,28.571428571429,13,6,1,0,0,4,18.181818181818,18,6,44,50.0,14,34.146341463415,851,5.5555555555556,1,0,0,0,1,0,11,57.894736842105,20,0,0,5,153,5,21,5,429,21,8,0,0,7,0,4,0,0,1,0,0,0,0,0,0,8,0.0,8,35,22,19,10,7,53.846153846154,0,55,172,0,2.3662,39,0,17,0.0
Junior Messias,888219,Serie A 23/24,Serie A,Genoa,6.9111111111111,18,1,2,1,0,1.23293064,230,299,76.923076923077,81,156,90,15,16,47.058823529412,26,5,0,0,0,7,29.166666666667,22,3,64,56.637168141593,15,38.461538461538,1070,4.5454545454545,0,0,0,0,1,0,12,48.0,20,0,0,13,151,7,25,13,540,22,7,1,0,11,5,6,0,0,1,0,0,0,0,0,0,13,0.0,15,34,24,25,12,20,76.923076923077,0,93,230,1,1.6373,54,0,18,0.0
Caleb Ekuban,309156,Serie A 25/26,Serie A,Genoa,6.6038461538462,26,3,1,2,1,0.79758197,95,136,69.852941176471,30,65,38,11,7,36.842105263158,3,5,0,0,0,1,16.666666666667,24,8,34,45.945945945946,20,46.511627906977,858,12.5,0,0,0,0,0,0,2,40.0,5,0,0,16,107,9,6,2,305,24,13,0,0,2,5,4,0,0,0,0,0,0,0,0,0,6,0.0,11,19,6,5,14,2,66.666666666667,0,35,101,0,2.8513,32,1,26,0.0
Caleb Ekuban,309156,Serie A 24/25,Serie A,Genoa,6.6666666666667,18,1,1,5,3,0.20932426,71,103,68.932038834951,17,55,33,8,3,30.0,3,1,1,0,0,1,33.333333333333,18,6,15,33.333333333333,12,38.709677419355,543,5.5555555555556,0,0,0,0,0,0,3,50.0,6,0,0,12,72,5,5,4,197,9,15,0,0,0,5,2,0,0,0,0,0,0,0,0,0,3,0.0,8,10,3,6,8,3,100.0,0,21,85,0,2.5137,20,0,18,0.0
Caleb Ekuban,309156,Serie A 23/24,Serie A,Genoa,6.8346153846154,26,4,4,4,1,0.7011739,138,207,66.666666666667,41,97,67,16,10,47.619047619048,8,1,0,0,0,0,0.0,27,12,45,49.450549450549,33,49.253731343284,1138,14.814814814815,0,0,1,0,0,0,7,63.636363636364,7,0,0,17,161,8,6,4,432,27,17,1,0,4,3,3,0,0,0,0,0,0,0,0,0,10,0.0,16,21,4,11,15,4,50.0,0,55,156,0,2.8804,36,0,29,0.0
Jeff Ekhator,1613917,Serie A 25/26,Serie A,Genoa,6.492,25,2,0,3,0,0.14480931,78,134,58.208955223881,27,51,30,5,7,43.75,11,1,3,0,0,0,0.0,15,3,35,44.871794871795,18,40.909090909091,647,13.333333333333,0,0,1,0,0,0,1,33.333333333333,4,0,0,13,112,5,8,6,270,17,16,0,0,5,9,5,0,0,0,0,0,0,0,0,0,5,0.0,5,16,8,3,11,7,63.636363636364,0,38,96,0,2.0404,22,0,25,0.0
Jeff Ekhator,1613917,Serie A 24/25,Serie A,Genoa,6.6666666666667,24,1,2,1,1,0.57587324,108,151,71.523178807947,39,70,47,11,4,40.0,7,2,1,0,0,1,10.0,10,3,23,41.071428571429,16,33.333333333333,787,10.0,0,0,0,0,0,0,2,50.0,5,0,0,9,107,8,10,4,283,13,15,0,0,5,3,4,0,0,0,0,0,0,0,0,0,6,0.0,11,10,10,4,11,4,57.142857142857,0,47,114,0,1.3824,32,0,24,0.0
Joi Xheto Nuredini,1605324,Serie A 25/26,Serie A,Genoa,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,1,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0
Ruslan Malinovskyi,195850,Serie A 25/26,Serie A,Genoa,6.8965517241379,29,5,8,1,3,3.01284452,894,1085,82.396313364055,406,488,259,35,11,55.0,29,14,9,0,0,18,33.962264150943,46,13,65,43.046357615894,34,47.222222222222,2046,10.869565217391,3,3,0,0,10,1,80,62.015503875969,16,1,2,27,299,13,94,46,1430,25,33,2,0,21,1,10,1,0,1,0,0,0,0,0,0,26,10.0,34,20,53,129,30,20,68.965517241379,0,450,635,1,4.1547,113,5,29,0.0
Ruslan Malinovskyi,195850,Serie A 24/25,Serie A,Genoa,7.0666666666667,9,0,4,0,2,0.70093794,160,196,81.632653061224,61,101,51,8,3,75.0,12,1,2,0,0,2,66.666666666667,9,3,20,54.054054054054,7,53.846153846154,383,0.0,0,0,0,0,3,0,10,62.5,4,0,0,5,50,2,18,9,256,5,9,0,0,3,0,2,0,0,0,0,0,0,0,0,0,4,0.0,8,4,3,16,2,8,66.666666666667,0,70,129,1,0.2372,16,0,9,0.0
Ruslan Malinovskyi,195850,Serie A 23/24,Serie A,Genoa,6.8321428571429,28,4,0,0,1,0.70570005,563,690,81.594202898551,258,310,149,11,10,43.478260869565,35,5,7,0,0,5,26.315789473684,39,13,61,41.496598639456,23,52.272727272727,1559,10.25641025641,0,0,0,0,10,0,41,49.397590361446,16,0,0,22,204,10,58,32,945,17,31,2,0,24,0,8,0,0,1,0,0,0,0,0,0,18,0.0,11,23,19,83,19,20,57.142857142857,0,296,413,0,1.0838,88,0,28,0.0
Tommaso Baldanzi,1012172,Serie A 25/26,Serie A,Genoa,6.7066666666667,15,1,1,0,0,1.33501601,236,268,88.059701492537,82,154,92,10,3,27.272727272727,11,4,2,0,0,5,31.25,14,6,37,52.857142857143,1,12.5,607,7.1428571428571,0,0,0,0,0,0,4,44.444444444444,1,0,0,15,88,8,14,7,416,23,9,0,0,3,2,3,0,0,0,0,0,0,0,0,0,5,0.0,10,11,16,9,6,4,36.363636363636,0,84,184,0,1.7121,29,0,15,0.0
Morten Frendrup,918440,Serie A 25/26,Serie A,Genoa,6.9266666666667,30,1,1,0,0,0.85758182,941,1069,88.026192703461,549,392,144,12,6,66.666666666667,85,35,4,0,0,1,25.0,8,3,125,64.432989690722,24,48.979591836735,2549,12.5,0,0,0,0,0,0,37,46.835443037975,70,0,1,15,183,16,36,17,1466,35,34,0,0,20,0,1,0,0,4,0,0,0,0,0,0,29,0.0,12,9,4,79,39,59,69.411764705882,0,585,484,0,0.3966,130,10,30,0.0
Morten Frendrup,918440,Serie A 24/25,Serie A,Genoa,6.9742857142857,35,2,0,0,0,0.77636379,1057,1231,85.865150284322,599,460,207,14,10,47.619047619048,102,47,5,0,0,2,66.666666666667,30,9,142,52.592592592593,31,44.285714285714,3107,6.6666666666667,0,0,0,0,0,0,34,53.125,49,0,0,24,260,20,42,19,1743,31,51,0,1,44,1,7,0,0,10,0,0,0,0,0,0,35,0.0,14,21,3,64,42,61,59.803921568627,0,650,584,1,1.6701,184,0,35,0.0
Morten Frendrup,918440,Serie A 23/24,Serie A,Genoa,7.0459459459459,37,2,4,1,5,1.38881571,962,1188,80.976430976431,471,493,199,14,16,66.666666666667,133,51,6,0,0,2,16.666666666667,30,4,183,63.321799307958,32,52.459016393443,3146,6.6666666666667,0,0,0,1,0,0,26,40.0,33,1,0,14,323,19,53,20,1732,35,49,0,0,36,1,11,1,0,7,0,0,0,0,0,0,36,0.0,13,24,12,65,43,72,54.135338345865,0,551,649,2,1.6989,197,0,37,0.0
Jean Onana,978301,Serie A 25/26,Serie A,Genoa,6.35,2,0,0,0,0,0.00176647,9,13,69.230769230769,5,4,2,1,0,0.0,1,0,0,0,0,0,0.0,1,0,1,16.666666666667,0,0.0,20,0.0,0,0,0,0,0,0,0,0.0,0,0,0,2,6,0,0,0,18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,1,1,1,100.0,0,5,8,0,0.0247,1,1,2,0.0
Jean Onana,978301,Serie A 24/25,Serie A,Genoa,6.5375,8,0,0,0,0,0.05737315,108,133,81.203007518797,59,49,20,2,2,66.666666666667,12,4,1,0,0,0,0.0,1,0,16,40.0,6,37.5,298,0.0,0,0,0,0,0,0,8,47.058823529412,7,0,1,7,41,1,7,5,196,2,12,0,0,4,0,1,0,0,0,0,0,0,0,0,0,2,0.0,2,3,1,17,4,6,50.0,0,68,66,0,0.0164,13,0,9,0.0
Alexsandro Amorim,1511706,Serie A 25/26,Serie A,Genoa,6.6,4,0,0,0,0,0.03650701,64,71,90.140845070423,39,25,8,1,0,0.0,4,2,0,0,0,0,0.0,2,0,8,42.105263157895,1,50.0,104,0.0,0,0,0,1,0,0,5,71.428571428571,1,0,0,5,17,0,4,3,105,4,3,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0.0,1,0,4,7,2,1,25.0,0,42,29,0,0.1561,4,0,5,0.0
