İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented
Lautaro Martínez,823984,Serie A 25/26,Serie A,Inter,7.0961538461538,26,16,11,15,4,1.96487391,414,530,78.11320754717,117,297,191,32,18,45.0,21,5,3,0,0,2,12.5,86,35,81,46.285714285714,23,46.0,1963,18.604651162791,0,0,0,0,0,0,16,61.538461538462,18,0,1,28,243,23,34,23,914,43,41,3,0,8,8,22,0,0,0,0,0,0,0,0,0,24,0.0,32,40,16,26,18,11,52.380952380952,0,136,394,3,12.1626,50,0,26,0.0
Lautaro Martínez,823984,Serie A 24/25,Serie A,Inter,7.1967741935484,31,12,9,19,3,4.33525488,468,611,76.595744680851,149,321,196,37,17,40.47619047619,30,10,1,0,0,2,15.384615384615,102,34,88,41.509433962264,36,47.368421052632,2577,11.764705882353,0,0,0,0,0,0,29,76.315789473684,15,0,0,54,315,25,37,27,1091,42,41,2,0,12,22,18,0,0,4,0,0,0,0,0,0,31,0.0,37,42,13,38,27,16,53.333333333333,0,172,452,4,13.4644,73,0,31,0.0
Lautaro Martínez,823984,Serie A 23/24,Serie A,Inter,7.5,33,24,7,13,3,1.95598048,601,760,79.078947368421,202,401,233,36,19,32.758620689655,22,20,5,0,0,2,13.333333333333,108,47,100,41.8410041841,38,58.461538461538,2668,22.222222222222,3,2,2,1,0,0,21,65.625,9,0,0,45,331,28,42,19,1291,59,46,5,0,15,12,27,0,0,8,0,0,0,0,0,0,31,0.0,36,58,15,32,16,16,72.727272727273,0,239,536,4,17.6408,90,0,33,0.0
Lautaro Martínez,823984,UEFA Champions League 25/26,UEFA Champions League,Inter,7.125,8,4,3,7,0,1.4163704,105,138,76.086956521739,34,71,48,10,4,33.333333333333,9,4,2,0,0,3,75.0,24,10,23,41.071428571429,11,73.333333333333,465,16.666666666667,0,0,0,0,0,0,4,100.0,1,0,0,14,71,8,7,5,252,10,6,1,0,6,2,9,0,0,0,0,0,0,0,0,0,7,0.0,10,12,4,4,5,3,33.333333333333,0,37,101,0,4.6274,19,1,8,0.0
Lautaro Martínez,823984,UEFA Champions League 24/25,UEFA Champions League,Inter,7.3071428571429,14,9,2,2,0,1.14639906,160,208,76.923076923077,67,95,59,7,10,52.631578947368,9,5,2,0,0,2,66.666666666667,23,18,36,51.428571428571,12,50.0,857,39.130434782609,1,1,2,0,0,0,10,71.428571428571,11,0,0,10,94,7,14,9,359,17,7,0,0,9,5,3,0,0,0,0,0,0,0,0,0,10,0.0,7,19,3,14,13,5,55.555555555556,0,78,133,4,4.8259,23,0,14,0.0
Lautaro Martínez,823984,UEFA Champions League 23/24,UEFA Champions League,Inter,6.85,8,2,1,5,0,0.54504266,81,107,75.700934579439,35,46,25,3,4,33.333333333333,5,1,2,0,0,0,0.0,34,12,19,42.222222222222,13,50.0,531,5.8823529411765,1,1,0,0,0,0,4,66.666666666667,3,0,0,9,65,3,5,2,218,11,7,4,0,4,1,9,0,0,1,0,0,0,0,0,0,5,0.0,3,12,2,6,4,1,20.0,0,40,69,0,4.6683,19,0,8,0.0
Marcus Thuram,791702,Serie A 25/26,Serie A,Inter,6.9583333333333,24,8,5,14,5,2.13798925,306,411,74.452554744526,89,217,142,26,15,62.5,20,1,2,0,0,6,37.5,60,23,68,48.22695035461,44,51.764705882353,1545,13.333333333333,0,0,1,0,0,0,4,80.0,7,0,0,26,202,13,6,3,704,34,39,1,0,8,12,12,0,0,0,0,0,0,0,0,0,19,0.0,26,24,16,5,13,10,50.0,0,112,299,2,6.8655,36,1,24,0.0
Marcus Thuram,791702,Serie A 24/25,Serie A,Inter,7.3,32,14,6,10,4,4.07987235,408,544,75.0,147,265,191,40,24,52.173913043478,18,3,1,0,0,4,30.769230769231,65,27,75,45.731707317073,48,57.831325301205,2298,21.538461538462,0,0,2,0,0,0,4,40.0,15,0,0,29,260,17,12,5,915,36,30,4,0,11,13,16,0,0,5,0,0,0,0,0,0,27,0.0,40,46,13,10,24,10,55.555555555556,0,172,385,5,10.0639,71,0,32,0.0
Marcus Thuram,791702,Serie A 23/24,Serie A,Inter,7.3,35,13,6,11,7,3.56970084,468,633,73.9336492891,159,316,190,29,33,75.0,23,4,3,0,0,7,33.333333333333,77,29,98,54.444444444444,73,59.83606557377,2707,16.883116883117,0,0,5,0,0,0,6,42.857142857143,19,0,0,35,311,15,14,7,1078,45,35,2,0,9,20,17,0,0,5,0,0,0,0,0,0,34,0.0,29,44,21,14,19,15,65.217391304348,0,202,452,1,14.309,66,0,35,0.0
Marcus Thuram,791702,UEFA Champions League 25/26,UEFA Champions League,Inter,7.0,9,2,2,2,1,1.39240247,111,141,78.723404255319,33,78,44,12,7,70.0,11,0,1,0,0,1,25.0,30,6,27,46.551724137931,23,63.888888888889,577,6.6666666666667,0,0,0,0,0,0,0,0.0,7,0,0,11,72,3,3,1,262,9,14,0,0,4,6,11,0,0,0,0,0,0,0,0,0,6,0.0,12,10,4,0,8,3,27.272727272727,0,35,106,0,2.3481,21,0,9,0.0
