İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented
Piotr Zieliński,138605,Serie A 23/24,Serie A,Napoli,7.1,28,3,5,1,2,3.18239537,1012,1156,87.543252595156,359,676,371,48,16,50.0,23,9,1,0,0,23,25.842696629213,30,9,57,50.442477876106,6,35.294117647059,1938,10.0,1,1,0,0,3,0,38,52.054794520548,15,0,0,14,272,13,86,45,1455,18,15,1,0,12,0,11,0,0,1,0,0,0,0,0,0,23,0.0,48,32,89,73,25,15,65.217391304348,0,385,860,3,2.5765,87,0,28,0.0
Piotr Zieliński,138605,UEFA Champions League 23/24,UEFA Champions League,Napoli,7.0666666666667,6,1,1,3,0,1.0021881,247,285,86.666666666667,96,156,74,10,5,41.666666666667,2,4,1,0,0,5,18.518518518519,8,4,14,58.333333333333,1,50.0,469,12.5,1,1,0,0,0,0,8,66.666666666667,2,0,0,0,72,3,17,10,360,7,1,0,0,2,0,3,0,0,1,0,0,0,0,0,0,6,0.0,10,12,27,12,6,1,50.0,0,103,209,0,2.0413,21,0,6,0.0
Rasmus Højlund,1086417,Serie A 25/26,Serie A,Napoli,6.5423076923077,26,10,3,10,2,2.05516651,312,434,71.889400921659,94,218,132,24,9,32.142857142857,4,0,1,0,0,2,66.666666666667,46,22,57,34.756097560976,40,38.461538461538,2184,21.739130434783,1,1,0,0,0,0,6,75.0,15,0,0,56,282,10,12,4,758,45,33,1,0,3,10,8,0,0,3,0,0,0,0,0,0,25,0.0,24,28,3,8,25,1,25.0,0,109,325,3,8.9795,26,2,26,0.0
Rasmus Højlund,1086417,UEFA Champions League 25/26,UEFA Champions League,Napoli,6.5857142857143,7,3,0,3,0,0.29468474,93,115,80.869565217391,29,64,41,2,5,62.5,2,1,1,0,0,0,0.0,13,5,13,32.5,8,34.782608695652,596,23.076923076923,1,0,0,0,0,0,1,100.0,2,0,0,12,58,2,1,1,197,6,10,0,0,2,2,5,0,0,1,0,0,0,0,0,0,7,0.0,2,8,1,1,9,1,50.0,0,35,80,0,2.6295,5,0,7,0.0
Romelu Lukaku,78893,Serie A 25/26,Serie A,Napoli,6.575,4,1,0,1,0,0.27447494,11,16,68.75,3,8,7,2,0,0.0,0,0,1,0,0,0,0.0,2,1,0,0.0,0,0.0,50,50.0,0,0,0,0,0,0,0,0.0,1,0,0,2,12,0,1,1,29,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,2,0,0.0,0,3,13,0,0.2633,1,1,5,0.0
Romelu Lukaku,78893,Serie A 24/25,Serie A,Napoli,6.9888888888889,36,14,8,9,10,2.6088181,351,493,71.196754563895,106,247,165,35,6,25.0,4,1,4,0,0,2,50.0,64,24,46,28.571428571429,42,42.857142857143,2870,21.875,4,3,0,0,1,0,5,50.0,17,0,0,53,272,11,18,12,817,36,47,2,0,3,24,25,0,0,1,0,0,0,0,0,0,35,0.0,35,24,4,10,20,2,50.0,0,122,375,3,13.0311,34,0,36,0.0
Romelu Lukaku,78893,UEFA Champions League 25/26,UEFA Champions League,Napoli,6.3,1,0,0,0,0,2.842e-05,1,2,50.0,1,0,0,0,0,0.0,0,0,0,0,0,0,0.0,1,1,0,0.0,0,0.0,8,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0.0,0,1,1,0,0.1901,0,0,1,0.0
David Neres,850993,Serie A 25/26,Serie A,Napoli,7.0125,16,3,9,0,3,3.20852168,270,331,81.570996978852,67,203,141,21,19,38.0,10,1,3,0,0,13,24.528301886792,17,4,36,37.5,4,22.222222222222,925,17.647058823529,0,0,0,0,1,0,4,66.666666666667,2,0,0,12,185,8,6,5,564,7,19,1,0,2,0,7,0,0,0,0,0,0,0,0,0,10,0.0,21,50,53,6,7,5,50.0,0,78,253,3,1.5387,28,3,16,0.0
David Neres,850993,Serie A 24/25,Serie A,Napoli,6.9178571428571,28,2,6,4,4,3.18623177,389,452,86.061946902655,129,283,156,26,33,47.826086956522,21,7,2,0,0,23,25.0,29,7,64,45.714285714286,3,21.428571428571,1294,6.8965517241379,0,0,0,0,0,0,5,62.5,3,0,0,23,234,6,6,3,795,10,14,0,0,5,4,8,0,0,2,0,0,0,0,0,0,13,0.0,26,69,92,8,10,11,52.380952380952,0,143,401,0,2.6861,52,0,28,0.0
David Neres,850993,UEFA Champions League 25/26,UEFA Champions League,Napoli,6.6666666666667,6,0,1,0,1,0.61879443,76,91,83.516483516484,20,56,36,6,5,35.714285714286,3,1,0,0,0,4,30.769230769231,3,3,9,30.0,2,50.0,260,0.0,0,0,0,0,0,0,0,0.0,0,0,0,8,49,1,2,0,152,1,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0.0,6,14,13,0,5,2,66.666666666667,0,24,67,0,0.2993,15,0,6,0.0
Alisson Santos,1122835,Serie A 25/26,Serie A,Napoli,7.2833333333333,6,2,0,0,0,0.22596401,105,129,81.395348837209,31,74,41,4,13,54.166666666667,15,0,0,0,0,1,6.6666666666667,13,9,32,57.142857142857,0,0.0,377,15.384615384615,0,0,0,0,0,0,2,50.0,1,0,0,11,73,2,1,1,238,4,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,4,0.0,4,24,15,4,5,7,46.666666666667,0,37,92,0,0.666,14,0,6,0.0
