İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented
Ivan Filipović,286915,HNL 24/25,HNL,HNK Šibenik,6.8785714285714,14,0,0,0,0,0.0,287,418,68.66028708134,212,75,15,0,0,0.0,0,0,2,0,0,0,0.0,1,0,1,50.0,3,100.0,1260,0.0,0,0,0,0,0,0,103,44.588744588745,18,0,0,1,134,0,25,19,589,1,0,0,0,0,0,0,0,33,2,0,8,8,8,15,0,14,0.0,0,0,0,231,19,0,0.0,0,245,173,0,0.0,153,0,14,0.0
Roberto Punčec,51246,HNL 24/25,HNL,HNK Šibenik,6.675,20,0,1,2,0,0.0,688,829,82.991556091677,482,206,52,5,0,0.0,18,19,3,0,1,0,0.0,5,1,21,50.0,34,65.384615384615,1772,0.0,0,0,0,0,0,0,54,45.378151260504,95,0,0,0,158,1,79,37,1041,4,15,0,0,5,0,0,0,0,4,0,0,0,0,0,0,20,0.0,5,1,0,119,38,13,72.222222222222,1,541,288,0,0.0,42,0,20,0.0
Ivan Božić,827383,HNL 24/25,HNL,HNK Šibenik,6.6290322580645,31,2,3,6,2,0.0,236,349,67.621776504298,96,147,87,18,13,26.530612244898,11,5,7,0,0,7,14.583333333333,36,12,63,35.0,28,50.909090909091,2054,5.5555555555556,0,0,0,0,1,0,15,50.0,21,0,0,35,285,12,23,10,717,40,36,0,0,12,23,10,0,0,0,0,0,0,0,0,0,24,0.0,18,49,48,30,36,8,72.727272727273,0,108,289,1,0.0,62,0,31,0.0
Leonard Žuta,228338,HNL 24/25,HNL,HNK Šibenik,6.7428571428571,28,1,1,1,1,0.0,671,854,78.571428571429,429,257,82,8,4,50.0,25,17,4,0,0,15,36.585365853659,14,6,45,53.571428571429,38,58.461538461538,2339,7.1428571428571,0,0,0,0,3,0,68,47.222222222222,98,1,1,3,266,2,117,56,1279,17,20,1,0,12,1,3,0,0,6,0,0,0,0,0,0,27,0.0,8,8,41,144,41,16,64.0,0,492,403,0,0.0,43,0,28,0.0
Ante Kavelj,1468758,HNL 24/25,HNL,HNK Šibenik,6.7,23,1,1,0,0,0.0,266,402,66.169154228856,144,127,59,10,2,40.0,29,24,1,0,1,5,33.333333333333,9,2,41,49.397590361446,38,62.295081967213,1499,11.111111111111,0,0,0,0,0,0,24,45.283018867925,27,0,0,5,187,3,17,5,617,10,24,0,0,12,0,2,0,0,1,0,0,0,0,0,0,18,0.0,10,5,15,53,24,21,72.413793103448,1,187,230,1,0.0,39,0,23,0.0
Iker Pozo,862947,HNL 24/25,HNL,HNK Šibenik,6.8277777777778,18,0,0,0,0,0.0,425,532,79.887218045113,244,183,76,6,17,60.714285714286,42,19,6,0,1,2,28.571428571429,7,1,85,59.859154929577,26,65.0,1301,0.0,0,0,0,0,0,0,18,46.153846153846,29,0,1,11,164,1,37,14,793,26,28,0,0,8,0,5,0,0,1,0,0,0,0,0,0,16,0.0,6,28,7,39,18,27,64.285714285714,1,281,258,0,0.0,74,0,19,0.0
Ognjen Bakić,1005613,HNL 24/25,HNL,HNK Šibenik,6.6727272727273,33,0,0,0,0,0.0,734,956,76.778242677824,376,363,149,13,15,34.090909090909,69,19,7,0,0,5,17.241379310345,17,1,132,52.8,24,48.979591836735,2484,0.0,0,0,0,0,0,0,55,46.610169491525,35,0,0,18,340,4,68,28,1374,49,34,0,0,39,0,6,0,0,4,0,0,0,0,0,0,29,0.0,13,44,29,118,44,49,71.014492753623,0,444,541,1,0.0,138,0,33,0.0
Elvir Duraković,1047646,HNL 24/25,HNL,HNK Šibenik,6.8529411764706,17,0,2,1,1,0.0,300,442,67.873303167421,161,162,53,21,17,47.222222222222,31,7,1,0,0,23,35.9375,13,4,69,56.09756097561,14,58.333333333333,1313,0.0,0,0,0,0,0,0,29,34.939759036145,54,0,1,13,303,0,69,21,904,21,16,0,0,8,2,4,0,0,0,0,0,0,0,0,0,17,0.0,21,36,64,83,19,23,74.193548387097,0,196,310,1,0.0,54,0,17,0.0
Stefan Perić,319181,HNL 24/25,HNL,HNK Šibenik,6.7714285714286,28,1,2,0,0,0.0,604,761,79.369250985545,413,210,72,17,12,46.153846153846,33,17,6,0,0,19,39.583333333333,8,4,59,52.212389380531,39,69.642857142857,1982,12.5,0,0,0,0,0,0,65,46.428571428571,77,0,1,3,273,0,57,33,1184,14,22,1,0,16,0,1,1,0,5,0,0,0,0,0,0,22,0.0,16,26,48,140,30,21,63.636363636364,0,474,335,0,0.0,63,0,29,0.0
Lovre Kulušić,1487821,HNL 24/25,HNL,HNK Šibenik,6.7344827586207,29,4,1,3,1,0.0,99,158,62.658227848101,32,69,38,8,2,33.333333333333,15,6,1,0,0,2,22.222222222222,25,11,26,40.0,30,55.555555555556,886,16.0,0,0,0,0,0,0,1,14.285714285714,9,0,0,13,118,5,7,2,316,9,20,0,0,3,3,4,0,0,0,0,0,0,0,0,0,8,0.0,8,6,9,7,19,8,53.333333333333,0,45,122,1,0.0,26,0,29,0.0
Antonio Đaković,954020,HNL 24/25,HNL,HNK Šibenik,6.7761904761905,21,0,0,0,0,0.0,370,561,65.953654188948,266,104,11,0,0,0.0,0,0,4,0,0,0,0.0,0,0,0,0.0,2,100.0,1890,0.0,0,0,0,0,0,0,164,46.723646723647,27,1,1,0,195,0,39,24,762,1,0,0,0,0,0,0,0,59,5,0,13,10,10,5,0,21,0.0,0,0,0,351,38,0,0.0,0,333,228,1,0.0,176,0,21,0.0
