İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented
Raheem Sterling,138534,VriendenLoterij Eredivisie 25/26,VriendenLoterij Eredivisie,Feyenoord,6.4666666666667,6,0,1,1,1,0.4113228,84,105,80.0,11,73,43,3,2,16.666666666667,5,2,1,0,0,1,20.0,6,2,19,41.304347826087,0,0.0,333,0.0,0,0,0,0,0,0,3,75.0,0,0,0,11,65,2,2,0,186,12,6,0,0,0,2,3,0,0,0,0,0,0,0,0,0,4,0.0,3,12,5,4,6,2,40.0,0,13,92,0,0.7808,9,0,6,0.0
Ayase Ueda,985823,VriendenLoterij Eredivisie 25/26,VriendenLoterij Eredivisie,Feyenoord,7.1703703703704,27,22,2,18,1,1.523696,259,360,71.944444444444,80,179,102,18,5,22.727272727273,8,3,1,0,0,3,50.0,90,40,54,47.368421052632,81,54.72972972973,2179,24.444444444444,0,0,1,0,0,0,6,42.857142857143,25,0,0,23,227,9,15,7,719,45,22,2,0,3,6,16,0,0,3,0,0,0,0,0,0,27,0.0,18,22,6,14,32,5,62.5,0,100,260,4,16.2371,32,1,27,0.0
Ayase Ueda,985823,Eredivisie 24/25,VriendenLoterij Eredivisie,Feyenoord,6.885,20,7,0,10,1,0.52033382,137,177,77.401129943503,53,84,45,12,5,45.454545454545,4,1,0,0,0,0,0.0,40,15,37,43.529411764706,33,50.769230769231,1210,17.5,0,0,0,0,0,0,10,90.909090909091,10,0,1,28,123,4,5,5,386,29,11,1,0,3,2,6,0,0,0,0,0,0,0,0,0,13,0.0,12,11,3,11,16,3,75.0,0,60,120,1,7.2404,19,0,21,0.0
Ayase Ueda,985823,Eredivisie 23/24,VriendenLoterij Eredivisie,Feyenoord,6.8730769230769,26,5,7,10,2,0.99755335,125,170,73.529411764706,33,93,58,16,7,43.75,7,0,0,0,0,1,20.0,38,17,25,40.322580645161,28,58.333333333333,821,13.157894736842,1,0,1,0,0,0,3,100.0,11,0,0,17,99,2,5,3,332,11,7,1,0,4,6,9,0,0,2,0,0,0,0,0,0,5,0.0,16,16,5,3,6,4,57.142857142857,0,41,134,0,8.2662,13,0,26,0.0
Ayase Ueda,985823,UEFA Europa League 25/26,UEFA Europa League,Feyenoord,6.5833333333333,6,1,1,6,0,0.279941,43,61,70.491803278689,15,28,13,5,2,40.0,1,1,0,0,0,0,0.0,14,4,11,44.0,17,45.945945945946,435,7.1428571428571,0,0,0,0,0,0,1,50.0,4,0,0,7,42,3,1,0,128,8,5,0,0,1,1,4,0,0,0,0,0,0,0,0,0,5,0.0,5,5,0,2,10,1,100.0,0,19,42,0,1.9193,11,1,6,0.0
Ayase Ueda,985823,UEFA Europa League 23/24,UEFA Europa League,Feyenoord,6.9,2,0,0,0,0,0.05845271,13,18,72.222222222222,3,10,8,1,0,0.0,0,0,0,0,0,0,0.0,3,1,3,50.0,6,54.545454545455,105,0.0,0,0,0,0,2,0,0,0.0,0,0,0,2,14,0,0,0,36,3,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0.0,0,4,14,0,0.2622,3,0,2,0.0
Ayase Ueda,985823,UEFA Champions League 24/25,UEFA Champions League,Feyenoord,6.6,8,2,0,1,0,0.01611761,38,51,74.509803921569,23,15,9,0,1,50.0,0,0,0,0,0,0,0.0,6,3,6,37.5,4,22.222222222222,388,33.333333333333,1,0,0,0,0,0,1,100.0,2,0,0,4,26,2,1,0,84,5,2,0,0,3,2,3,0,0,0,0,0,0,0,0,0,4,0.0,0,2,1,1,9,0,0.0,0,25,27,0,1.7354,6,0,8,0.0
Ayase Ueda,985823,UEFA Champions League 23/24,UEFA Champions League,Feyenoord,6.76,5,0,0,1,0,0.17719293,18,25,72.0,6,13,8,1,0,0.0,1,0,0,0,0,1,33.333333333333,10,3,4,66.666666666667,3,75.0,148,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,14,1,0,0,52,3,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0.0,1,1,3,0,7,1,100.0,0,8,20,0,1.479,3,0,5,0.0
Shaqueel van Persie,1470002,VriendenLoterij Eredivisie 25/26,VriendenLoterij Eredivisie,Feyenoord,7.55,2,2,0,0,0,0.59777048,11,17,64.705882352941,5,6,4,0,1,100.0,1,0,1,0,0,0,0.0,2,2,2,50.0,2,40.0,36,100.0,0,0,0,0,0,0,0,0.0,2,0,0,2,10,0,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,1,3,1,100.0,0,6,11,1,0.3734,0,0,2,0.0
Shaqueel van Persie,1470002,UEFA Europa League 25/26,UEFA Europa League,Feyenoord,7.0333333333333,3,0,2,0,1,1.368724,11,16,68.75,4,7,6,2,1,50.0,1,0,0,0,0,1,100.0,0,0,3,50.0,3,42.857142857143,50,0.0,0,0,0,0,0,0,0,0.0,0,0,0,1,8,0,1,1,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,1,0,1,1,100.0,0,4,12,0,0.0,0,0,3,0.0
