İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented
Vangelis Pavlidis,795236,Liga Portugal 25/26,Liga Portugal Betclic,Benfica,7.0740740740741,27,21,6,16,4,2.65058214,380,537,70.763500931099,138,242,164,33,14,33.333333333333,16,1,3,0,0,1,12.5,81,42,59,38.815789473684,57,43.181818181818,2293,25.925925925926,9,9,0,0,0,0,15,71.428571428571,13,0,0,44,284,30,31,17,890,31,13,3,0,10,16,15,0,0,7,0,0,0,0,0,0,26,0.0,33,42,8,21,16,8,50.0,0,165,372,4,18.8223,71,1,27,0.0
Vangelis Pavlidis,795236,Liga Portugal 24/25,Liga Portugal Betclic,Benfica,7.2470588235294,34,19,10,18,7,4.836318,411,555,74.054054054054,133,281,195,40,31,43.055555555556,18,5,3,0,0,3,37.5,84,38,73,42.441860465116,36,37.5,2275,22.619047619048,3,3,1,0,0,0,26,74.285714285714,10,1,0,35,298,26,34,19,976,26,21,5,0,7,30,18,0,0,1,0,0,0,0,0,0,27,0.0,40,72,8,35,20,11,61.111111111111,0,156,407,5,18.4295,62,0,34,0.0
Vangelis Pavlidis,795236,UEFA Champions League 25/26,UEFA Champions League,Benfica,6.49,10,2,2,2,2,0.67201675,151,208,72.596153846154,69,82,53,13,6,33.333333333333,9,1,0,0,0,1,33.333333333333,21,6,25,41.666666666667,15,41.666666666667,811,9.5238095238095,2,1,0,0,0,0,1,12.5,2,0,0,14,104,11,17,5,342,10,5,0,0,5,0,5,0,0,1,0,0,0,0,0,0,9,0.0,13,18,3,8,14,5,55.555555555556,0,79,129,0,3.9424,24,1,10,0.0
Vangelis Pavlidis,795236,UEFA Champions League 24/25,UEFA Champions League,Benfica,7.05,12,7,2,9,2,1.03282924,172,230,74.782608695652,85,87,55,14,11,39.285714285714,12,5,1,0,0,0,0.0,31,18,36,37.894736842105,15,29.411764705882,905,22.58064516129,2,2,1,0,0,0,12,66.666666666667,4,0,1,25,127,7,17,9,406,13,13,1,0,7,10,8,0,0,0,0,0,0,0,0,0,11,0.0,14,28,2,18,15,5,41.666666666667,0,104,128,1,7.9306,23,0,12,0.0
Andreas Schjelderup,1100952,Liga Portugal 25/26,Liga Portugal Betclic,Benfica,7.1428571428571,21,4,7,2,3,5.308893,362,451,80.266075388027,66,296,221,32,21,38.888888888889,23,3,2,0,0,11,19.298245614035,27,9,69,48.251748251748,3,21.428571428571,1198,14.814814814815,0,0,0,0,2,0,3,18.75,5,0,0,12,213,19,22,11,731,25,17,3,0,13,4,13,0,0,0,0,0,0,0,0,0,14,0.0,32,54,57,16,8,10,43.478260869565,0,78,373,2,3.3735,49,0,21,0.0
Andreas Schjelderup,1100952,Liga Portugal 24/25,Liga Portugal Betclic,Benfica,6.7526315789474,19,1,5,3,3,2.02385794,147,171,85.964912280702,42,107,81,14,9,39.130434782609,3,0,0,0,0,2,16.666666666667,19,8,21,31.818181818182,2,28.571428571429,527,5.2631578947368,0,0,0,0,0,0,5,83.333333333333,3,0,1,12,68,2,9,7,279,9,6,0,0,13,4,7,0,0,0,0,0,0,0,0,0,3,0.0,14,23,12,6,7,2,66.666666666667,0,44,139,0,2.4255,18,0,20,0.0
Andreas Schjelderup,1100952,UEFA Champions League 25/26,UEFA Champions League,Benfica,7.1857142857143,7,2,2,1,0,1.6053818,116,147,78.91156462585,29,87,57,9,11,50.0,7,2,0,0,0,4,30.769230769231,9,3,21,46.666666666667,2,66.666666666667,421,22.222222222222,0,0,0,0,0,0,1,25.0,2,0,0,5,63,2,2,2,233,3,6,0,0,2,0,6,0,0,0,0,0,0,0,0,0,5,0.0,9,22,13,4,9,3,42.857142857143,0,34,113,1,0.736,18,0,7,0.0
Andreas Schjelderup,1100952,UEFA Champions League 24/25,UEFA Champions League,Benfica,6.7857142857143,7,0,3,1,0,1.18395582,66,90,73.333333333333,20,48,30,6,3,25.0,8,1,0,0,0,2,40.0,8,1,16,41.025641025641,2,50.0,414,0.0,0,0,0,0,0,0,0,0.0,4,0,0,4,49,5,6,3,160,5,6,0,0,4,4,4,0,0,0,0,0,0,0,0,0,6,0.0,6,12,5,3,9,3,37.5,0,28,67,0,0.5493,24,0,7,0.0
Franjo Ivanović,1103333,Liga Portugal 25/26,Liga Portugal Betclic,Benfica,6.6777777777778,18,4,2,3,1,0.59894105,118,166,71.084337349398,29,89,57,5,16,55.172413793103,7,3,1,0,0,2,16.666666666667,23,14,40,44.444444444444,9,40.909090909091,625,17.391304347826,1,1,1,0,0,0,2,28.571428571429,2,0,0,19,118,6,6,4,338,17,14,0,0,7,1,3,0,0,0,0,0,0,0,0,0,6,0.0,5,29,12,7,1,4,57.142857142857,0,46,120,1,3.6741,26,1,19,0.0
Franjo Ivanović,1103333,UEFA Champions League 25/26,UEFA Champions League,Benfica,6.6333333333333,6,0,0,1,0,0.13021038,28,45,62.222222222222,6,22,13,3,6,66.666666666667,5,1,0,0,0,0,0.0,5,1,21,55.263157894737,5,29.411764705882,173,0.0,0,0,0,0,0,0,1,100.0,0,0,0,3,35,3,2,1,100,10,6,0,0,5,4,3,0,0,0,0,0,0,0,0,0,1,0.0,3,9,4,1,3,2,40.0,0,9,36,0,0.6369,8,0,7,0.0
