İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented
Francisco Moura,985138,Liga Portugal 23/24,Liga Portugal Betclic,Famalicão,7.1636363636364,33,1,8,0,4,5.752654,923,1179,78.286683630195,502,489,213,76,12,70.588235294118,55,33,7,0,0,68,35.233160621762,12,3,83,56.081081081081,40,51.948051948052,2970,8.3333333333333,0,0,0,0,0,0,96,56.140350877193,67,1,0,12,513,5,139,85,2058,16,36,1,0,12,10,3,0,0,8,0,0,0,0,0,0,33,0.0,76,17,193,171,40,35,63.636363636364,0,586,786,2,0.3808,153,0,33,0.0
Henrique Araújo,998870,Liga Portugal 23/24,Liga Portugal Betclic,Famalicão,6.6166666666667,18,0,0,2,0,0.26434574,124,160,77.5,57,67,41,8,2,18.181818181818,3,1,1,0,0,0,0.0,12,2,18,40.0,17,33.333333333333,695,0.0,0,0,1,0,0,0,3,100.0,3,0,0,5,73,6,4,3,252,13,11,1,0,2,4,7,0,0,0,0,0,0,0,0,0,7,0.0,8,11,0,3,6,1,33.333333333333,0,70,90,0,1.3701,23,0,20,0.0
Romeo Beney,1195796,Liga Portugal 25/26,Liga Portugal Betclic,Famalicão,6.51,10,0,0,1,0,0.25290409,35,51,68.627450980392,10,25,20,2,4,36.363636363636,4,1,1,0,0,3,42.857142857143,6,4,11,31.428571428571,1,25.0,167,0.0,0,0,0,0,0,0,2,50.0,1,0,0,4,35,0,2,1,100,3,10,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0.0,2,11,7,4,2,3,75.0,0,14,37,0,0.5259,7,0,10,0.0
Umar Abubakar,2194737,Liga Portugal 25/26,Liga Portugal Betclic,Famalicão,6.4933333333333,15,1,0,2,0,0.24658441,26,50,52.0,12,14,13,4,1,20.0,1,0,1,0,0,0,0.0,11,6,6,23.076923076923,18,52.941176470588,366,9.0909090909091,0,0,0,0,0,0,1,50.0,12,0,1,7,69,2,2,2,136,4,10,0,0,1,4,1,0,0,0,0,0,0,0,0,0,3,0.0,4,5,4,2,4,0,0.0,0,17,33,0,1.9548,6,0,16,0.0
Antoine Joujou,1463265,Liga Portugal 25/26,Liga Portugal Betclic,Famalicão,6.72,20,3,1,4,1,1.03599702,143,182,78.571428571429,62,81,42,8,8,25.0,15,6,0,0,0,3,13.636363636364,18,9,29,38.666666666667,9,52.941176470588,591,16.666666666667,0,0,0,0,0,0,6,75.0,3,0,0,8,109,8,10,5,334,6,6,0,0,8,4,4,1,0,0,0,0,0,0,0,0,4,0.0,7,32,22,8,6,10,66.666666666667,0,73,109,1,1.9587,34,0,22,0.0
Simon Elisor,1049526,Liga Portugal 25/26,Liga Portugal Betclic,Famalicão,6.5518518518518,27,1,5,8,2,1.64240481,202,252,80.15873015873,65,137,83,21,9,37.5,9,1,2,0,0,2,22.222222222222,38,16,49,43.75,32,36.363636363636,1568,2.6315789473684,0,0,0,0,2,0,14,87.5,15,0,0,20,131,11,9,7,476,33,27,0,0,5,8,5,0,0,1,0,0,0,0,0,0,18,0.0,21,24,9,16,10,6,66.666666666667,0,78,174,0,4.9296,34,2,27,0.0
Simon Elisor,1049526,Liga Portugal 24/25,Liga Portugal Betclic,Famalicão,6.7533333333333,15,4,2,7,0,0.30317896,92,122,75.409836065574,34,58,27,6,5,50.0,1,2,2,0,0,0,0.0,14,7,25,44.642857142857,23,56.09756097561,606,28.571428571429,0,0,1,0,0,0,1,50.0,4,0,0,5,62,4,2,1,217,20,20,0,0,5,2,0,0,0,0,0,0,0,0,0,0,6,0.0,6,10,3,2,7,1,100.0,0,45,80,0,4.0846,15,0,15,0.0
Rudi Almeida,1563668,Liga Portugal 25/26,Liga Portugal Betclic,Famalicão,6.6,1,0,0,0,0,0.00159737,4,4,100.0,2,2,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,100.0,14,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,1,0,0.0,0,2,2,0,0.0,1,0,2,0.0
Gustavo Sá,1563665,Liga Portugal 25/26,Liga Portugal Betclic,Famalicão,6.9444444444444,27,4,7,4,2,3.38626317,664,875,75.885714285714,235,429,285,34,14,40.0,38,12,6,0,0,11,27.5,39,13,116,46.963562753036,46,56.09756097561,2298,10.25641025641,0,0,0,0,0,0,65,65.0,36,0,1,19,332,13,84,47,1298,65,68,1,0,26,3,11,1,0,8,0,0,0,0,0,0,27,0.0,33,35,40,100,19,26,68.421052631579,0,274,601,0,4.2768,107,3,27,0.0
Gustavo Sá,1563665,Liga Portugal 24/25,Liga Portugal Betclic,Famalicão,6.9272727272727,33,4,8,3,6,2.95530805,635,865,73.410404624277,244,400,249,38,17,34.0,44,13,7,0,0,9,16.071428571429,36,13,142,46.55737704918,50,46.728971962617,2550,11.111111111111,0,0,1,2,0,0,48,58.536585365854,22,0,3,32,404,19,63,33,1360,82,62,0,0,39,5,9,0,0,1,0,0,0,0,0,0,32,0.0,38,50,56,82,30,29,65.909090909091,0,287,634,1,3.7084,110,0,33,0.0
Gustavo Sá,1563665,Liga Portugal 23/24,Liga Portugal Betclic,Famalicão,6.9285714285714,28,3,5,0,5,3.21776469,461,607,75.947281713344,194,274,163,29,24,42.857142857143,37,12,6,0,0,7,23.333333333333,34,8,124,46.792452830189,36,58.064516129032,1864,8.8235294117647,0,0,0,0,0,0,63,64.948453608247,29,0,0,36,282,10,69,45,1031,64,49,1,0,28,1,11,0,0,1,0,0,0,0,0,0,24,0.0,29,56,30,97,21,22,59.459459459459,0,228,409,1,2.3058,86,0,28,0.0
Óscar Aranda,984626,Liga Portugal 24/25,Liga Portugal Betclic,Famalicão,7.0787878787879,33,9,3,4,3,2.58592922,586,733,79.945429740791,204,386,262,19,88,51.764705882353,26,9,5,0,0,4,7.1428571428571,69,23,201,53.174603174603,34,47.887323943662,2622,13.04347826087,5,4,1,0,8,1,47,65.277777777778,22,0,0,58,425,23,49,31,1401,89,19,3,0,20,6,20,1,0,0,0,0,0,0,0,0,33,12.5,18,170,56,72,30,19,73.076923076923,0,241,548,1,7.259,129,0,33,0.0
Óscar Aranda,984626,Liga Portugal 23/24,Liga Portugal Betclic,Famalicão,6.8666666666667,21,1,3,0,0,0.75156538,163,200,81.5,56,115,74,11,32,51.612903225806,7,1,3,0,0,8,28.571428571429,30,8,82,59.85401459854,5,38.461538461538,750,3.3333333333333,0,0,0,0,8,0,16,84.210526315789,1,0,0,11,131,9,15,9,445,44,6,2,0,8,2,6,0,0,0,0,0,0,0,0,0,8,0.0,11,62,28,19,6,4,57.142857142857,0,64,164,0,0.9061,48,0,21,0.0
Sorriso,1105595,Liga Portugal 25/26,Liga Portugal Betclic,Famalicão,6.9481481481481,27,5,8,9,4,4.27268219,533,676,78.846153846154,141,392,262,31,19,35.849056603774,36,14,6,0,0,28,20.289855072464,56,18,127,52.697095435685,42,47.727272727273,2286,8.9285714285714,0,0,0,0,0,0,28,57.142857142857,27,0,0,38,409,20,46,25,1285,75,29,1,0,17,1,23,0,0,6,0,0,0,0,0,0,27,0.0,31,53,138,49,20,22,61.111111111111,0,168,508,1,7.3313,112,0,27,0.0
Sorriso,1105595,Liga Portugal 24/25,Liga Portugal Betclic,Famalicão,7.0758620689655,29,8,7,4,4,3.82440487,449,603,74.461028192371,141,342,199,30,20,35.714285714286,33,18,1,0,0,34,26.771653543307,51,21,95,42.986425339367,22,39.285714285714,2035,15.686274509804,0,0,1,0,5,0,18,45.0,17,0,0,43,394,12,50,25,1169,44,29,1,0,20,2,12,1,0,3,0,0,0,0,0,0,24,0.0,29,56,127,40,23,15,45.454545454545,0,193,537,4,5.4856,105,0,29,0.0
Sorriso,1105595,Liga Portugal 23/24,Liga Portugal Betclic,Famalicão,6.7133333333333,15,1,1,3,2,1.36583344,156,204,76.470588235294,60,109,61,12,6,28.571428571429,14,7,1,0,0,13,27.659574468085,21,1,38,38.383838383838,9,29.032258064516,852,4.7619047619048,0,0,0,0,1,0,11,64.705882352941,9,0,0,23,149,8,17,11,459,18,19,0,0,9,2,4,0,0,1,0,0,0,0,0,0,9,0.0,12,21,47,17,11,9,64.285714285714,0,71,180,0,1.7558,38,0,15,0.0
Gil Dias,583838,Liga Portugal 25/26,Liga Portugal Betclic,Famalicão,7.1259259259259,27,3,13,6,6,6.3690847,476,679,70.103092783505,141,335,217,32,25,54.347826086957,54,14,6,0,0,32,32.0,41,10,120,49.792531120332,15,53.571428571429,2017,7.3170731707317,0,0,0,0,0,0,16,36.363636363636,18,0,0,31,375,19,56,23,1174,41,35,0,0,34,0,13,1,0,6,0,0,0,0,0,0,24,0.0,31,46,100,44,18,39,72.222222222222,0,183,496,4,3.4854,120,2,27,0.0
Gil Dias,583838,Liga Portugal 24/25,Liga Portugal Betclic,Famalicão,6.8533333333333,30,5,2,2,2,1.28866914,332,464,71.551724137931,102,238,150,14,29,42.028985507246,35,12,8,0,0,8,22.857142857143,42,18,86,44.559585492228,15,42.857142857143,1416,11.904761904762,0,0,0,0,0,0,9,37.5,21,0,1,22,274,12,24,12,849,22,21,1,0,26,3,14,0,0,1,0,0,0,0,0,0,13,0.0,14,69,35,24,23,22,62.857142857143,0,139,360,1,2.6868,96,0,30,0.0
Pedro Santos,1120040,Liga Portugal 25/26,Liga Portugal Betclic,Famalicão,6.6764705882353,17,1,1,2,2,1.44126585,122,145,84.137931034483,47,75,48,7,6,42.857142857143,20,3,2,0,0,5,20.833333333333,7,1,36,51.428571428571,3,18.75,586,14.285714285714,0,0,0,0,0,0,1,14.285714285714,3,0,0,6,68,2,6,3,270,11,14,1,0,7,2,3,0,0,1,0,0,0,0,0,0,5,0.0,7,14,24,7,7,12,60.0,0,57,88,0,1.1717,21,0,18,0.0
Mathias De Amorim,1511656,Liga Portugal 25/26,Liga Portugal Betclic,Famalicão,6.8666666666667,24,3,3,2,1,2.93021036,554,682,81.231671554252,226,328,194,21,33,55.932203389831,61,22,6,1,1,5,23.809523809524,30,7,153,54.063604240283,11,34.375,1936,10.0,0,0,0,1,0,0,33,75.0,12,0,2,22,250,10,48,26,1100,59,55,0,0,28,2,8,0,0,4,0,0,0,0,0,0,24,0.0,21,59,21,44,14,35,57.377049180328,0,256,426,4,2.2435,109,4,24,0.0
Mathias De Amorim,1511656,Liga Portugal 24/25,Liga Portugal Betclic,Famalicão,6.8541666666667,24,1,3,1,1,1.24473559,365,440,82.954545454545,142,228,130,16,11,45.833333333333,40,14,4,0,0,5,38.461538461538,15,2,84,55.629139072848,9,33.333333333333,1067,6.6666666666667,0,0,0,0,0,0,18,78.260869565217,8,0,1,14,145,6,18,10,686,33,26,1,0,17,1,4,0,0,0,0,0,0,0,0,0,10,0.0,16,24,13,23,10,21,52.5,0,162,291,0,1.1572,69,0,24,0.0
Otar Mamageishvili,1006067,Liga Portugal 25/26,Liga Portugal Betclic,Famalicão,6.475,8,0,0,1,0,0.3815712,26,36,72.222222222222,15,11,8,1,1,20.0,1,1,0,0,0,0,0.0,1,0,4,40.0,2,22.222222222222,144,0.0,0,0,0,0,0,0,4,66.666666666667,3,0,0,0,21,1,4,2,63,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,5,3,6,4,1,100.0,0,18,18,0,0.5342,3,0,8,0.0
Otar Mamageishvili,1006067,Liga Portugal 24/25,Liga Portugal Betclic,Famalicão,6.4,4,0,0,0,0,0.00155363,6,15,40.0,3,3,1,0,0,0.0,1,0,2,0,0,0,0.0,1,0,1,25.0,0,0.0,48,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,9,0,0,0,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,4,1,1,100.0,0,5,10,0,0.0774,3,0,4,0.0
Rochinha,352874,Liga Portugal 25/26,Liga Portugal Betclic,Famalicão,7.1,1,0,0,0,0,0.198412,3,4,75.0,0,3,1,3,0,0.0,0,0,0,0,0,4,80.0,0,0,2,66.666666666667,0,0.0,13,0.0,0,0,0,0,0,0,1,50.0,0,0,0,0,2,0,1,1,11,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0,5,2,0,0,0.0,0,0,4,0,0.0,1,0,1,0.0
Rochinha,352874,Liga Portugal 24/25,Liga Portugal Betclic,Famalicão,6.5590909090909,22,0,1,0,0,1.00372993,153,196,78.061224489796,61,100,56,9,10,27.777777777778,11,5,4,0,0,8,20.512820512821,15,2,53,42.741935483871,4,33.333333333333,919,0.0,0,0,0,0,0,0,15,71.428571428571,3,0,0,21,149,5,15,7,415,32,21,0,0,5,2,5,0,0,0,0,0,0,0,0,0,12,0.0,9,36,39,21,13,8,72.727272727273,0,71,164,0,0.5701,39,0,22,0.0
