İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented
Abdulkarim Darisi,1548394,Saudi Pro League 24/25,Saudi Pro League,Al-Ahli,6.5125,8,1,1,0,0,0.0,14,21,66.666666666667,9,6,4,2,0,0.0,4,0,0,0,0,1,50.0,2,1,4,30.769230769231,0,0.0,224,50.0,0,0,0,0,0,0,0,0.0,0,0,0,2,27,0,0,0,53,0,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0,2,0.0,2,3,2,2,3,1,25.0,0,9,14,0,0.0,5,0,10,0.0
Abdulkarim Darisi,1548394,Saudi Pro League 23/24,Saudi Pro League,Al-Ahli,6.3833333333333,6,0,0,0,0,0.0,17,28,60.714285714286,10,8,4,0,3,33.333333333333,5,1,0,0,0,1,25.0,0,0,10,41.666666666667,3,37.5,111,0.0,0,0,0,0,0,0,1,25.0,0,0,0,4,29,1,3,0,68,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,9,4,4,2,3,60.0,0,11,21,0,0.0,8,0,8,0.0
Ivan Toney,290927,Saudi Pro League 25/26,Saudi Pro League,Al-Ahli,7.3384615384615,26,26,7,15,6,3.90702943,259,370,70.0,72,187,120,18,5,22.727272727273,17,6,3,0,0,0,0.0,76,41,56,45.901639344262,37,45.679012345679,2209,34.210526315789,9,8,2,0,3,0,7,35.0,26,0,0,15,213,13,29,12,703,35,34,1,0,3,26,13,0,0,10,0,0,0,0,0,0,25,0.0,18,22,7,20,18,11,64.705882352941,0,85,285,4,21.0753,45,5,26,0.0
Ivan Toney,290927,Saudi Pro League 24/25,Saudi Pro League,Al-Ahli,7.43,30,23,12,28,4,0.0,391,544,71.875,151,246,148,33,12,27.906976744186,19,6,5,0,0,6,35.294117647059,115,56,70,40.229885057471,37,56.923076923077,2533,20.0,10,10,4,0,7,0,8,34.782608695652,27,0,0,26,304,24,24,11,972,39,38,5,0,13,23,18,1,0,6,0,0,0,0,0,0,29,0.0,32,43,17,23,31,12,63.157894736842,0,168,393,5,0.0,84,0,30,0.0
Ricardo Mathias,1483340,Saudi Pro League 25/26,Saudi Pro League,Al-Ahli,6.6,1,0,0,0,0,8.65e-05,2,3,66.666666666667,2,0,0,0,0,0.0,0,1,0,0,0,0,0.0,0,0,0,0.0,1,50.0,14,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,3,0,0,0.0,2,0,1,0.0
Firas Al-Buraikan,893307,Saudi Pro League 25/26,Saudi Pro League,Al-Ahli,6.7185185185185,27,3,2,2,1,1.58849848,155,224,69.196428571429,40,115,76,11,5,33.333333333333,32,8,1,0,0,5,35.714285714286,14,6,47,47.474747474747,26,59.090909090909,1275,21.428571428571,0,0,0,0,0,0,7,58.333333333333,21,0,1,6,112,10,6,3,411,11,20,0,0,16,2,5,0,0,4,0,0,0,0,0,0,11,0.0,11,15,14,12,10,23,71.875,0,48,176,0,1.8039,40,4,27,0.0
Firas Al-Buraikan,893307,Saudi Pro League 24/25,Saudi Pro League,Al-Ahli,6.9424242424242,33,3,5,7,5,0.0,319,438,72.831050228311,83,239,166,21,9,40.909090909091,40,12,2,0,0,3,18.75,29,12,75,52.816901408451,43,63.235294117647,2075,10.344827586207,0,0,1,0,0,0,6,40.0,17,0,0,16,200,13,9,5,731,26,28,0,0,10,8,4,0,0,5,0,0,0,0,0,0,22,0.0,21,22,16,15,29,25,62.5,0,105,349,0,0.0,67,0,33,0.0
Firas Al-Buraikan,893307,Saudi Pro League 23/24,Saudi Pro League,Al-Ahli,7.2125,32,17,8,11,8,0.0,328,420,78.095238095238,92,239,146,23,11,39.285714285714,29,8,0,0,0,3,37.5,46,26,61,47.286821705426,41,48.235294117647,2508,36.95652173913,1,1,0,0,0,0,3,60.0,23,0,0,24,197,13,5,5,725,21,18,1,1,10,15,7,0,0,4,0,0,0,0,0,0,28,0.0,23,28,8,5,25,17,58.620689655172,0,102,326,5,0.0,47,0,32,0.0
Riyad Mahrez,158213,Saudi Pro League 25/26,Saudi Pro League,Al-Ahli,7.5136363636364,22,4,14,2,7,7.6902682,592,696,85.057471264368,175,417,247,70,18,51.428571428571,21,8,1,0,0,50,39.68253968254,30,7,57,44.88188976378,7,50.0,1871,13.333333333333,0,0,0,0,2,0,49,69.014084507042,7,0,0,30,277,20,73,40,1098,18,9,1,0,14,16,13,3,0,6,0,0,0,0,0,0,22,0.0,67,35,126,71,12,9,42.857142857143,0,186,510,6,3.0524,81,2,22,0.0
Riyad Mahrez,158213,Saudi Pro League 24/25,Saudi Pro League,Al-Ahli,7.5483870967742,31,8,21,4,10,0.0,961,1128,85.195035460993,337,691,348,95,25,43.859649122807,34,13,4,0,0,67,36.216216216216,56,23,93,41.150442477876,8,47.058823529412,2697,14.285714285714,1,1,3,0,10,1,72,66.05504587156,8,0,0,31,412,23,124,72,1730,35,28,0,0,43,25,17,1,0,8,0,0,0,0,0,0,31,10.0,94,57,185,109,26,20,58.823529411765,0,360,953,5,0.0,123,0,31,0.0
