İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented
Sultan Mandash,818568,Saudi Pro League 23/24,Saudi Pro League,Al-Fayha,6.740625,32,2,5,5,3,0.0,329,442,74.434389140271,101,248,116,26,40,43.010752688172,33,4,1,0,0,20,30.30303030303,20,7,103,44.206008583691,12,48.0,1600,10.0,1,1,2,0,0,0,23,60.526315789474,5,0,0,35,310,6,41,19,867,31,25,1,0,20,7,6,0,0,0,0,0,0,0,0,0,17,0.0,26,93,66,38,27,25,75.757575757576,0,126,382,1,0.0,88,0,32,0.0
Ahmed Al-Kassar,818749,Saudi Pro League 23/24,Saudi Pro League,Al-Fayha,6.7,1,0,0,0,0,0.0,1,12,8.3333333333333,1,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,45,0.0,0,0,0,0,0,0,1,8.3333333333333,0,0,0,0,11,0,0,0,17,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0.0,0,0,0,12,2,0,0.0,0,1,11,0,0.0,4,0,1,0.0
Faris Abdi,983833,Saudi Pro League 24/25,Saudi Pro League,Al-Fayha,6.8133333333333,30,1,3,3,1,0.0,1140,1305,87.35632183908,631,517,186,13,33,63.461538461538,114,26,9,0,0,8,16.0,11,4,164,50.931677018634,19,43.181818181818,2484,9.0909090909091,0,0,0,3,0,0,29,52.727272727273,44,0,2,30,367,10,12,8,2024,18,52,0,0,61,2,3,0,0,8,0,0,0,0,0,0,28,0.0,13,52,50,55,43,79,69.298245614035,0,682,673,0,0.0,172,0,31,0.0
Silvère Ganvoula,787448,Saudi Pro League 25/26,Saudi Pro League,Al-Fayha,6.6272727272727,22,3,0,5,0,0.29979347,106,168,63.095238095238,30,76,36,13,13,56.521739130435,10,2,2,0,0,0,0.0,28,8,37,47.435897435897,40,64.516129032258,972,10.714285714286,0,0,0,0,1,0,6,60.0,11,0,0,11,135,3,7,5,351,15,20,0,0,4,11,5,0,0,3,0,0,0,0,0,0,8,0.0,13,23,3,10,16,4,40.0,0,37,131,0,4.7893,19,1,22,0.0
Abdullah Radif,1101759,Saudi Pro League 25/26,Saudi Pro League,Al-Fayha,6.4,2,0,0,0,0,0.00018893,3,3,100.0,1,2,0,0,0,0.0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,27,0.0,0,0,0,0,0,0,0,0.0,0,0,0,1,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0.0,0,1,2,0,0.0973,0,0,3,0.0
Jason,330677,Saudi Pro League 25/26,Saudi Pro League,Al-Fayha,6.9444444444444,27,4,9,6,7,3.88274135,441,572,77.097902097902,181,260,147,37,18,48.648648648649,28,4,3,0,0,23,23.469387755102,58,15,96,51.336898395722,10,28.571428571429,2286,6.8965517241379,0,0,1,0,6,0,29,60.416666666667,10,0,1,27,318,8,51,31,1009,51,24,3,0,26,7,10,0,0,3,0,0,0,0,0,0,27,0.0,37,37,98,48,35,19,67.857142857143,0,206,366,1,4.94,73,1,27,0.0
Malek Al Abdulmonam,1017888,Saudi Pro League 25/26,Saudi Pro League,Al-Fayha,6.4333333333333,3,0,0,0,1,0.04706585,4,5,80.0,3,1,1,1,1,50.0,1,0,0,0,0,0,0.0,0,0,2,40.0,0,0.0,37,0.0,0,0,0,0,0,0,0,0.0,0,0,0,1,4,0,0,0,12,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,2,0,0,0,0,0.0,0,3,2,0,0.0,2,0,6,0.0
Malek Al Abdulmonam,1017888,Saudi Pro League 24/25,Saudi Pro League,Al-Fayha,6.6285714285714,7,0,0,0,0,0.0,25,34,73.529411764706,6,19,7,1,1,100.0,1,1,1,0,0,0,0.0,4,1,5,38.461538461538,5,26.315789473684,222,0.0,0,0,0,0,0,0,2,66.666666666667,2,0,0,1,13,0,5,3,54,3,7,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1,1,1,3,3,0,0.0,0,6,29,0,0.0,5,0,12,0.0
Malek Al Abdulmonam,1017888,Saudi Pro League 23/24,Saudi Pro League,Al-Fayha,6.6,1,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,100.0,0,0.0,16,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0
Sattam Al-Roqi,1521951,Saudi Pro League 24/25,Saudi Pro League,Al-Fayha,6.65,16,0,1,0,1,0.0,89,107,83.177570093458,27,65,35,5,5,55.555555555556,12,2,0,0,0,3,18.75,2,0,27,65.853658536585,1,25.0,369,0.0,0,0,0,0,0,0,2,33.333333333333,4,0,0,4,49,2,4,3,196,10,4,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0.0,5,9,16,6,7,9,75.0,0,31,92,0,0.0,16,0,16,0.0
Redha Alabdullah,1547363,Saudi Pro League 24/25,Saudi Pro League,Al-Fayha,6.7,1,0,0,0,0,0.0,3,3,100.0,1,2,0,0,0,0.0,0,0,0,0,0,0,0.0,1,1,0,0.0,0,0.0,11,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,0,0.0,0,1,2,0,0.0,1,0,2,0.0
Fashion Sakala,876626,Saudi Pro League 25/26,Saudi Pro League,Al-Fayha,7.1416666666667,24,11,9,5,4,4.31673474,403,518,77.799227799228,119,284,156,40,51,44.736842105263,9,2,2,0,0,7,10.9375,59,24,80,36.529680365297,9,31.034482758621,2094,18.64406779661,1,1,0,0,0,0,7,53.846153846154,10,0,0,45,353,19,8,3,977,21,15,3,0,16,31,16,2,0,4,0,0,0,0,0,0,24,0.0,38,114,64,13,35,4,44.444444444444,0,142,376,4,5.2092,73,1,24,0.0
