İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented
Murad Al Hawsawi,1549082,Saudi Pro League 24/25,Saudi Pro League,Al-Khaleej,6.79,30,1,1,1,0,0.0,588,704,83.522727272727,285,305,139,10,8,72.727272727273,70,21,6,0,0,2,66.666666666667,12,1,90,55.21472392638,4,26.666666666667,1463,8.3333333333333,0,0,0,0,0,0,51,57.303370786517,20,0,2,10,152,6,97,54,940,12,35,0,0,26,0,4,1,0,0,0,0,0,0,0,0,16,0.0,9,11,3,89,26,42,60.0,0,321,386,0,0.0,98,0,31,0.0
Saleh Abu Al-Shamat,1429250,Saudi Pro League 24/25,Saudi Pro League,Al-Khaleej,6.8566666666667,30,1,6,1,6,0.0,506,646,78.328173374613,181,332,198,29,40,48.780487804878,36,14,7,0,0,7,25.0,30,12,104,44.635193133047,1,7.1428571428571,1183,3.3333333333333,0,0,0,0,1,0,32,55.172413793103,7,0,0,32,280,10,61,40,1024,28,22,0,0,34,2,4,0,0,0,0,0,0,0,0,0,12,0.0,29,82,28,58,22,21,58.333333333333,0,201,473,0,0.0,86,0,30,0.0
Abduleallah Hawsawi,1533745,Saudi Pro League 23/24,Saudi Pro League,Al-Khaleej,6.75,24,1,1,0,1,0.0,406,481,84.407484407484,167,243,108,12,39,70.909090909091,20,11,5,1,1,4,50.0,20,5,86,53.086419753086,10,50.0,1496,5.0,0,0,0,0,0,0,25,58.139534883721,7,0,0,18,152,3,21,12,730,27,28,0,0,15,1,7,0,0,0,0,0,0,0,0,0,17,0.0,12,55,8,43,20,16,80.0,0,184,305,0,0.0,53,0,26,0.0
Raed Ozaybi,1089085,Saudi Pro League 24/25,Saudi Pro League,Al-Khaleej,7.0555555555556,9,0,0,0,0,0.0,137,192,71.354166666667,132,5,0,0,0,0.0,0,0,2,0,0,0,0.0,0,0,3,75.0,4,80.0,810,0.0,0,0,0,1,0,0,24,30.379746835443,10,1,1,0,57,0,9,1,314,3,1,0,0,0,0,0,0,39,0,0,5,5,4,2,0,9,0.0,0,0,0,79,20,0,0.0,0,155,37,1,0.0,85,0,9,0.0
Kostas Fortounis,115577,Saudi Pro League 25/26,Saudi Pro League,Al-Khaleej,7.8304347826087,23,10,24,2,11,9.3273233,945,1176,80.357142857143,355,590,349,82,41,51.25,11,3,0,0,0,60,26.666666666667,55,21,104,49.760765550239,4,33.333333333333,2042,18.181818181818,5,5,0,0,4,0,118,72.83950617284,3,0,0,45,529,17,150,95,1764,53,2,1,0,19,7,13,0,0,1,0,0,0,0,0,0,23,0.0,82,80,225,162,33,8,72.727272727273,0,395,781,4,9.1353,70,1,23,0.0
Kostas Fortounis,115577,Saudi Pro League 24/25,Saudi Pro League,Al-Khaleej,7.6033333333333,30,9,11,4,5,0.0,1156,1425,81.122807017544,400,807,487,78,75,55.970149253731,25,3,4,0,0,51,28.651685393258,80,34,165,54.817275747508,6,28.571428571429,2578,11.25,6,4,0,0,11,0,128,71.111111111111,3,0,1,50,604,20,210,131,2161,65,14,4,0,14,7,18,1,0,3,0,0,0,0,0,0,29,0.0,77,134,178,180,48,14,56.0,0,443,1160,6,0.0,113,0,30,0.0
Joshua King,100621,Saudi Pro League 25/26,Saudi Pro League,Al-Khaleej,7.3136363636364,22,14,7,9,2,2.59552182,283,351,80.626780626781,114,169,97,22,19,41.304347826087,15,3,2,0,0,0,0.0,46,27,54,38.028169014085,26,59.090909090909,1704,30.434782608696,0,0,1,0,0,0,4,50.0,11,1,0,25,171,17,12,7,609,20,34,1,0,5,10,6,0,0,2,0,0,0,0,0,0,19,0.0,22,46,2,8,27,7,46.666666666667,0,132,219,3,11.0062,57,5,22,0.0
Thamer Al Khaibri,1536875,Saudi Pro League 25/26,Saudi Pro League,Al-Khaleej,6.41,10,0,0,2,0,0.28626131,33,47,70.212765957447,13,20,14,1,1,33.333333333333,0,0,0,0,0,0,0.0,4,0,3,23.076923076923,4,36.363636363636,238,0.0,0,0,0,0,0,0,1,50.0,4,0,0,2,24,1,2,2,73,2,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,1,3,1,2,6,0,0.0,0,13,34,0,0.5416,3,0,10,0.0
Giorgos Masouras,592560,Saudi Pro League 25/26,Saudi Pro League,Al-Khaleej,6.9814814814815,27,12,4,11,2,3.38069904,599,741,80.836707152497,214,385,228,31,20,48.780487804878,28,4,2,0,0,10,17.241379310345,57,28,63,42.857142857143,36,42.352941176471,2393,21.052631578947,0,0,0,0,0,0,22,55.0,14,0,0,20,284,9,45,19,1108,15,28,1,0,19,22,8,0,0,2,0,0,0,0,0,0,27,0.0,31,41,58,40,42,20,71.428571428571,0,245,496,1,8.1879,88,6,27,0.0
Dimitrios Kourbelis,128089,Saudi Pro League 25/26,Saudi Pro League,Al-Khaleej,6.8565217391304,23,1,2,4,1,1.92105925,904,1013,89.23988153998,449,455,197,10,9,52.941176470588,52,26,2,2,2,2,33.333333333333,24,5,90,52.325581395349,18,52.941176470588,1800,4.1666666666667,0,0,0,0,0,0,60,69.767441860465,31,1,1,14,154,14,98,68,1288,29,34,2,0,26,0,2,0,0,1,0,0,0,0,0,0,22,0.0,10,17,6,86,27,34,65.384615384615,0,475,538,2,2.6197,119,5,23,0.0
