İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented
Eid Al Muwallad,1521467,Saudi Pro League 23/24,Saudi Pro League,Al-Okhdood,6.7769230769231,26,0,0,1,1,0.0,794,909,87.348734873487,491,305,98,8,7,87.5,72,26,9,0,0,2,33.333333333333,4,1,101,54.010695187166,4,19.047619047619,1948,0.0,0,0,0,0,0,0,38,46.341463414634,23,1,2,14,175,3,58,25,1213,22,45,0,0,28,0,1,0,0,6,0,0,0,0,0,0,23,0.0,8,8,6,82,32,48,66.666666666667,0,519,396,0,0.0,119,0,27,0.0
Abdulaziz Rahma,1429802,Saudi Pro League 23/24,Saudi Pro League,Al-Okhdood,7.0666666666667,3,0,0,0,0,0.0,33,60,55.0,22,11,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,100.0,270,0.0,0,0,0,0,0,0,18,40.909090909091,1,0,0,0,27,0,3,2,83,1,0,0,0,1,0,0,0,12,1,0,0,3,3,2,0,3,0.0,0,0,0,44,6,0,0.0,0,27,33,0,0.0,25,0,3,0.0
Khaled Narey,190065,Saudi Pro League 25/26,Saudi Pro League,Al-Okhdood,6.54375,16,3,1,2,1,1.11804033,203,244,83.196721311475,69,134,69,13,7,38.888888888889,6,4,1,0,0,7,17.073170731707,24,16,23,31.506849315068,5,26.315789473684,1268,12.5,1,0,0,0,1,0,4,40.0,12,0,0,17,141,3,8,4,448,11,7,0,0,16,8,4,0,0,1,0,0,0,0,0,0,15,0.0,13,18,41,10,26,3,50.0,0,83,161,1,2.6881,37,1,16,0.0
Saleh Al Abbas,989766,Saudi Pro League 25/26,Saudi Pro League,Al-Okhdood,6.5133333333333,15,1,1,2,1,0.18326735,83,107,77.570093457944,32,51,21,3,1,20.0,4,1,1,1,1,0,0.0,7,2,14,41.176470588235,14,34.146341463415,568,14.285714285714,0,0,0,0,0,0,2,66.666666666667,6,0,0,3,43,2,5,3,171,11,10,0,0,3,2,1,0,0,0,0,0,0,0,0,0,5,0.0,3,5,0,3,15,3,75.0,0,36,71,0,1.3942,10,1,15,0.0
Saleh Al Abbas,989766,Saudi Pro League 24/25,Saudi Pro League,Al-Okhdood,6.5608695652174,23,3,0,6,0,0.0,83,106,78.301886792453,37,46,23,7,1,16.666666666667,8,2,3,0,0,0,0.0,18,7,17,26.153846153846,10,29.411764705882,698,16.666666666667,0,0,0,0,0,0,2,100.0,5,0,0,10,50,3,2,1,191,8,21,0,0,13,2,1,0,0,0,0,0,0,0,0,0,5,0.0,7,6,2,2,10,6,75.0,0,40,68,0,0.0,16,0,26,0.0
Khaled Al-Lazam,1000119,Saudi Pro League 25/26,Saudi Pro League,Al-Okhdood,6.6625,8,0,1,2,1,0.53794632,38,50,76.0,16,22,12,2,3,75.0,2,1,1,0,0,0,0.0,5,2,11,50.0,13,41.935483870968,340,0.0,0,0,0,0,0,0,0,0.0,1,0,0,1,25,1,0,0,87,6,6,1,0,3,2,1,0,0,0,0,0,0,0,0,0,4,0.0,2,4,0,0,10,1,50.0,0,18,32,0,0.3183,4,1,8,0.0
Christian Bassogog,818218,Saudi Pro League 25/26,Saudi Pro League,Al-Okhdood,6.8954545454545,22,3,6,2,5,2.52473423,403,502,80.278884462151,143,260,177,27,39,52.0,13,5,1,0,0,15,20.547945205479,28,10,84,50.299401197605,12,52.173913043478,1764,10.714285714286,1,1,0,0,2,0,23,60.526315789474,5,0,2,28,292,9,37,20,910,33,9,0,0,12,15,8,3,0,0,0,0,0,0,0,0,21,0.0,24,75,73,38,40,9,69.230769230769,0,165,337,0,3.0333,80,3,22,0.0
Christian Bassogog,818218,Saudi Pro League 24/25,Saudi Pro League,Al-Okhdood,7.090625,32,6,7,3,1,0.0,627,776,80.798969072165,167,491,289,42,78,55.31914893617,25,10,1,0,0,31,26.495726495726,45,22,147,49.830508474576,11,40.740740740741,2732,13.333333333333,0,0,1,0,1,0,47,64.383561643836,7,0,0,44,431,23,65,34,1424,44,24,1,0,19,26,7,0,0,1,0,0,0,0,0,0,31,0.0,42,141,117,73,44,18,72.0,0,193,700,1,0.0,106,0,32,0.0
Yvan Neyou,869931,Saudi Pro League 25/26,Saudi Pro League,Al-Okhdood,6.5166666666667,6,0,0,0,0,0.05732528,124,144,86.111111111111,70,54,26,1,2,50.0,3,6,1,0,0,0,0.0,1,0,15,57.692307692308,3,50.0,457,0.0,0,0,0,0,0,0,6,75.0,4,0,0,2,29,0,12,6,191,10,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0.0,1,4,0,8,13,2,66.666666666667,0,77,67,0,0.0374,13,3,6,0.0
Tokmac Nguen,164645,Saudi Pro League 25/26,Saudi Pro League,Al-Okhdood,6.2125,8,1,0,1,0,0.32979718,58,73,79.452054794521,22,36,17,4,2,33.333333333333,1,1,0,0,1,2,50.0,7,3,10,27.027027027027,3,20.0,394,14.285714285714,0,0,0,0,0,0,2,100.0,2,1,0,9,37,1,0,0,128,7,7,1,0,7,2,4,0,0,0,0,0,0,0,0,0,4,0.0,4,6,4,2,14,0,0.0,1,26,47,0,1.4541,11,0,8,0.0
