İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented
Saad Fahad Al Nasser,1118494,Saudi Pro League 24/25,Saudi Pro League,Al-Taawoun,6.9814814814815,27,1,2,2,2,0.0,929,1095,84.840182648402,447,492,219,15,24,53.333333333333,67,54,0,0,0,10,19.607843137255,11,2,116,58.0,16,42.105263157895,2168,9.0909090909091,0,0,0,1,0,0,43,64.179104477612,55,1,5,18,299,12,63,40,1634,27,14,0,0,31,1,4,0,0,7,0,0,0,0,0,0,25,0.0,15,45,51,67,25,42,62.686567164179,0,499,647,0,0.0,155,0,27,0.0
Saad Fahad Al Nasser,1118494,Saudi Pro League 23/24,Saudi Pro League,Al-Taawoun,6.7909090909091,11,0,0,1,1,0.0,195,249,78.313253012048,82,116,59,6,8,57.142857142857,16,8,1,0,0,3,23.076923076923,8,0,35,56.451612903226,3,60.0,609,0.0,0,0,0,0,0,0,8,40.0,6,0,0,6,101,4,20,10,401,11,6,0,0,10,2,2,0,0,1,0,0,0,0,0,0,7,0.0,6,14,13,20,5,6,37.5,0,96,166,0,0.0,48,0,11,0.0
Sultan Mandash,818568,Saudi Pro League 24/25,Saudi Pro League,Al-Taawoun,6.8068965517241,29,3,5,3,1,0.0,441,529,83.364839319471,125,324,184,15,41,47.126436781609,30,13,4,0,1,8,16.326530612245,25,6,106,47.533632286996,6,37.5,1520,12.0,0,0,1,0,1,0,17,58.620689655172,5,0,1,22,260,6,24,8,913,35,32,0,0,18,7,7,0,0,0,0,0,0,0,0,0,15,0.0,15,87,49,29,18,23,76.666666666667,1,146,432,0,0.0,73,0,29,0.0
Saleh Abu Al-Shamat,1429250,Saudi Pro League 23/24,Saudi Pro League,Al-Taawoun,6.6,1,0,0,0,0,0.0,9,11,81.818181818182,3,6,4,0,2,100.0,0,0,1,0,0,0,0.0,4,1,2,66.666666666667,0,0.0,12,0.0,0,0,0,0,0,0,1,100.0,0,0,0,0,5,1,0,0,20,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.0,0,2,2,1,0,0,0.0,0,4,9,0,0.0,3,0,2,0.0
Waleed Al-Ahmed,978400,Saudi Pro League 24/25,Saudi Pro League,Al-Taawoun,6.968,25,2,1,3,0,0.0,864,973,88.79753340185,647,217,48,2,2,50.0,40,25,5,1,1,0,0.0,22,6,61,57.009345794393,50,69.444444444444,1966,9.0909090909091,0,0,0,0,1,0,83,53.896103896104,100,1,0,7,137,1,84,48,1278,19,24,0,0,13,1,4,0,0,5,0,0,0,0,0,0,23,0.0,2,4,0,154,27,25,62.5,0,686,287,2,0.0,91,0,25,0.0
Waleed Al-Ahmed,978400,Saudi Pro League 23/24,Saudi Pro League,Al-Taawoun,7.0619047619048,21,2,0,1,0,0.0,734,837,87.694145758662,512,222,48,4,0,0.0,31,25,3,0,0,0,0.0,12,5,48,58.536585365854,40,67.796610169492,1742,16.666666666667,0,0,0,0,1,0,56,50.909090909091,65,0,0,0,116,0,69,34,1067,19,20,1,2,13,1,1,0,0,6,0,0,0,0,0,0,20,0.0,4,2,0,110,18,19,61.290322580645,0,544,293,3,0.0,56,0,23,0.0
Musa Barrow,916680,Saudi Pro League 25/26,Saudi Pro League,Al-Taawoun,7.96,5,3,5,0,3,1.1767211,129,147,87.755102040816,34,95,51,11,10,71.428571428571,4,0,0,0,0,2,18.181818181818,11,6,17,48.571428571429,2,40.0,398,27.272727272727,0,0,0,0,0,0,7,58.333333333333,3,0,0,7,49,3,15,10,230,3,5,1,0,3,0,0,0,0,1,0,0,0,0,0,0,5,0.0,11,14,11,12,7,3,75.0,0,37,110,2,0.6662,14,0,5,0.0
Musa Barrow,916680,Saudi Pro League 24/25,Saudi Pro League,Al-Taawoun,7.1727272727273,33,13,5,11,3,0.0,887,1047,84.718242597899,326,570,322,26,39,54.929577464789,24,5,1,0,0,9,18.0,97,36,84,52.830188679245,13,27.083333333333,2545,13.40206185567,1,1,0,0,5,0,50,68.493150684932,7,0,0,23,341,14,74,46,1522,21,11,1,0,13,12,29,0,0,3,0,0,0,0,0,0,29,0.0,26,71,50,73,32,12,50.0,0,359,738,2,0.0,117,0,33,0.0
Musa Barrow,916680,Saudi Pro League 23/24,Saudi Pro League,Al-Taawoun,7.2285714285714,21,6,5,4,2,0.0,481,572,84.090909090909,140,355,182,28,27,43.548387096774,9,5,0,0,0,14,27.450980392157,57,23,48,41.379310344828,8,29.62962962963,1590,10.526315789474,1,0,1,0,4,0,25,65.789473684211,7,0,0,17,223,14,28,16,894,12,11,4,0,7,4,11,0,0,0,0,0,0,0,0,0,18,0.0,28,62,51,38,23,6,66.666666666667,0,149,474,1,0.0,72,0,21,0.0
Roger Martínez,344243,Saudi Pro League 25/26,Saudi Pro League,Al-Taawoun,7.264,25,20,4,15,2,2.80252043,340,438,77.625570776256,131,209,144,20,34,53.125,8,2,8,0,0,1,16.666666666667,79,33,91,44.390243902439,41,56.164383561644,2095,25.316455696203,6,6,2,0,2,0,14,58.333333333333,5,0,1,48,259,8,28,13,837,51,37,4,0,3,10,21,0,0,2,0,0,0,0,0,0,25,0.0,20,64,6,24,29,5,62.5,0,140,298,3,15.6013,41,0,25,0.0
Roger Martínez,344243,Saudi Pro League 24/25,Saudi Pro League,Al-Taawoun,7.0722222222222,18,5,2,3,2,0.0,229,300,76.333333333333,62,167,108,19,27,60.0,8,1,2,0,0,0,0.0,38,14,62,45.588235294118,18,37.5,1289,13.157894736842,1,1,0,0,2,0,6,66.666666666667,5,0,0,33,170,8,15,7,541,28,25,3,0,1,16,9,0,0,0,0,0,0,0,0,0,15,0.0,19,45,2,9,18,5,62.5,0,70,232,1,0.0,15,0,18,0.0
Biel,1106140,Saudi Pro League 25/26,Saudi Pro League,Al-Taawoun,6.7666666666667,9,1,1,0,0,0.65898549,156,194,80.412371134021,54,102,55,8,9,42.857142857143,10,4,1,0,0,2,18.181818181818,10,3,34,59.649122807018,4,44.444444444444,717,10.0,0,0,0,0,0,0,7,46.666666666667,4,0,0,5,84,3,15,7,331,15,7,0,0,2,2,3,0,0,0,0,0,0,0,0,0,9,0.0,8,21,11,15,13,5,50.0,0,60,134,0,1.089,31,1,9,0.0
Fahad Ayed Al-Rashidi,974517,Saudi Pro League 25/26,Saudi Pro League,Al-Taawoun,6.4625,8,0,0,0,0,0.01890888,19,29,65.51724137931,6,13,6,1,0,0.0,2,1,2,0,0,0,0.0,0,0,4,36.363636363636,3,60.0,117,0.0,0,0,0,0,0,0,0,0.0,1,0,0,2,14,0,1,0,46,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,3,2,100.0,0,8,21,0,0.0,4,1,10,0.0
Saif Rashad Mohamed,1548483,Saudi Pro League 25/26,Saudi Pro League,Al-Taawoun,6.65,4,0,0,0,0,0.08007094,23,31,74.193548387097,6,17,14,0,3,50.0,2,2,0,0,0,2,40.0,1,1,7,53.846153846154,0,0.0,55,0.0,0,0,0,0,0,0,2,100.0,0,0,0,1,18,0,2,1,56,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,6,5,2,2,2,100.0,0,8,23,0,0.0171,2,0,5,0.0
Cristopher Zambrano,1116357,Saudi Pro League 25/26,Saudi Pro League,Al-Taawoun,6.7692307692308,13,2,2,0,1,1.39290866,115,143,80.41958041958,39,76,47,6,1,20.0,6,2,0,0,0,3,42.857142857143,10,6,14,35.897435897436,3,50.0,604,20.0,0,0,0,0,0,0,3,42.857142857143,2,0,0,5,59,3,6,2,220,7,7,2,0,9,4,2,0,0,0,0,0,0,0,0,0,7,0.0,6,5,7,7,5,3,50.0,0,47,96,0,0.7208,14,0,13,0.0
Mohammed Al-Kuwaykibi,847233,Saudi Pro League 25/26,Saudi Pro League,Al-Taawoun,6.975,16,3,7,2,6,3.15070854,229,296,77.364864864865,80,149,104,19,7,35.0,12,9,1,0,0,15,26.785714285714,17,6,28,45.901639344262,0,0.0,903,17.647058823529,0,0,0,0,1,0,14,46.666666666667,2,0,0,8,168,5,33,15,498,9,5,1,0,7,4,3,1,0,0,0,0,0,0,0,0,11,0.0,18,20,56,30,14,7,58.333333333333,0,93,203,0,1.3609,43,1,16,0.0
