İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented
Stuart Findlay,190261,Premiership 24/25,Scottish Premiership,Kilmarnock,6.8352941176471,17,0,1,4,0,0.0,275,388,70.876288659794,193,82,31,4,5,100.0,16,10,0,0,0,0,0.0,11,3,38,80.851063829787,48,68.571428571429,1236,0.0,0,0,0,0,0,0,39,37.5,89,0,0,1,119,1,32,11,576,19,5,1,0,3,0,2,0,0,3,0,0,0,0,0,0,16,0.0,4,5,1,104,22,11,68.75,0,220,169,0,0.0,46,0,17,0.0
Stuart Findlay,190261,Premiership 23/24,Scottish Premiership,Kilmarnock,6.9918918918919,37,0,0,6,0,0.0,870,1266,68.720379146919,602,269,103,8,8,61.538461538462,42,45,5,0,0,1,11.111111111111,28,5,70,56.910569105691,167,62.313432835821,3330,0.0,0,0,0,1,0,0,132,42.58064516129,156,0,1,9,472,2,101,44,1782,22,24,0,0,18,5,6,0,0,14,0,0,0,0,0,0,37,0.0,8,13,9,310,42,33,78.571428571429,0,749,526,2,0.0,186,0,37,0.0
Kieran O'Hara,788128,Premiership 24/25,Scottish Premiership,Kilmarnock,6.6368421052632,19,0,0,0,0,0.0,177,487,36.344969199179,50,127,54,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,100.0,5,71.428571428571,1605,0.0,0,0,0,0,0,0,141,31.263858093126,22,0,0,0,312,0,10,6,617,1,0,0,0,0,0,0,0,37,4,0,12,7,7,17,0,17,0.0,0,0,0,451,30,0,0.0,0,71,416,0,0.0,166,0,19,0.0
Kieran O'Hara,788128,Premiership 23/24,Scottish Premiership,Kilmarnock,6.5333333333333,3,0,0,0,0,0.0,27,72,37.5,6,21,7,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,100.0,1,50.0,225,0.0,0,0,0,0,0,0,24,35.294117647059,5,1,0,0,45,0,14,7,95,1,0,0,0,0,0,0,0,10,0,0,2,1,1,1,0,2,0.0,0,0,0,68,8,0,0.0,0,9,63,0,0.0,24,0,3,0.0
Liam Donnelly,191252,Premiership 24/25,Scottish Premiership,Kilmarnock,6.7791666666667,24,1,3,2,2,0.0,364,484,75.206611570248,169,199,106,11,4,36.363636363636,47,12,4,0,2,4,36.363636363636,27,6,77,58.333333333333,38,65.51724137931,1458,3.7037037037037,0,0,1,0,1,0,58,53.703703703704,39,1,0,7,169,4,33,17,761,29,35,0,0,9,1,13,1,0,2,0,0,0,0,0,0,16,0.0,10,11,11,108,28,30,63.829787234043,2,189,306,0,0.0,60,0,25,0.0
Liam Donnelly,191252,Premiership 23/24,Scottish Premiership,Kilmarnock,6.7846153846154,26,0,0,2,0,0.0,386,559,69.051878354204,210,179,90,6,5,38.461538461538,45,13,8,0,0,3,37.5,32,9,86,52.439024390244,52,62.650602409639,1694,0.0,0,0,0,1,1,0,48,44.859813084112,31,0,0,13,231,6,24,10,882,37,37,0,0,20,0,12,0,0,7,0,0,0,0,0,0,20,0.0,6,13,8,107,22,21,46.666666666667,0,262,305,0,0.0,97,0,27,0.0
Joe Hugill,1018321,Premiership 25/26,Scottish Premiership,Kilmarnock,6.6222222222222,9,2,3,2,2,0.69449851,59,87,67.816091954023,13,46,34,6,3,75.0,3,2,1,0,0,3,33.333333333333,15,5,7,38.888888888889,6,15.384615384615,561,13.333333333333,0,0,0,0,0,0,2,100.0,5,0,0,4,56,8,3,1,163,1,6,0,0,1,3,6,0,0,1,0,0,0,0,0,0,6,0.0,6,4,9,2,15,3,100.0,0,15,72,1,1.8624,15,1,9,0.0
Tyreece John-Jules,934230,Premiership 25/26,Scottish Premiership,Kilmarnock,7.05,18,8,2,3,2,0.89071713,220,330,66.666666666667,51,169,110,14,15,45.454545454545,12,3,2,0,0,3,17.647058823529,47,20,52,42.622950819672,41,49.397590361446,1151,17.021276595745,0,0,0,0,3,0,17,68.0,23,0,0,24,211,4,20,11,612,26,24,2,0,5,3,14,0,0,0,0,0,0,0,0,0,12,0.0,14,33,17,25,26,3,25.0,0,68,262,3,5.2937,42,0,18,0.0
Djenairo Daniels,1002417,Premiership 25/26,Scottish Premiership,Kilmarnock,6.7285714285714,7,2,0,1,0,0.14731521,43,54,79.62962962963,18,25,16,3,2,50.0,6,1,2,0,0,0,0.0,8,3,12,30.0,4,30.769230769231,326,25.0,0,0,0,0,0,0,2,50.0,0,0,0,10,38,3,5,3,117,4,9,0,0,7,2,1,0,0,0,0,0,0,0,0,0,4,0.0,3,4,0,4,4,3,50.0,0,21,33,1,1.0208,10,0,7,0.0
Bruce Anderson,845437,Premiership 25/26,Scottish Premiership,Kilmarnock,6.5,30,4,1,10,2,0.74138541,185,264,70.075757575758,66,119,74,8,1,9.0909090909091,8,1,2,0,0,1,25.0,38,13,37,32.456140350877,27,27.0,1671,10.526315789474,1,0,0,0,0,0,10,71.428571428571,9,0,0,22,177,11,11,5,500,29,42,1,0,6,18,7,0,0,0,0,0,0,0,0,0,20,0.0,8,11,4,14,40,8,100.0,0,78,186,0,5.4078,44,1,30,0.0
