İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,goals,assists,accuratePasses,totalPasses,accuratePassesPercentage,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,shotFromSetPiece,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToShot,wasFouled,fouls,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,crossesNotClaimed,matchesStarted,totalCross,totalLongBalls,goalsConceded,yellowRedCards,ballRecovery,appearances,countRating,bigChancesCreated,bigChancesMissed,expectedAssists,accurateOwnHalfPasses,accurateOppositionHalfPasses,tackles,interceptions,groundDuelsWon,groundDuelsWonPercentage,penaltyWon,penaltyConceded,freeKickGoal,errorLeadToGoal,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,hitWoodwork,ownGoals,penaltySave,punches,runsOut,successfulRunsOut,highClaims,setPieceConversion,totalAttemptAssist,totalContest,tacklesWon,tacklesWonPercentage,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,outfielderBlocks,goalsPrevented
Oleg Ocheretko,997082,Premier League 24/25,Ukrainian Premier League,Karpaty Lviv,6.9115384615385,2,2,418,553,75.59,59,20,59,78.67,2,0,0,15,28.85,44,10,10,18.52,1866,4.545,1,1,0,16,45.71,17,9,34,30,24,2,2,1,0,0,0,22,52,35,0,0,94,26,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Igor Krasnopir,1436201,Premier League 24/25,Ukrainian Premier League,Karpaty Lviv,6.7633333333333,7,0,206,264,78.03,16,11,26,76.47,3,0,0,7,36.84,33,19,29,24.79,2150,21.21,2,2,0,4,57.14,10,7,28,24,6,17,1,1,0,0,0,23,19,7,0,0,49,30,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Oleg Fedor,1401457,Premier League 24/25,Ukrainian Premier League,Karpaty Lviv,6.6961538461538,0,0,396,492,80.49,50,12,35,70.0,2,0,0,6,30.0,19,4,3,11.54,1558,0.0,0,0,1,12,31.58,8,7,22,27,27,0,1,1,0,0,0,14,20,38,0,0,91,26,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Oleksandr Kemkin,1167841,Premier League 24/25,Ukrainian Premier League,Karpaty Lviv,6.9823529411765,0,0,504,579,87.05,19,0,0,0.0,1,0,0,0,0.0,0,0,2,100.0,1530,0.0,0,0,0,150,69.77,6,2,2,3,3,0,1,0,47,8,0,17,0,215,24,0,47,17,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Baboucarr Faal,1493004,Premier League 25/26,Ukrainian Premier League,Karpaty Lviv,7.1681818181818,9,4,221,305,72.46,24,13,21,70.0,1,0,0,2,33.33,51,21,73,43.45,1980,17.65,1,0,0,3,42.86,23,4,30,25,5,9,6,0,0,0,0,22,6,7,0,0,70,22,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Stênio Zanetti,1046740,Premier League 25/26,Ukrainian Premier League,Karpaty Lviv,6.44,0,0,40,49,81.63,2,1,7,77.78,1,0,0,1,100.0,1,1,0,0.0,250,0.0,0,0,0,0,0.0,2,2,3,4,6,2,1,0,0,0,0,2,1,0,0,0,9,5,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Stênio Zanetti,1046740,Premier League 24/25,Ukrainian Premier League,Karpaty Lviv,6.7642857142857,0,0,138,181,76.24,9,8,22,70.97,0,0,0,7,43.75,12,4,4,22.22,570,0.0,0,0,0,5,50.0,2,1,12,6,9,1,0,0,0,0,0,4,16,10,0,0,38,15,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Bruninho,923949,Premier League 25/26,Ukrainian Premier League,Karpaty Lviv,7.4,7,2,397,487,81.52,49,16,79,84.04,4,0,0,12,33.33,49,23,7,30.43,1805,14.29,1,1,3,10,52.63,7,6,31,16,16,1,1,1,0,0,0,18,36,19,0,0,60,21,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Bruninho,923949,Premier League 24/25,Ukrainian Premier League,Karpaty Lviv,7.2708333333333,8,2,367,464,79.09,39,28,71,73.2,1,0,0,10,32.26,56,19,8,33.33,1796,14.29,4,3,5,7,46.67,10,5,30,8,17,5,4,0,0,0,0,23,31,15,0,0,83,24,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Paulo Vitor,881153,Premier League 25/26,Ukrainian Premier League,Karpaty Lviv,6.955,1,0,225,293,76.79,14,10,52,82.54,1,0,0,18,37.5,35,15,4,30.77,1261,2.857,0,0,0,9,60.0,8,2,16,17,28,1,2,1,0,0,0,13,48,15,0,0,60,20,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
