İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,goals,assists,accuratePasses,totalPasses,accuratePassesPercentage,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,shotFromSetPiece,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToShot,wasFouled,fouls,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,crossesNotClaimed,matchesStarted,totalCross,totalLongBalls,goalsConceded,yellowRedCards,ballRecovery,appearances,countRating,bigChancesCreated,bigChancesMissed,expectedAssists,accurateOwnHalfPasses,accurateOppositionHalfPasses,tackles,interceptions,groundDuelsWon,groundDuelsWonPercentage,penaltyWon,penaltyConceded,freeKickGoal,errorLeadToGoal,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,hitWoodwork,ownGoals,penaltySave,punches,runsOut,successfulRunsOut,highClaims,setPieceConversion,totalAttemptAssist,totalContest,tacklesWon,tacklesWonPercentage,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,outfielderBlocks,goalsPrevented
Mark Assinor,1513507,Premier League 25/26,Ukrainian Premier League,LNZ Cherkasy,7.105,7,0,198,291,68.04,16,15,29,58.0,6,0,0,7,43.75,45,19,36,35.64,1725,15.56,0,0,0,11,64.71,18,1,16,20,5,24,1,4,0,0,0,20,16,17,0,0,59,20,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Mark Assinor,1513507,Premier League 24/25,Ukrainian Premier League,LNZ Cherkasy,6.9333333333333,1,0,38,47,80.85,7,3,3,30.0,0,0,0,0,0.0,7,4,5,38.46,258,14.29,0,0,0,0,0.0,1,0,1,2,0,1,0,0,0,0,0,3,1,1,0,0,5,3,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Danylo Kravchuk,1023385,Premier League 25/26,Ukrainian Premier League,LNZ Cherkasy,6.8,3,0,72,102,70.59,5,3,6,66.67,1,0,0,1,16.67,16,8,8,40.0,451,18.75,0,0,0,2,50.0,3,1,2,4,3,3,0,1,0,0,0,1,6,4,0,0,17,18,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Jewison Bennette,1131933,Premier League 25/26,Ukrainian Premier League,LNZ Cherkasy,6.8666666666667,0,0,102,145,70.34,7,6,24,72.73,0,0,0,7,31.82,11,4,4,33.33,541,0.0,0,0,0,3,42.86,3,0,3,2,5,5,1,0,0,0,0,6,22,7,0,0,25,11,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Jewison Bennette,1131933,Premier League 24/25,Ukrainian Premier League,LNZ Cherkasy,6.7,0,0,29,34,85.29,3,1,6,75.0,0,0,0,1,33.33,1,1,0,0.0,131,0.0,0,0,0,0,0.0,1,0,1,1,2,2,0,0,0,0,0,1,3,0,0,0,8,3,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Muharrem Jashari,885043,Premier League 25/26,Ukrainian Premier League,LNZ Cherkasy,7.2733333333333,3,3,273,386,70.73,28,23,14,58.33,3,0,0,8,34.78,30,13,4,22.22,1349,10.0,1,0,1,16,51.61,14,6,15,13,13,3,2,1,0,0,0,14,23,31,0,0,75,15,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,0.0
Muharrem Jashari,885043,Premier League 24/25,Ukrainian Premier League,LNZ Cherkasy,7.3392857142857,5,6,773,1018,75.93,109,24,80,71.43,7,0,0,11,17.74,76,30,21,35.0,2610,6.579,1,1,5,55,57.29,22,9,54,25,40,4,3,0,0,0,0,28,62,96,0,0,192,29,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Muharrem Jashari,885043,Premier League 23/24,Ukrainian Premier League,LNZ Cherkasy,7.2153846153846,1,1,302,397,76.07,36,7,42,77.78,3,0,0,5,45.45,21,9,10,40.0,1170,4.762,0,0,0,18,51.43,9,6,20,14,26,2,1,0,0,0,0,13,11,35,0,0,84,13,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Shota Nonikashvili,1001314,Premier League 25/26,Ukrainian Premier League,LNZ Cherkasy,6.7631578947368,3,1,212,256,82.81,24,8,1,100.0,6,0,0,0,0.0,18,6,16,57.14,919,16.67,1,1,2,14,53.85,11,7,7,17,18,0,2,0,0,0,0,6,1,26,0,0,85,20,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Shota Nonikashvili,1001314,Premier League 24/25,Ukrainian Premier League,LNZ Cherkasy,6.8631578947368,1,1,637,717,88.84,80,12,7,53.85,1,0,0,0,0.0,11,2,8,26.67,1565,9.091,2,1,3,37,66.07,21,11,26,20,28,0,9,0,0,0,0,15,2,56,0,0,156,19,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Yehor Tverdokhlib,1400418,Premier League 25/26,Ukrainian Premier League,LNZ Cherkasy,7.1263157894737,7,4,347,481,72.14,49,17,14,66.67,5,0,0,4,28.57,36,17,34,45.33,1710,19.44,3,3,0,21,46.67,18,11,28,26,35,1,6,0,0,0,0,18,14,45,0,0,139,19,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Adam Yakubu,1610225,Premier League 25/26,Ukrainian Premier League,LNZ Cherkasy,6.6,0,0,1,1,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,11,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Abdul Awudu,1032325,Premier League 25/26,Ukrainian Premier League,LNZ Cherkasy,7.0,1,0,16,17,94.12,1,1,3,42.86,0,0,0,1,50.0,2,1,0,0.0,74,50.0,0,0,0,0,0.0,0,0,2,5,1,0,0,0,0,0,0,1,2,0,0,0,6,3,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Yevhenii Pastukh,1405557,Premier League 25/26,Ukrainian Premier League,LNZ Cherkasy,6.5772727272727,1,2,313,409,76.53,39,12,22,55.0,3,0,0,5,41.67,8,2,22,37.29,1712,12.5,0,0,0,18,54.55,8,7,7,21,33,4,3,1,0,0,0,18,12,33,0,0,107,22,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Artur Mykytyshyn,1006080,Premier League 25/26,Ukrainian Premier League,LNZ Cherkasy,6.8944444444444,2,1,170,254,66.93,17,23,43,62.32,0,0,0,10,25.0,22,7,5,25.0,1113,9.091,0,0,0,9,56.25,8,4,15,11,12,1,0,2,0,0,0,13,40,16,0,0,45,18,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Viacheslav Tankovskyi,190459,Premier League 25/26,Ukrainian Premier League,LNZ Cherkasy,6.7714285714286,0,1,152,202,75.25,17,5,10,83.33,1,0,0,3,21.43,7,3,7,29.17,761,0.0,0,0,0,5,33.33,12,1,10,9,8,1,2,0,0,0,0,11,14,15,0,0,48,14,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Viacheslav Tankovskyi,190459,Premier League 24/25,Ukrainian Premier League,LNZ Cherkasy,6.7538461538462,1,0,433,485,89.28,48,4,13,59.09,4,0,0,1,33.33,9,3,10,40.0,991,11.11,0,0,0,15,48.39,12,6,18,28,33,1,3,0,0,0,0,12,3,31,0,0,113,13,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Artur Ryabov,985948,Premier League 25/26,Ukrainian Premier League,LNZ Cherkasy,6.9666666666667,1,1,411,527,77.99,54,7,15,83.33,3,0,0,1,16.67,25,5,47,47.47,1810,4.0,0,0,0,22,47.83,29,11,25,31,40,0,8,0,0,0,0,17,6,46,0,0,221,21,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Mark Podolyak,1153318,Premier League 25/26,Ukrainian Premier League,LNZ Cherkasy,0.0,0,0,2,2,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,7,0.0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Davyd Blahodarnyi,2162270,Premier League 24/25,Ukrainian Premier League,LNZ Cherkasy,6.5,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,14,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Ajdi Dajko,1004486,Premier League 25/26,Ukrainian Premier League,LNZ Cherkasy,6.4,0,1,130,143,90.91,13,2,0,0.0,2,0,0,0,0.0,2,0,4,50.0,371,0.0,0,0,0,13,56.52,5,2,0,10,17,0,1,1,0,0,0,3,0,23,0,0,34,7,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Ajdi Dajko,1004486,Premier League 24/25,Ukrainian Premier League,LNZ Cherkasy,6.9,0,1,1028,1134,90.65,50,1,1,100.0,2,0,0,0,0.0,4,1,66,62.26,2160,0.0,0,0,0,65,53.72,73,12,8,21,33,0,22,0,0,0,0,24,0,121,0,0,247,24,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Denys Kuzyk,998954,Premier League 25/26,Ukrainian Premier League,LNZ Cherkasy,7.35,2,3,408,608,67.11,64,35,28,80.0,2,0,0,33,44.59,21,3,21,48.84,1980,9.524,0,0,2,67,47.86,41,10,15,23,38,4,5,1,0,0,0,21,74,140,0,0,161,22,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Oleksandr Drambaev,997084,Premier League 25/26,Ukrainian Premier League,LNZ Cherkasy,7.0333333333333,0,0,293,411,71.29,41,2,15,78.95,0,0,0,2,8.0,4,1,16,50.0,1080,0.0,0,0,0,38,39.58,23,0,11,4,20,0,2,0,0,0,0,11,25,96,0,0,101,12,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Oleksandr Drambaev,997084,Premier League 24/25,Ukrainian Premier League,LNZ Cherkasy,6.8928571428571,1,0,907,1139,79.63,107,13,32,72.73,3,0,0,12,35.29,11,2,36,51.43,2419,9.091,0,0,0,86,45.26,64,12,20,24,44,1,7,0,0,0,0,25,34,190,0,0,240,28,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Roman Didyk,1105911,Premier League 25/26,Ukrainian Premier League,LNZ Cherkasy,7.0125,1,0,449,554,81.05,48,5,2,66.67,2,0,0,2,66.67,11,2,21,58.33,1379,9.091,0,0,2,47,50.54,42,7,7,13,19,0,7,2,0,0,0,16,3,93,0,0,142,16,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Oleg Horin,937189,Premier League 25/26,Ukrainian Premier League,LNZ Cherkasy,7.4722222222222,1,1,635,791,80.28,94,5,5,100.0,6,0,0,0,0.0,14,5,80,66.67,1620,7.143,0,0,0,94,55.29,59,14,13,23,33,1,5,0,0,0,0,17,3,170,0,0,274,18,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Illia Putria,976823,Premier League 25/26,Ukrainian Premier League,LNZ Cherkasy,7.15,1,0,47,67,70.15,10,0,2,66.67,0,0,0,3,33.33,3,2,1,50.0,161,33.33,1,1,0,5,45.45,2,0,2,1,6,0,0,0,0,0,0,2,9,11,0,0,21,3,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Illia Putria,976823,Premier League 24/25,Ukrainian Premier League,LNZ Cherkasy,6.8448275862069,2,2,1081,1339,80.73,123,14,35,76.09,4,0,0,18,26.87,19,7,21,39.62,2610,10.53,0,0,0,81,46.29,47,15,12,20,65,1,4,1,0,0,0,29,67,175,0,0,195,29,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Hennadii Pasich,985706,Premier League 25/26,Ukrainian Premier League,LNZ Cherkasy,6.9545454545455,1,0,546,812,67.24,124,15,32,76.19,3,0,0,16,28.57,24,5,22,46.81,1980,4.167,0,0,0,73,42.94,53,12,12,26,93,4,6,2,0,0,0,20,56,170,0,0,194,22,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Hennadii Pasich,985706,Premier League 24/25,Ukrainian Premier League,LNZ Cherkasy,6.9034482758621,3,0,747,931,80.24,104,10,54,79.41,3,0,0,13,34.21,41,15,37,56.06,2105,7.317,0,0,0,55,53.4,39,8,12,20,54,9,1,0,0,0,0,22,38,103,0,0,178,29,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Hennadii Pasich,985706,Premier League 23/24,Ukrainian Premier League,LNZ Cherkasy,6.9821428571429,2,2,560,734,76.29,75,23,42,76.36,7,0,0,11,26.83,41,10,31,44.93,2142,4.878,0,0,0,44,54.32,49,6,17,30,72,5,2,0,0,0,0,23,41,81,0,0,152,28,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Nazarii Muravskyi,904854,Premier League 25/26,Ukrainian Premier League,LNZ Cherkasy,7.1,1,0,526,602,87.38,24,1,1,100.0,5,0,1,0,0.0,6,1,42,71.19,1620,16.67,0,0,0,28,43.08,51,15,5,20,20,0,16,1,0,0,0,18,0,65,0,1,224,18,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Nazarii Muravskyi,904854,Premier League 24/25,Ukrainian Premier League,LNZ Cherkasy,6.812,0,0,1118,1234,90.6,53,5,6,85.71,3,0,0,2,66.67,5,1,41,61.19,2157,0.0,0,0,0,44,46.81,59,27,8,19,44,0,17,0,0,0,0,22,3,94,0,0,266,25,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Nazarii Muravskyi,904854,Premier League 23/24,Ukrainian Premier League,LNZ Cherkasy,6.8074074074074,0,1,981,1108,88.54,46,4,7,100.0,7,0,0,1,25.0,3,0,48,63.16,2430,0.0,0,0,0,78,56.52,72,19,10,21,69,0,21,1,0,0,0,26,4,138,0,0,258,27,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Dmytro Ledvii,1161946,Premier League 25/26,Ukrainian Premier League,LNZ Cherkasy,6.68,0,0,107,131,81.68,15,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,450,0.0,0,0,0,31,56.36,0,0,0,0,0,0,0,0,8,3,0,5,0,55,6,0,11,5,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Oleksiy Palamarchuk,809362,Premier League 25/26,Ukrainian Premier League,LNZ Cherkasy,7.1058823529412,0,1,178,240,74.17,15,2,0,0.0,1,0,0,0,0.0,0,0,9,100.0,1530,0.0,0,0,0,69,57.02,12,2,6,0,0,0,0,0,32,13,0,17,0,121,6,0,49,17,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Kirill Samoilenko,1500185,Premier League 24/25,Ukrainian Premier League,LNZ Cherkasy,6.9,0,0,13,18,72.22,0,0,0,0.0,0,0,0,0,0.0,0,0,1,100.0,90,0.0,0,0,0,1,16.67,1,0,0,0,0,0,0,0,3,0,0,1,0,6,1,0,4,1,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Kirill Samoilenko,1500185,Premier League 23/24,Ukrainian Premier League,LNZ Cherkasy,7.1,0,0,49,56,87.5,2,0,0,0.0,1,0,0,0,0.0,0,0,1,100.0,180,0.0,0,0,0,20,76.92,0,0,1,0,0,1,0,0,5,1,0,2,0,26,2,0,6,2,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
