İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,goals,assists,accuratePasses,totalPasses,accuratePassesPercentage,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,shotFromSetPiece,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToShot,wasFouled,fouls,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,crossesNotClaimed,matchesStarted,totalCross,totalLongBalls,goalsConceded,yellowRedCards,ballRecovery,appearances,countRating,bigChancesCreated,bigChancesMissed,expectedAssists,accurateOwnHalfPasses,accurateOppositionHalfPasses,tackles,interceptions,groundDuelsWon,groundDuelsWonPercentage,penaltyWon,penaltyConceded,freeKickGoal,errorLeadToGoal,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,hitWoodwork,ownGoals,penaltySave,punches,runsOut,successfulRunsOut,highClaims,setPieceConversion,totalAttemptAssist,totalContest,tacklesWon,tacklesWonPercentage,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,outfielderBlocks,goalsPrevented
Yevhenii Pastukh,1405557,Premier League 24/25,Ukrainian Premier League,Rukh Lviv,6.7904761904762,1,1,473,602,78.57,61,25,37,71.15,0,0,0,6,24.0,14,3,32,40.0,1849,7.143,0,0,0,15,44.12,8,6,19,33,20,2,2,0,0,0,0,19,25,34,0,0,130,21,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,2,0.0
Yevhenii Pastukh,1405557,Premier League 23/24,Ukrainian Premier League,Rukh Lviv,6.6962962962963,4,2,480,622,77.17,54,23,34,62.96,1,0,0,10,41.67,21,9,42,34.43,2195,19.05,0,0,0,14,38.89,14,10,13,39,46,1,4,1,0,0,0,22,24,36,0,0,170,28,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Artur Ryabov,985948,Premier League 24/25,Ukrainian Premier League,Rukh Lviv,6.8785714285714,1,0,195,243,80.25,22,2,8,100.0,5,0,0,0,0.0,19,8,24,66.67,791,5.263,0,0,0,5,38.46,6,3,12,25,18,1,2,0,0,0,0,6,5,13,0,0,97,16,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Roman Didyk,1105911,Premier League 24/25,Ukrainian Premier League,Rukh Lviv,6.95,2,0,855,1020,83.82,101,5,4,100.0,8,0,0,0,0.0,27,6,70,54.26,2487,7.407,0,0,5,65,45.45,77,16,27,38,44,0,20,0,0,0,0,26,3,143,0,0,326,28,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Roman Didyk,1105911,Premier League 23/24,Ukrainian Premier League,Rukh Lviv,6.9296296296296,1,0,1052,1218,86.37,101,6,14,87.5,9,0,0,0,0.0,32,3,38,52.78,2430,3.125,0,0,7,69,45.39,84,16,31,34,67,0,13,0,0,0,0,27,0,152,0,0,301,27,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Oleg Horin,937189,Premier League 24/25,Ukrainian Premier League,Rukh Lviv,6.9777777777778,1,0,229,271,84.5,20,0,2,66.67,4,0,0,0,0.0,11,4,35,62.5,635,9.091,0,0,0,19,55.88,10,2,7,17,8,1,0,0,0,0,0,7,1,34,0,0,91,9,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Dmytro Ledvii,1161946,Premier League 24/25,Ukrainian Premier League,Rukh Lviv,7.08,0,0,653,784,83.29,56,2,1,100.0,0,0,0,0,0.0,0,0,9,100.0,2250,0.0,0,0,0,171,60.64,12,3,3,0,4,0,0,0,61,10,0,25,1,282,24,0,113,25,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Dmytro Ledvii,1161946,Premier League 23/24,Ukrainian Premier League,Rukh Lviv,7.2296296296296,0,0,738,889,83.01,61,0,0,0.0,1,0,0,0,0.0,0,0,9,90.0,2430,0.0,0,0,0,182,57.96,9,2,3,0,2,0,0,0,82,8,1,27,0,314,25,0,131,27,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Oleg Fedor,1401457,Premier League 23/24,Ukrainian Premier League,Rukh Lviv,6.7142857142857,0,2,186,241,77.18,25,6,17,60.71,2,0,0,1,9.09,4,1,2,13.33,731,0.0,0,0,0,5,29.41,2,2,14,8,12,0,0,1,0,0,0,8,11,17,0,0,47,15,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Yurii Klymchuk,844252,Premier League 24/25,Ukrainian Premier League,Rukh Lviv,6.6684210526316,1,1,125,164,76.22,9,4,13,76.47,4,0,0,0,0.0,20,6,26,28.89,1125,5.0,0,0,1,5,55.56,8,6,22,18,6,6,1,1,0,0,0,13,8,9,0,0,38,20,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
