player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
191850,Kosmas,Gezos,Kosmas Gezos,2024,28760,kosmas-gezos,Greece,Athens,Greece,1992-08-15 00:00:00,Centre-Back,Defender,right,182.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/191850-1759504100.jpg?lm=1,,,,https://www.transfermarkt.co.uk/kosmas-gezos/profil/spieler/191850,A1,SK Austria Klagenfurt,400000.0,400000.0
286747,Florian,Jaritz,Florian Jaritz,2024,28760,florian-jaritz,Austria,Klagenfurt,Austria,1997-10-18 00:00:00,Left Winger,Attack,left,180.0,,,https://img.a.transfermarkt.technology/portrait/header/286747-1723811811.jpg?lm=1,,,,https://www.transfermarkt.co.uk/florian-jaritz/profil/spieler/286747,A1,SK Austria Klagenfurt,,
321096,Keanan,Bennetts,Keanan Bennetts,2024,28760,keanan-bennetts,England,London,Germany,1999-03-09 00:00:00,Left Midfield,Midfield,left,181.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/321096-1646153444.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/keanan-bennetts/profil/spieler/321096,A1,SK Austria Klagenfurt,500000.0,2300000.0
335954,Iba,May,Iba May,2024,28760,iba-may,Germany,Berlin,Germany,1998-06-06 00:00:00,Defensive Midfield,Midfield,right,183.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/335954-1723811488.jpg?lm=1,,,,https://www.transfermarkt.co.uk/iba-may/profil/spieler/335954,A1,SK Austria Klagenfurt,125000.0,200000.0
379879,Simon,Straudi,Simon Straudi,2024,28760,simon-straudi,Italy,Brunico/Bruneck,Italy,1999-01-27 00:00:00,Right-Back,Defender,right,176.0,2026-06-30 00:00:00,fair-sport GmbH,https://img.a.transfermarkt.technology/portrait/header/379879-1723805928.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/simon-straudi/profil/spieler/379879,A1,SK Austria Klagenfurt,350000.0,350000.0
451403,Laurenz,Dehl,Laurenz Dehl,2024,28760,laurenz-dehl,Germany,Berlin,Germany,2001-12-12 00:00:00,Left-Back,Defender,both,180.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/451403-1752941676.png?lm=1,,,,https://www.transfermarkt.co.uk/laurenz-dehl/profil/spieler/451403,A1,SK Austria Klagenfurt,200000.0,250000.0
508637,Solomon,Bonnah,Solomon Bonnah,2024,28760,solomon-bonnah,Netherlands,Amsterdam,Netherlands,2003-08-19 00:00:00,Right-Back,Defender,right,165.0,2027-06-30 00:00:00,PUM,https://img.a.transfermarkt.technology/portrait/header/508637-1764845766.png?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/solomon-bonnah/profil/spieler/508637,A1,SK Austria Klagenfurt,350000.0,750000.0
565501,Denzel,Owusu,Denzel Owusu,2024,28760,denzel-owusu,,,Netherlands,2003-02-24 00:00:00,Centre-Back,Defender,right,177.0,,Team Raiola,https://img.a.transfermarkt.technology/portrait/header/565501-1749754873.png?lm=1,7.0,0.0,,https://www.transfermarkt.co.uk/denzel-owusu/profil/spieler/565501,A1,SK Austria Klagenfurt,,
580626,Philipp,Wydra,Philipp Wydra,2024,28760,philipp-wydra,,,Austria,2003-01-07 00:00:00,Central Midfield,Midfield,left,180.0,2027-06-30 00:00:00,Wasserman,https://img.a.transfermarkt.technology/portrait/header/580626-1765373135.png?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/philipp-wydra/profil/spieler/580626,A1,SK Austria Klagenfurt,,
693591,Armin,Karic,Armin Karic,2024,28760,armin-karic,Bosnia-Herzegovina,Tuzla,Bosnia-Herzegovina,2004-10-06 00:00:00,Right Midfield,Midfield,right,180.0,2026-06-30 00:00:00,FutureBall,https://img.a.transfermarkt.technology/portrait/header/693591-1758806204.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/armin-karic/profil/spieler/693591,A1,SK Austria Klagenfurt,,
