player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
116163,Leonardo,Jara,Leonardo Jara,2024,12574,leonardo-jara,Argentina,Corrientes,Argentina,1991-05-20 00:00:00,Right-Back,Defender,right,184.0,2026-12-31 00:00:00,Score Futbol,https://img.a.transfermarkt.technology/portrait/header/116163-1720645245.jpg?lm=1,,,,https://www.transfermarkt.co.uk/leonardo-jara/profil/spieler/116163,ARG1,CD Godoy Cruz Antonio Tomba,,
131219,Federico,Rasmussen,Federico Rasmussen,2024,12574,federico-rasmussen,Argentina,Coronel Dorrego,Argentina,1992-03-04 00:00:00,Centre-Back,Defender,left,191.0,2026-12-31 00:00:00,Kingdom Sports,https://img.a.transfermarkt.technology/portrait/header/131219-1739373283.JPG?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/federico-rasmussen/profil/spieler/131219,ARG1,CD Godoy Cruz Antonio Tomba,,
267420,Walter,Montoya,Walter Montoya,2024,12574,walter-montoya,Argentina,Machagai,Argentina,1993-07-21 00:00:00,Central Midfield,Midfield,right,173.0,2026-12-31 00:00:00,Vision Sports,https://img.a.transfermarkt.technology/portrait/header/267420-1743018795.jpg?lm=1,,,,https://www.transfermarkt.co.uk/walter-montoya/profil/spieler/267420,ARG1,CD Godoy Cruz Antonio Tomba,500000.0,5000000.0
332248,Roberto,Ramírez,Roberto Ramírez,2024,12574,roberto-ramirez,Argentina,Mendoza,Argentina,1996-07-07 00:00:00,Goalkeeper,Goalkeeper,right,188.0,,,https://img.a.transfermarkt.technology/portrait/header/332248-1739373091.JPG?lm=1,,,,https://www.transfermarkt.co.uk/roberto-ramirez/profil/spieler/332248,ARG1,CD Godoy Cruz Antonio Tomba,,
353034,Juan,Escobar,Juan Escobar,2024,12574,juan-escobar,Paraguay,Luque,Paraguay,1995-07-11 00:00:00,Centre-Back,Defender,right,177.0,2027-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/353034-1580829889.jpg?lm=1,13.0,0.0,,https://www.transfermarkt.co.uk/juan-escobar/profil/spieler/353034,ARG1,CD Godoy Cruz Antonio Tomba,,
399199,Rodrigo,Saracho,Rodrigo Saracho,2024,12574,rodrigo-saracho,Argentina,General Pacheco,Argentina,1994-01-06 00:00:00,Goalkeeper,Goalkeeper,left,193.0,2026-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/399199-1743263476.jpg?lm=1,,,,https://www.transfermarkt.co.uk/rodrigo-saracho/profil/spieler/399199,ARG1,CD Godoy Cruz Antonio Tomba,,
400677,Nicolás,Fernández,Nicolás Fernández,2024,12574,nicolas-fernandez,Uruguay,Montevideo,Uruguay,1998-03-02 00:00:00,Central Midfield,Midfield,right,180.0,2028-12-31 00:00:00,Vibra Futbol,https://img.a.transfermarkt.technology/portrait/header/400677-1739373699.JPG?lm=1,14.0,0.0,,https://www.transfermarkt.co.uk/nicolas-fernandez/profil/spieler/400677,ARG1,CD Godoy Cruz Antonio Tomba,,
426471,Facundo,Ardiles,Facundo Ardiles,2024,12574,facundo-ardiles,Argentina,Buenos Aires,Argentina,1998-09-22 00:00:00,Right-Back,Defender,right,185.0,2026-12-31 00:00:00,AIS Football,https://img.a.transfermarkt.technology/portrait/header/426471-1739373670.JPG?lm=1,,,,https://www.transfermarkt.co.uk/facundo-ardiles/profil/spieler/426471,ARG1,CD Godoy Cruz Antonio Tomba,,
497156,Bautista,Cejas,Bautista Cejas,2024,12574,bautista-cejas,Argentina,La Plata,Argentina,1998-03-06 00:00:00,Attacking Midfield,Midfield,right,176.0,2026-05-31 00:00:00,Seven Group,https://img.a.transfermarkt.technology/portrait/header/497156-1596834991.jpg?lm=1,,,,https://www.transfermarkt.co.uk/bautista-cejas/profil/spieler/497156,ARG1,CD Godoy Cruz Antonio Tomba,,
556906,Martín,Pino,Martín Pino,2024,12574,martin-pino,Argentina,Córdoba,Argentina,1998-03-16 00:00:00,Centre-Forward,Attack,right,185.0,2026-12-31 00:00:00,LG & ASOC,https://img.a.transfermarkt.technology/portrait/header/556906-1747072459.png?lm=1,,,,https://www.transfermarkt.co.uk/martin-pino/profil/spieler/556906,ARG1,CD Godoy Cruz Antonio Tomba,,
600028,Bastián,Yáñez,Bastián Yáñez,2024,12574,bastian-yanez,Chile,Renca,Chile,2001-06-27 00:00:00,Left Winger,Attack,left,175.0,2027-12-31 00:00:00,AIM fútbol,https://img.a.transfermarkt.technology/portrait/header/600028-1773869026.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/bastian-yanez/profil/spieler/600028,ARG1,CD Godoy Cruz Antonio Tomba,,
