player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
55167,Damián,Díaz,Damián Díaz,2024,830,damian-diaz,Argentina,Rosario,Ecuador,1986-05-01 00:00:00,Attacking Midfield,Midfield,right,175.0,2026-12-31 00:00:00,MAQ,https://img.a.transfermarkt.technology/portrait/header/55167-1724428473.png?lm=1,4.0,0.0,,https://www.transfermarkt.co.uk/damian-diaz/profil/spieler/55167,ARG1,Club Atlético Banfield,,
91597,Sergio,Vittor,Sergio Vittor,2025,830,sergio-vittor,Argentina,Villa Elisa,Argentina,1989-06-09 00:00:00,Centre-Back,Defender,right,189.0,2026-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/91597-1771516149.jpg?lm=1,,,,https://www.transfermarkt.co.uk/sergio-vittor/profil/spieler/91597,ARG1,Club Atlético Banfield,100000.0,2300000.0
116277,Nicolás,Colazo,Nicolás Colazo,2025,830,nicolas-colazo,Argentina,San Martín,Argentina,1990-07-08 00:00:00,Left-Back,Defender,left,178.0,2026-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/116277-1755786043.jpg?lm=1,,,,https://www.transfermarkt.co.uk/nicolas-colazo/profil/spieler/116277,ARG1,Club Atlético Banfield,50000.0,2400000.0
149393,Julio,Furch,Julio Furch,2024,830,julio-furch,Argentina,Winifreda,Argentina,1989-07-29 00:00:00,Centre-Forward,Attack,right,188.0,,,https://img.a.transfermarkt.technology/portrait/header/149393-1706138259.jpg?lm=1,,,,https://www.transfermarkt.co.uk/julio-furch/profil/spieler/149393,ARG1,Club Atlético Banfield,,
259246,Leonel,Miranda,Leonel Miranda,2024,830,leonel-miranda,Argentina,Avellaneda,Argentina,1994-01-07 00:00:00,Central Midfield,Midfield,right,173.0,,,https://img.a.transfermarkt.technology/portrait/header/259246-1727449341.jpg?lm=1,,,,https://www.transfermarkt.co.uk/leonel-miranda/profil/spieler/259246,ARG1,Club Atlético Banfield,,
280149,Favio,Álvarez,Favio Álvarez,2025,830,favio-alvarez,Argentina,Córdoba,Argentina,1993-01-23 00:00:00,Attacking Midfield,Midfield,right,184.0,2026-12-31 00:00:00,LG & ASOC,https://img.a.transfermarkt.technology/portrait/header/280149-1771517178.jpg?lm=1,,,,https://www.transfermarkt.co.uk/favio-alvarez/profil/spieler/280149,ARG1,Club Atlético Banfield,100000.0,1500000.0
343163,Federico,Anselmo,Federico Anselmo,2025,830,federico-anselmo,Argentina,Las Acequias,Argentina,1994-06-11 00:00:00,Centre-Forward,Attack,right,186.0,2026-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/343163-1771518014.jpg?lm=1,,,,https://www.transfermarkt.co.uk/federico-anselmo/profil/spieler/343163,ARG1,Club Atlético Banfield,175000.0,650000.0
364586,Danilo,Arboleda,Danilo Arboleda,2025,830,danilo-arboleda,Colombia,Florida,Colombia,1995-05-16 00:00:00,Centre-Back,Defender,right,190.0,2026-12-31 00:00:00,AAmanagers,https://img.a.transfermarkt.technology/portrait/header/364586-1755785626.jpg?lm=1,,,,https://www.transfermarkt.co.uk/danilo-arboleda/profil/spieler/364586,ARG1,Club Atlético Banfield,500000.0,2500000.0
402581,Thomas,Rodríguez,Thomas Rodríguez,2025,830,thomas-rodriguez,Chile,Vitacura,Chile,1996-04-05 00:00:00,Right Winger,Attack,right,184.0,2028-12-31 00:00:00,Impacto Deportivo,https://img.a.transfermarkt.technology/portrait/header/402581-1771517766.jpg?lm=1,,,,https://www.transfermarkt.co.uk/thomas-rodriguez/profil/spieler/402581,ARG1,Club Atlético Banfield,150000.0,1200000.0
491702,Nacho,Pais,Nacho Pais,2025,830,nacho-pais,Argentina,Quilmes,Argentina,2000-05-30 00:00:00,Central Midfield,Midfield,right,175.0,,ARJ Representantes,https://img.a.transfermarkt.technology/portrait/header/491702-1771516578.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/nacho-pais/profil/spieler/491702,ARG1,Club Atlético Banfield,750000.0,750000.0
491706,Agustín,Obando,Agustín Obando,2024,830,agustin-obando,Argentina,Monte Caseros,Argentina,2000-03-11 00:00:00,Left Winger,Attack,left,176.0,2026-12-31 00:00:00,Hernan Berman,https://img.a.transfermarkt.technology/portrait/header/491706-1755788022.jpg?lm=1,4.0,1.0,,https://www.transfermarkt.co.uk/agustin-obando/profil/spieler/491706,ARG1,Club Atlético Banfield,,
571908,Neyder,Moreno,Neyder Moreno,2025,830,neyder-moreno,Colombia,Medellín,Colombia,1997-02-09 00:00:00,Attacking Midfield,Midfield,right,175.0,2026-12-31 00:00:00,EUROPE SPORTS GROUP,https://img.a.transfermarkt.technology/portrait/header/571908-1771516517.jpg?lm=1,,,,https://www.transfermarkt.co.uk/neyder-moreno/profil/spieler/571908,ARG1,Club Atlético Banfield,550000.0,1000000.0
636440,Marcos,Arturia,Marcos Arturia,2024,830,marcos-arturia,Argentina,San Martín,Argentina,1998-02-08 00:00:00,Centre-Forward,Attack,right,178.0,2026-12-31 00:00:00,LG & ASOC,https://img.a.transfermarkt.technology/portrait/header/636440-1772646752.JPG?lm=1,,,,https://www.transfermarkt.co.uk/marcos-arturia/profil/spieler/636440,ARG1,Club Atlético Banfield,,
654813,Santiago,López García,Santiago López García,2025,830,santiago-lopez-garcia,Argentina,Carrodilla,Argentina,1997-12-04 00:00:00,Right Midfield,Midfield,right,180.0,2028-12-31 00:00:00,PayerX Sports,https://img.a.transfermarkt.technology/portrait/header/654813-1755787943.jpg?lm=1,,,,https://www.transfermarkt.co.uk/santiago-lopez-garcia/profil/spieler/654813,ARG1,Club Atlético Banfield,1000000.0,1000000.0
675468,Mauro,Méndez,Mauro Méndez,2025,830,mauro-mendez,Uruguay,Salto,Uruguay,1999-01-17 00:00:00,Centre-Forward,Attack,right,176.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/675468-1739829194.jpg?lm=1,,,,https://www.transfermarkt.co.uk/mauro-mendez/profil/spieler/675468,ARG1,Club Atlético Banfield,2000000.0,2000000.0
690718,Bruno,Sepúlveda,Bruno Sepúlveda,2025,830,bruno-sepulveda,Argentina,Viedma (RNE),Argentina,1992-09-17 00:00:00,Centre-Forward,Attack,right,188.0,2026-12-31 00:00:00,CAPITAL GROUP SM,https://img.a.transfermarkt.technology/portrait/header/690718-1755788440.jpg?lm=1,,,,https://www.transfermarkt.co.uk/bruno-sepulveda/profil/spieler/690718,ARG1,Club Atlético Banfield,300000.0,800000.0
849258,Joaquín,Pombo,Joaquín Pombo,2024,830,joaquin-pombo,Argentina,Lanús,Argentina,2001-03-18 00:00:00,Centre-Back,Defender,,191.0,2026-12-31 00:00:00,OLLER GROUP,https://img.a.transfermarkt.technology/portrait/header/849258-1755785631.jpg?lm=1,,,,https://www.transfermarkt.co.uk/joaquin-pombo/profil/spieler/849258,ARG1,Club Atlético Banfield,,
