player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
87518,Ignacio,Malcorra,Ignacio Malcorra,2025,1234,ignacio-malcorra,Argentina,Río Colorado,Argentina,1987-07-24 00:00:00,Attacking Midfield,Midfield,left,170.0,2026-12-31 00:00:00,Score Futbol,https://img.a.transfermarkt.technology/portrait/header/87518-1742570974.png?lm=1,,,,https://www.transfermarkt.co.uk/ignacio-malcorra/profil/spieler/87518,ARG1,Club Atlético Independiente de Avellaneda,375000.0,3000000.0
90451,Iván,Marcone,Iván Marcone,2025,1234,ivan-marcone,Argentina,Sarandí,Argentina,1990-06-03 00:00:00,Defensive Midfield,Midfield,right,183.0,2026-12-31 00:00:00,Score Futbol,https://img.a.transfermarkt.technology/portrait/header/90451-1720466002.png?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/ivan-marcone/profil/spieler/90451,ARG1,Club Atlético Independiente de Avellaneda,450000.0,7500000.0
96313,Federico,Mancuello,Federico Mancuello,2025,1234,federico-mancuello,Argentina,Reconquista,Argentina,1989-03-26 00:00:00,Central Midfield,Midfield,left,177.0,2027-06-30 00:00:00,DE 9 FÚTBOL,https://img.a.transfermarkt.technology/portrait/header/96313-1720465539.png?lm=1,3.0,1.0,,https://www.transfermarkt.co.uk/federico-mancuello/profil/spieler/96313,ARG1,Club Atlético Independiente de Avellaneda,150000.0,7500000.0
120443,Santiago,Arias,Santiago Arias,2025,1234,santiago-arias,Colombia,Medellín,Colombia,1992-01-13 00:00:00,Right-Back,Defender,right,178.0,2027-12-31 00:00:00,DV7 Management,https://img.a.transfermarkt.technology/portrait/header/120443-1678121461.jpg?lm=1,66.0,0.0,,https://www.transfermarkt.co.uk/santiago-arias/profil/spieler/120443,ARG1,Club Atlético Independiente de Avellaneda,1500000.0,20000000.0
166591,Rodrigo,Rey,Rodrigo Rey,2025,1234,rodrigo-rey,Argentina,Río Cuarto,Argentina,1991-03-08 00:00:00,Goalkeeper,Goalkeeper,right,190.0,2026-12-31 00:00:00,Proyecta Players,https://img.a.transfermarkt.technology/portrait/header/166591-1720466412.png?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/rodrigo-rey/profil/spieler/166591,ARG1,Club Atlético Independiente de Avellaneda,1200000.0,1800000.0
266809,Nicolás,Freire,Nicolás Freire,2025,1234,nicolas-freire,Argentina,Santa Lucía,Argentina,1994-02-18 00:00:00,Centre-Back,Defender,left,187.0,2026-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/266809-1710079855.jpg?lm=1,,,,https://www.transfermarkt.co.uk/nicolas-freire/profil/spieler/266809,ARG1,Club Atlético Independiente de Avellaneda,600000.0,2800000.0
283528,Ignacio,Pussetto,Ignacio Pussetto,2025,1234,ignacio-pussetto,Argentina,Cañada Rosquín,Argentina,1995-12-21 00:00:00,Centre-Forward,Attack,right,180.0,2027-12-31 00:00:00,MVP Group,https://img.a.transfermarkt.technology/portrait/header/283528-1630653500.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ignacio-pussetto/profil/spieler/283528,ARG1,Club Atlético Independiente de Avellaneda,1800000.0,10000000.0
313830,Pablo,Galdames,Pablo Galdames,2024,1234,pablo-galdames,Chile,Santiago de Chile,Chile,1996-12-30 00:00:00,Central Midfield,Midfield,right,176.0,2027-06-30 00:00:00,Vibra Futbol,https://img.a.transfermarkt.technology/portrait/header/313830-1630583253.jpg?lm=1,12.0,0.0,,https://www.transfermarkt.co.uk/pablo-galdames/profil/spieler/313830,ARG1,Club Atlético Independiente de Avellaneda,1500000.0,3100000.0
322610,Luciano,Cabral,Luciano Cabral,2025,1234,luciano-cabral,Argentina,General Alvear,Chile,1995-04-26 00:00:00,Attacking Midfield,Midfield,right,172.0,2027-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/322610-1731336665.jpg?lm=1,3.0,0.0,,https://www.transfermarkt.co.uk/luciano-cabral/profil/spieler/322610,ARG1,Club Atlético Independiente de Avellaneda,1500000.0,2000000.0
358418,Gabriel,Ávalos,Gabriel Ávalos,2025,1234,gabriel-avalos,Paraguay,Hohenau,Paraguay,1990-10-12 00:00:00,Centre-Forward,Attack,right,190.0,2026-12-31 00:00:00,DE 9 FÚTBOL,https://img.a.transfermarkt.technology/portrait/header/358418-1720465400.png?lm=1,21.0,2.0,,https://www.transfermarkt.co.uk/gabriel-avalos/profil/spieler/358418,ARG1,Club Atlético Independiente de Avellaneda,800000.0,1500000.0
369556,Leonardo,Godoy,Leonardo Godoy,2025,1234,leonardo-godoy,Argentina,Concordia,Argentina,1995-04-28 00:00:00,Right-Back,Defender,right,173.0,2028-12-31 00:00:00,10 Management Sports,https://img.a.transfermarkt.technology/portrait/header/369556-1636584822.JPG?lm=1,,,,https://www.transfermarkt.co.uk/leonardo-godoy/profil/spieler/369556,ARG1,Club Atlético Independiente de Avellaneda,1700000.0,3800000.0
422401,Milton,Valenzuela,Milton Valenzuela,2025,1234,milton-valenzuela,Argentina,Rosario,Argentina,1998-08-13 00:00:00,Left-Back,Defender,left,170.0,2026-12-31 00:00:00,SEG,https://img.a.transfermarkt.technology/portrait/header/422401-1738931817.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/milton-valenzuela/profil/spieler/422401,ARG1,Club Atlético Independiente de Avellaneda,650000.0,2000000.0
458047,Rodrigo,Fernández Cedrés,Rodrigo Fernández Cedrés,2025,1234,rodrigo-fernandez-cedres,Uruguay,Montevideo,Uruguay,1996-01-03 00:00:00,Defensive Midfield,Midfield,right,174.0,2027-12-31 00:00:00,DE 9 FÚTBOL,https://img.a.transfermarkt.technology/portrait/header/458047-1721743786.jpg?lm=1,,,,https://www.transfermarkt.co.uk/rodrigo-fernandez-cedres/profil/spieler/458047,ARG1,Club Atlético Independiente de Avellaneda,800000.0,1500000.0
538374,Sebastián,Valdez,Sebastián Valdez,2025,1234,sebastian-valdez,Argentina,Buenos Aires,Argentina,1995-11-06 00:00:00,Centre-Back,Defender,right,191.0,2027-12-31 00:00:00,Vibra Futbol,https://img.a.transfermarkt.technology/portrait/header/538374-1708009770.JPG?lm=1,,,,https://www.transfermarkt.co.uk/sebastian-valdez/profil/spieler/538374,ARG1,Club Atlético Independiente de Avellaneda,1500000.0,1500000.0
660140,Facundo,Zabala,Facundo Zabala,2025,1234,facundo-zabala,Argentina,Rosario,Argentina,1999-01-02 00:00:00,Left-Back,Defender,left,172.0,2028-12-31 00:00:00,Baredes Sport & Law,https://img.a.transfermarkt.technology/portrait/header/660140-1744671858.JPG?lm=1,,,,https://www.transfermarkt.co.uk/facundo-zabala/profil/spieler/660140,ARG1,Club Atlético Independiente de Avellaneda,1800000.0,1800000.0
661136,Kevin,Lomónaco,Kevin Lomónaco,2025,1234,kevin-lomonaco,Argentina,La Plata,Argentina,2002-01-08 00:00:00,Centre-Back,Defender,right,184.0,2028-12-31 00:00:00,MS+,https://img.a.transfermarkt.technology/portrait/header/661136-1763040799.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/kevin-lomonaco/profil/spieler/661136,ARG1,Club Atlético Independiente de Avellaneda,9000000.0,12000000.0
668996,Joaquín,Blázquez,Joaquín Blázquez,2025,1234,joaquin-blazquez,Argentina,Luque,Argentina,2001-01-28 00:00:00,Goalkeeper,Goalkeeper,right,193.0,2026-12-31 00:00:00,SP,https://img.a.transfermarkt.technology/portrait/header/668996-1558510564.png?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/joaquin-blazquez/profil/spieler/668996,ARG1,Club Atlético Independiente de Avellaneda,175000.0,500000.0
739995,Braian,Martínez,Braian Martínez,2024,1234,braian-martinez,Argentina,Pampa del Infierno,Argentina,1999-08-18 00:00:00,Left Winger,Attack,right,160.0,2026-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/739995-1652278384.JPG?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/braian-martinez/profil/spieler/739995,ARG1,Club Atlético Independiente de Avellaneda,,
829967,Federico,Vera,Federico Vera,2024,1234,federico-vera,Argentina,Santa Fe,Argentina,1998-03-24 00:00:00,Right-Back,Defender,right,178.0,2026-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/829967-1721143398.png?lm=1,,,,https://www.transfermarkt.co.uk/federico-vera/profil/spieler/829967,ARG1,Club Atlético Independiente de Avellaneda,1300000.0,1500000.0
928647,Matías,Abaldo,Matías Abaldo,2025,1234,matias-abaldo,Uruguay,Montevideo,Uruguay,2004-04-03 00:00:00,Left Winger,Attack,right,172.0,2026-06-30 00:00:00,Equipo TMA,https://img.a.transfermarkt.technology/portrait/header/928647-1743016476.jpg?lm=1,4.0,1.0,,https://www.transfermarkt.co.uk/matias-abaldo/profil/spieler/928647,ARG1,Club Atlético Independiente de Avellaneda,3500000.0,3500000.0
965323,Maximiliano,Gutiérrez,Maximiliano Gutiérrez,2025,1234,maximiliano-gutierrez,Chile,Chiguayante,Chile,2004-05-03 00:00:00,Right Winger,Attack,right,183.0,2026-12-31 00:00:00,Vibra Futbol,https://img.a.transfermarkt.technology/portrait/header/965323-1716422029.png?lm=1,4.0,2.0,,https://www.transfermarkt.co.uk/maximiliano-gutierrez/profil/spieler/965323,ARG1,Club Atlético Independiente de Avellaneda,1000000.0,1200000.0
974336,Santiago,Montiel,Santiago Montiel,2025,1234,santiago-montiel,Argentina,Gregorio de Laferrere,Argentina,2000-11-22 00:00:00,Right Winger,Attack,left,166.0,2028-12-31 00:00:00,DE 9 FÚTBOL,https://img.a.transfermarkt.technology/portrait/header/974336-1720122452.png?lm=1,,,,https://www.transfermarkt.co.uk/santiago-montiel/profil/spieler/974336,ARG1,Club Atlético Independiente de Avellaneda,4000000.0,4000000.0
990202,Lucas,Román,Lucas Román,2024,1234,lucas-roman,Argentina,Buenos Aires,Italy,2004-02-10 00:00:00,Right Winger,Attack,left,160.0,2026-12-31 00:00:00,Hernan Berman,https://img.a.transfermarkt.technology/portrait/header/990202-1771530482.png?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/lucas-roman/profil/spieler/990202,ARG1,Club Atlético Independiente de Avellaneda,250000.0,650000.0
997070,Juan,Fedorco,Juan Fedorco,2025,1234,juan-fedorco,Argentina,Carmen de Patagones,Argentina,2000-11-28 00:00:00,Centre-Back,Defender,right,185.0,2028-12-31 00:00:00,DE 9 FÚTBOL,https://img.a.transfermarkt.technology/portrait/header/997070-1707925618.JPG?lm=1,,,,https://www.transfermarkt.co.uk/juan-fedorco/profil/spieler/997070,ARG1,Club Atlético Independiente de Avellaneda,800000.0,800000.0
1131420,Lucas,Lavagnino,Lucas Lavagnino,2025,1234,lucas-lavagnino,Argentina,Buenos Aires,Argentina,2004-08-22 00:00:00,Goalkeeper,Goalkeeper,right,189.0,2026-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/1131420-1693314667.png?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/lucas-lavagnino/profil/spieler/1131420,ARG1,Club Atlético Independiente de Avellaneda,150000.0,150000.0
1231235,Santino,Viollaz,Santino Viollaz,2024,1234,santino-viollaz,Argentina,Colón,Argentina,2008-06-06 00:00:00,Left Winger,Attack,right,182.0,2027-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/santino-viollaz/profil/spieler/1231235,ARG1,Club Atlético Independiente de Avellaneda,,
1240380,Jonathan,De Irastorza,Jonathan De Irastorza,2025,1234,jonathan-de-irastorza,Argentina,Bahía Blanca,Argentina,2005-08-05 00:00:00,Left-Back,Defender,left,174.0,2026-12-31 00:00:00,Lucio Corporation,https://img.a.transfermarkt.technology/portrait/header/1240380-1720466715.png?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/jonathan-de-irastorza/profil/spieler/1240380,ARG1,Club Atlético Independiente de Avellaneda,175000.0,175000.0
1240381,Lautaro,Millán,Lautaro Millán,2025,1234,lautaro-millan,Argentina,Bahía Blanca,Chile,2005-08-16 00:00:00,Attacking Midfield,Midfield,right,171.0,2027-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/1240381-1720466864.png?lm=1,3.0,0.0,,https://www.transfermarkt.co.uk/lautaro-millan/profil/spieler/1240381,ARG1,Club Atlético Independiente de Avellaneda,2500000.0,2500000.0
1298503,Josias,Palais,Josias Palais,2024,1234,josias-palais,Argentina,Tandil,Argentina,2006-04-11 00:00:00,Attacking Midfield,Midfield,right,181.0,,SP,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/josias-palais/profil/spieler/1298503,ARG1,Club Atlético Independiente de Avellaneda,,
1298516,Mateo,Pérez Curci,Mateo Pérez Curci,2025,1234,mateo-perez-curci,Argentina,Mendoza,Argentina,2006-01-24 00:00:00,Attacking Midfield,Midfield,,179.0,2028-12-31 00:00:00,SP,https://img.a.transfermarkt.technology/portrait/header/1298516-1771514503.png?lm=1,,,,https://www.transfermarkt.co.uk/mateo-perez-curci/profil/spieler/1298516,ARG1,Club Atlético Independiente de Avellaneda,50000.0,50000.0
1298534,Joel,Medina,Joel Medina,2025,1234,joel-medina,Argentina,Dock Sud,Argentina,2007-07-07 00:00:00,Central Midfield,Midfield,right,174.0,2027-12-31 00:00:00,Ala Sur ,https://img.a.transfermarkt.technology/portrait/header/1298534-1768230150.jpg?lm=1,,,,https://www.transfermarkt.co.uk/joel-medina/profil/spieler/1298534,ARG1,Club Atlético Independiente de Avellaneda,50000.0,50000.0
1322287,Gonzalo,Bordón,Gonzalo Bordón,2024,1234,gonzalo-bordon,Argentina,Lomas de Zamora,Argentina,2005-06-23 00:00:00,Centre-Back,Defender,left,184.0,2029-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/gonzalo-bordon/profil/spieler/1322287,ARG1,Club Atlético Independiente de Avellaneda,,
1322831,Fernando,Closter,Fernando Closter,2024,1234,fernando-closter,Argentina,General Güemes,Argentina,2008-07-18 00:00:00,Centre-Back,Defender,right,190.0,2027-12-31 00:00:00,Firstfield,https://img.a.transfermarkt.technology/portrait/header/1322831-1733494685.png?lm=1,3.0,1.0,,https://www.transfermarkt.co.uk/fernando-closter/profil/spieler/1322831,ARG1,Club Atlético Independiente de Avellaneda,,
1332568,Kevin,Medina,Kevin Medina,2024,1234,kevin-medina,,,Argentina,2005-03-31 00:00:00,Centre-Forward,Attack,,,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/kevin-medina/profil/spieler/1332568,ARG1,Club Atlético Independiente de Avellaneda,,
1402284,Nicolás,Garrido,Nicolás Garrido,2024,1234,nicolas-garrido,,,Argentina,2005-07-28 00:00:00,Centre-Back,Defender,,,2028-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/1402284-1756411105.jpeg?lm=1,,,,https://www.transfermarkt.co.uk/nicolas-garrido/profil/spieler/1402284,ARG1,Club Atlético Independiente de Avellaneda,,
