player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
66736,Lisandro,Magallán,Lisandro Magallán,2025,1029,lisandro-magallan,Argentina,La Plata,Argentina,1993-09-27 00:00:00,Centre-Back,Defender,right,185.0,2027-12-31 00:00:00,SP,https://img.a.transfermarkt.technology/portrait/header/66736-1583506940.jpg?lm=1,5.0,0.0,,https://www.transfermarkt.co.uk/lisandro-magallan/profil/spieler/66736,ARG1,Club Atlético Vélez Sársfield,1200000.0,6000000.0
135853,Manuel,Lanzini,Manuel Lanzini,2025,1029,manuel-lanzini,Argentina,Ituzaingó,Argentina,1993-02-15 00:00:00,Attacking Midfield,Midfield,right,170.0,2026-12-31 00:00:00,Hernan Berman,https://img.a.transfermarkt.technology/portrait/header/135853-1694001401.png?lm=1,5.0,1.0,,https://www.transfermarkt.co.uk/manuel-lanzini/profil/spieler/135853,ARG1,Club Atlético Vélez Sársfield,1000000.0,20000000.0
248346,Claudio,Baeza,Claudio Baeza,2025,1029,claudio-baeza,Chile,Los Ángeles,Chile,1993-12-23 00:00:00,Defensive Midfield,Midfield,right,171.0,2027-12-31 00:00:00,Vibra Futbol,https://img.a.transfermarkt.technology/portrait/header/248346-1579704061.png?lm=1,18.0,0.0,,https://www.transfermarkt.co.uk/claudio-baeza/profil/spieler/248346,ARG1,Club Atlético Vélez Sársfield,1700000.0,5500000.0
249776,Diego,Valdés,Diego Valdés,2025,1029,diego-valdes,Chile,Puente Alto,Chile,1994-01-30 00:00:00,Attacking Midfield,Midfield,right,179.0,2027-12-31 00:00:00,Revival Football,https://img.a.transfermarkt.technology/portrait/header/249776-1691602983.jpg?lm=1,37.0,2.0,,https://www.transfermarkt.co.uk/diego-valdes/profil/spieler/249776,ARG1,Club Atlético Vélez Sársfield,2800000.0,7000000.0
275512,Emanuel,Mammana,Emanuel Mammana,2025,1029,emanuel-mammana,Argentina,Merlo,Argentina,1996-02-10 00:00:00,Centre-Back,Defender,right,184.0,2028-12-31 00:00:00,KMB,https://img.a.transfermarkt.technology/portrait/header/275512-1720645007.jpg?lm=1,3.0,0.0,,https://www.transfermarkt.co.uk/emanuel-mammana/profil/spieler/275512,ARG1,Club Atlético Vélez Sársfield,2500000.0,12000000.0
292985,Álvaro,Montero,Álvaro Montero,2025,1029,alvaro-montero,Colombia,El Molino,Colombia,1995-03-29 00:00:00,Goalkeeper,Goalkeeper,right,199.0,2026-12-31 00:00:00,Top Champ,https://img.a.transfermarkt.technology/portrait/header/292985-1688673218.jpg?lm=1,10.0,0.0,,https://www.transfermarkt.co.uk/alvaro-montero/profil/spieler/292985,ARG1,Club Atlético Vélez Sársfield,2500000.0,2600000.0
302139,Elías,Gómez,Elías Gómez,2025,1029,elias-gomez,Argentina,Granadero Baigorria,Argentina,1994-06-09 00:00:00,Left-Back,Defender,left,174.0,2028-12-31 00:00:00,Score Futbol,https://img.a.transfermarkt.technology/portrait/header/302139-1720645277.jpg?lm=1,,,,https://www.transfermarkt.co.uk/elias-gomez/profil/spieler/302139,ARG1,Club Atlético Vélez Sársfield,1300000.0,3500000.0
357937,Braian,Romero,Braian Romero,2025,1029,braian-romero,Argentina,San Isidro,Argentina,1991-06-15 00:00:00,Centre-Forward,Attack,right,180.0,2027-12-31 00:00:00,Score Futbol,https://img.a.transfermarkt.technology/portrait/header/357937-1720648116.jpg?lm=1,,,,https://www.transfermarkt.co.uk/braian-romero/profil/spieler/357937,ARG1,Club Atlético Vélez Sársfield,700000.0,5500000.0
424045,Rodrigo,Aliendro,Rodrigo Aliendro,2025,1029,rodrigo-aliendro,Argentina,Merlo,Argentina,1991-02-16 00:00:00,Central Midfield,Midfield,right,173.0,2027-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/424045-1693315106.png?lm=1,,,,https://www.transfermarkt.co.uk/rodrigo-aliendro/profil/spieler/424045,ARG1,Club Atlético Vélez Sársfield,400000.0,2500000.0
457221,Lucas,Robertone,Lucas Robertone,2025,1029,lucas-robertone,Argentina,Concordia,Argentina,1997-03-18 00:00:00,Central Midfield,Midfield,right,169.0,2026-12-31 00:00:00,SP,https://img.a.transfermarkt.technology/portrait/header/457221-1732735211.jpg?lm=1,3.0,1.0,,https://www.transfermarkt.co.uk/lucas-robertone/profil/spieler/457221,ARG1,Club Atlético Vélez Sársfield,2000000.0,8000000.0
