player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
75035,Franco,Jara,Franco Jara,2025,1829,franco-jara,Argentina,Villa María,Argentina,1988-07-15 00:00:00,Centre-Forward,Attack,right,181.0,2026-12-31 00:00:00,Score Futbol,https://img.a.transfermarkt.technology/portrait/header/75035-1771006967.png?lm=1,4.0,1.0,,https://www.transfermarkt.co.uk/franco-jara/profil/spieler/75035,ARG1,Instituto Atlético Central Córdoba,200000.0,5500000.0
88082,Silvio,Romero,Silvio Romero,2024,1829,silvio-romero,Argentina,Córdoba,Argentina,1988-07-22 00:00:00,Centre-Forward,Attack,right,177.0,,,https://img.a.transfermarkt.technology/portrait/header/88082-1717080478.jpeg?lm=1,,,,https://www.transfermarkt.co.uk/silvio-romero/profil/spieler/88082,ARG1,Instituto Atlético Central Córdoba,800000.0,4000000.0
216730,Jonatan,Galván,Jonatan Galván,2025,1829,jonatan-galvan,Argentina,Mar del Plata,Argentina,1992-06-25 00:00:00,Centre-Back,Defender,right,180.0,2026-12-31 00:00:00,DE 9 FÚTBOL,https://img.a.transfermarkt.technology/portrait/header/216730-1771007813.png?lm=1,,,,https://www.transfermarkt.co.uk/jonatan-galvan/profil/spieler/216730,ARG1,Instituto Atlético Central Córdoba,350000.0,1500000.0
359231,Joaquín,Papaleo,Joaquín Papaleo,2024,1829,joaquin-papaleo,Argentina,Santo Tomé,Argentina,1994-03-23 00:00:00,Goalkeeper,Goalkeeper,right,188.0,2026-12-31 00:00:00,FC Players,https://img.a.transfermarkt.technology/portrait/header/359231-1639165046.JPG?lm=1,,,,https://www.transfermarkt.co.uk/joaquin-papaleo/profil/spieler/359231,ARG1,Instituto Atlético Central Córdoba,,
376853,Fernando,Alarcón,Fernando Alarcón,2025,1829,fernando-alarcon,Argentina,Guatimozín,Argentina,1994-06-16 00:00:00,Centre-Back,Defender,right,183.0,2026-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/376853-1771006860.png?lm=1,,,,https://www.transfermarkt.co.uk/fernando-alarcon/profil/spieler/376853,ARG1,Instituto Atlético Central Córdoba,1500000.0,1500000.0
407517,Leonel,Mosevich,Leonel Mosevich,2025,1829,leonel-mosevich,Argentina,Lomas de Zamora,Argentina,1997-02-04 00:00:00,Centre-Back,Defender,right,185.0,2026-12-31 00:00:00,Lion Volt,https://img.a.transfermarkt.technology/portrait/header/407517-1771008059.png?lm=1,4.0,0.0,,https://www.transfermarkt.co.uk/leonel-mosevich/profil/spieler/407517,ARG1,Instituto Atlético Central Córdoba,500000.0,600000.0
421998,Damián,Batallini,Damián Batallini,2024,1829,damian-batallini,Argentina,Don Torcuato,Argentina,1996-06-24 00:00:00,Right Winger,Attack,right,176.0,2026-06-30 00:00:00,Lion Volt,https://img.a.transfermarkt.technology/portrait/header/421998-1757623571.jpeg?lm=1,,,,https://www.transfermarkt.co.uk/damian-batallini/profil/spieler/421998,ARG1,Instituto Atlético Central Córdoba,,
440380,Francis,Mac Allister,Francis Mac Allister,2024,1829,francis-mac-allister,Argentina,Santa Rosa,Argentina,1995-10-30 00:00:00,Defensive Midfield,Midfield,right,176.0,,,https://img.a.transfermarkt.technology/portrait/header/440380-1773867142.JPG?lm=1,,,,https://www.transfermarkt.co.uk/francis-mac-allister/profil/spieler/440380,ARG1,Instituto Atlético Central Córdoba,,
464365,Diego,Sosa,Diego Sosa,2025,1829,diego-sosa,Argentina,Zárate,Argentina,1997-07-28 00:00:00,Left-Back,Defender,left,177.0,2026-12-31 00:00:00,Universal Twenty Two,https://img.a.transfermarkt.technology/portrait/header/464365-1771006775.png?lm=1,,,,https://www.transfermarkt.co.uk/diego-sosa/profil/spieler/464365,ARG1,Instituto Atlético Central Córdoba,600000.0,800000.0
480764,Franco,Moyano,Franco Moyano,2025,1829,franco-moyano,Argentina,Lobos,Argentina,1997-09-13 00:00:00,Central Midfield,Midfield,right,171.0,2026-12-31 00:00:00,SL,https://img.a.transfermarkt.technology/portrait/header/480764-1771006975.png?lm=1,8.0,0.0,,https://www.transfermarkt.co.uk/franco-moyano/profil/spieler/480764,ARG1,Instituto Atlético Central Córdoba,1000000.0,1700000.0
486030,Gustavo,Abregú,Gustavo Abregú,2025,1829,gustavo-abregu,Argentina,Ingenio San Pablo,Argentina,1997-07-04 00:00:00,Defensive Midfield,Midfield,right,185.0,2026-12-31 00:00:00,All Soccer 360,https://img.a.transfermarkt.technology/portrait/header/486030-1771007353.png?lm=1,,,,https://www.transfermarkt.co.uk/gustavo-abregu/profil/spieler/486030,ARG1,Instituto Atlético Central Córdoba,400000.0,600000.0
491687,Manuel,Roffo,Manuel Roffo,2025,1829,manuel-roffo,Argentina,Teodelina,Argentina,2000-04-04 00:00:00,Goalkeeper,Goalkeeper,right,184.0,2026-12-31 00:00:00,Hernan Berman,https://img.a.transfermarkt.technology/portrait/header/491687-1771008496.png?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/manuel-roffo/profil/spieler/491687,ARG1,Instituto Atlético Central Córdoba,3000000.0,3800000.0
