player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
9667,Stijn,Stijnen,Stijn Stijnen,2012,566,stijn-stijnen,Belgium,Hasselt,Belgium,1981-04-07 00:00:00,Goalkeeper,Goalkeeper,right,188.0,,,https://img.a.transfermarkt.technology/portrait/header/9667-1537874332.jpg?lm=1,,,,https://www.transfermarkt.co.uk/stijn-stijnen/profil/spieler/9667,BE1,Beerschot AC,600000.0,4500000.0
13049,Wim,De Decker,Wim De Decker,2012,566,wim-de-decker,Belgium,Temse,Belgium,1982-04-06 00:00:00,Defensive Midfield,Midfield,right,184.0,,,https://img.a.transfermarkt.technology/portrait/header/13049-1616168123.jpg?lm=1,,,,https://www.transfermarkt.co.uk/wim-de-decker/profil/spieler/13049,BE1,Beerschot AC,150000.0,1500000.0
50768,Giel,Deferm,Giel Deferm,2012,566,giel-deferm,Belgium,Sint-Truiden,Belgium,1988-06-30 00:00:00,Defensive Midfield,Midfield,left,180.0,,,https://img.a.transfermarkt.technology/portrait/header/50768-1470671389.png?lm=1,,,,https://www.transfermarkt.co.uk/giel-deferm/profil/spieler/50768,BE1,Beerschot AC,250000.0,600000.0
77140,Goran,Galesic,Goran Galesic,2012,566,goran-galesic,Jugoslawien (SFR),Banja Luka,Bosnia-Herzegovina,1989-03-11 00:00:00,Attacking Midfield,Midfield,left,175.0,,Avdo Cosic,https://img.a.transfermarkt.technology/portrait/header/77140-1555869740.png?lm=1,,,,https://www.transfermarkt.co.uk/goran-galesic/profil/spieler/77140,BE1,Beerschot AC,25000.0,750000.0
78500,Stefan,Deloose,Stefan Deloose,2012,566,stefan-deloose,,,Belgium,1990-01-14 00:00:00,Goalkeeper,Goalkeeper,,190.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/stefan-deloose/profil/spieler/78500,BE1,Beerschot AC,150000.0,150000.0
112737,Dor,Malul,Dor Malul,2012,566,dor-malul,Israel,Tel Aviv,Israel,1989-04-30 00:00:00,Right-Back,Defender,both,176.0,2024-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/dor-malul/profil/spieler/112737,BE1,Beerschot AC,200000.0,800000.0
129595,Jaric,Schaessens,Jaric Schaessens,2012,566,jaric-schaessens,,,Belgium,1994-04-08 00:00:00,Central Midfield,Midfield,,,2024-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/129595-1505391729.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jaric-schaessens/profil/spieler/129595,BE1,Beerschot AC,200000.0,300000.0
129870,Roei,Dayan,Roei Dayan,2012,566,roei-dayan,Israel,Tel Aviv,Israel,1984-09-19 00:00:00,Centre-Forward,Attack,right,184.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/roei-dayan/profil/spieler/129870,BE1,Beerschot AC,350000.0,700000.0
157206,Conor,Laerenbergh,Conor Laerenbergh,2012,566,conor-laerenbergh,Belgium,Wilrijk,Belgium,1993-03-18 00:00:00,Left Winger,Attack,left,179.0,2024-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/conor-laerenbergh/profil/spieler/157206,BE1,Beerschot AC,250000.0,250000.0
187400,Franck,Mawuena,Franck Mawuena,2012,566,franck-mawuena,Togo,Lomé,Togo,1992-11-21 00:00:00,Centre-Forward,Attack,right,184.0,2024-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/s_187400_15273_2010_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/franck-mawuena/profil/spieler/187400,BE1,Beerschot AC,100000.0,100000.0
187955,Domine,Luyckx,Domine Luyckx,2012,566,domine-luyckx,,,Belgium,1993-07-27 00:00:00,Centre-Back,Defender,,182.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/domine-luyckx/profil/spieler/187955,BE1,Beerschot AC,50000.0,50000.0
216945,Sam,Van Den Abeel,Sam Van Den Abeel,2012,566,sam-van-den-abeel,,,Belgium,1994-05-09 00:00:00,,Missing,,,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/sam-van-den-abeel/profil/spieler/216945,BE1,Beerschot AC,50000.0,50000.0
231976,Ilias,El Yazidi,Ilias El Yazidi,2012,566,ilias-el-yazidi,,,Belgium,1994-01-17 00:00:00,Attacking Midfield,Midfield,,173.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ilias-el-yazidi/profil/spieler/231976,BE1,Beerschot AC,50000.0,50000.0
232012,Nick,Van Asch,Nick Van Asch,2012,566,nick-van-asch,,,Belgium,1994-08-01 00:00:00,Left-Back,Defender,left,174.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/nick-van-asch/profil/spieler/232012,BE1,Beerschot AC,75000.0,75000.0
