player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
9596,Oleg,Yashchuk,Oleg Yashchuk,2012,520,oleg-yashchuk,UdSSR,"Grybova, Ternopil Region",Ukraine,1977-10-26 00:00:00,Left Winger,Attack,right,181.0,,,https://img.a.transfermarkt.technology/portrait/header/9596-1537870055.jpg?lm=1,,,,https://www.transfermarkt.co.uk/oleg-yashchuk/profil/spieler/9596,BE1,Cercle Brugge Koninklijke Sportvereniging,200000.0,1750000.0
9638,Hans,Cornelis,Hans Cornelis,2014,520,hans-cornelis,Belgium,Eeklo,Belgium,1982-10-13 00:00:00,Right-Back,Defender,right,182.0,,Eleven Management,https://img.a.transfermarkt.technology/portrait/header/9638-1537881434.jpg?lm=1,,,,https://www.transfermarkt.co.uk/hans-cornelis/profil/spieler/9638,BE1,Cercle Brugge Koninklijke Sportvereniging,200000.0,2500000.0
9665,Tim,Smolders,Tim Smolders,2014,520,tim-smolders,Belgium,Geel,Belgium,1980-08-26 00:00:00,Central Midfield,Midfield,right,191.0,,,https://img.a.transfermarkt.technology/portrait/header/9665-1616774263.jpg?lm=1,,,,https://www.transfermarkt.co.uk/tim-smolders/profil/spieler/9665,BE1,Cercle Brugge Koninklijke Sportvereniging,200000.0,1500000.0
10244,Bernt,Evens,Bernt Evens,2012,520,bernt-evens,Belgium,Neerpelt,Belgium,1978-11-09 00:00:00,Left-Back,Defender,left,189.0,,,https://img.a.transfermarkt.technology/portrait/header/10244-1616774057.jpg?lm=1,,,,https://www.transfermarkt.co.uk/bernt-evens/profil/spieler/10244,BE1,Cercle Brugge Koninklijke Sportvereniging,200000.0,700000.0
13001,Arnar,Vidarsson,Arnar Vidarsson,2013,520,arnar-vidarsson,Iceland,Reykjavík,Iceland,1978-03-15 00:00:00,Defensive Midfield,Midfield,left,179.0,,,https://img.a.transfermarkt.technology/portrait/header/13001-1616745652.jpg?lm=1,,,,https://www.transfermarkt.co.uk/arnar-vidarsson/profil/spieler/13001,BE1,Cercle Brugge Koninklijke Sportvereniging,100000.0,1500000.0
13037,Frederik,Boi,Frederik Boi,2013,520,frederik-boi,Belgium,Brügge,Belgium,1981-10-25 00:00:00,Right Midfield,Midfield,right,184.0,,,https://img.a.transfermarkt.technology/portrait/header/13037-1617016653.jpg?lm=1,,,,https://www.transfermarkt.co.uk/frederik-boi/profil/spieler/13037,BE1,Cercle Brugge Koninklijke Sportvereniging,150000.0,900000.0
13111,Stef,Wils,Stef Wils,2014,520,stef-wils,Belgium,Turnhout,Belgium,1982-08-02 00:00:00,Centre-Back,Defender,right,187.0,,,https://img.a.transfermarkt.technology/portrait/header/13111-1470002328.jpg?lm=1,,,,https://www.transfermarkt.co.uk/stef-wils/profil/spieler/13111,BE1,Cercle Brugge Koninklijke Sportvereniging,200000.0,1400000.0
18019,Brian,Vandenbussche,Brian Vandenbussche,2018,520,brian-vandenbussche,Belgium,Blankenberge,Belgium,1981-09-24 00:00:00,Goalkeeper,Goalkeeper,left,196.0,,,https://img.a.transfermarkt.technology/portrait/header/s_18019_306_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/brian-vandenbussche/profil/spieler/18019,BE1,Cercle Brugge Koninklijke Sportvereniging,50000.0,1750000.0
18418,Anthony,Portier,Anthony Portier,2012,520,anthony-portier,Belgium,Oostende,Belgium,1982-06-01 00:00:00,Centre-Back,Defender,right,183.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/anthony-portier/profil/spieler/18418,BE1,Cercle Brugge Koninklijke Sportvereniging,300000.0,800000.0
30546,Benjamin,Delacourt,Benjamin Delacourt,2018,520,benjamin-delacourt,France,Croix,France,1985-03-10 00:00:00,Centre-Back,Defender,right,177.0,,Agence 442,https://img.a.transfermarkt.technology/portrait/header/30546-1515418007.jpg?lm=1,,,,https://www.transfermarkt.co.uk/benjamin-delacourt/profil/spieler/30546,BE1,Cercle Brugge Koninklijke Sportvereniging,100000.0,500000.0
