player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
15817,Patrick,Deman,Patrick Deman,2014,601,patrick-deman,Belgium,Marke,Belgium,1968-07-31 00:00:00,Goalkeeper,Goalkeeper,,184.0,,,https://img.a.transfermarkt.technology/portrait/header/15817-1594807244.jpg?lm=1,,,,https://www.transfermarkt.co.uk/patrick-deman/profil/spieler/15817,BE1,KV Kortrijk,,
16444,Michalis,Sifakis,Michalis Sifakis,2016,601,michalis-sifakis,Greece,Heraklion,Greece,1984-09-09 00:00:00,Goalkeeper,Goalkeeper,right,187.0,,,https://img.a.transfermarkt.technology/portrait/header/16444-1487770579.jpg?lm=1,,,,https://www.transfermarkt.co.uk/michalis-sifakis/profil/spieler/16444,BE1,KV Kortrijk,100000.0,3500000.0
18532,Landry,Mulemo,Landry Mulemo,2014,601,landry-mulemo,Zaire,Kinshasa,DR Congo,1986-09-17 00:00:00,Left-Back,Defender,left,178.0,,Elite Soccer Sarl,https://img.a.transfermarkt.technology/portrait/header/s_18532_6056_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/landry-mulemo/profil/spieler/18532,BE1,KV Kortrijk,200000.0,1500000.0
22067,Stijn,De Smet,Stijn De Smet,2017,601,stijn-de-smet,Belgium,Brugge,Belgium,1985-03-27 00:00:00,Attacking Midfield,Midfield,right,184.0,,,https://img.a.transfermarkt.technology/portrait/header/22067-1487770667.jpg?lm=1,,,,https://www.transfermarkt.co.uk/stijn-de-smet/profil/spieler/22067,BE1,KV Kortrijk,200000.0,2000000.0
27234,Branimir,Petrovic,Branimir Petrovic,2013,601,branimir-petrovic,Jugoslawien (SFR),Užice,Serbia,1982-06-26 00:00:00,Central Midfield,Midfield,right,180.0,,,https://img.a.transfermarkt.technology/portrait/header/27234-1557311162.png?lm=1,,,,https://www.transfermarkt.co.uk/branimir-petrovic/profil/spieler/27234,BE1,KV Kortrijk,100000.0,800000.0
32387,Baptiste,Ulens,Baptiste Ulens,2015,601,baptiste-ulens,Belgium,Boussu,Belgium,1987-07-24 00:00:00,Left-Back,Defender,both,177.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/baptiste-ulens/profil/spieler/32387,BE1,KV Kortrijk,350000.0,500000.0
33314,Mario,Carevic,Mario Carevic,2012,601,mario-carevic,Jugoslawien (SFR),Makarska,Croatia,1982-03-29 00:00:00,Left Midfield,Midfield,left,186.0,,,https://img.a.transfermarkt.technology/portrait/header/33314-1620466831.jpg?lm=1,,,,https://www.transfermarkt.co.uk/mario-carevic/profil/spieler/33314,BE1,KV Kortrijk,250000.0,1100000.0
33848,Baptiste,Martin,Baptiste Martin,2013,601,baptiste-martin,France,Troyes,France,1985-05-14 00:00:00,Centre-Back,Defender,right,186.0,,,https://img.a.transfermarkt.technology/portrait/header/33848-1652199669.jpg?lm=1,,,,https://www.transfermarkt.co.uk/baptiste-martin/profil/spieler/33848,BE1,KV Kortrijk,250000.0,1500000.0
36045,Nebojsa,Pavlovic,Nebojsa Pavlovic,2016,601,nebojsa-pavlovic,Jugoslawien (SFR),Belgrad,Serbia,1981-04-09 00:00:00,Defensive Midfield,Midfield,right,189.0,,,https://img.a.transfermarkt.technology/portrait/header/36045-1479823544.jpg?lm=1,,,,https://www.transfermarkt.co.uk/nebojsa-pavlovic/profil/spieler/36045,BE1,KV Kortrijk,150000.0,1250000.0
36586,Bennard,Kumordzi,Bennard Kumordzi,2018,601,bennard-kumordzi,Ghana,Accra,Ghana,1985-03-21 00:00:00,Defensive Midfield,Midfield,both,187.0,,,https://img.a.transfermarkt.technology/portrait/header/36586-1478246211.jpg?lm=1,,,,https://www.transfermarkt.co.uk/bennard-kumordzi/profil/spieler/36586,BE1,KV Kortrijk,200000.0,2500000.0
