player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
13286,Thomas,Chatelle,Thomas Chatelle,2013,1411,thomas-chatelle,Belgium,Jette,Belgium,1981-03-31 00:00:00,Right Winger,Attack,right,175.0,,,https://img.a.transfermarkt.technology/portrait/header/13286-1537879904.jpg?lm=1,,,,https://www.transfermarkt.co.uk/thomas-chatelle/profil/spieler/13286,BE1,RAEC Mons (- 2015),250000.0,3000000.0
15567,Grégory,Lorenzi,Grégory Lorenzi,2013,1411,gregory-lorenzi,France,Bastia,France,1983-12-17 00:00:00,Centre-Back,Defender,left,186.0,,,https://img.a.transfermarkt.technology/portrait/header/15567-1484041169.jpg?lm=1,,,,https://www.transfermarkt.co.uk/gregory-lorenzi/profil/spieler/15567,BE1,RAEC Mons (- 2015),250000.0,1200000.0
18416,Aloys,Nong,Aloys Nong,2013,1411,aloys-nong,Cameroon,Douala,Cameroon,1983-10-16 00:00:00,Centre-Forward,Attack,right,180.0,,FIFA-CO,https://img.a.transfermarkt.technology/portrait/header/s_18416_3368_2013_10_17_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/aloys-nong/profil/spieler/18416,BE1,RAEC Mons (- 2015),250000.0,1500000.0
18893,Benjamin,Nicaise,Benjamin Nicaise,2012,1411,benjamin-nicaise,France,Maisons-Alfort,France,1980-09-28 00:00:00,Defensive Midfield,Midfield,right,184.0,,,https://img.a.transfermarkt.technology/portrait/header/18893-1617021804.jpg?lm=1,,,,https://www.transfermarkt.co.uk/benjamin-nicaise/profil/spieler/18893,BE1,RAEC Mons (- 2015),350000.0,900000.0
21666,Peter,Franquart,Peter Franquart,2013,1411,peter-franquart,France,Lille,France,1985-05-04 00:00:00,Centre-Back,Defender,left,182.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/peter-franquart/profil/spieler/21666,BE1,RAEC Mons (- 2015),200000.0,1000000.0
23976,Richard,Soumah,Richard Soumah,2013,1411,richard-soumah,France,Créteil,Guinea,1986-10-06 00:00:00,Left-Back,Defender,left,179.0,,,https://img.a.transfermarkt.technology/portrait/header/s_23976_3911_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/richard-soumah/profil/spieler/23976,BE1,RAEC Mons (- 2015),100000.0,1800000.0
28347,Jérémy,Sapina,Jérémy Sapina,2013,1411,jeremy-sapina,France,Rillieux-la-Pape,France,1985-02-01 00:00:00,Centre-Back,Defender,right,187.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jeremy-sapina/profil/spieler/28347,BE1,RAEC Mons (- 2015),450000.0,800000.0
30553,Daan,Van Gijseghem,Daan Van Gijseghem,2013,1411,daan-van-gijseghem,Belgium,Oudenaarde,Belgium,1988-03-02 00:00:00,Centre-Back,Defender,right,184.0,,The Football Farm,https://img.a.transfermarkt.technology/portrait/header/30553-1616773828.jpg?lm=1,,,,https://www.transfermarkt.co.uk/daan-van-gijseghem/profil/spieler/30553,BE1,RAEC Mons (- 2015),350000.0,1800000.0
39928,Joachim,Mununga,Joachim Mununga,2013,1411,joachim-mununga,Belgium,Ottignies,Belgium,1988-06-30 00:00:00,Right Winger,Attack,right,179.0,,,https://img.a.transfermarkt.technology/portrait/header/s_39928_820_2010_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/joachim-mununga/profil/spieler/39928,BE1,RAEC Mons (- 2015),400000.0,1500000.0
42399,Mustapha Alasan,Jarju,Mustapha Alasan Jarju,2013,1411,mustapha-alasan-jarju,The Gambia,Banjul,The Gambia,1986-07-18 00:00:00,Second Striker,Attack,right,183.0,,Murat Basaran,https://img.a.transfermarkt.technology/portrait/header/42399-1617016039.jpg?lm=1,,,,https://www.transfermarkt.co.uk/mustapha-alasan-jarju/profil/spieler/42399,BE1,RAEC Mons (- 2015),500000.0,1200000.0
42949,Zola,Matumona,Zola Matumona,2013,1411,zola-matumona,Zaire,Kinshasa,DR Congo,1981-11-26 00:00:00,Left Midfield,Midfield,both,165.0,,,https://img.a.transfermarkt.technology/portrait/header/42949-1618408883.jpg?lm=1,,,,https://www.transfermarkt.co.uk/zola-matumona/profil/spieler/42949,BE1,RAEC Mons (- 2015),350000.0,800000.0
43982,Shlomi,Arbeitman,Shlomi Arbeitman,2013,1411,shlomi-arbeitman,Israel,Netanya,Israel,1985-05-14 00:00:00,Centre-Forward,Attack,right,184.0,,,https://img.a.transfermarkt.technology/portrait/header/43982-1485796110.jpg?lm=1,,,,https://www.transfermarkt.co.uk/shlomi-arbeitman/profil/spieler/43982,BE1,RAEC Mons (- 2015),100000.0,1500000.0
44060,Vusumuzi,Nyoni,Vusumuzi Nyoni,2013,1411,vusumuzi-nyoni,Zimbabwe,Bulawayo,Zimbabwe,1984-04-21 00:00:00,Left Midfield,Midfield,left,176.0,,Eleven Management,https://img.a.transfermarkt.technology/portrait/header/44060-1618581365.jpg?lm=1,,,,https://www.transfermarkt.co.uk/vusumuzi-nyoni/profil/spieler/44060,BE1,RAEC Mons (- 2015),200000.0,800000.0
48536,Yuval,Shpungin,Yuval Shpungin,2013,1411,yuval-shpungin,Israel,Ramat Gan,Israel,1987-04-03 00:00:00,Right-Back,Defender,right,178.0,,,https://img.a.transfermarkt.technology/portrait/header/s_48536_1411_2013_08_16_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/yuval-shpungin/profil/spieler/48536,BE1,RAEC Mons (- 2015),75000.0,700000.0
85345,Maël,Lepicier,Maël Lepicier,2012,1411,mael-lepicier,France,Le Mans,Congo,1986-01-14 00:00:00,Centre-Back,Defender,left,184.0,,,https://img.a.transfermarkt.technology/portrait/header/85345-1536676907.jpg?lm=1,,,,https://www.transfermarkt.co.uk/mael-lepicier/profil/spieler/85345,BE1,RAEC Mons (- 2015),150000.0,750000.0
92163,Quentin,Pottiez,Quentin Pottiez,2012,1411,quentin-pottiez,Belgium,Tournai,Belgium,1991-05-15 00:00:00,Right Winger,Attack,right,177.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/quentin-pottiez/profil/spieler/92163,BE1,RAEC Mons (- 2015),100000.0,250000.0
