player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
46741,,David Luiz,David Luiz,2024,10870,david-luiz,Brazil,Diadema,Brazil,1987-04-22 00:00:00,Centre-Back,Defender,right,189.0,2027-05-31 00:00:00,Bertolucci Sports,https://img.a.transfermarkt.technology/portrait/header/46741-1758220529.jpg?lm=1,57.0,3.0,,https://www.transfermarkt.co.uk/david-luiz/profil/spieler/46741,BRA1,Fortaleza Esporte Clube,500000.0,30000000.0
55250,,Titi,Titi,2024,10870,titi,Brazil,Pelotas,Brazil,1988-03-12 00:00:00,Centre-Back,Defender,left,188.0,2026-11-30 00:00:00,Lipatin Sports,https://img.a.transfermarkt.technology/portrait/header/55250-1615775454.jpeg?lm=1,,,,https://www.transfermarkt.co.uk/titi/profil/spieler/55250,BRA1,Fortaleza Esporte Clube,200000.0,2300000.0
121986,,Lucas Sasha,Lucas Sasha,2024,10870,lucas-sasha,Brazil,São Paulo,Brazil,1990-03-01 00:00:00,Defensive Midfield,Midfield,both,177.0,2026-12-31 00:00:00,LEFT Sports,https://img.a.transfermarkt.technology/portrait/header/121986-1648631635.png?lm=1,,,,https://www.transfermarkt.co.uk/lucas-sasha/profil/spieler/121986,BRA1,Fortaleza Esporte Clube,750000.0,2000000.0
162807,Juan Martín,Lucero,Juan Martín Lucero,2024,10870,juan-martin-lucero,Argentina,Mendoza,Argentina,1991-10-10 00:00:00,Centre-Forward,Attack,right,183.0,2027-12-31 00:00:00,Lipatin Sports,https://img.a.transfermarkt.technology/portrait/header/162807-1636330927.JPG?lm=1,,,,https://www.transfermarkt.co.uk/juan-martin-lucero/profil/spieler/162807,BRA1,Fortaleza Esporte Clube,,
167724,,Diogo Barbosa,Diogo Barbosa,2024,10870,diogo-barbosa,Brazil,Terra Nova do Norte,Brazil,1992-08-17 00:00:00,Left-Back,Defender,left,179.0,,,https://img.a.transfermarkt.technology/portrait/header/167724-1543835837.jpg?lm=1,,,,https://www.transfermarkt.co.uk/diogo-barbosa/profil/spieler/167724,BRA1,Fortaleza Esporte Clube,,
175383,Helton,Leite,Helton Leite,2024,10870,helton-leite,Brazil,Belo Horizonte,Brazil,1990-11-02 00:00:00,Goalkeeper,Goalkeeper,right,196.0,2026-11-30 00:00:00,Team of Future,https://img.a.transfermarkt.technology/portrait/header/175383-1695393680.png?lm=1,,,,https://www.transfermarkt.co.uk/helton-leite/profil/spieler/175383,BRA1,Fortaleza Esporte Clube,1000000.0,7000000.0
262851,Emanuel,Brítez,Emanuel Brítez,2024,10870,emanuel-britez,Argentina,Santa Fe,Argentina,1992-03-26 00:00:00,Centre-Back,Defender,right,178.0,2027-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/262851-1637935701.JPG?lm=1,,,,https://www.transfermarkt.co.uk/emanuel-britez/profil/spieler/262851,BRA1,Fortaleza Esporte Clube,,
265660,Yago,Pikachu,Yago Pikachu,2024,10870,yago-pikachu,Brazil,Belém,Brazil,1992-06-05 00:00:00,Right Winger,Attack,right,172.0,2026-12-31 00:00:00,GOL SUDAMERICA,https://img.a.transfermarkt.technology/portrait/header/265660-1547648152.jpg?lm=1,,,,https://www.transfermarkt.co.uk/yago-pikachu/profil/spieler/265660,BRA1,Fortaleza Esporte Clube,800000.0,2500000.0
270420,,João Ricardo,João Ricardo,2024,10870,joao-ricardo,Brazil,Mariano Moro,Brazil,1988-09-06 00:00:00,Goalkeeper,Goalkeeper,right,186.0,2027-12-31 00:00:00,FJB Sports,https://img.a.transfermarkt.technology/portrait/header/270420-1662314871.jpg?lm=1,,,,https://www.transfermarkt.co.uk/joao-ricardo/profil/spieler/270420,BRA1,Fortaleza Esporte Clube,,
286772,,Vinícius,Vinícius,2024,10870,vinicius,Brazil,Guarulhos,Brazil,1994-03-28 00:00:00,Goalkeeper,Goalkeeper,right,195.0,2026-12-31 00:00:00,Dodici Sports BR,https://img.a.transfermarkt.technology/portrait/header/286772-1543835503.jpg?lm=1,,,,https://www.transfermarkt.co.uk/vinicius/profil/spieler/286772,BRA1,Fortaleza Esporte Clube,1200000.0,1500000.0
