player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
45319,Gabriel,Mercado,Gabriel Mercado,2025,6600,gabriel-mercado,Argentina,Puerto Madryn,Argentina,1987-03-18 00:00:00,Centre-Back,Defender,right,180.0,2026-12-31 00:00:00,Hernan Berman,https://img.a.transfermarkt.technology/portrait/header/45319-1418827134.jpg?lm=1,24.0,4.0,,https://www.transfermarkt.co.uk/gabriel-mercado/profil/spieler/45319,BRA1,Sport Club Internacional,150000.0,6000000.0
51174,,Fernando,Fernando,2024,6600,fernando,Brazil,Brasília,Brazil,1987-07-25 00:00:00,Defensive Midfield,Midfield,right,183.0,,,https://img.a.transfermarkt.technology/portrait/header/51174-1554903963.jpg?lm=1,3.0,0.0,,https://www.transfermarkt.co.uk/fernando/profil/spieler/51174,BRA1,Sport Club Internacional,2000000.0,17500000.0
104505,,Alan Patrick,Alan Patrick,2025,6600,alan-patrick,Brazil,São Paulo,Brazil,1991-05-13 00:00:00,Attacking Midfield,Midfield,right,177.0,2027-12-31 00:00:00,LINK SPORTS,https://img.a.transfermarkt.technology/portrait/header/104505-1641992716.png?lm=1,4.0,0.0,,https://www.transfermarkt.co.uk/alan-patrick/profil/spieler/104505,BRA1,Sport Club Internacional,2500000.0,8000000.0
264014,Sergio,Rochet,Sergio Rochet,2025,6600,sergio-rochet,Uruguay,Nueva Palmira,Uruguay,1993-03-23 00:00:00,Goalkeeper,Goalkeeper,right,190.0,2026-12-31 00:00:00,VIDA 11,https://img.a.transfermarkt.technology/portrait/header/264014-1668501221.jpg?lm=1,35.0,0.0,,https://www.transfermarkt.co.uk/sergio-rochet/profil/spieler/264014,BRA1,Sport Club Internacional,2000000.0,4000000.0
277335,,Bruno Henrique,Bruno Henrique,2025,6600,bruno-henrique,Brazil,Apucarana,Brazil,1989-10-21 00:00:00,Central Midfield,Midfield,right,180.0,2026-12-31 00:00:00,OTB Sports,https://img.a.transfermarkt.technology/portrait/header/277335-1687958953.JPG?lm=1,,,,https://www.transfermarkt.co.uk/bruno-henrique/profil/spieler/277335,BRA1,Sport Club Internacional,350000.0,4500000.0
294873,,Thiago Maia,Thiago Maia,2025,6600,thiago-maia,Brazil,Boa Vista,Brazil,1997-03-23 00:00:00,Defensive Midfield,Midfield,left,179.0,2026-12-31 00:00:00,Bertolucci Sports,https://img.a.transfermarkt.technology/portrait/header/294873-1668860866.jpeg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/thiago-maia/profil/spieler/294873,BRA1,Sport Club Internacional,3000000.0,9000000.0
323831,Rafael,Borré,Rafael Borré,2025,6600,rafael-borre,Colombia,Barranquilla,Colombia,1995-09-15 00:00:00,Centre-Forward,Attack,right,174.0,2028-12-31 00:00:00,The.Team,https://img.a.transfermarkt.technology/portrait/header/323831-1663064975.jpg?lm=1,44.0,6.0,,https://www.transfermarkt.co.uk/rafael-borre/profil/spieler/323831,BRA1,Sport Club Internacional,4000000.0,20000000.0
371968,,Clayton,Clayton,2025,6600,clayton,Brazil,Santos,Brazil,2000-04-04 00:00:00,Centre-Back,Defender,right,187.0,2028-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/371968-1725227811.jpg?lm=1,4.0,0.0,,https://www.transfermarkt.co.uk/clayton/profil/spieler/371968,BRA1,Sport Club Internacional,800000.0,1000000.0
371996,,Alerrandro,Alerrandro,2025,6600,alerrandro,Brazil,Lavras,Brazil,2000-01-12 00:00:00,Centre-Forward,Attack,right,181.0,2026-12-31 00:00:00,Bertolucci Sports,https://img.a.transfermarkt.technology/portrait/header/371996-1739819632.png?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/alerrandro/profil/spieler/371996,BRA1,Sport Club Internacional,3000000.0,4000000.0
383638,,Juninho,Juninho,2025,6600,juninho,Brazil,Londrina,Brazil,1995-02-01 00:00:00,Centre-Back,Defender,left,185.0,2027-12-31 00:00:00,COMUNIGOAL,https://img.a.transfermarkt.technology/portrait/header/383638-1525791516.jpg?lm=1,,,,https://www.transfermarkt.co.uk/juninho/profil/spieler/383638,BRA1,Sport Club Internacional,800000.0,2250000.0
