player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
126281,Alexander,Hack,Alexander Hack,2025,260,alexander-hack,Germany,Memmingen,Germany,1993-09-08 00:00:00,Centre-Back,Defender,left,193.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/126281-1740943600.jpg?lm=1,4.0,0.0,,https://www.transfermarkt.co.uk/alexander-hack/profil/spieler/126281,C1,FC Zürich,600000.0,3000000.0
145115,Valon,Berisha,Valon Berisha,2025,260,valon-berisha,Sweden,Malmö,Kosovo,1993-02-07 00:00:00,Central Midfield,Midfield,right,176.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/145115-1754323670.png?lm=1,52.0,4.0,,https://www.transfermarkt.co.uk/valon-berisha/profil/spieler/145115,C1,FC Zürich,300000.0,10000000.0
149716,Ivan,Cavaleiro,Ivan Cavaleiro,2025,260,ivan-cavaleiro,Portugal,Vila Franca de Xira,Angola,1993-10-18 00:00:00,Left Winger,Attack,right,175.0,2026-06-30 00:00:00,Gestifute,https://img.a.transfermarkt.technology/portrait/header/149716-1708342303.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/ivan-cavaleiro/profil/spieler/149716,C1,FC Zürich,400000.0,12000000.0
150963,Antonio,Marchesano,Antonio Marchesano,2024,260,antonio-marchesano,Switzerland,Bellinzona,Switzerland,1991-01-18 00:00:00,Attacking Midfield,Midfield,right,168.0,2026-06-30 00:00:00,452 ,https://img.a.transfermarkt.technology/portrait/header/150963-1739447823.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/antonio-marchesano/profil/spieler/150963,C1,FC Zürich,,
165532,Yanick,Brecher,Yanick Brecher,2025,260,yanick-brecher,Switzerland,Zürich,Switzerland,1993-05-25 00:00:00,Goalkeeper,Goalkeeper,right,196.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/165532-1754378016.png?lm=1,3.0,0.0,,https://www.transfermarkt.co.uk/yanick-brecher/profil/spieler/165532,C1,FC Zürich,200000.0,1500000.0
178277,Zivko,Kostadinovic,Zivko Kostadinovic,2024,260,zivko-kostadinovic,Bosnia-Herzegovina,Modriča,Switzerland,1992-04-10 00:00:00,Goalkeeper,Goalkeeper,right,196.0,2026-06-30 00:00:00,Excensy,https://img.a.transfermarkt.technology/portrait/header/178277-1720593702.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/zivko-kostadinovic/profil/spieler/178277,C1,FC Zürich,,
187474,Mile,Vukelic,Mile Vukelic,2024,260,mile-vukelic,Switzerland,Muri AG,Switzerland,2003-02-25 00:00:00,Centre-Back,Defender,right,189.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/mile-vukelic/profil/spieler/187474,C1,FC Zürich,,
237986,Chris,Kablan,Chris Kablan,2025,260,chris-kablan,Switzerland,Luzern,Switzerland,1994-11-30 00:00:00,Right-Back,Defender,right,176.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/237986-1768557055.jpg?lm=1,,,,https://www.transfermarkt.co.uk/chris-kablan/profil/spieler/237986,C1,FC Zürich,200000.0,500000.0
338864,Ifeanyi,Mathew,Ifeanyi Mathew,2024,260,ifeanyi-mathew,Nigeria,Kaduna,Nigeria,1997-01-20 00:00:00,Central Midfield,Midfield,right,175.0,2026-06-30 00:00:00,Aneke/PMG ,https://img.a.transfermarkt.technology/portrait/header/338864-1761021495.png?lm=1,5.0,2.0,,https://www.transfermarkt.co.uk/ifeanyi-mathew/profil/spieler/338864,C1,FC Zürich,,
427693,Matthias,Phaëton,Matthias Phaëton,2025,260,matthias-phaeton,France,Colombes,Guadeloupe,2000-01-08 00:00:00,Left Winger,Attack,right,185.0,2026-06-30 00:00:00,4YOURDREAM,https://img.a.transfermarkt.technology/portrait/header/427693-1754377443.png?lm=1,34.0,12.0,,https://www.transfermarkt.co.uk/matthias-phaeton/profil/spieler/427693,C1,FC Zürich,1800000.0,1800000.0
440737,Nemanja,Tosic,Nemanja Tosic,2024,260,nemanja-tosic,Yugoslavia (Republic),Beograd,Serbia,1997-01-23 00:00:00,Centre-Back,Defender,left,189.0,2027-05-31 00:00:00,DAT Score Agency ,https://img.a.transfermarkt.technology/portrait/header/440737-1720616409.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/nemanja-tosic/profil/spieler/440737,C1,FC Zürich,,
