player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
1197,Peter,Graulund,Peter Graulund,2012,678,peter-graulund,Denmark,Brørup,Denmark,1976-09-20 00:00:00,Centre-Forward,Attack,,,,Nicolai Mallet,https://img.a.transfermarkt.technology/portrait/header/1197-1490864673.jpg?lm=1,,,,https://www.transfermarkt.co.uk/peter-graulund/profil/spieler/1197,DK1,Aarhus Gymnastik Forening,250000.0,1100000.0
4316,Petri,Pasanen,Petri Pasanen,2013,678,petri-pasanen,Finland,Lahti,Finland,1980-09-24 00:00:00,Centre-Back,Defender,right,187.0,,,https://img.a.transfermarkt.technology/portrait/header/s_4316_3443_2010_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/petri-pasanen/profil/spieler/4316,DK1,Aarhus Gymnastik Forening,100000.0,5000000.0
5892,Martin,Jörgensen,Martin Jörgensen,2013,678,martin-jorgensen,Denmark,Ryomgård,Denmark,1975-10-06 00:00:00,Central Midfield,Midfield,both,179.0,,,https://img.a.transfermarkt.technology/portrait/header/5892-1490023299.jpg?lm=1,,,,https://www.transfermarkt.co.uk/martin-jorgensen/profil/spieler/5892,DK1,Aarhus Gymnastik Forening,100000.0,7000000.0
14971,Hjalte Bo,Nörregaard,Hjalte Bo Nörregaard,2013,678,hjalte-bo-norregaard,Denmark,Kopenhagen,Denmark,1981-04-08 00:00:00,Central Midfield,Midfield,right,182.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/hjalte-bo-norregaard/profil/spieler/14971,DK1,Aarhus Gymnastik Forening,200000.0,1750000.0
16733,Lee,Baxter,Lee Baxter,2016,678,lee-baxter,Sweden,Helsingborg,Scotland,1976-06-17 00:00:00,Goalkeeper,Goalkeeper,,186.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/lee-baxter/profil/spieler/16733,DK1,Aarhus Gymnastik Forening,100000.0,100000.0
20313,Jesper,Juelsgaard,Jesper Juelsgaard,2021,678,jesper-juelsgaard,Denmark,Spjald,Denmark,1989-01-26 00:00:00,Centre-Back,Defender,left,182.0,2024-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jesper-juelsgaard/profil/spieler/20313,DK1,Aarhus Gymnastik Forening,100000.0,1500000.0
22860,Jesper,Hansen,Jesper Hansen,2025,678,jesper-hansen,Denmark,Slangerup,Denmark,1985-03-31 00:00:00,Goalkeeper,Goalkeeper,right,188.0,2027-06-30 00:00:00,BTAM,https://img.a.transfermarkt.technology/portrait/header/22860-1601543044.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/jesper-hansen/profil/spieler/22860,DK1,Aarhus Gymnastik Forening,50000.0,1000000.0
22920,Mikkel,Rask,Mikkel Rask,2017,678,mikkel-rask,Denmark,Randers,Denmark,1983-06-22 00:00:00,Centre-Back,Defender,right,185.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/mikkel-rask/profil/spieler/22920,DK1,Aarhus Gymnastik Forening,150000.0,300000.0
22923,Steffen,Rasmussen,Steffen Rasmussen,2017,678,steffen-rasmussen,Denmark,Stenvad,Denmark,1982-09-30 00:00:00,Goalkeeper,Goalkeeper,right,181.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/steffen-rasmussen/profil/spieler/22923,DK1,Aarhus Gymnastik Forening,200000.0,1250000.0
23538,Morten,Nordstrand,Morten Nordstrand,2015,678,morten-nordstrand,Denmark,Hundested,Denmark,1983-06-08 00:00:00,Centre-Forward,Attack,right,177.0,,Ulrik Le Fevre,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/morten-nordstrand/profil/spieler/23538,DK1,Aarhus Gymnastik Forening,200000.0,3000000.0
24282,Sören,Larsen,Sören Larsen,2013,678,soren-larsen,Denmark,Køge,Denmark,1981-09-06 00:00:00,Centre-Forward,Attack,,,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/soren-larsen/profil/spieler/24282,DK1,Aarhus Gymnastik Forening,250000.0,5000000.0
26774,Atle Roar,Haland,Atle Roar Haland,2012,678,atle-roar-haland,,,Norway,1977-07-26 00:00:00,Centre-Back,Defender,right,187.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/atle-roar-haland/profil/spieler/26774,DK1,Aarhus Gymnastik Forening,100000.0,1000000.0
27644,Morten,Moldskred,Morten Moldskred,2012,678,morten-moldskred,Norway,Ulsteinvik,Norway,1980-06-13 00:00:00,Left Winger,Attack,right,176.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/morten-moldskred/profil/spieler/27644,DK1,Aarhus Gymnastik Forening,100000.0,1000000.0
30699,Arthur,Sorin,Arthur Sorin,2013,678,arthur-sorin,France,Laval,France,1985-11-01 00:00:00,Centre-Back,Defender,right,183.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/arthur-sorin/profil/spieler/30699,DK1,Aarhus Gymnastik Forening,200000.0,500000.0
37635,Jesper,Lange,Jesper Lange,2015,678,jesper-lange,Denmark,Odense,Denmark,1986-01-11 00:00:00,Centre-Forward,Attack,right,178.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jesper-lange/profil/spieler/37635,DK1,Aarhus Gymnastik Forening,100000.0,1000000.0
44966,Adrián,López,Adrián López,2015,678,adrian-lopez,Spain,As Pontes,Spain,1987-02-25 00:00:00,Centre-Back,Defender,right,184.0,,,https://img.a.transfermarkt.technology/portrait/header/s_44966_1071_2013_02_18_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/adrian-lopez/profil/spieler/44966,DK1,Aarhus Gymnastik Forening,100000.0,1400000.0
45219,Morten,‘Duncan’ Rasmussen,Morten ‘Duncan’ Rasmussen,2017,678,morten-lsquo-duncan-rsquo-rasmussen,Denmark,Kopenhagen,Denmark,1985-01-31 00:00:00,Centre-Forward,Attack,right,186.0,,,https://img.a.transfermarkt.technology/portrait/header/s_45219_2381_2011_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/morten-lsquo-duncan-rsquo-rasmussen/profil/spieler/45219,DK1,Aarhus Gymnastik Forening,150000.0,3000000.0
69511,Patrick,Mortensen,Patrick Mortensen,2025,678,patrick-mortensen,Denmark,København,Denmark,1989-07-13 00:00:00,Centre-Forward,Attack,right,188.0,2026-06-30 00:00:00,NSG ApS,https://img.a.transfermarkt.technology/portrait/header/69511-1747724252.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/patrick-mortensen/profil/spieler/69511,DK1,Aarhus Gymnastik Forening,300000.0,700000.0
71701,Oliver,Lund,Oliver Lund,2022,678,oliver-lund,,,Denmark,1990-08-21 00:00:00,Left-Back,Defender,both,188.0,,Sivebaek Sports,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/oliver-lund/profil/spieler/71701,DK1,Aarhus Gymnastik Forening,250000.0,450000.0
74091,Viktor,Noring,Viktor Noring,2021,678,viktor-noring,Sweden,Malmö,Sweden,1991-02-03 00:00:00,Goalkeeper,Goalkeeper,right,196.0,,Martin Klette,https://img.a.transfermarkt.technology/portrait/header/74091-1418859439.jpg?lm=1,,,,https://www.transfermarkt.co.uk/viktor-noring/profil/spieler/74091,DK1,Aarhus Gymnastik Forening,100000.0,1000000.0
74223,Jack,Wilshere,Jack Wilshere,2021,678,jack-wilshere,England,Stevenage,England,1992-01-01 00:00:00,Central Midfield,Midfield,left,172.0,,Wasserman,https://img.a.transfermarkt.technology/portrait/header/74223-1518795642.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jack-wilshere/profil/spieler/74223,DK1,Aarhus Gymnastik Forening,500000.0,33000000.0
75453,Niklas,Backman,Niklas Backman,2020,678,niklas-backman,Sweden,Västerås,Sweden,1988-11-13 00:00:00,Centre-Back,Defender,right,186.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/niklas-backman/profil/spieler/75453,DK1,Aarhus Gymnastik Forening,300000.0,1750000.0
77655,Davit,Devdariani,Davit Devdariani,2013,678,davit-devdariani,UdSSR,Tiflis,Georgia,1987-10-28 00:00:00,Second Striker,Attack,right,188.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/davit-devdariani/profil/spieler/77655,DK1,Aarhus Gymnastik Forening,100000.0,600000.0
85119,Björn Daníel,Sverrisson,Björn Daníel Sverrisson,2018,678,bjorn-daniel-sverrisson,Iceland,Hafnarfjörður,Iceland,1990-05-29 00:00:00,Central Midfield,Midfield,left,183.0,2023-11-16 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/bjorn-daniel-sverrisson/profil/spieler/85119,DK1,Aarhus Gymnastik Forening,150000.0,500000.0
93315,Henrik,Dalsgaard,Henrik Dalsgaard,2025,678,henrik-dalsgaard,Denmark,Roum,Denmark,1989-07-27 00:00:00,Centre-Back,Defender,right,192.0,2026-06-30 00:00:00,The.Team,https://img.a.transfermarkt.technology/portrait/header/93315-1538465685.jpg?lm=1,27.0,1.0,,https://www.transfermarkt.co.uk/henrik-dalsgaard/profil/spieler/93315,DK1,Aarhus Gymnastik Forening,100000.0,2500000.0
131678,Edafe,Egbedi,Edafe Egbedi,2013,678,edafe-egbedi,,,Nigeria,1993-08-05 00:00:00,Right Midfield,Midfield,right,166.0,,,https://img.a.transfermarkt.technology/portrait/header/s_131678_22981_2010_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/edafe-egbedi/profil/spieler/131678,DK1,Aarhus Gymnastik Forening,50000.0,100000.0
138091,Mustafa,Amini,Mustafa Amini,2019,678,mustafa-amini,Australia,Sydney,Australia,1993-04-20 00:00:00,Central Midfield,Midfield,right,175.0,2025-06-30 00:00:00,Benchmark Sports,https://img.a.transfermarkt.technology/portrait/header/138091-1594900367.jpg?lm=1,,,,https://www.transfermarkt.co.uk/mustafa-amini/profil/spieler/138091,DK1,Aarhus Gymnastik Forening,300000.0,700000.0
157387,Anthony,D'Alberto,Anthony D'Alberto,2022,678,anthony-dalberto,Zaire,Lubumbashi,Belgium,1994-10-13 00:00:00,Right-Back,Defender,right,178.0,2024-06-30 00:00:00,LUPUS,https://img.a.transfermarkt.technology/portrait/header/157387-1537361006.png?lm=1,,,,https://www.transfermarkt.co.uk/anthony-dalberto/profil/spieler/157387,DK1,Aarhus Gymnastik Forening,300000.0,600000.0
158534,Max,Power,Max Power,2024,678,max-power,England,Birkenhead,England,1993-07-27 00:00:00,Central Midfield,Midfield,right,181.0,2027-06-30 00:00:00,Unique Sports Group,https://img.a.transfermarkt.technology/portrait/header/158534-1698422333.JPG?lm=1,,,,https://www.transfermarkt.co.uk/max-power/profil/spieler/158534,DK1,Aarhus Gymnastik Forening,225000.0,1000000.0
164658,Youssef,Toutouh,Youssef Toutouh,2018,678,youssef-toutouh,Denmark,Kopenhagen,Denmark,1992-10-06 00:00:00,Left Winger,Attack,right,189.0,,Elite Soccer Sarl,https://img.a.transfermarkt.technology/portrait/header/164658-1615536597.png?lm=1,,,,https://www.transfermarkt.co.uk/youssef-toutouh/profil/spieler/164658,DK1,Aarhus Gymnastik Forening,100000.0,1250000.0
174792,Orri Sigurdur,Ómarsson,Orri Sigurdur Ómarsson,2013,678,orri-sigurdur-omarsson,,,Iceland,1995-02-18 00:00:00,Centre-Back,Defender,right,187.0,2024-11-16 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/174792-1523870856.jpg?lm=1,,,,https://www.transfermarkt.co.uk/orri-sigurdur-omarsson/profil/spieler/174792,DK1,Aarhus Gymnastik Forening,25000.0,225000.0
176850,A.J.,Soares,A.J. Soares,2016,678,a-j-soares,United States,"San Diego, California",United States,1988-11-28 00:00:00,Centre-Back,Defender,,183.0,,PROSPORT Management,https://img.a.transfermarkt.technology/portrait/header/176850-1601203162.jpg?lm=1,,,,https://www.transfermarkt.co.uk/a-j-soares/profil/spieler/176850,DK1,Aarhus Gymnastik Forening,300000.0,300000.0
187957,Daniel,Pedersen,Daniel Pedersen,2017,678,daniel-pedersen,Denmark,Silkeborg,Denmark,1992-07-27 00:00:00,Defensive Midfield,Midfield,right,185.0,2023-11-30 00:00:00,Nordic Sky,https://img.a.transfermarkt.technology/portrait/header/187957-1669583635.jpg?lm=1,,,,https://www.transfermarkt.co.uk/daniel-pedersen/profil/spieler/187957,DK1,Aarhus Gymnastik Forening,150000.0,450000.0
205659,Oliver,Sigurjónsson,Oliver Sigurjónsson,2012,678,oliver-sigurjonsson,,,Iceland,1995-03-03 00:00:00,Defensive Midfield,Midfield,right,174.0,2024-11-16 00:00:00,Olafur Gardarsson,https://img.a.transfermarkt.technology/portrait/header/205659-1447844354.jpg?lm=1,,,,https://www.transfermarkt.co.uk/oliver-sigurjonsson/profil/spieler/205659,DK1,Aarhus Gymnastik Forening,100000.0,250000.0
236895,Milan,Jevtovic,Milan Jevtovic,2021,678,milan-jevtovic,Yugoslavia (Republic),Gornji Milanovac,Serbia,1993-06-13 00:00:00,Left Winger,Attack,right,184.0,2024-06-30 00:00:00,Stars & Friends,https://img.a.transfermarkt.technology/portrait/header/236895-1471611747.jpg?lm=1,,,,https://www.transfermarkt.co.uk/milan-jevtovic/profil/spieler/236895,DK1,Aarhus Gymnastik Forening,300000.0,700000.0
249543,Ryan,Mmaee,Ryan Mmaee,2018,678,ryan-mmaee,Belgium,Geraardsbergen,Morocco,1997-11-01 00:00:00,Centre-Forward,Attack,right,185.0,2025-06-30 00:00:00,MMPIRE AGENCY,https://img.a.transfermarkt.technology/portrait/header/249543-1485425623.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ryan-mmaee/profil/spieler/249543,DK1,Aarhus Gymnastik Forening,3000000.0,3000000.0
253210,Nicolai,Poulsen,Nicolai Poulsen,2025,678,nicolai-poulsen,Denmark,Helsted,Denmark,1993-08-15 00:00:00,Central Midfield,Midfield,right,176.0,2028-06-30 00:00:00,Nordic Sky,https://img.a.transfermarkt.technology/portrait/header/253210-1765443420.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/nicolai-poulsen/profil/spieler/253210,DK1,Aarhus Gymnastik Forening,300000.0,900000.0
258970,William,Eskelinen,William Eskelinen,2020,678,william-eskelinen,,,Sweden,1996-09-03 00:00:00,Goalkeeper,Goalkeeper,,191.0,2023-12-31 00:00:00,BHM Sports Agency,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/william-eskelinen/profil/spieler/258970,DK1,Aarhus Gymnastik Forening,275000.0,1000000.0
