player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
276,Sladan,Peric,Sladan Peric,2013,20100,sladan-peric,,,Denmark,1982-04-15 00:00:00,Centre-Back,Defender,,,,,https://img.a.transfermarkt.technology/portrait/header/276-1637687071.jpg?lm=1,,,,https://www.transfermarkt.co.uk/sladan-peric/profil/spieler/276,DK1,FC Vestsjaelland,200000.0,500000.0
15047,Ronnie,Bendtsen,Ronnie Bendtsen,2013,20100,ronnie-bendtsen,,,Denmark,1984-05-23 00:00:00,Left-Back,Defender,left,174.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ronnie-bendtsen/profil/spieler/15047,DK1,FC Vestsjaelland,50000.0,250000.0
15386,Sören,Berg,Sören Berg,2013,20100,soren-berg,Denmark,Odense,Denmark,1976-05-15 00:00:00,Right Winger,Attack,right,184.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/soren-berg/profil/spieler/15386,DK1,FC Vestsjaelland,100000.0,850000.0
20853,Jan,Kristiansen,Jan Kristiansen,2014,20100,jan-kristiansen,Denmark,Ølgod,Denmark,1981-08-04 00:00:00,Central Midfield,Midfield,both,180.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jan-kristiansen/profil/spieler/20853,DK1,FC Vestsjaelland,100000.0,1750000.0
22515,Dennis,Sörensen,Dennis Sörensen,2014,20100,dennis-sorensen,Denmark,Herlev,Denmark,1981-05-24 00:00:00,Centre-Forward,Attack,,,,,https://img.a.transfermarkt.technology/portrait/header/s_22515_25_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/dennis-sorensen/profil/spieler/22515,DK1,FC Vestsjaelland,100000.0,1500000.0
22887,Anders,Kure,Anders Kure,2014,20100,anders-kure,Denmark,Aarhus,Denmark,1985-09-12 00:00:00,Centre-Back,Defender,left,187.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/anders-kure/profil/spieler/22887,DK1,FC Vestsjaelland,150000.0,500000.0
22898,Henrik,Madsen,Henrik Madsen,2014,20100,henrik-madsen,,,Denmark,1983-02-25 00:00:00,Central Midfield,Midfield,right,187.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/henrik-madsen/profil/spieler/22898,DK1,FC Vestsjaelland,100000.0,500000.0
23201,Anders,Due,Anders Due,2014,20100,anders-due,,,Denmark,1982-03-17 00:00:00,Left Midfield,Midfield,left,177.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/anders-due/profil/spieler/23201,DK1,FC Vestsjaelland,50000.0,1500000.0
23292,Lars,Pleidrup,Lars Pleidrup,2013,20100,lars-pleidrup,Denmark,Væggerløse,Denmark,1981-08-13 00:00:00,Left-Back,Defender,left,177.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/lars-pleidrup/profil/spieler/23292,DK1,FC Vestsjaelland,25000.0,350000.0
23496,Danni,König,Danni König,2014,20100,danni-konig,Denmark,Tingbjerg,Denmark,1986-12-17 00:00:00,Centre-Forward,Attack,right,188.0,,,https://img.a.transfermarkt.technology/portrait/header/23496-1524425518.png?lm=1,,,,https://www.transfermarkt.co.uk/danni-konig/profil/spieler/23496,DK1,FC Vestsjaelland,250000.0,450000.0
