player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
29977,Branko,Ilic,Branko Ilic,2018,443,branko-ilic,Jugoslawien (SFR),Ljubljana,Slovenia,1983-02-06 00:00:00,Centre-Back,Defender,right,188.0,,Jurkicsport,https://img.a.transfermarkt.technology/portrait/header/29977-1448466258.jpg?lm=1,,,,https://www.transfermarkt.co.uk/branko-ilic/profil/spieler/29977,DK1,Vejle Boldklub,50000.0,2000000.0
42913,Lasse,Nielsen,Lasse Nielsen,2025,443,lasse-nielsen,Denmark,Aalborg,Denmark,1988-01-08 00:00:00,Centre-Back,Defender,right,185.0,2027-06-30 00:00:00,Elite Consulting,https://img.a.transfermarkt.technology/portrait/header/42913-1727796206.png?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/lasse-nielsen/profil/spieler/42913,DK1,Vejle Boldklub,50000.0,2500000.0
44726,Anders,Jacobsen,Anders Jacobsen,2025,443,anders-jacobsen,Denmark,Næsby,Denmark,1989-10-27 00:00:00,Centre-Forward,Attack,right,181.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/44726-1664569006.png?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/anders-jacobsen/profil/spieler/44726,DK1,Vejle Boldklub,50000.0,1000000.0
51318,Matthew,Briggs,Matthew Briggs,2020,443,matthew-briggs,England,London,Guyana,1991-03-06 00:00:00,Centre-Back,Defender,left,183.0,,,https://img.a.transfermarkt.technology/portrait/header/s_51318_931_2013_03_07_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/matthew-briggs/profil/spieler/51318,DK1,Vejle Boldklub,100000.0,2000000.0
53455,Richard,Sukuta-Pasu,Richard Sukuta-Pasu,2023,443,richard-sukuta-pasu,Germany,Wuppertal,Germany,1990-06-24 00:00:00,Centre-Forward,Attack,right,190.0,2025-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/53455-1531482447.jpg?lm=1,,,,https://www.transfermarkt.co.uk/richard-sukuta-pasu/profil/spieler/53455,DK1,Vejle Boldklub,125000.0,1000000.0
62471,Nicolaj,Madsen,Nicolaj Madsen,2018,443,nicolaj-madsen,,,Denmark,1988-07-16 00:00:00,Central Midfield,Midfield,right,186.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/nicolaj-madsen/profil/spieler/62471,DK1,Vejle Boldklub,75000.0,600000.0
70544,Jacob,Schoop,Jacob Schoop,2021,443,jacob-schoop,,,Denmark,1988-12-23 00:00:00,Central Midfield,Midfield,left,176.0,2023-06-30 00:00:00,People In Sport,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jacob-schoop/profil/spieler/70544,DK1,Vejle Boldklub,150000.0,450000.0
73417,Sten,Grytebust,Sten Grytebust,2021,443,sten-grytebust,Norway,Ålesund,Norway,1989-10-25 00:00:00,Goalkeeper,Goalkeeper,right,187.0,2023-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/73417-1564649268.jpg?lm=1,,,,https://www.transfermarkt.co.uk/sten-grytebust/profil/spieler/73417,DK1,Vejle Boldklub,300000.0,1250000.0
75852,Miiko,Albornoz,Miiko Albornoz,2024,443,miiko-albornoz,Sweden,Stockholm,Chile,1990-11-30 00:00:00,Left-Back,Defender,left,180.0,,11MANGMT,https://img.a.transfermarkt.technology/portrait/header/75852-1532071764.jpg?lm=1,14.0,2.0,,https://www.transfermarkt.co.uk/miiko-albornoz/profil/spieler/75852,DK1,Vejle Boldklub,50000.0,3000000.0
77026,Raúl,Albentosa,Raúl Albentosa,2023,443,raul-albentosa,Spain,Alzira,Spain,1988-09-07 00:00:00,Centre-Back,Defender,right,192.0,,DV7 Management,https://img.a.transfermarkt.technology/portrait/header/77026-1447239001.jpg?lm=1,,,,https://www.transfermarkt.co.uk/raul-albentosa/profil/spieler/77026,DK1,Vejle Boldklub,150000.0,3500000.0
95014,Mads,Greve,Mads Greve,2021,443,mads-greve,,,Denmark,1989-09-12 00:00:00,Centre-Back,Defender,right,195.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/mads-greve/profil/spieler/95014,DK1,Vejle Boldklub,150000.0,350000.0
95990,Gilli,Sörensen,Gilli Sörensen,2023,443,gilli-sorensen,Faroe Islands,Tvøroyri,Faroe Islands,1992-08-11 00:00:00,Right-Back,Defender,right,187.0,,BWM Fodbold,https://img.a.transfermarkt.technology/portrait/header/95990-1652263411.png?lm=1,,,,https://www.transfermarkt.co.uk/gilli-sorensen/profil/spieler/95990,DK1,Vejle Boldklub,250000.0,500000.0
104918,Christian,Sørensen,Christian Sørensen,2025,443,christian-sorensen,Denmark,Odense,Denmark,1992-08-06 00:00:00,Left-Back,Defender,left,179.0,2028-06-30 00:00:00,Elite Consulting,https://img.a.transfermarkt.technology/portrait/header/104918-1695238429.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/christian-sorensen/profil/spieler/104918,DK1,Vejle Boldklub,250000.0,500000.0
106039,Azer,Busuladzic,Azer Busuladzic,2023,443,azer-busuladzic,Jugoslawien (SFR),Trebinje,Bosnia-Herzegovina,1991-11-12 00:00:00,Defensive Midfield,Midfield,right,187.0,,,https://img.a.transfermarkt.technology/portrait/header/106039-1574111883.jpg?lm=1,,,,https://www.transfermarkt.co.uk/azer-busuladzic/profil/spieler/106039,DK1,Vejle Boldklub,200000.0,1000000.0
111053,Yeni,Ngbakoto,Yeni Ngbakoto,2024,443,yeni-ngbakoto,France,Croix,DR Congo,1992-01-23 00:00:00,Right Winger,Attack,right,173.0,,FLM,https://img.a.transfermarkt.technology/portrait/header/111053-1685084077.jpg?lm=1,3.0,1.0,,https://www.transfermarkt.co.uk/yeni-ngbakoto/profil/spieler/111053,DK1,Vejle Boldklub,200000.0,3000000.0
120175,Pavol,Bajza,Pavol Bajza,2018,443,pavol-bajza,CSSR,Žilina,Slovakia,1991-09-04 00:00:00,Goalkeeper,Goalkeeper,right,197.0,2024-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/s_120175_130_2013_09_18_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/pavol-bajza/profil/spieler/120175,DK1,Vejle Boldklub,225000.0,400000.0
148907,Sean,Murray,Sean Murray,2018,443,sean-murray,England,Watford,Ireland,1993-10-11 00:00:00,Central Midfield,Midfield,right,176.0,2024-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/148907-1485940944.jpg?lm=1,,,,https://www.transfermarkt.co.uk/sean-murray/profil/spieler/148907,DK1,Vejle Boldklub,100000.0,1250000.0
167798,Andrew,Hjulsager,Andrew Hjulsager,2025,443,andrew-hjulsager,Denmark,Amager,Denmark,1995-01-15 00:00:00,Central Midfield,Midfield,right,175.0,2028-06-30 00:00:00,PLG,https://img.a.transfermarkt.technology/portrait/header/167798-1704873939.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/andrew-hjulsager/profil/spieler/167798,DK1,Vejle Boldklub,500000.0,4000000.0
177960,Hamza,Barry,Hamza Barry,2024,443,hamza-barry,The Gambia,Banjul,The Gambia,1994-10-15 00:00:00,Central Midfield,Midfield,both,175.0,,SA33,https://img.a.transfermarkt.technology/portrait/header/177960-1646079313.JPG?lm=1,26.0,1.0,,https://www.transfermarkt.co.uk/hamza-barry/profil/spieler/177960,DK1,Vejle Boldklub,300000.0,1500000.0
186650,Thomas,Hagelskjaer,Thomas Hagelskjaer,2018,443,thomas-hagelskjaer,,,Denmark,1995-02-04 00:00:00,Goalkeeper,Goalkeeper,right,188.0,,,https://img.a.transfermarkt.technology/portrait/header/186650-1498047122.jpg?lm=1,,,,https://www.transfermarkt.co.uk/thomas-hagelskjaer/profil/spieler/186650,DK1,Vejle Boldklub,150000.0,300000.0
213265,Lucas,Jensen,Lucas Jensen,2021,443,lucas-jensen,Denmark,Holstebro,Denmark,1994-10-08 00:00:00,Right Winger,Attack,right,184.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/lucas-jensen/profil/spieler/213265,DK1,Vejle Boldklub,200000.0,500000.0
220441,Diego,Montiel,Diego Montiel,2020,443,diego-montiel,Sweden,Västerås,Sweden,1995-04-26 00:00:00,Attacking Midfield,Midfield,right,183.0,2023-06-30 00:00:00,International AM,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/diego-montiel/profil/spieler/220441,DK1,Vejle Boldklub,150000.0,500000.0
227352,Stefan,Velkov,Stefan Velkov,2025,443,stefan-velkov,Bulgaria,Sofia,Bulgaria,1996-12-12 00:00:00,Centre-Back,Defender,right,192.0,2027-06-30 00:00:00,B360 Sports ,https://img.a.transfermarkt.technology/portrait/header/227352-1680446889.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/stefan-velkov/profil/spieler/227352,DK1,Vejle Boldklub,700000.0,700000.0
240355,Nathan,Oduwa,Nathan Oduwa,2018,443,nathan-oduwa,England,London,England,1996-03-05 00:00:00,Attacking Midfield,Midfield,,189.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/240355-1646497438.png?lm=1,,,,https://www.transfermarkt.co.uk/nathan-oduwa/profil/spieler/240355,DK1,Vejle Boldklub,350000.0,350000.0
