player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
15039,Jonas,Kamper,Jonas Kamper,2016,1063,jonas-kamper,Denmark,Nørre Alslev,Denmark,1983-05-03 00:00:00,Right Midfield,Midfield,right,184.0,,,https://img.a.transfermarkt.technology/portrait/header/z_u_s_15039_10_2009_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jonas-kamper/profil/spieler/15039,DK1,Viborg Fodsports Forening,200000.0,2000000.0
22176,Christian,Keller,Christian Keller,2016,1063,christian-keller,Denmark,Vejen,Denmark,1980-08-17 00:00:00,Defensive Midfield,Midfield,right,184.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/christian-keller/profil/spieler/22176,DK1,Viborg Fodsports Forening,200000.0,1200000.0
22467,Christopher,Poulsen,Christopher Poulsen,2015,1063,christopher-poulsen,Denmark,Hjørring,Denmark,1981-09-11 00:00:00,Left-Back,Defender,left,184.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/christopher-poulsen/profil/spieler/22467,DK1,Viborg Fodsports Forening,200000.0,1350000.0
22473,Simon,Nagel,Simon Nagel,2013,1063,simon-nagel,Denmark,Maribo,Denmark,1985-07-05 00:00:00,Central Midfield,Midfield,right,175.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/simon-nagel/profil/spieler/22473,DK1,Viborg Fodsports Forening,150000.0,400000.0
24057,Fredrik,Stoor Siekkinen,Fredrik Stoor Siekkinen,2013,1063,fredrik-stoor-siekkinen,Sweden,Stockholm,Sweden,1984-02-28 00:00:00,Right-Back,Defender,right,184.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/fredrik-stoor-siekkinen/profil/spieler/24057,DK1,Viborg Fodsports Forening,100000.0,1500000.0
27612,Jeppe,Curth,Jeppe Curth,2016,1063,jeppe-curth,Denmark,Farum,Denmark,1984-03-21 00:00:00,Centre-Forward,Attack,right,178.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jeppe-curth/profil/spieler/27612,DK1,Viborg Fodsports Forening,200000.0,2500000.0
33931,Ousmane,Sarr,Ousmane Sarr,2013,1063,ousmane-sarr,Senegal,Fatick,Senegal,1986-08-02 00:00:00,Left Midfield,Midfield,left,187.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ousmane-sarr/profil/spieler/33931,DK1,Viborg Fodsports Forening,250000.0,750000.0
36262,,Wílton Figueiredo,Wílton Figueiredo,2013,1063,wilton-figueiredo,Brazil,São Paulo,Brazil,1982-03-17 00:00:00,Second Striker,Attack,right,183.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/wilton-figueiredo/profil/spieler/36262,DK1,Viborg Fodsports Forening,250000.0,3000000.0
37527,Christian,Sivebaek,Christian Sivebaek,2016,1063,christian-sivebaek,Denmark,Vejle,Denmark,1988-02-19 00:00:00,Right Winger,Attack,right,192.0,,Sivebaek Sports,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/christian-sivebaek/profil/spieler/37527,DK1,Viborg Fodsports Forening,250000.0,750000.0
42694,Mikkel,Andersen,Mikkel Andersen,2022,1063,mikkel-andersen,Denmark,Herlev,Denmark,1988-12-17 00:00:00,Goalkeeper,Goalkeeper,right,195.0,,,https://img.a.transfermarkt.technology/portrait/header/42694-1601543464.jpg?lm=1,,,,https://www.transfermarkt.co.uk/mikkel-andersen/profil/spieler/42694,DK1,Viborg Fodsports Forening,200000.0,500000.0
44247,Ante,Rukavina,Ante Rukavina,2015,1063,ante-rukavina,Jugoslawien (SFR),Sibenik,Croatia,1986-06-18 00:00:00,Centre-Forward,Attack,right,186.0,,Pharos Sport Agency,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ante-rukavina/profil/spieler/44247,DK1,Viborg Fodsports Forening,200000.0,3000000.0
49143,Ken,Fagerberg,Ken Fagerberg,2013,1063,ken-fagerberg,,,Sweden,1989-01-09 00:00:00,Centre-Forward,Attack,right,185.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ken-fagerberg/profil/spieler/49143,DK1,Viborg Fodsports Forening,25000.0,1200000.0
57581,Michal,Peskovic,Michal Peskovic,2013,1063,michal-peskovic,CSSR,Partizánske,Slovakia,1982-02-08 00:00:00,Goalkeeper,Goalkeeper,right,188.0,,,https://img.a.transfermarkt.technology/portrait/header/57581-1608650328.jpg?lm=1,,,,https://www.transfermarkt.co.uk/michal-peskovic/profil/spieler/57581,DK1,Viborg Fodsports Forening,25000.0,600000.0
61912,Andreas,Hagen,Andreas Hagen,2013,1063,andreas-hagen,,,Norway,1986-02-16 00:00:00,Central Midfield,Midfield,right,186.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/andreas-hagen/profil/spieler/61912,DK1,Viborg Fodsports Forening,50000.0,150000.0
62445,Sebastian,Andersen,Sebastian Andersen,2015,1063,sebastian-andersen,Denmark,Køge,Denmark,1988-12-23 00:00:00,Right Midfield,Midfield,right,186.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/sebastian-andersen/profil/spieler/62445,DK1,Viborg Fodsports Forening,150000.0,500000.0
