player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
7668,Alberto,Cifuentes,Alberto Cifuentes,2020,2687,alberto-cifuentes,Spain,Albacete,Spain,1979-05-29 00:00:00,Goalkeeper,Goalkeeper,,190.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/alberto-cifuentes/profil/spieler/7668,ES1,Cádiz CF,100000.0,1000000.0
18644,Álvaro,Negredo,Álvaro Negredo,2023,2687,alvaro-negredo,Spain,Madrid,Spain,1985-08-20 00:00:00,Centre-Forward,Attack,left,186.0,,,https://img.a.transfermarkt.technology/portrait/header/18644-1663139293.jpg?lm=1,,,,https://www.transfermarkt.co.uk/alvaro-negredo/profil/spieler/18644,ES1,Cádiz CF,300000.0,27000000.0
39151,Augusto,Fernández,Augusto Fernández,2020,2687,augusto-fernandez,Argentina,Pergamino,Argentina,1986-04-10 00:00:00,Central Midfield,Midfield,right,177.0,,,https://img.a.transfermarkt.technology/portrait/header/39151-1447159801.jpg?lm=1,,,,https://www.transfermarkt.co.uk/augusto-fernandez/profil/spieler/39151,ES1,Cádiz CF,300000.0,8000000.0
51663,Pedro,Alcalá,Pedro Alcalá,2020,2687,pedro-alcala,Spain,Mazarrón,Spain,1989-03-19 00:00:00,Centre-Back,Defender,right,196.0,2023-06-30 00:00:00,JV SPORTS SL,https://img.a.transfermarkt.technology/portrait/header/51663-1541161851.jpg?lm=1,,,,https://www.transfermarkt.co.uk/pedro-alcala/profil/spieler/51663,ES1,Cádiz CF,400000.0,1000000.0
57935,Álvaro,Giménez,Álvaro Giménez,2022,2687,alvaro-gimenez,Spain,Elche,Spain,1991-05-19 00:00:00,Centre-Forward,Attack,left,183.0,,JV SPORTS SL,https://img.a.transfermarkt.technology/portrait/header/57935-1565170843.jpg?lm=1,,,,https://www.transfermarkt.co.uk/alvaro-gimenez/profil/spieler/57935,ES1,Cádiz CF,500000.0,2500000.0
62945,Luis,Hernández,Luis Hernández,2023,2687,luis-hernandez,Spain,Madrid,Spain,1989-04-14 00:00:00,Centre-Back,Defender,right,182.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/62945-1447320074.jpg?lm=1,,,,https://www.transfermarkt.co.uk/luis-hernandez/profil/spieler/62945,ES1,Cádiz CF,500000.0,3500000.0
67089,Juan,Cala,Juan Cala,2022,2687,juan-cala,,Lebrija,,1989-11-26 00:00:00,Centre-Back,Defender,right,186.0,2024-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/67089-1447229485.jpg?lm=1,,,,https://www.transfermarkt.co.uk/juan-cala/profil/spieler/67089,ES1,Cádiz CF,600000.0,2000000.0
85383,Rubén,Sobrino,Rubén Sobrino,2023,2687,ruben-sobrino,Spain,Daimiel,Spain,1992-06-01 00:00:00,Centre-Forward,Attack,right,185.0,2026-06-30 00:00:00,LEADERBROCK,https://img.a.transfermarkt.technology/portrait/header/85383-1490621466.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ruben-sobrino/profil/spieler/85383,ES1,Cádiz CF,1400000.0,5000000.0
89733,Álex,Fernández,Álex Fernández,2023,2687,alex-fernandez,Spain,Alcalá de Henares,Spain,1992-10-15 00:00:00,Central Midfield,Midfield,right,183.0,2025-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/89733-1635329024.jpg?lm=1,,,,https://www.transfermarkt.co.uk/alex-fernandez/profil/spieler/89733,ES1,Cádiz CF,1500000.0,7500000.0
158704,Jon Ander,Garrido,Jon Ander Garrido,2022,2687,jon-ander-garrido,Spain,Bilbao,Spain,1989-10-09 00:00:00,,Missing,right,185.0,,JV SPORTS SL,https://img.a.transfermarkt.technology/portrait/header/158704-1604307521.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jon-ander-garrido/profil/spieler/158704,ES1,Cádiz CF,300000.0,800000.0
