player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
7781,Alexis,Ruano,Alexis Ruano,2017,1108,alexis-ruano,Spain,Málaga,Spain,1985-08-04 00:00:00,Centre-Back,Defender,right,183.0,,,https://img.a.transfermarkt.technology/portrait/header/7781-1490620235.jpg?lm=1,,,,https://www.transfermarkt.co.uk/alexis-ruano/profil/spieler/7781,ES1,Deportivo Alavés S. A. D.,475000.0,10000000.0
46110,Ljubomir,Fejsa,Ljubomir Fejsa,2019,1108,ljubomir-fejsa,Jugoslawien (SFR),Kula,Serbia,1988-08-14 00:00:00,Defensive Midfield,Midfield,right,183.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/46110-1572341070.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ljubomir-fejsa/profil/spieler/46110,ES1,Deportivo Alavés S. A. D.,250000.0,15000000.0
50487,Christian,Santos,Christian Santos,2017,1108,christian-santos,Venezuela,Puerto Ordaz,Venezuela,1988-03-24 00:00:00,Centre-Forward,Attack,left,184.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/50487-1447762362.jpg?lm=1,,,,https://www.transfermarkt.co.uk/christian-santos/profil/spieler/50487,ES1,Deportivo Alavés S. A. D.,200000.0,2000000.0
54217,Raúl,Fernández,Raúl Fernández,2025,1108,raul-fernandez,Spain,Bilbao,Spain,1988-03-13 00:00:00,Goalkeeper,Goalkeeper,right,195.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/54217-1498749052.jpg?lm=1,,,,https://www.transfermarkt.co.uk/raul-fernandez/profil/spieler/54217,ES1,Deportivo Alavés S. A. D.,200000.0,1500000.0
67080,Víctor,Laguardia,Víctor Laguardia,2021,1108,victor-laguardia,Spain,Zaragoza,Spain,1989-11-05 00:00:00,Centre-Back,Defender,right,183.0,2024-06-30 00:00:00,Bahía Internacional,https://img.a.transfermarkt.technology/portrait/header/67080-1647530160.jpg?lm=1,,,,https://www.transfermarkt.co.uk/victor-laguardia/profil/spieler/67080,ES1,Deportivo Alavés S. A. D.,800000.0,10000000.0
71840,Gaizka,Toquero,Gaizka Toquero,2016,1108,gaizka-toquero,Spain,Vitoria-Gasteiz,Spain,1984-08-09 00:00:00,Right Winger,Attack,right,182.0,,,https://img.a.transfermarkt.technology/portrait/header/71840-1490621290.jpg?lm=1,,,,https://www.transfermarkt.co.uk/gaizka-toquero/profil/spieler/71840,ES1,Deportivo Alavés S. A. D.,200000.0,5000000.0
72484,Manu,Barreiro,Manu Barreiro,2016,1108,manu-barreiro,Spain,Santiago de Compostela,Spain,1986-07-08 00:00:00,Centre-Forward,Attack,right,189.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/manu-barreiro/profil/spieler/72484,ES1,Deportivo Alavés S. A. D.,100000.0,400000.0
76273,Manu,García,Manu García,2020,1108,manu-garcia,Spain,Vitoria-Gasteiz,Spain,1986-04-26 00:00:00,Central Midfield,Midfield,left,183.0,2023-06-30 00:00:00,IDUB GLOBAL,https://img.a.transfermarkt.technology/portrait/header/76273-1490620442.jpg?lm=1,,,,https://www.transfermarkt.co.uk/manu-garcia/profil/spieler/76273,ES1,Deportivo Alavés S. A. D.,200000.0,2000000.0
133794,Edgar,Méndez,Edgar Méndez,2021,1108,edgar-mendez,Spain,Arafo,Spain,1990-01-02 00:00:00,Right Winger,Attack,right,187.0,,Promoesport,https://img.a.transfermarkt.technology/portrait/header/133794-1647530666.jpg?lm=1,,,,https://www.transfermarkt.co.uk/edgar-mendez/profil/spieler/133794,ES1,Deportivo Alavés S. A. D.,1000000.0,3000000.0
139895,Tomás,Pina,Tomás Pina,2021,1108,tomas-pina,Spain,Ciudad Real,Spain,1987-10-14 00:00:00,Central Midfield,Midfield,right,185.0,2023-11-04 00:00:00,"SOCCERMEDIA, S.L.",https://img.a.transfermarkt.technology/portrait/header/139895-1647530180.jpg?lm=1,,,,https://www.transfermarkt.co.uk/tomas-pina/profil/spieler/139895,ES1,Deportivo Alavés S. A. D.,250000.0,5000000.0
