player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
7537,José Manuel,Pinto,José Manuel Pinto,2013,131,jose-manuel-pinto,Spain,El Puerto de Santa María,Spain,1975-11-08 00:00:00,Goalkeeper,Goalkeeper,right,185.0,,,https://img.a.transfermarkt.technology/portrait/header/s_7537_131_2012_2.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jose-manuel-pinto/profil/spieler/7537,ES1,Futbol Club Barcelona,300000.0,2000000.0
7594,Carles,Puyol,Carles Puyol,2013,131,carles-puyol,Spain,La Pobla de Segur,Spain,1978-04-13 00:00:00,Centre-Back,Defender,right,178.0,,,https://img.a.transfermarkt.technology/portrait/header/7594-1684225860.jpeg?lm=1,,,,https://www.transfermarkt.co.uk/carles-puyol/profil/spieler/7594,ES1,Futbol Club Barcelona,1000000.0,30000000.0
7600,Andrés,Iniesta,Andrés Iniesta,2017,131,andres-iniesta,Spain,Fuentealbilla,Spain,1984-05-11 00:00:00,Central Midfield,Midfield,both,171.0,2024-01-31 00:00:00,Sports&Life,https://img.a.transfermarkt.technology/portrait/header/7600-1464872266.jpg?lm=1,,,,https://www.transfermarkt.co.uk/andres-iniesta/profil/spieler/7600,ES1,Futbol Club Barcelona,800000.0,70000000.0
7607,,Xavi,Xavi,2014,131,xavi,Spain,Terrassa,Spain,1980-01-25 00:00:00,Central Midfield,Midfield,right,169.0,,AC Talent,https://img.a.transfermarkt.technology/portrait/header/7607-1476882942.jpg?lm=1,,,,https://www.transfermarkt.co.uk/xavi/profil/spieler/7607,ES1,Futbol Club Barcelona,2000000.0,65000000.0
15904,Thomas,Vermaelen,Thomas Vermaelen,2018,131,thomas-vermaelen,Belgium,Kapellen,Belgium,1985-11-14 00:00:00,Centre-Back,Defender,left,183.0,,,https://img.a.transfermarkt.technology/portrait/header/15904-1464867040.jpg?lm=1,,,,https://www.transfermarkt.co.uk/thomas-vermaelen/profil/spieler/15904,ES1,Futbol Club Barcelona,700000.0,18500000.0
15951,Dani,Alves,Dani Alves,2021,131,dani-alves,Brazil,Juazeiro,Brazil,1983-05-06 00:00:00,Right-Back,Defender,right,172.0,,"Flashforward, S.L.",https://img.a.transfermarkt.technology/portrait/header/15951-1635327520.jpg?lm=1,,,,https://www.transfermarkt.co.uk/dani-alves/profil/spieler/15951,ES1,Futbol Club Barcelona,1000000.0,36000000.0
18944,Gerard,Piqué,Gerard Piqué,2022,131,gerard-pique,Spain,Barcelona,Spain,1987-02-02 00:00:00,Centre-Back,Defender,right,194.0,,AC Talent,https://img.a.transfermarkt.technology/portrait/header/18944-1667548226.jpg?lm=1,,,,https://www.transfermarkt.co.uk/gerard-pique/profil/spieler/18944,ES1,Futbol Club Barcelona,3000000.0,50000000.0
19981,Javier,Mascherano,Javier Mascherano,2017,131,javier-mascherano,Argentina,San Lorenzo,Argentina,1984-06-08 00:00:00,Defensive Midfield,Midfield,right,174.0,,,https://img.a.transfermarkt.technology/portrait/header/19981-1465280515.jpg?lm=1,,,,https://www.transfermarkt.co.uk/javier-mascherano/profil/spieler/19981,ES1,Futbol Club Barcelona,325000.0,30000000.0
26399,Sergio,Agüero,Sergio Agüero,2021,131,sergio-aguero,Argentina,Quilmes,Argentina,1988-06-02 00:00:00,Centre-Forward,Attack,right,173.0,,Eleven Talent Group,https://img.a.transfermarkt.technology/portrait/header/26399-1580460866.jpg?lm=1,,,,https://www.transfermarkt.co.uk/sergio-aguero/profil/spieler/26399,ES1,Futbol Club Barcelona,15000000.0,80000000.0
38253,Robert,Lewandowski,Robert Lewandowski,2025,131,robert-lewandowski,Poland,Warszawa,Poland,1988-08-21 00:00:00,Centre-Forward,Attack,right,185.0,2026-06-30 00:00:00,Gol International,https://img.a.transfermarkt.technology/portrait/header/38253-1760445524.jpg?lm=1,164.0,89.0,,https://www.transfermarkt.co.uk/robert-lewandowski/profil/spieler/38253,ES1,Futbol Club Barcelona,8000000.0,90000000.0
44058,Wojciech,Szczęsny,Wojciech Szczęsny,2025,131,wojciech-szczesny,Poland,Warszawa,Poland,1990-04-18 00:00:00,Goalkeeper,Goalkeeper,right,195.0,2027-06-30 00:00:00,CAA Stellar,https://img.a.transfermarkt.technology/portrait/header/44058-1744278078.jpg?lm=1,84.0,0.0,,https://www.transfermarkt.co.uk/wojciech-szczesny/profil/spieler/44058,ES1,Futbol Club Barcelona,900000.0,40000000.0
57229,,Paulinho,Paulinho,2017,131,paulinho,Brazil,São Paulo,Brazil,1988-07-25 00:00:00,Central Midfield,Midfield,right,183.0,2023-12-31 00:00:00,Bertolucci Sports,https://img.a.transfermarkt.technology/portrait/header/57229-1563350348.jpg?lm=1,,,,https://www.transfermarkt.co.uk/paulinho/profil/spieler/57229,ES1,Futbol Club Barcelona,800000.0,40000000.0
142033,Adrián,Ortolá,Adrián Ortolá,2017,131,adrian-ortola,Spain,Xàbia,Spain,1993-08-20 00:00:00,Goalkeeper,Goalkeeper,left,187.0,2023-06-30 00:00:00,IFM,https://img.a.transfermarkt.technology/portrait/header/142033-1490620560.jpg?lm=1,,,,https://www.transfermarkt.co.uk/adrian-ortola/profil/spieler/142033,ES1,Futbol Club Barcelona,200000.0,1500000.0
162039,Juan,Cámara,Juan Cámara,2015,131,juan-camara,Spain,Jaén,Spain,1994-02-13 00:00:00,Attacking Midfield,Midfield,left,184.0,2023-06-30 00:00:00,Footfeel ISM  ,https://img.a.transfermarkt.technology/portrait/header/162039-1632060969.png?lm=1,,,,https://www.transfermarkt.co.uk/juan-camara/profil/spieler/162039,ES1,Futbol Club Barcelona,150000.0,700000.0
166666,Jean Marie,Dongou,Jean Marie Dongou,2013,131,jean-marie-dongou,Cameroon,Douala,Cameroon,1995-04-22 00:00:00,Centre-Forward,Attack,right,175.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jean-marie-dongou/profil/spieler/166666,ES1,Futbol Club Barcelona,150000.0,2000000.0
182712,João,Cancelo,João Cancelo,2025,131,joao-cancelo,Portugal,Barreiro,Portugal,1994-05-27 00:00:00,Right-Back,Defender,right,182.0,2026-06-30 00:00:00,Gestifute,https://img.a.transfermarkt.technology/portrait/header/182712-1675080937.jpg?lm=1,64.0,12.0,,https://www.transfermarkt.co.uk/joao-cancelo/profil/spieler/182712,ES1,Futbol Club Barcelona,9000000.0,70000000.0
196948,Andreas,Christensen,Andreas Christensen,2025,131,andreas-christensen,Denmark,Lillerød,Denmark,1996-04-10 00:00:00,Centre-Back,Defender,right,187.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/196948-1668183241.jpg?lm=1,80.0,4.0,,https://www.transfermarkt.co.uk/andreas-christensen/profil/spieler/196948,ES1,Futbol Club Barcelona,9000000.0,40000000.0
258923,Marcus,Rashford,Marcus Rashford,2025,131,marcus-rashford,England,Manchester,England,1997-10-31 00:00:00,Left Winger,Attack,right,185.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/258923-1674473054.jpg?lm=1,69.0,18.0,,https://www.transfermarkt.co.uk/marcus-rashford/profil/spieler/258923,ES1,Futbol Club Barcelona,40000000.0,85000000.0
271451,Dani,Romera,Dani Romera,2015,131,dani-romera,Spain,Almería,Spain,1995-08-23 00:00:00,Centre-Forward,Attack,right,172.0,2023-06-30 00:00:00,Sports&Life,https://img.a.transfermarkt.technology/portrait/header/271451-1623919710.jpg?lm=1,,,,https://www.transfermarkt.co.uk/dani-romera/profil/spieler/271451,ES1,Futbol Club Barcelona,350000.0,700000.0
293385,Dani,Olmo,Dani Olmo,2025,131,dani-olmo,Spain,Terrassa,Spain,1998-05-07 00:00:00,Attacking Midfield,Midfield,right,179.0,2030-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/293385-1711546268.jpg?lm=1,46.0,12.0,,https://www.transfermarkt.co.uk/dani-olmo/profil/spieler/293385,ES1,Futbol Club Barcelona,60000000.0,60000000.0
326330,Frenkie,de Jong,Frenkie de Jong,2025,131,frenkie-de-jong,Netherlands,Gorinchem,Netherlands,1997-05-12 00:00:00,Central Midfield,Midfield,right,181.0,2029-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/326330-1746041680.jpg?lm=1,64.0,2.0,,https://www.transfermarkt.co.uk/frenkie-de-jong/profil/spieler/326330,ES1,Futbol Club Barcelona,45000000.0,90000000.0
331508,Guillem,Jaime,Guillem Jaime,2021,131,guillem-jaime,Spain,Tarragona,Spain,1999-01-06 00:00:00,Right-Back,Defender,right,177.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/guillem-jaime/profil/spieler/331508,ES1,Futbol Club Barcelona,300000.0,400000.0
398184,Ferran,Torres,Ferran Torres,2025,131,ferran-torres,Spain,Foios,Spain,2000-02-29 00:00:00,Centre-Forward,Attack,right,182.0,2027-06-30 00:00:00,LEADERBROCK,https://img.a.transfermarkt.technology/portrait/header/398184-1699383547.jpg?lm=1,53.0,23.0,,https://www.transfermarkt.co.uk/ferran-torres/profil/spieler/398184,ES1,Futbol Club Barcelona,50000000.0,50000000.0
411295,,Raphinha,Raphinha,2025,131,raphinha,Brazil,Porto Alegre,Brazil,1996-12-14 00:00:00,Left Winger,Attack,left,176.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/411295-1729754479.png?lm=1,37.0,11.0,,https://www.transfermarkt.co.uk/raphinha/profil/spieler/411295,ES1,Futbol Club Barcelona,80000000.0,90000000.0
411975,Jules,Koundé,Jules Koundé,2025,131,jules-kounde,France,Paris,France,1998-11-12 00:00:00,Right-Back,Defender,right,180.0,2030-06-30 00:00:00,ESN,https://img.a.transfermarkt.technology/portrait/header/411975-1702502639.jpg?lm=1,46.0,0.0,,https://www.transfermarkt.co.uk/jules-kounde/profil/spieler/411975,ES1,Futbol Club Barcelona,65000000.0,65000000.0
