player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
215,Roque,Santa Cruz,Roque Santa Cruz,2015,1084,roque-santa-cruz,Paraguay,Asunción,Paraguay,1981-08-16 00:00:00,Centre-Forward,Attack,right,193.0,2023-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/215-1564992591.png?lm=1,,,,https://www.transfermarkt.co.uk/roque-santa-cruz/profil/spieler/215,ES1,Málaga CF,250000.0,12000000.0
7782,,Duda,Duda,2016,1084,duda,Portugal,Porto,Portugal,1980-06-27 00:00:00,Left Midfield,Midfield,left,175.0,,Gestifute,https://img.a.transfermarkt.technology/portrait/header/7782-1447239265.jpg?lm=1,,,,https://www.transfermarkt.co.uk/duda/profil/spieler/7782,ES1,Málaga CF,100000.0,6000000.0
12517,Oguchi,Onyewu,Oguchi Onyewu,2012,1084,oguchi-onyewu,United States,"Washington, D.C.",United States,1982-05-13 00:00:00,Centre-Back,Defender,right,193.0,,,https://img.a.transfermarkt.technology/portrait/header/12517-1489602500.jpg?lm=1,,,,https://www.transfermarkt.co.uk/oguchi-onyewu/profil/spieler/12517,ES1,Málaga CF,200000.0,7000000.0
13038,Arthur,Boka,Arthur Boka,2015,1084,arthur-boka,Cote d'Ivoire,Abidjan,Cote d'Ivoire,1983-04-02 00:00:00,Left-Back,Defender,left,166.0,,,https://img.a.transfermarkt.technology/portrait/header/13038-1447239112.jpg?lm=1,,,,https://www.transfermarkt.co.uk/arthur-boka/profil/spieler/13038,ES1,Málaga CF,500000.0,5000000.0
15952,Júlio,Baptista,Júlio Baptista,2012,1084,julio-baptista,Brazil,São Paulo,Brazil,1981-10-01 00:00:00,Attacking Midfield,Midfield,both,185.0,,World Soccer Agency,https://img.a.transfermarkt.technology/portrait/header/15952-1552384630.jpg?lm=1,,,,https://www.transfermarkt.co.uk/julio-baptista/profil/spieler/15952,ES1,Málaga CF,100000.0,25000000.0
22550,,Weligton,Weligton,2016,1084,weligton,Brazil,Fernandópolis,Brazil,1979-08-26 00:00:00,Centre-Back,Defender,left,186.0,,,https://img.a.transfermarkt.technology/portrait/header/22550-1447239590.jpg?lm=1,,,,https://www.transfermarkt.co.uk/weligton/profil/spieler/22550,ES1,Málaga CF,500000.0,4000000.0
25441,Zdravko,Kuzmanovic,Zdravko Kuzmanovic,2017,1084,zdravko-kuzmanovic,Switzerland,Thun,Serbia,1987-09-22 00:00:00,Central Midfield,Midfield,right,186.0,,,https://img.a.transfermarkt.technology/portrait/header/25441-1410340038.jpg?lm=1,,,,https://www.transfermarkt.co.uk/zdravko-kuzmanovic/profil/spieler/25441,ES1,Málaga CF,325000.0,9500000.0
27448,Marcos,Angeleri,Marcos Angeleri,2015,1084,marcos-angeleri,Argentina,Treinta de Agosto,Argentina,1983-04-07 00:00:00,Centre-Back,Defender,right,183.0,,,https://img.a.transfermarkt.technology/portrait/header/27448-1447239011.jpg?lm=1,,,,https://www.transfermarkt.co.uk/marcos-angeleri/profil/spieler/27448,ES1,Málaga CF,75000.0,3750000.0
28171,,Chory Castro,Chory Castro,2017,1084,chory-castro,Uruguay,Trinidad,Uruguay,1984-09-14 00:00:00,Left Winger,Attack,left,178.0,2023-12-31 00:00:00,Faro Sports,https://img.a.transfermarkt.technology/portrait/header/28171-1447313902.jpg?lm=1,,,,https://www.transfermarkt.co.uk/chory-castro/profil/spieler/28171,ES1,Málaga CF,25000.0,7000000.0
35539,Mehdi,Lacen,Mehdi Lacen,2017,1084,mehdi-lacen,France,Paris,Algeria,1984-05-15 00:00:00,Defensive Midfield,Midfield,left,176.0,,MESAS SPORT,https://img.a.transfermarkt.technology/portrait/header/35539-1447229642.jpg?lm=1,,,,https://www.transfermarkt.co.uk/mehdi-lacen/profil/spieler/35539,ES1,Málaga CF,500000.0,3500000.0
