player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
15693,Xabi,Prieto,Xabi Prieto,2017,681,xabi-prieto,Spain,Donostia-San Sebastián,Spain,1983-08-29 00:00:00,Central Midfield,Midfield,right,187.0,,,https://img.a.transfermarkt.technology/portrait/header/15693-1447314323.jpg?lm=1,,,,https://www.transfermarkt.co.uk/xabi-prieto/profil/spieler/15693,ES1,Real Sociedad de Fútbol S.A.D.,3000000.0,9000000.0
26065,Miguel Ángel,Moyá,Miguel Ángel Moyá,2020,681,miguel-angel-moya,Spain,Binissalem,Spain,1984-04-02 00:00:00,Goalkeeper,Goalkeeper,right,189.0,,,https://img.a.transfermarkt.technology/portrait/header/26065-1447152831.jpg?lm=1,,,,https://www.transfermarkt.co.uk/miguel-angel-moya/profil/spieler/26065,ES1,Real Sociedad de Fútbol S.A.D.,800000.0,7000000.0
35518,David,Silva,David Silva,2022,681,david-silva,Spain,Arguineguín,Spain,1986-01-08 00:00:00,Attacking Midfield,Midfield,left,170.0,2024-06-30 00:00:00,IFM,https://img.a.transfermarkt.technology/portrait/header/35518-1683269363.jpg?lm=1,,,,https://www.transfermarkt.co.uk/david-silva/profil/spieler/35518,ES1,Real Sociedad de Fútbol S.A.D.,4000000.0,50000000.0
35560,Mikel,González,Mikel González,2016,681,mikel-gonzalez,Spain,Mondragón,Spain,1985-09-24 00:00:00,Centre-Back,Defender,right,190.0,2023-05-31 00:00:00,Zanise Sports,https://img.a.transfermarkt.technology/portrait/header/35560-1447313914.jpg?lm=1,,,,https://www.transfermarkt.co.uk/mikel-gonzalez/profil/spieler/35560,ES1,Real Sociedad de Fútbol S.A.D.,100000.0,5000000.0
35773,Carlos,Vela,Carlos Vela,2017,681,carlos-vela,Mexico,Cancún,Mexico,1989-03-01 00:00:00,Right Winger,Attack,left,177.0,2023-12-31 00:00:00,PROMOFUT,https://img.a.transfermarkt.technology/portrait/header/35773-1678027254.jpg?lm=1,,,,https://www.transfermarkt.co.uk/carlos-vela/profil/spieler/35773,ES1,Real Sociedad de Fútbol S.A.D.,2500000.0,20000000.0
37501,Imanol,Agirretxe,Imanol Agirretxe,2017,681,imanol-agirretxe,Spain,Usurbil,Spain,1987-02-24 00:00:00,Centre-Forward,Attack,right,187.0,,,https://img.a.transfermarkt.technology/portrait/header/37501-1447313717.jpg?lm=1,,,,https://www.transfermarkt.co.uk/imanol-agirretxe/profil/spieler/37501,ES1,Real Sociedad de Fútbol S.A.D.,1000000.0,6000000.0
43003,Nacho,Monreal,Nacho Monreal,2021,681,nacho-monreal,Spain,Pamplona,Spain,1986-02-26 00:00:00,Left-Back,Defender,left,179.0,,GLOBAL ASES,https://img.a.transfermarkt.technology/portrait/header/43003-1518795805.jpg?lm=1,,,,https://www.transfermarkt.co.uk/nacho-monreal/profil/spieler/43003,ES1,Real Sociedad de Fútbol S.A.D.,1000000.0,15000000.0
47648,Dani,Estrada,Dani Estrada,2014,681,dani-estrada,Spain,Zarautz,Spain,1987-01-03 00:00:00,Right-Back,Defender,right,179.0,,Bahía Internacional,https://img.a.transfermarkt.technology/portrait/header/s_47648_681_2013_09_18_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/dani-estrada/profil/spieler/47648,ES1,Real Sociedad de Fútbol S.A.D.,100000.0,2500000.0
58074,Carlos,Martínez,Carlos Martínez,2017,681,carlos-martinez,Spain,Lodosa,Spain,1986-04-09 00:00:00,Right-Back,Defender,right,189.0,,,https://img.a.transfermarkt.technology/portrait/header/58074-1447314013.jpg?lm=1,,,,https://www.transfermarkt.co.uk/carlos-martinez/profil/spieler/58074,ES1,Real Sociedad de Fútbol S.A.D.,400000.0,5000000.0
59344,Asier,Illarramendi,Asier Illarramendi,2022,681,asier-illarramendi,Spain,Mutriku,Spain,1990-03-08 00:00:00,Defensive Midfield,Midfield,right,179.0,,Bahía Internacional,https://img.a.transfermarkt.technology/portrait/header/59344-1687268472.jpg?lm=1,,,,https://www.transfermarkt.co.uk/asier-illarramendi/profil/spieler/59344,ES1,Real Sociedad de Fútbol S.A.D.,2000000.0,25000000.0
