player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
670,Martin,Petrov,Martin Petrov,2012,714,martin-petrov,Bulgaria,Vratsa,Bulgaria,1979-01-15 00:00:00,Left Winger,Attack,,,,IFM,https://img.a.transfermarkt.technology/portrait/header/670-1656218742.png?lm=1,,,,https://www.transfermarkt.co.uk/martin-petrov/profil/spieler/670,ES1,Reial Club Deportiu Espanyol de Barcelona S.A.D.,400000.0,12000000.0
2963,Martín,Demichelis,Martín Demichelis,2016,714,martin-demichelis,Argentina,Justiniano Posse,Argentina,1980-12-20 00:00:00,Centre-Back,Defender,right,184.0,,Jorge Cyterszpiler,https://img.a.transfermarkt.technology/portrait/header/2963-1461254471.jpg?lm=1,,,,https://www.transfermarkt.co.uk/martin-demichelis/profil/spieler/2963,ES1,Reial Club Deportiu Espanyol de Barcelona S.A.D.,200000.0,16000000.0
7717,José Antonio,Reyes,José Antonio Reyes,2016,714,jose-antonio-reyes,Spain,Utrera,Spain,1983-09-01 00:00:00,Right Winger,Attack,left,176.0,,,https://img.a.transfermarkt.technology/portrait/header/7717-1559470124.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jose-antonio-reyes/profil/spieler/7717,ES1,Reial Club Deportiu Espanyol de Barcelona S.A.D.,300000.0,35000000.0
7922,Sergio,García,Sergio García,2018,714,sergio-garcia,Spain,Barcelona,Spain,1983-06-09 00:00:00,Centre-Forward,Attack,right,174.0,,,https://img.a.transfermarkt.technology/portrait/header/7922-1494842532.jpg?lm=1,,,,https://www.transfermarkt.co.uk/sergio-garcia/profil/spieler/7922,ES1,Reial Club Deportiu Espanyol de Barcelona S.A.D.,1000000.0,9000000.0
8019,,Simão,Simão,2013,714,simao,Portugal,Vila Real,Portugal,1979-10-31 00:00:00,Left Winger,Attack,right,174.0,,Gestifute,https://img.a.transfermarkt.technology/portrait/header/s_8019_714_2012_2.jpg?lm=1,,,,https://www.transfermarkt.co.uk/simao/profil/spieler/8019,ES1,Reial Club Deportiu Espanyol de Barcelona S.A.D.,1500000.0,25000000.0
8176,Oier,Olazábal,Oier Olazábal,2021,714,oier-olazabal,Spain,Irún,Spain,1989-09-14 00:00:00,Goalkeeper,Goalkeeper,left,189.0,,Sport Agency 4U,https://img.a.transfermarkt.technology/portrait/header/8176-1663245272.jpg?lm=1,,,,https://www.transfermarkt.co.uk/oier-olazabal/profil/spieler/8176,ES1,Reial Club Deportiu Espanyol de Barcelona S.A.D.,200000.0,2500000.0
27453,Diego,Colotto,Diego Colotto,2014,714,diego-colotto,Argentina,Río Cuarto,Argentina,1981-03-10 00:00:00,Centre-Back,Defender,right,184.0,,,https://img.a.transfermarkt.technology/portrait/header/s_27453_714_2012_3.jpg?lm=1,,,,https://www.transfermarkt.co.uk/diego-colotto/profil/spieler/27453,ES1,Reial Club Deportiu Espanyol de Barcelona S.A.D.,150000.0,4000000.0
28261,José Manuel,Jurado,José Manuel Jurado,2017,714,jose-manuel-jurado,Spain,Sanlúcar de Barrameda (Cádiz),Spain,1986-06-29 00:00:00,Attacking Midfield,Midfield,right,176.0,,Promoesport,https://img.a.transfermarkt.technology/portrait/header/28261-1490619777.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jose-manuel-jurado/profil/spieler/28261,ES1,Reial Club Deportiu Espanyol de Barcelona S.A.D.,650000.0,13000000.0
38270,Sergio,Sánchez,Sergio Sánchez,2017,714,sergio-sanchez,Spain,Mataró,Spain,1986-04-03 00:00:00,Centre-Back,Defender,right,185.0,,MESAS SPORT,https://img.a.transfermarkt.technology/portrait/header/s_38270_1084_2012_10_25_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/sergio-sanchez/profil/spieler/38270,ES1,Reial Club Deportiu Espanyol de Barcelona S.A.D.,100000.0,4000000.0
38817,Sergio,Tejera,Sergio Tejera,2013,714,sergio-tejera,Spain,Barcelona,Spain,1990-05-28 00:00:00,Central Midfield,Midfield,left,180.0,2024-05-31 00:00:00,Promoesport,https://img.a.transfermarkt.technology/portrait/header/38817-1625480246.jpg?lm=1,,,,https://www.transfermarkt.co.uk/sergio-tejera/profil/spieler/38817,ES1,Reial Club Deportiu Espanyol de Barcelona S.A.D.,500000.0,2000000.0
40442,Paco,Montañés,Paco Montañés,2015,714,paco-montanes,Spain,Castellón de la Plana,Spain,1986-10-08 00:00:00,Left Winger,Attack,right,172.0,,,https://img.a.transfermarkt.technology/portrait/header/40442-1447228760.jpg?lm=1,,,,https://www.transfermarkt.co.uk/paco-montanes/profil/spieler/40442,ES1,Reial Club Deportiu Espanyol de Barcelona S.A.D.,400000.0,3000000.0
42920,Fran,Mérida,Fran Mérida,2021,714,fran-merida,Spain,Barcelona,Spain,1990-03-04 00:00:00,Central Midfield,Midfield,left,173.0,2023-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/42920-1583310968.jpg?lm=1,,,,https://www.transfermarkt.co.uk/fran-merida/profil/spieler/42920,ES1,Reial Club Deportiu Espanyol de Barcelona S.A.D.,700000.0,5000000.0
44065,Esteban,Granero,Esteban Granero,2019,714,esteban-granero,Spain,Madrid,Spain,1987-07-02 00:00:00,Central Midfield,Midfield,right,180.0,,Best of You,https://img.a.transfermarkt.technology/portrait/header/44065-1447313920.jpg?lm=1,,,,https://www.transfermarkt.co.uk/esteban-granero/profil/spieler/44065,ES1,Reial Club Deportiu Espanyol de Barcelona S.A.D.,900000.0,10000000.0
44139,Juan,Albín,Juan Albín,2012,714,juan-albin,Uruguay,Salto,Uruguay,1986-07-17 00:00:00,Attacking Midfield,Midfield,left,179.0,,,https://img.a.transfermarkt.technology/portrait/header/44139-1412947734.jpg?lm=1,,,,https://www.transfermarkt.co.uk/juan-albin/profil/spieler/44139,ES1,Reial Club Deportiu Espanyol de Barcelona S.A.D.,25000.0,8000000.0
53332,Juan,Forlín,Juan Forlín,2012,714,juan-forlin,Argentina,Reconquista,Argentina,1988-01-10 00:00:00,Centre-Back,Defender,right,180.0,2024-06-30 00:00:00,Proneo Sports S.L.,https://img.a.transfermarkt.technology/portrait/header/53332-1417606884.jpg?lm=1,,,,https://www.transfermarkt.co.uk/juan-forlin/profil/spieler/53332,ES1,Reial Club Deportiu Espanyol de Barcelona S.A.D.,100000.0,4000000.0
63290,Víctor,Sánchez,Víctor Sánchez,2019,714,victor-sanchez,Spain,Terrassa,Spain,1987-09-08 00:00:00,Central Midfield,Midfield,right,174.0,,,https://img.a.transfermarkt.technology/portrait/header/63290-1447228874.jpg?lm=1,,,,https://www.transfermarkt.co.uk/victor-sanchez/profil/spieler/63290,ES1,Reial Club Deportiu Espanyol de Barcelona S.A.D.,400000.0,4000000.0
65243,Abraham,González,Abraham González,2015,714,abraham-gonzalez,Spain,Barcelona,Spain,1985-07-16 00:00:00,Central Midfield,Midfield,right,175.0,2023-05-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/65243-1664538588.JPG?lm=1,,,,https://www.transfermarkt.co.uk/abraham-gonzalez/profil/spieler/65243,ES1,Reial Club Deportiu Espanyol de Barcelona S.A.D.,100000.0,1500000.0
67090,Dídac,Vilà,Dídac Vilà,2021,714,didac-vila,Spain,Barcelona,Spain,1989-06-09 00:00:00,Left-Back,Defender,left,185.0,,,https://img.a.transfermarkt.technology/portrait/header/67090-1583506302.jpg?lm=1,,,,https://www.transfermarkt.co.uk/didac-vila/profil/spieler/67090,ES1,Reial Club Deportiu Espanyol de Barcelona S.A.D.,600000.0,5000000.0
71034,Fran,Miranda,Fran Miranda,2012,714,fran-miranda,Spain,Badajoz,Spain,1988-03-27 00:00:00,Central Midfield,Midfield,right,190.0,2024-06-30 00:00:00,BestFoot FM,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/fran-miranda/profil/spieler/71034,ES1,Reial Club Deportiu Espanyol de Barcelona S.A.D.,150000.0,400000.0
71571,Ander,Iturraspe,Ander Iturraspe,2019,714,ander-iturraspe,Spain,Abadiño,Spain,1989-03-08 00:00:00,Defensive Midfield,Midfield,right,187.0,,Jesus Medina Martin,https://img.a.transfermarkt.technology/portrait/header/71571-1447151510.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ander-iturraspe/profil/spieler/71571,ES1,Reial Club Deportiu Espanyol de Barcelona S.A.D.,2000000.0,12000000.0
72935,Raúl,Rodríguez,Raúl Rodríguez,2014,714,raul-rodriguez,Spain,Vilassar de Mar,Spain,1987-09-22 00:00:00,Centre-Back,Defender,,185.0,,,https://img.a.transfermarkt.technology/portrait/header/72935-1464128705.jpg?lm=1,,,,https://www.transfermarkt.co.uk/raul-rodriguez/profil/spieler/72935,ES1,Reial Club Deportiu Espanyol de Barcelona S.A.D.,300000.0,2000000.0
73009,Ernesto,Galán,Ernesto Galán,2012,714,ernesto-galan,Spain,Madrid,Spain,1986-06-17 00:00:00,Right-Back,Defender,right,181.0,,,https://img.a.transfermarkt.technology/portrait/header/s_73009_714_2012_2.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ernesto-galan/profil/spieler/73009,ES1,Reial Club Deportiu Espanyol de Barcelona S.A.D.,300000.0,1500000.0
73636,Hernán,Pérez,Hernán Pérez,2018,714,hernan-perez,Paraguay,Fernando de la Mora,Paraguay,1989-02-25 00:00:00,Right Winger,Attack,right,180.0,,,https://img.a.transfermarkt.technology/portrait/header/73636-1447228774.jpg?lm=1,,,,https://www.transfermarkt.co.uk/hernan-perez/profil/spieler/73636,ES1,Reial Club Deportiu Espanyol de Barcelona S.A.D.,100000.0,3500000.0
85320,Cristian,Galas,Cristian Galas,2015,714,cristian-galas,Spain,La Vall d'Uixó,Spain,1993-02-15 00:00:00,Centre-Back,Defender,left,180.0,2023-06-30 00:00:00,Emartsoccer,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/cristian-galas/profil/spieler/85320,ES1,Reial Club Deportiu Espanyol de Barcelona S.A.D.,100000.0,300000.0
88490,Aleix,Vidal,Aleix Vidal,2022,714,aleix-vidal,Spain,Valls,Spain,1989-08-21 00:00:00,Right Winger,Attack,right,177.0,,Promoesport,https://img.a.transfermarkt.technology/portrait/header/88490-1454080555.jpg?lm=1,,,,https://www.transfermarkt.co.uk/aleix-vidal/profil/spieler/88490,ES1,Reial Club Deportiu Espanyol de Barcelona S.A.D.,1000000.0,10000000.0
93936,Kike,García,Kike García,2025,714,kike-garcia,Spain,Motilla de Palancar,Spain,1989-11-25 00:00:00,Centre-Forward,Attack,right,186.0,2027-06-30 00:00:00,Joseba Diaz,https://img.a.transfermarkt.technology/portrait/header/93936-1490620015.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/kike-garcia/profil/spieler/93936,ES1,Reial Club Deportiu Espanyol de Barcelona S.A.D.,800000.0,3000000.0
94308,Marko,Dmitrovic,Marko Dmitrovic,2025,714,marko-dmitrovic,Jugoslawien (SFR),Subotica,Serbia,1992-01-24 00:00:00,Goalkeeper,Goalkeeper,left,189.0,2028-06-30 00:00:00,IDUB GLOBAL,https://img.a.transfermarkt.technology/portrait/header/94308-1669364494.jpg?lm=1,19.0,0.0,,https://www.transfermarkt.co.uk/marko-dmitrovic/profil/spieler/94308,ES1,Reial Club Deportiu Espanyol de Barcelona S.A.D.,800000.0,12000000.0
