player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
8108,Lluis,Sastre,Lluis Sastre,2018,5358,lluis-sastre,Spain,Binissalem,Spain,1986-03-26 00:00:00,Central Midfield,Midfield,right,174.0,,Bahía Internacional,https://img.a.transfermarkt.technology/portrait/header/s_8108_366_2013_10_17_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/lluis-sastre/profil/spieler/8108,ES1,SD Huesca,50000.0,1500000.0
25412,Pedro,López,Pedro López,2020,5358,pedro-lopez,Spain,Torrent,Spain,1983-11-01 00:00:00,Right-Back,Defender,right,174.0,,,https://img.a.transfermarkt.technology/portrait/header/25412-1447315328.jpg?lm=1,,,,https://www.transfermarkt.co.uk/pedro-lopez/profil/spieler/25412,ES1,SD Huesca,100000.0,3000000.0
26148,Juanjo,Camacho,Juanjo Camacho,2018,5358,juanjo-camacho,Spain,Valencia,Spain,1980-08-02 00:00:00,Attacking Midfield,Midfield,left,180.0,,Bahía Internacional,https://img.a.transfermarkt.technology/portrait/header/26148-1541147137.jpg?lm=1,,,,https://www.transfermarkt.co.uk/juanjo-camacho/profil/spieler/26148,ES1,SD Huesca,100000.0,1500000.0
35541,Roberto,Santamaría,Roberto Santamaría,2018,5358,roberto-santamaria,Spain,Pamplona,Spain,1985-02-27 00:00:00,Goalkeeper,Goalkeeper,right,183.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/roberto-santamaria/profil/spieler/35541,ES1,SD Huesca,50000.0,1500000.0
44069,Pedro,Mosquera,Pedro Mosquera,2020,5358,pedro-mosquera,Spain,A Coruña,Spain,1988-04-21 00:00:00,Central Midfield,Midfield,left,184.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/44069-1446727111.jpg?lm=1,,,,https://www.transfermarkt.co.uk/pedro-mosquera/profil/spieler/44069,ES1,SD Huesca,500000.0,6000000.0
51474,Mikel,Rico,Mikel Rico,2020,5358,mikel-rico,Spain,Basauri,Spain,1984-11-04 00:00:00,Central Midfield,Midfield,right,178.0,2023-06-30 00:00:00,Identity Sports,https://img.a.transfermarkt.technology/portrait/header/51474-1447151575.jpg?lm=1,,,,https://www.transfermarkt.co.uk/mikel-rico/profil/spieler/51474,ES1,SD Huesca,200000.0,8000000.0
56777,,Luísinho,Luísinho,2020,5358,luisinho,Portugal,Porto,Portugal,1985-05-05 00:00:00,Left-Back,Defender,left,171.0,,,https://img.a.transfermarkt.technology/portrait/header/56777-1446726956.jpg?lm=1,,,,https://www.transfermarkt.co.uk/luisinho/profil/spieler/56777,ES1,SD Huesca,200000.0,2500000.0
57522,Andrés,Fernández,Andrés Fernández,2020,5358,andres-fernandez,Spain,Alcantarilla,Spain,1986-12-16 00:00:00,Goalkeeper,Goalkeeper,right,185.0,2023-06-30 00:00:00,Bahía Internacional,https://img.a.transfermarkt.technology/portrait/header/57522-1662569651.png?lm=1,,,,https://www.transfermarkt.co.uk/andres-fernandez/profil/spieler/57522,ES1,SD Huesca,600000.0,5000000.0
58341,Javi,Varas,Javi Varas,2018,5358,javi-varas,Spain,Sevilla,Spain,1982-09-10 00:00:00,Goalkeeper,Goalkeeper,right,182.0,,,https://img.a.transfermarkt.technology/portrait/header/58341-1447321864.jpg?lm=1,,,,https://www.transfermarkt.co.uk/javi-varas/profil/spieler/58341,ES1,SD Huesca,300000.0,3500000.0
60289,Rajko,Brezancic,Rajko Brezancic,2018,5358,rajko-brezancic,Jugoslawien (SFR),Vlasenica,Serbia,1989-08-21 00:00:00,Left-Back,Defender,left,176.0,2023-06-30 00:00:00,Global Soccer,https://img.a.transfermarkt.technology/portrait/header/60289-1541146920.jpg?lm=1,,,,https://www.transfermarkt.co.uk/rajko-brezancic/profil/spieler/60289,ES1,SD Huesca,50000.0,700000.0
