player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
18702,Julien,Ielsch,Julien Ielsch,2017,1416,julien-ielsch,France,Belfort,France,1983-03-05 00:00:00,Left-Back,Defender,left,173.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/julien-ielsch/profil/spieler/18702,FR1,Amiens SC,250000.0,625000.0
23890,Sekou,Baradji,Sekou Baradji,2017,1416,sekou-baradji,France,Paris,France,1984-04-24 00:00:00,Defensive Midfield,Midfield,left,183.0,,,https://img.a.transfermarkt.technology/portrait/header/s_23890_2969_2012_2.jpg?lm=1,,,,https://www.transfermarkt.co.uk/sekou-baradji/profil/spieler/23890,FR1,Amiens SC,200000.0,1000000.0
27305,Mathieu,Bodmer,Mathieu Bodmer,2019,1416,mathieu-bodmer,France,Évreux,France,1982-11-22 00:00:00,Defensive Midfield,Midfield,right,190.0,,,https://img.a.transfermarkt.technology/portrait/header/27305-1448546050.jpg?lm=1,,,,https://www.transfermarkt.co.uk/mathieu-bodmer/profil/spieler/27305,FR1,Amiens SC,250000.0,13000000.0
28335,Christophe,Jallet,Christophe Jallet,2019,1416,christophe-jallet,France,Cognac,France,1983-10-31 00:00:00,Right-Back,Defender,right,178.0,,Léandre Chouya,https://img.a.transfermarkt.technology/portrait/header/28335-1465213642.jpg?lm=1,,,,https://www.transfermarkt.co.uk/christophe-jallet/profil/spieler/28335,FR1,Amiens SC,250000.0,6500000.0
39174,Khaled,Adénon,Khaled Adénon,2018,1416,khaled-adenon,Cote d'Ivoire,Abobo,Benin,1985-07-29 00:00:00,Centre-Back,Defender,right,181.0,,,https://img.a.transfermarkt.technology/portrait/header/39174-1567753581.jpg?lm=1,,,,https://www.transfermarkt.co.uk/khaled-adenon/profil/spieler/39174,FR1,Amiens SC,200000.0,1200000.0
57359,Emmanuel,Bourgaud,Emmanuel Bourgaud,2017,1416,emmanuel-bourgaud,France,Corné,France,1987-10-25 00:00:00,Right Midfield,Midfield,right,179.0,,,https://img.a.transfermarkt.technology/portrait/header/57359-1639238062.jpg?lm=1,,,,https://www.transfermarkt.co.uk/emmanuel-bourgaud/profil/spieler/57359,FR1,Amiens SC,325000.0,600000.0
69006,Lacina,Traore,Lacina Traore,2017,1416,lacina-traore,Cote d'Ivoire,Abidjan,Cote d'Ivoire,1990-05-20 00:00:00,Centre-Forward,Attack,left,203.0,,Football+ CM,https://img.a.transfermarkt.technology/portrait/header/69006-1487240503.jpg?lm=1,,,,https://www.transfermarkt.co.uk/lacina-traore/profil/spieler/69006,FR1,Amiens SC,75000.0,16000000.0
110116,Jean-Christophe,Bouet,Jean-Christophe Bouet,2017,1416,jean-christophe-bouet,France,Dax,France,1983-07-21 00:00:00,Goalkeeper,Goalkeeper,right,184.0,,FW SPORTS CONSEILS,https://img.a.transfermarkt.technology/portrait/header/110116-1598369598.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jean-christophe-bouet/profil/spieler/110116,FR1,Amiens SC,100000.0,200000.0
126924,Guy,N'Gosso,Guy N'Gosso,2017,1416,guy-ngosso,Cameroon,Douala,Cameroon,1985-01-11 00:00:00,Defensive Midfield,Midfield,right,185.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/guy-ngosso/profil/spieler/126924,FR1,Amiens SC,150000.0,300000.0
171410,Prince,Gouano,Prince Gouano,2019,1416,prince-gouano,France,Paris,France,1993-12-24 00:00:00,Centre-Back,Defender,right,186.0,,,https://img.a.transfermarkt.technology/portrait/header/171410-1593969912.jpg?lm=1,,,,https://www.transfermarkt.co.uk/prince-gouano/profil/spieler/171410,FR1,Amiens SC,350000.0,7000000.0
177781,Georges,Gope-Fenepej,Georges Gope-Fenepej,2017,1416,georges-gope-fenepej,Neukaledonien,Lifou,Neukaledonien,1988-10-23 00:00:00,Left Midfield,Midfield,left,182.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/s_177781_1095_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/georges-gope-fenepej/profil/spieler/177781,FR1,Amiens SC,150000.0,300000.0
