player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
89450,Alexandre,Coeff,Alexandre Coeff,2022,290,alexandre-coeff,France,Brest,France,1992-02-20 00:00:00,Centre-Back,Defender,right,185.0,,BLACKSKILL,https://img.a.transfermarkt.technology/portrait/header/89450-1635852172.jpg?lm=1,,,,https://www.transfermarkt.co.uk/alexandre-coeff/profil/spieler/89450,FR1,Association de la Jeunesse auxerroise,500000.0,1500000.0
93678,Gaëtan,Charbonnier,Gaëtan Charbonnier,2022,290,gaetan-charbonnier,France,Saint-Mandé,France,1988-12-27 00:00:00,Centre-Forward,Attack,right,188.0,2024-06-30 00:00:00,NexSt11,https://img.a.transfermarkt.technology/portrait/header/93678-1593967086.jpg?lm=1,,,,https://www.transfermarkt.co.uk/gaetan-charbonnier/profil/spieler/93678,FR1,Association de la Jeunesse auxerroise,400000.0,2500000.0
98262,Quentin,Bernard,Quentin Bernard,2022,290,quentin-bernard,France,Poitiers,France,1989-07-07 00:00:00,Left-Back,Defender,left,184.0,,Léandre Chouya,https://img.a.transfermarkt.technology/portrait/header/98262-1599423747.jpg?lm=1,,,,https://www.transfermarkt.co.uk/quentin-bernard/profil/spieler/98262,FR1,Association de la Jeunesse auxerroise,350000.0,800000.0
138171,Mathias,Autret,Mathias Autret,2022,290,mathias-autret,,Saint-Thégonnec,,1991-03-01 00:00:00,Attacking Midfield,Midfield,right,179.0,,One Team Football ,https://img.a.transfermarkt.technology/portrait/header/138171-1593967544.jpg?lm=1,,,,https://www.transfermarkt.co.uk/mathias-autret/profil/spieler/138171,FR1,Association de la Jeunesse auxerroise,700000.0,2500000.0
170911,Donovan,Léon,Donovan Léon,2025,290,donovan-leon,French Guiana,Cayenne,French Guiana,1992-11-03 00:00:00,Goalkeeper,Goalkeeper,right,187.0,2027-06-30 00:00:00,management 360,https://img.a.transfermarkt.technology/portrait/header/170911-1593969267.jpg?lm=1,37.0,0.0,,https://www.transfermarkt.co.uk/donovan-leon/profil/spieler/170911,FR1,Association de la Jeunesse auxerroise,900000.0,1200000.0
174304,Rémy,Dugimont,Rémy Dugimont,2022,290,remy-dugimont,France,Saint-Cloud,France,1986-07-01 00:00:00,Left Winger,Attack,right,182.0,,Kemari,https://img.a.transfermarkt.technology/portrait/header/174304-1551195868.jpg?lm=1,,,,https://www.transfermarkt.co.uk/remy-dugimont/profil/spieler/174304,FR1,Association de la Jeunesse auxerroise,100000.0,900000.0
184575,Denys,Bain,Denys Bain,2022,290,denys-bain,France,Paris,France,1993-07-02 00:00:00,Centre-Back,Defender,both,181.0,,,https://img.a.transfermarkt.technology/portrait/header/184575-1617876869.jpg?lm=1,,,,https://www.transfermarkt.co.uk/denys-bain/profil/spieler/184575,FR1,Association de la Jeunesse auxerroise,400000.0,2500000.0
229012,Kenji-Van,Boto,Kenji-Van Boto,2022,290,kenji-van-boto,Réunion,Saint-Denis,Madagascar,1996-03-07 00:00:00,Left-Back,Defender,left,183.0,2025-06-30 00:00:00,Wasserman,https://img.a.transfermarkt.technology/portrait/header/229012-1599422542.jpg?lm=1,,,,https://www.transfermarkt.co.uk/kenji-van-boto/profil/spieler/229012,FR1,Association de la Jeunesse auxerroise,500000.0,1500000.0
238716,Théo,Pellenard,Théo Pellenard,2024,290,theo-pellenard,France,Lille,France,1994-03-04 00:00:00,Centre-Back,Defender,left,184.0,,,https://img.a.transfermarkt.technology/portrait/header/238716-1737046142.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/theo-pellenard/profil/spieler/238716,FR1,Association de la Jeunesse auxerroise,500000.0,2000000.0
263951,Hamza,Sakhi,Hamza Sakhi,2022,290,hamza-sakhi,Morocco,Rabat,Morocco,1996-06-07 00:00:00,Attacking Midfield,Midfield,right,176.0,2025-06-30 00:00:00,Wasserman,https://img.a.transfermarkt.technology/portrait/header/263951-1599424591.jpg?lm=1,,,,https://www.transfermarkt.co.uk/hamza-sakhi/profil/spieler/263951,FR1,Association de la Jeunesse auxerroise,2000000.0,2000000.0
287635,Assane,Dioussé,Assane Dioussé,2025,290,assane-diousse,Senegal,Dakar,Senegal,1997-09-20 00:00:00,Defensive Midfield,Midfield,left,175.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/287635-1657714916.jpg?lm=1,3.0,0.0,,https://www.transfermarkt.co.uk/assane-diousse/profil/spieler/287635,FR1,Association de la Jeunesse auxerroise,600000.0,5000000.0
364409,Gabriel,Osho,Gabriel Osho,2024,290,gabriel-osho,England,Reading,Nigeria,1998-08-14 00:00:00,Centre-Back,Defender,right,185.0,2029-06-30 00:00:00,Wasserman,https://img.a.transfermarkt.technology/portrait/header/364409-1684493913.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/gabriel-osho/profil/spieler/364409,FR1,Association de la Jeunesse auxerroise,3000000.0,3000000.0
371436,Francisco,Sierralta,Francisco Sierralta,2025,290,francisco-sierralta,Chile,Las Condes,Chile,1997-05-06 00:00:00,Centre-Back,Defender,right,192.0,2029-06-30 00:00:00,Vibra Futbol,https://img.a.transfermarkt.technology/portrait/header/371436-1724773614.jpg?lm=1,18.0,0.0,,https://www.transfermarkt.co.uk/francisco-sierralta/profil/spieler/371436,FR1,Association de la Jeunesse auxerroise,1500000.0,2000000.0
