player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
5393,Sylvain,Monsoreau,Sylvain Monsoreau,2012,1095,sylvain-monsoreau,France,Saint-Cyr-l'École,France,1981-03-20 00:00:00,Centre-Back,Defender,left,186.0,,,https://img.a.transfermarkt.technology/portrait/header/5393-1692985216.jpg?lm=1,,,,https://www.transfermarkt.co.uk/sylvain-monsoreau/profil/spieler/5393,FR1,ESTAC Troyes,150000.0,5000000.0
5597,Chaouki,Ben Saada,Chaouki Ben Saada,2017,1095,chaouki-ben-saada,France,Bastia,Tunisia,1984-07-01 00:00:00,Right Winger,Attack,left,176.0,,SAS ASSIST & GOAL,https://img.a.transfermarkt.technology/portrait/header/5597-1449738956.jpg?lm=1,,,,https://www.transfermarkt.co.uk/chaouki-ben-saada/profil/spieler/5597,FR1,ESTAC Troyes,150000.0,2600000.0
5622,Guillaume,Lacour,Guillaume Lacour,2015,1095,guillaume-lacour,France,Courbevoie,France,1980-08-02 00:00:00,Right-Back,Defender,right,173.0,,,https://img.a.transfermarkt.technology/portrait/header/5622-1449738073.jpg?lm=1,,,,https://www.transfermarkt.co.uk/guillaume-lacour/profil/spieler/5622,FR1,ESTAC Troyes,250000.0,2000000.0
9239,Sébastien,Grax,Sébastien Grax,2012,1095,sebastien-grax,France,Le Creusot,France,1984-06-23 00:00:00,Centre-Forward,Attack,right,180.0,,,https://img.a.transfermarkt.technology/portrait/header/s_9239_1095_2012_2.jpg?lm=1,,,,https://www.transfermarkt.co.uk/sebastien-grax/profil/spieler/9239,FR1,ESTAC Troyes,150000.0,3000000.0
12391,Stéphen,Drouin,Stéphen Drouin,2012,1095,stephen-drouin,France,Paris,France,1984-02-27 00:00:00,Left-Back,Defender,left,186.0,,,https://img.a.transfermarkt.technology/portrait/header/s_12391_1095_2012_2.jpg?lm=1,,,,https://www.transfermarkt.co.uk/stephen-drouin/profil/spieler/12391,FR1,ESTAC Troyes,150000.0,1250000.0
12934,Franck,Grandel,Franck Grandel,2015,1095,franck-grandel,Guadeloupe,Pointe-à-Pitre,Guadeloupe,1978-03-17 00:00:00,Goalkeeper,Goalkeeper,right,184.0,,,https://img.a.transfermarkt.technology/portrait/header/12934-1449736878.jpg?lm=1,,,,https://www.transfermarkt.co.uk/franck-grandel/profil/spieler/12934,FR1,ESTAC Troyes,50000.0,500000.0
14951,Stéphane,Darbion,Stéphane Darbion,2017,1095,stephane-darbion,France,Belley,France,1984-03-22 00:00:00,Left Midfield,Midfield,left,183.0,,,https://img.a.transfermarkt.technology/portrait/header/14951-1449739152.jpg?lm=1,,,,https://www.transfermarkt.co.uk/stephane-darbion/profil/spieler/14951,FR1,ESTAC Troyes,300000.0,1500000.0
17675,Florian,Jarjat,Florian Jarjat,2012,1095,florian-jarjat,France,Valence,France,1980-02-18 00:00:00,Centre-Back,Defender,right,181.0,,,https://img.a.transfermarkt.technology/portrait/header/s_17675_1095_2012_2.jpg?lm=1,,,,https://www.transfermarkt.co.uk/florian-jarjat/profil/spieler/17675,FR1,ESTAC Troyes,150000.0,1500000.0
27116,Benjamin,Psaume,Benjamin Psaume,2012,1095,benjamin-psaume,France,Auch,France,1985-01-12 00:00:00,Right Winger,Attack,right,170.0,,,https://img.a.transfermarkt.technology/portrait/header/s_27116_1095_2012_2.jpg?lm=1,,,,https://www.transfermarkt.co.uk/benjamin-psaume/profil/spieler/27116,FR1,ESTAC Troyes,250000.0,1250000.0
33925,Jessy,Moulin,Jessy Moulin,2022,1095,jessy-moulin,France,Valence,France,1986-01-13 00:00:00,Goalkeeper,Goalkeeper,right,184.0,,,https://img.a.transfermarkt.technology/portrait/header/33925-1596554689.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jessy-moulin/profil/spieler/33925,FR1,ESTAC Troyes,200000.0,1000000.0
33927,Benjamin,Nivet,Benjamin Nivet,2017,1095,benjamin-nivet,France,Chartres,France,1977-01-02 00:00:00,Attacking Midfield,Midfield,right,178.0,,,https://img.a.transfermarkt.technology/portrait/header/33927-1449738983.jpg?lm=1,,,,https://www.transfermarkt.co.uk/benjamin-nivet/profil/spieler/33927,FR1,ESTAC Troyes,250000.0,2400000.0
40975,,Marcos,Marcos,2012,1095,marcos,Brazil,Salto,Brazil,1979-08-29 00:00:00,Centre-Forward,Attack,right,182.0,,,https://img.a.transfermarkt.technology/portrait/header/s_40975_1095_2012_2.jpg?lm=1,,,,https://www.transfermarkt.co.uk/marcos/profil/spieler/40975,FR1,ESTAC Troyes,250000.0,1000000.0
44727,Grégory,Bettiol,Grégory Bettiol,2012,1095,gregory-bettiol,France,Villefranche-sur-Saône,France,1986-03-30 00:00:00,Centre-Forward,Attack,right,180.0,,,https://img.a.transfermarkt.technology/portrait/header/s_44727_3524_2012_2.jpg?lm=1,,,,https://www.transfermarkt.co.uk/gregory-bettiol/profil/spieler/44727,FR1,ESTAC Troyes,250000.0,800000.0
47653,,Rincón,Rincón,2015,1095,rincon,Brazil,São Paulo,Brazil,1987-05-31 00:00:00,Centre-Back,Defender,right,188.0,,,https://img.a.transfermarkt.technology/portrait/header/47653-1449736907.jpg?lm=1,,,,https://www.transfermarkt.co.uk/rincon/profil/spieler/47653,FR1,ESTAC Troyes,100000.0,1250000.0
51118,Adil,Rami,Adil Rami,2022,1095,adil-rami,France,Bastia,France,1985-12-27 00:00:00,Centre-Back,Defender,right,191.0,,JCRsport,https://img.a.transfermarkt.technology/portrait/header/51118-1583118134.png?lm=1,,,,https://www.transfermarkt.co.uk/adil-rami/profil/spieler/51118,FR1,ESTAC Troyes,250000.0,14000000.0
55237,Oswaldo,Vizcarrondo,Oswaldo Vizcarrondo,2017,1095,oswaldo-vizcarrondo,Venezuela,Caracas,Venezuela,1984-05-31 00:00:00,Centre-Back,Defender,both,191.0,,,https://img.a.transfermarkt.technology/portrait/header/55237-1434005941.jpg?lm=1,,,,https://www.transfermarkt.co.uk/oswaldo-vizcarrondo/profil/spieler/55237,FR1,ESTAC Troyes,200000.0,2500000.0
57348,Thomas,Ayasse,Thomas Ayasse,2015,1095,thomas-ayasse,France,Toulouse,France,1987-02-17 00:00:00,Defensive Midfield,Midfield,right,183.0,,,https://img.a.transfermarkt.technology/portrait/header/s_57348_1159_2013_01_10_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/thomas-ayasse/profil/spieler/57348,FR1,ESTAC Troyes,400000.0,1250000.0
