player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
5544,Johan,Audel,Johan Audel,2015,995,johan-audel,France,Nizza,Martinique,1983-12-12 00:00:00,Left Winger,Attack,,,,WSP Agency,https://img.a.transfermarkt.technology/portrait/header/s_5544_79_2012_2.jpg?lm=1,,,,https://www.transfermarkt.co.uk/johan-audel/profil/spieler/5544,FR1,Football Club de Nantes,500000.0,3500000.0
6267,Fabrice,Pancrate,Fabrice Pancrate,2013,995,fabrice-pancrate,France,Paris,France,1980-05-02 00:00:00,Right Winger,Attack,right,187.0,,,https://img.a.transfermarkt.technology/portrait/header/s_6267_995_2012_2.jpg?lm=1,,,,https://www.transfermarkt.co.uk/fabrice-pancrate/profil/spieler/6267,FR1,Football Club de Nantes,200000.0,4000000.0
12149,Lorik,Cana,Lorik Cana,2015,995,lorik-cana,Jugoslawien (SFR),Prishtinë,Albania,1983-07-27 00:00:00,Defensive Midfield,Midfield,right,186.0,,,https://img.a.transfermarkt.technology/portrait/header/12149-1418653478.jpg?lm=1,,,,https://www.transfermarkt.co.uk/lorik-cana/profil/spieler/12149,FR1,Football Club de Nantes,1000000.0,14000000.0
34529,Ismaël,Bangoura,Ismaël Bangoura,2014,995,ismael-bangoura,Guinea,Conakry,Guinea,1985-01-02 00:00:00,Centre-Forward,Attack,right,174.0,,,https://img.a.transfermarkt.technology/portrait/header/34529-1449648993.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ismael-bangoura/profil/spieler/34529,FR1,Football Club de Nantes,200000.0,9000000.0
34758,Banel,Nicolita,Banel Nicolita,2013,995,banel-nicolita,Romania,Făurei,Romania,1985-01-07 00:00:00,Right Winger,Attack,right,177.0,,Elite Soccer Sarl,https://img.a.transfermarkt.technology/portrait/header/34758-1630569420.jpg?lm=1,,,,https://www.transfermarkt.co.uk/banel-nicolita/profil/spieler/34758,FR1,Football Club de Nantes,50000.0,3000000.0
37966,Gabriel,Cichero,Gabriel Cichero,2013,995,gabriel-cichero,Venezuela,Caracas,Venezuela,1984-04-25 00:00:00,Centre-Back,Defender,left,184.0,,,https://img.a.transfermarkt.technology/portrait/header/s_37966_321_2014_02_11_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/gabriel-cichero/profil/spieler/37966,FR1,Football Club de Nantes,300000.0,1000000.0
44760,Itay,Shechter,Itay Shechter,2014,995,itay-shechter,Israel,Ramat Yishai,Israel,1987-02-22 00:00:00,Centre-Forward,Attack,both,178.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/44760-1650562368.jpg?lm=1,,,,https://www.transfermarkt.co.uk/itay-shechter/profil/spieler/44760,FR1,Football Club de Nantes,150000.0,3000000.0
51040,Alexander,Kacaniklic,Alexander Kacaniklic,2017,995,alexander-kacaniklic,Sweden,Helsingborg,Sweden,1991-08-13 00:00:00,Right Winger,Attack,left,181.0,2024-05-31 00:00:00,Wesport Football,https://img.a.transfermarkt.technology/portrait/header/51040-1628963174.jpg?lm=1,,,,https://www.transfermarkt.co.uk/alexander-kacaniklic/profil/spieler/51040,FR1,Football Club de Nantes,250000.0,3500000.0
51283,Rémi,Gomis,Rémi Gomis,2015,995,remi-gomis,France,Versailles,Senegal,1984-02-14 00:00:00,Defensive Midfield,Midfield,left,180.0,,,https://img.a.transfermarkt.technology/portrait/header/51283-1480758639.jpg?lm=1,,,,https://www.transfermarkt.co.uk/remi-gomis/profil/spieler/51283,FR1,Football Club de Nantes,250000.0,3000000.0
52246,Kolbeinn,Sigthórsson,Kolbeinn Sigthórsson,2017,995,kolbeinn-sigthorsson,Iceland,Reykjavík,Iceland,1990-03-14 00:00:00,Centre-Forward,Attack,right,186.0,,,https://img.a.transfermarkt.technology/portrait/header/52246-1473587731.jpeg?lm=1,,,,https://www.transfermarkt.co.uk/kolbeinn-sigthorsson/profil/spieler/52246,FR1,Football Club de Nantes,300000.0,5000000.0
