player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
3569,Steed,Malbranque,Steed Malbranque,2016,1162,steed-malbranque,Belgium,Mouscron,France,1980-01-06 00:00:00,Central Midfield,Midfield,right,171.0,,,https://img.a.transfermarkt.technology/portrait/header/3569-1448021500.jpg?lm=1,,,,https://www.transfermarkt.co.uk/steed-malbranque/profil/spieler/3569,FR1,SM Caen,200000.0,9000000.0
5338,Rémy,Vercoutre,Rémy Vercoutre,2017,1162,remy-vercoutre,France,Grande-Synthe,France,1980-06-26 00:00:00,Goalkeeper,Goalkeeper,right,185.0,,,https://img.a.transfermarkt.technology/portrait/header/s_5338_1041_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/remy-vercoutre/profil/spieler/5338,FR1,SM Caen,250000.0,2500000.0
5451,Alaeddine,Yahia,Alaeddine Yahia,2016,1162,alaeddine-yahia,France,Colombes,Tunisia,1981-09-26 00:00:00,Centre-Back,Defender,right,187.0,,,https://img.a.transfermarkt.technology/portrait/header/s_5451_826_2012_2.jpg?lm=1,,,,https://www.transfermarkt.co.uk/alaeddine-yahia/profil/spieler/5451,FR1,SM Caen,250000.0,2600000.0
5639,José,Saez,José Saez,2014,1162,jose-saez,Belgium,Menin,France,1982-05-07 00:00:00,Central Midfield,Midfield,right,170.0,,,https://img.a.transfermarkt.technology/portrait/header/s_5639_1423_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jose-saez/profil/spieler/5639,FR1,SM Caen,500000.0,2750000.0
22642,Nicolas,Seube,Nicolas Seube,2016,1162,nicolas-seube,France,Toulouse,France,1979-08-11 00:00:00,Defensive Midfield,Midfield,right,180.0,,,https://img.a.transfermarkt.technology/portrait/header/22642-1652202637.jpg?lm=1,,,,https://www.transfermarkt.co.uk/nicolas-seube/profil/spieler/22642,FR1,SM Caen,200000.0,2000000.0
28328,Julien,Féret,Julien Féret,2017,1162,julien-feret,France,Saint-Brieuc,France,1982-07-05 00:00:00,Attacking Midfield,Midfield,right,187.0,,,https://img.a.transfermarkt.technology/portrait/header/28328-1599426142.jpg?lm=1,,,,https://www.transfermarkt.co.uk/julien-feret/profil/spieler/28328,FR1,SM Caen,300000.0,5500000.0
33914,Mouhamadou,Dabo,Mouhamadou Dabo,2018,1162,mouhamadou-dabo,Senegal,Dakar,France,1986-11-28 00:00:00,Right-Back,Defender,right,176.0,,,https://img.a.transfermarkt.technology/portrait/header/s_33914_1041_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/mouhamadou-dabo/profil/spieler/33914,FR1,SM Caen,500000.0,5500000.0
34160,Jean-Jacques,Pierre,Jean-Jacques Pierre,2014,1162,jean-jacques-pierre,Haiti,Léogâne,Haiti,1981-01-23 00:00:00,Centre-Back,Defender,right,180.0,,,https://img.a.transfermarkt.technology/portrait/header/34160-1476268201.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jean-jacques-pierre/profil/spieler/34160,FR1,SM Caen,100000.0,2500000.0
45247,Damien,Perquis,Damien Perquis,2014,1162,damien-perquis,France,Saint-Brieuc,France,1986-03-08 00:00:00,Goalkeeper,Goalkeeper,right,186.0,,Gallea Gestion S.A,https://img.a.transfermarkt.technology/portrait/header/s_45247_1162_2012_2.jpg?lm=1,,,,https://www.transfermarkt.co.uk/damien-perquis/profil/spieler/45247,FR1,SM Caen,400000.0,1000000.0
45846,Saidi,Ntibazonkiza,Saidi Ntibazonkiza,2015,1162,saidi-ntibazonkiza,Burundi,Bujumbura,Burundi,1987-05-01 00:00:00,Attacking Midfield,Midfield,right,170.0,,Elite Soccer Sarl,https://img.a.transfermarkt.technology/portrait/header/s_45846_5689_2013_09_06_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/saidi-ntibazonkiza/profil/spieler/45846,FR1,SM Caen,250000.0,1500000.0
50142,Vincent,Bessat,Vincent Bessat,2017,1162,vincent-bessat,France,Lyon,France,1985-11-08 00:00:00,Left-Back,Defender,left,178.0,,,https://img.a.transfermarkt.technology/portrait/header/50142-1444910266.jpg?lm=1,,,,https://www.transfermarkt.co.uk/vincent-bessat/profil/spieler/50142,FR1,SM Caen,200000.0,1500000.0
56815,Alexandre,Raineau,Alexandre Raineau,2015,1162,alexandre-raineau,France,Paris,France,1986-06-21 00:00:00,Left-Back,Defender,left,178.0,,,https://img.a.transfermarkt.technology/portrait/header/56815-1620901199.jpg?lm=1,,,,https://www.transfermarkt.co.uk/alexandre-raineau/profil/spieler/56815,FR1,SM Caen,200000.0,1500000.0
57208,Felipe,Saad,Felipe Saad,2014,1162,felipe-saad,Brazil,Santos,Brazil,1983-09-11 00:00:00,Centre-Back,Defender,left,187.0,,CLK FOOT,https://img.a.transfermarkt.technology/portrait/header/57208-1594293129.jpg?lm=1,,,,https://www.transfermarkt.co.uk/felipe-saad/profil/spieler/57208,FR1,SM Caen,250000.0,1200000.0
57525,Romain,Genevois,Romain Genevois,2018,1162,romain-genevois,Haiti,L'Estère,Haiti,1987-10-28 00:00:00,Centre-Back,Defender,right,182.0,,PRO PLAYERS ASSOCIES,https://img.a.transfermarkt.technology/portrait/header/57525-1448545900.jpg?lm=1,,,,https://www.transfermarkt.co.uk/romain-genevois/profil/spieler/57525,FR1,SM Caen,1000000.0,2000000.0
58818,Claudio,Beauvue,Claudio Beauvue,2018,1162,claudio-beauvue,Guadeloupe,Saint-Claude,Guadeloupe,1988-04-16 00:00:00,Centre-Forward,Attack,right,175.0,,Promoesport,https://img.a.transfermarkt.technology/portrait/header/58818-1418296087.jpg?lm=1,,,,https://www.transfermarkt.co.uk/claudio-beauvue/profil/spieler/58818,FR1,SM Caen,150000.0,5000000.0
60578,Prince,Oniangué,Prince Oniangué,2018,1162,prince-oniangue,France,Paris,Congo,1988-11-04 00:00:00,Defensive Midfield,Midfield,right,188.0,,,https://img.a.transfermarkt.technology/portrait/header/60578-1515069281.jpg?lm=1,,,,https://www.transfermarkt.co.uk/prince-oniangue/profil/spieler/60578,FR1,SM Caen,250000.0,3500000.0
74709,Emmanuel,Imorou,Emmanuel Imorou,2018,1162,emmanuel-imorou,France,Bourges,Benin,1988-09-16 00:00:00,Left-Back,Defender,left,181.0,,,https://img.a.transfermarkt.technology/portrait/header/s_74709_3955_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/emmanuel-imorou/profil/spieler/74709,FR1,SM Caen,650000.0,2000000.0
