player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
3525,Sylvain,Armand,Sylvain Armand,2016,273,sylvain-armand,France,Saint-Étienne,France,1980-08-01 00:00:00,Left-Back,Defender,left,182.0,,Léandre Chouya,https://img.a.transfermarkt.technology/portrait/header/3525-1448381751.png?lm=1,,,,https://www.transfermarkt.co.uk/sylvain-armand/profil/spieler/3525,FR1,Stade Rennais Football Club,250000.0,7500000.0
5917,John,Mensah,John Mensah,2012,273,john-mensah,Ghana,Obuasi,Ghana,1982-11-29 00:00:00,Centre-Back,Defender,right,180.0,,,https://img.a.transfermarkt.technology/portrait/header/s_5917_273_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/john-mensah/profil/spieler/5917,FR1,Stade Rennais Football Club,50000.0,7500000.0
17432,Hérita,Ilunga,Hérita Ilunga,2012,273,herita-ilunga,Zaire,Kinshasa,DR Congo,1982-02-25 00:00:00,Left-Back,Defender,left,180.0,,,https://img.a.transfermarkt.technology/portrait/header/s_17432_273_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/herita-ilunga/profil/spieler/17432,FR1,Stade Rennais Football Club,250000.0,5500000.0
23951,Steve,Mandanda,Steve Mandanda,2024,273,steve-mandanda,Zaire,Kinshasa,France,1985-03-28 00:00:00,Goalkeeper,Goalkeeper,right,187.0,,,https://img.a.transfermarkt.technology/portrait/header/23951-1666698933.jpg?lm=1,35.0,0.0,,https://www.transfermarkt.co.uk/steve-mandanda/profil/spieler/23951,FR1,Stade Rennais Football Club,500000.0,17000000.0
23974,Romain,Salin,Romain Salin,2022,273,romain-salin,France,Mayenne,France,1984-07-29 00:00:00,Goalkeeper,Goalkeeper,left,186.0,,NexSt11,https://img.a.transfermarkt.technology/portrait/header/23974-1548508718.jpg?lm=1,,,,https://www.transfermarkt.co.uk/romain-salin/profil/spieler/23974,FR1,Stade Rennais Football Club,150000.0,2200000.0
28348,Olivier,Sorin,Olivier Sorin,2015,273,olivier-sorin,France,Gien,France,1981-04-16 00:00:00,Goalkeeper,Goalkeeper,right,188.0,,,https://img.a.transfermarkt.technology/portrait/header/28348-1448381484.png?lm=1,,,,https://www.transfermarkt.co.uk/olivier-sorin/profil/spieler/28348,FR1,Stade Rennais Football Club,250000.0,5000000.0
33465,Raïs,M'Bolhi,Raïs M'Bolhi,2017,273,rais-mbolhi,France,Paris,Algeria,1986-04-25 00:00:00,Goalkeeper,Goalkeeper,right,190.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/33465-1450292325.jpg?lm=1,,,,https://www.transfermarkt.co.uk/rais-mbolhi/profil/spieler/33465,FR1,Stade Rennais Football Club,250000.0,1500000.0
34053,Cheick,N'Diaye,Cheick N'Diaye,2013,273,cheick-ndiaye,Senegal,Dakar,Senegal,1985-02-15 00:00:00,Goalkeeper,Goalkeeper,right,192.0,,,https://img.a.transfermarkt.technology/portrait/header/34053-1610368811.png?lm=1,,,,https://www.transfermarkt.co.uk/cheick-ndiaye/profil/spieler/34053,FR1,Stade Rennais Football Club,50000.0,600000.0
37460,Onyekachi,Apam,Onyekachi Apam,2012,273,onyekachi-apam,Nigeria,Aba,Nigeria,1986-12-30 00:00:00,Centre-Back,Defender,right,180.0,,,https://img.a.transfermarkt.technology/portrait/header/37460-1417093131.jpg?lm=1,,,,https://www.transfermarkt.co.uk/onyekachi-apam/profil/spieler/37460,FR1,Stade Rennais Football Club,1000000.0,5500000.0
39073,,Émerson,Émerson,2013,273,emerson,Brazil,São Paulo,Brazil,1986-02-23 00:00:00,Left-Back,Defender,left,187.0,,Sportis,https://img.a.transfermarkt.technology/portrait/header/s_39073_273_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/emerson/profil/spieler/39073,FR1,Stade Rennais Football Club,500000.0,4500000.0
