player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
31208,Éloge,Enza-Yamissi,Éloge Enza-Yamissi,2013,1423,eloge-enza-yamissi,Central African Republic,Bangui,Central African Republic,1983-01-23 00:00:00,Defensive Midfield,Midfield,left,175.0,,,https://img.a.transfermarkt.technology/portrait/header/s_31208_12933_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/eloge-enza-yamissi/profil/spieler/31208,FR1,Valenciennes FC,200000.0,1700000.0
43960,Rudy,Mater,Rudy Mater,2013,1423,rudy-mater,France,Valenciennes,France,1980-10-13 00:00:00,Right-Back,Defender,right,178.0,,,https://img.a.transfermarkt.technology/portrait/header/s_43960_1423_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/rudy-mater/profil/spieler/43960,FR1,Valenciennes FC,100000.0,3500000.0
43975,Mody,Traoré,Mody Traoré,2013,1423,mody-traore,France,Metz,France,1980-07-14 00:00:00,Right-Back,Defender,right,173.0,,,https://img.a.transfermarkt.technology/portrait/header/s_43975_1423_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/mody-traore/profil/spieler/43975,FR1,Valenciennes FC,150000.0,1200000.0
44625,Maor,Melikson,Maor Melikson,2013,1423,maor-melikson,Israel,Yavne,Israel,1984-10-30 00:00:00,Right Winger,Attack,right,175.0,,,https://img.a.transfermarkt.technology/portrait/header/s_44625_1423_2013_08_16_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/maor-melikson/profil/spieler/44625,FR1,Valenciennes FC,250000.0,2300000.0
75224,Magno,Novaes,Magno Novaes,2013,1423,magno-novaes,Brazil,São Paulo,Brazil,1983-03-30 00:00:00,Goalkeeper,Goalkeeper,right,185.0,,,https://img.a.transfermarkt.technology/portrait/header/s_75224_595_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/magno-novaes/profil/spieler/75224,FR1,Valenciennes FC,200000.0,1500000.0
126659,Loris,Néry,Loris Néry,2013,1423,loris-nery,France,Saint-Étienne,France,1991-02-05 00:00:00,Right-Back,Defender,right,174.0,,USM GROUP ,https://img.a.transfermarkt.technology/portrait/header/126659-1538130333.jpg?lm=1,,,,https://www.transfermarkt.co.uk/loris-nery/profil/spieler/126659,FR1,Valenciennes FC,250000.0,1750000.0
138410,Pape,Camara,Pape Camara,2013,1423,pape-camara,Senegal,Pout,Senegal,1991-09-24 00:00:00,Defensive Midfield,Midfield,right,190.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/s_138410_1423_2013_04_04_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/pape-camara/profil/spieler/138410,FR1,Valenciennes FC,150000.0,1250000.0
160404,Marco,da Silva,Marco da Silva,2013,1423,marco-da-silva,France,Compiègne,France,1992-04-10 00:00:00,Defensive Midfield,Midfield,right,185.0,,WSM,https://img.a.transfermarkt.technology/portrait/header/s_160404_1423_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/marco-da-silva/profil/spieler/160404,FR1,Valenciennes FC,200000.0,400000.0
161411,Francis,Massampu,Francis Massampu,2013,1423,francis-massampu,France,Mantes-la-Jolie,France,1991-12-26 00:00:00,Centre-Forward,Attack,right,182.0,,,https://img.a.transfermarkt.technology/portrait/header/s_161411_1423_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/francis-massampu/profil/spieler/161411,FR1,Valenciennes FC,250000.0,250000.0
178342,Abdoul,Kaboré,Abdoul Kaboré,2013,1423,abdoul-kabore,Burkina Faso,Ouagadougou,Burkina Faso,1994-01-01 00:00:00,Defensive Midfield,Midfield,right,186.0,,,https://img.a.transfermarkt.technology/portrait/header/178342-1571601265.jpg?lm=1,,,,https://www.transfermarkt.co.uk/abdoul-kabore/profil/spieler/178342,FR1,Valenciennes FC,25000.0,400000.0
204779,Yves-Marie,Kerjean,Yves-Marie Kerjean,2013,1423,yves-marie-kerjean,France,Ploudalmézeau,France,1994-04-15 00:00:00,Centre-Back,Defender,right,185.0,,,https://img.a.transfermarkt.technology/portrait/header/s_204779_16663_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/yves-marie-kerjean/profil/spieler/204779,FR1,Valenciennes FC,50000.0,100000.0
