player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
132,Tomas,Rosicky,Tomas Rosicky,2015,11,tomas-rosicky,CSSR,Praha,Czech Republic,1980-10-04 00:00:00,Attacking Midfield,Midfield,both,179.0,,,https://img.a.transfermarkt.technology/portrait/header/132-1464947592.jpg?lm=1,,,,https://www.transfermarkt.co.uk/tomas-rosicky/profil/spieler/132,GB1,Arsenal Football Club,350000.0,17500000.0
5658,Petr,Cech,Petr Cech,2018,11,petr-cech,CSSR,Plzeň,Czech Republic,1982-05-20 00:00:00,Goalkeeper,Goalkeeper,left,196.0,,,https://img.a.transfermarkt.technology/portrait/header/5658-1464946835.jpg?lm=1,,,,https://www.transfermarkt.co.uk/petr-cech/profil/spieler/5658,GB1,Arsenal Football Club,2500000.0,28500000.0
6710,Per,Mertesacker,Per Mertesacker,2017,11,per-mertesacker,Germany,Hannover,Germany,1984-09-29 00:00:00,Centre-Back,Defender,right,200.0,,ROOF,https://img.a.transfermarkt.technology/portrait/header/6710-1518796036.jpg?lm=1,,,,https://www.transfermarkt.co.uk/per-mertesacker/profil/spieler/6710,GB1,Arsenal Football Club,1000000.0,20000000.0
7451,Mikel,Arteta,Mikel Arteta,2015,11,mikel-arteta,Spain,San Sebastián,Spain,1982-03-26 00:00:00,Central Midfield,Midfield,right,177.0,,,https://img.a.transfermarkt.technology/portrait/header/7451-1588598742.jpg?lm=1,,,,https://www.transfermarkt.co.uk/mikel-arteta/profil/spieler/7451,GB1,Arsenal Football Club,2000000.0,20000000.0
30982,Chu-young,Park,Chu-young Park,2013,11,chu-young-park,"Korea, South",Daegu,"Korea, South",1985-07-10 00:00:00,Centre-Forward,Attack,right,182.0,,,https://img.a.transfermarkt.technology/portrait/header/30982-1584688566.jpg?lm=1,,,,https://www.transfermarkt.co.uk/chu-young-park/profil/spieler/30982,GB1,Arsenal Football Club,100000.0,7000000.0
54275,André,Santos,André Santos,2012,11,andre-santos,Brazil,São Paulo,Brazil,1983-03-08 00:00:00,Left-Back,Defender,left,180.0,,,https://img.a.transfermarkt.technology/portrait/header/54275-1506028490.jpg?lm=1,,,,https://www.transfermarkt.co.uk/andre-santos/profil/spieler/54275,GB1,Arsenal Football Club,100000.0,8500000.0
86643,Thomas,Eisfeld,Thomas Eisfeld,2013,11,thomas-eisfeld,Germany,Finsterwalde,Germany,1993-01-18 00:00:00,Central Midfield,Midfield,right,177.0,2024-06-30 00:00:00,EMG Mundial,https://img.a.transfermarkt.technology/portrait/header/86643-1690608413.jpg?lm=1,,,,https://www.transfermarkt.co.uk/thomas-eisfeld/profil/spieler/86643,GB1,Arsenal Football Club,250000.0,750000.0
111419,Sead,Hajrovic,Sead Hajrovic,2012,11,sead-hajrovic,Switzerland,Brugg,Bosnia-Herzegovina,1993-06-04 00:00:00,Centre-Back,Defender,right,184.0,2024-06-30 00:00:00,BDreamz,https://img.a.transfermarkt.technology/portrait/header/111419-1600236233.jpg?lm=1,,,,https://www.transfermarkt.co.uk/sead-hajrovic/profil/spieler/111419,GB1,Arsenal Football Club,250000.0,400000.0
121990,,Wellington Silva,Wellington Silva,2015,11,wellington-silva,Brazil,Rio de Janeiro,Brazil,1993-01-06 00:00:00,Right Winger,Attack,right,170.0,2023-12-31 00:00:00,Velop4 Sports Ltd.,https://img.a.transfermarkt.technology/portrait/header/121990-1610006397.jpg?lm=1,,,,https://www.transfermarkt.co.uk/wellington-silva/profil/spieler/121990,GB1,Arsenal Football Club,450000.0,2000000.0
122704,Zak,Ansah,Zak Ansah,2012,11,zak-ansah,England,London,Ghana,1994-05-04 00:00:00,Centre-Forward,Attack,,179.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/zak-ansah/profil/spieler/122704,GB1,Arsenal Football Club,50000.0,50000.0
122721,Nico,Yennaris,Nico Yennaris,2013,11,nico-yennaris,England,London,China,1993-05-24 00:00:00,Defensive Midfield,Midfield,right,171.0,2023-12-31 00:00:00,ARETÉ,https://img.a.transfermarkt.technology/portrait/header/122721-1538466385.jpg?lm=1,,,,https://www.transfermarkt.co.uk/nico-yennaris/profil/spieler/122721,GB1,Arsenal Football Club,250000.0,3000000.0
126195,Jernade,Meade,Jernade Meade,2012,11,jernade-meade,England,Luton,Montserrat,1992-10-25 00:00:00,Left-Back,Defender,left,165.0,,Fifty Fifty Sports ,https://img.a.transfermarkt.technology/portrait/header/s_126195_33616_2013_08_02_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jernade-meade/profil/spieler/126195,GB1,Arsenal Football Club,200000.0,300000.0
126321,Carl,Jenkinson,Carl Jenkinson,2018,11,carl-jenkinson,England,Harlow,England,1992-02-08 00:00:00,Right-Back,Defender,right,185.0,2024-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/126321-1547721754.jpg?lm=1,,,,https://www.transfermarkt.co.uk/carl-jenkinson/profil/spieler/126321,GB1,Arsenal Football Club,450000.0,9000000.0
144028,Leandro,Trossard,Leandro Trossard,2025,11,leandro-trossard,Belgium,Waterschei,Belgium,1994-12-04 00:00:00,Left Winger,Attack,right,172.0,2027-06-30 00:00:00,FOKUS,https://img.a.transfermarkt.technology/portrait/header/144028-1702412939.jpg?lm=1,50.0,11.0,,https://www.transfermarkt.co.uk/leandro-trossard/profil/spieler/144028,GB1,Arsenal Football Club,20000000.0,38000000.0
148367,Christian,Nørgaard,Christian Nørgaard,2025,11,christian-norgaard,Denmark,København,Denmark,1994-03-10 00:00:00,Defensive Midfield,Midfield,right,187.0,2027-06-30 00:00:00,PEP Consulting,https://img.a.transfermarkt.technology/portrait/header/148367-1699799827.jpg?lm=1,40.0,2.0,,https://www.transfermarkt.co.uk/christian-norgaard/profil/spieler/148367,GB1,Arsenal Football Club,7000000.0,20000000.0
192279,Kepa,Arrizabalaga,Kepa Arrizabalaga,2025,11,kepa-arrizabalaga,Spain,Ondarroa,Spain,1994-10-03 00:00:00,Goalkeeper,Goalkeeper,right,188.0,2028-06-30 00:00:00,AC Talent,https://img.a.transfermarkt.technology/portrait/header/192279-1661855851.jpg?lm=1,13.0,0.0,,https://www.transfermarkt.co.uk/kepa-arrizabalaga/profil/spieler/192279,GB1,Arsenal Football Club,7000000.0,60000000.0
258920,Ryan,Huddart,Ryan Huddart,2014,11,ryan-huddart,England,Margate,England,1997-03-06 00:00:00,Goalkeeper,Goalkeeper,,196.0,,,https://img.a.transfermarkt.technology/portrait/header/258920-1560190598.jpeg?lm=1,,,,https://www.transfermarkt.co.uk/ryan-huddart/profil/spieler/258920,GB1,Arsenal Football Club,,
262749,David,Raya,David Raya,2025,11,david-raya,Spain,Barcelona,Spain,1995-09-15 00:00:00,Goalkeeper,Goalkeeper,right,183.0,2028-06-30 00:00:00,FUTBOL21 AGENCY,https://img.a.transfermarkt.technology/portrait/header/262749-1668168018.jpg?lm=1,11.0,0.0,,https://www.transfermarkt.co.uk/david-raya/profil/spieler/262749,GB1,Arsenal Football Club,35000000.0,40000000.0
285847,Stefan,O'Connor,Stefan O'Connor,2014,11,stefan-oconnor,England,London,England,1997-01-23 00:00:00,Centre-Back,Defender,right,193.0,,,https://img.a.transfermarkt.technology/portrait/header/s_285847_5679_2014_01_02_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/stefan-oconnor/profil/spieler/285847,GB1,Arsenal Football Club,50000.0,50000.0
287247,Krystian,Bielik,Krystian Bielik,2018,11,krystian-bielik,Poland,Konin,Poland,1998-01-04 00:00:00,Defensive Midfield,Midfield,right,189.0,2023-05-31 00:00:00,KFM,https://img.a.transfermarkt.technology/portrait/header/287247-1668091947.jpg?lm=1,,,,https://www.transfermarkt.co.uk/krystian-bielik/profil/spieler/287247,GB1,Arsenal Football Club,2500000.0,6000000.0
309400,Kai,Havertz,Kai Havertz,2025,11,kai-havertz,Germany,Aachen,Germany,1999-06-11 00:00:00,Centre-Forward,Attack,left,193.0,2028-06-30 00:00:00,ROOF,https://img.a.transfermarkt.technology/portrait/header/309400-1683903902.jpg?lm=1,56.0,20.0,,https://www.transfermarkt.co.uk/kai-havertz/profil/spieler/309400,GB1,Arsenal Football Club,50000000.0,90000000.0
314341,Chris,Willock,Chris Willock,2016,11,chris-willock,England,London,England,1998-01-31 00:00:00,Left Winger,Attack,right,178.0,2024-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/314341-1537443248.jpg?lm=1,,,,https://www.transfermarkt.co.uk/chris-willock/profil/spieler/314341,GB1,Arsenal Football Club,2000000.0,6000000.0
314384,Ben,Sheaf,Ben Sheaf,2017,11,ben-sheaf,England,Eynsford,England,1998-02-05 00:00:00,Defensive Midfield,Midfield,right,185.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/314384-1663853801.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ben-sheaf/profil/spieler/314384,GB1,Arsenal Football Club,3800000.0,3800000.0
316264,Martin,Ødegaard,Martin Ødegaard,2025,11,martin-odegaard,Norway,Drammen,Norway,1998-12-17 00:00:00,Attacking Midfield,Midfield,left,178.0,2028-06-30 00:00:00,Nordic Sky,https://img.a.transfermarkt.technology/portrait/header/316264-1678877651.jpg?lm=1,67.0,4.0,,https://www.transfermarkt.co.uk/martin-odegaard/profil/spieler/316264,GB1,Arsenal Football Club,65000000.0,110000000.0
325443,Viktor,Gyökeres,Viktor Gyökeres,2025,11,viktor-gyokeres,Sweden,Stockholm,Sweden,1998-06-04 00:00:00,Centre-Forward,Attack,right,189.0,2030-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/325443-1737581896.jpg?lm=1,31.0,18.0,,https://www.transfermarkt.co.uk/viktor-gyokeres/profil/spieler/325443,GB1,Arsenal Football Club,65000000.0,75000000.0
335721,Ben,White,Ben White,2025,11,ben-white,England,Poole,England,1997-10-08 00:00:00,Right-Back,Defender,right,186.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/335721-1683275943.jpg?lm=1,5.0,0.0,,https://www.transfermarkt.co.uk/ben-white/profil/spieler/335721,GB1,Arsenal Football Club,30000000.0,55000000.0
338424,Mikel,Merino,Mikel Merino,2025,11,mikel-merino,Spain,Pamplona,Spain,1996-06-22 00:00:00,Central Midfield,Midfield,left,189.0,2028-06-30 00:00:00,Bahía Internacional,https://img.a.transfermarkt.technology/portrait/header/338424-1716803831.jpg?lm=1,41.0,10.0,,https://www.transfermarkt.co.uk/mikel-merino/profil/spieler/338424,GB1,Arsenal Football Club,30000000.0,50000000.0
340307,Tolaji,Bola,Tolaji Bola,2019,11,tolaji-bola,England,London,England,1999-01-04 00:00:00,Left-Back,Defender,left,181.0,2023-05-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/340307-1611910160.jpg?lm=1,,,,https://www.transfermarkt.co.uk/tolaji-bola/profil/spieler/340307,GB1,Arsenal Football Club,150000.0,150000.0
