player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
13683,Dean,Whitehead,Dean Whitehead,2017,1110,dean-whitehead,England,Abingdon,England,1982-01-12 00:00:00,Central Midfield,Midfield,right,183.0,,,https://img.a.transfermarkt.technology/portrait/header/13683-1520416609.jpg?lm=1,,,,https://www.transfermarkt.co.uk/dean-whitehead/profil/spieler/13683,GB1,Huddersfield Town,250000.0,4000000.0
27659,Martin,Cranie,Martin Cranie,2017,1110,martin-cranie,England,Yeovil,England,1986-09-26 00:00:00,Centre-Back,Defender,right,183.0,,Unique Sports Group,https://img.a.transfermarkt.technology/portrait/header/s_27659_990_2009_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/martin-cranie/profil/spieler/27659,GB1,Huddersfield Town,250000.0,1000000.0
38383,Danny,Williams,Danny Williams,2018,1110,danny-williams,Germany,Karlsruhe,United States,1989-03-08 00:00:00,Defensive Midfield,Midfield,right,182.0,,Unique Sports Group,https://img.a.transfermarkt.technology/portrait/header/38383-1520606519.jpg?lm=1,,,,https://www.transfermarkt.co.uk/danny-williams/profil/spieler/38383,GB1,Huddersfield Town,475000.0,2800000.0
47995,Jason,Puncheon,Jason Puncheon,2018,1110,jason-puncheon,England,London,England,1986-06-18 00:00:00,Central Midfield,Midfield,left,173.0,,Wasserman,https://img.a.transfermarkt.technology/portrait/header/47995-1543493752.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jason-puncheon/profil/spieler/47995,GB1,Huddersfield Town,300000.0,5500000.0
49501,Elias,Kachunga,Elias Kachunga,2018,1110,elias-kachunga,Germany,Köln,DR Congo,1992-04-22 00:00:00,Centre-Forward,Attack,right,178.0,2023-06-30 00:00:00,Unique Sports Group,https://img.a.transfermarkt.technology/portrait/header/49501-1660232659.jpg?lm=1,,,,https://www.transfermarkt.co.uk/elias-kachunga/profil/spieler/49501,GB1,Huddersfield Town,300000.0,3500000.0
55125,Chris,Löwe,Chris Löwe,2018,1110,chris-lowe,East Germany (GDR),Plauen,Germany,1989-04-16 00:00:00,Left-Back,Defender,left,173.0,2024-06-30 00:00:00,Unique Sports Group,https://img.a.transfermarkt.technology/portrait/header/55125-1672747507.png?lm=1,,,,https://www.transfermarkt.co.uk/chris-lowe/profil/spieler/55125,GB1,Huddersfield Town,150000.0,2000000.0
57842,Christopher,Schindler,Christopher Schindler,2018,1110,christopher-schindler,Germany,München,Germany,1990-04-29 00:00:00,Centre-Back,Defender,right,188.0,2024-06-30 00:00:00,PRO Profil GmbH,https://img.a.transfermarkt.technology/portrait/header/57842-1659622486.jpg?lm=1,,,,https://www.transfermarkt.co.uk/christopher-schindler/profil/spieler/57842,GB1,Huddersfield Town,500000.0,7000000.0
61549,Sean,Scannell,Sean Scannell,2017,1110,sean-scannell,England,London,Ireland,1990-09-17 00:00:00,Right Winger,Attack,right,176.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/s_61549_1110_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/sean-scannell/profil/spieler/61549,GB1,Huddersfield Town,75000.0,1000000.0
61573,Jonathan,Hogg,Jonathan Hogg,2018,1110,jonathan-hogg,England,Middlesbrough,England,1988-12-06 00:00:00,Central Midfield,Midfield,right,176.0,2024-06-30 00:00:00,YMU Group,https://img.a.transfermarkt.technology/portrait/header/61573-1473932435.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jonathan-hogg/profil/spieler/61573,GB1,Huddersfield Town,250000.0,3500000.0
67283,Ben,Hamer,Ben Hamer,2018,1110,ben-hamer,England,Taunton,England,1987-11-20 00:00:00,Goalkeeper,Goalkeeper,right,193.0,2024-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/67283-1407315672.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ben-hamer/profil/spieler/67283,GB1,Huddersfield Town,200000.0,750000.0
101682,Scott,Malone,Scott Malone,2017,1110,scott-malone,England,Rowley Regis,England,1991-03-25 00:00:00,Left-Back,Defender,left,189.0,2023-06-30 00:00:00,Wasserman,https://img.a.transfermarkt.technology/portrait/header/101682-1473234858.jpg?lm=1,,,,https://www.transfermarkt.co.uk/scott-malone/profil/spieler/101682,GB1,Huddersfield Town,700000.0,3500000.0
102382,Michael,Hefele,Michael Hefele,2017,1110,michael-hefele,Germany,Pfaffenhofen,Germany,1990-09-01 00:00:00,Centre-Back,Defender,right,192.0,,,https://img.a.transfermarkt.technology/portrait/header/102382-1541148732.JPG?lm=1,,,,https://www.transfermarkt.co.uk/michael-hefele/profil/spieler/102382,GB1,Huddersfield Town,300000.0,1500000.0
121398,Tommy,Smith,Tommy Smith,2018,1110,tommy-smith,England,Warrington,England,1992-04-14 00:00:00,Right-Back,Defender,right,185.0,2025-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/121398-1473932335.jpg?lm=1,,,,https://www.transfermarkt.co.uk/tommy-smith/profil/spieler/121398,GB1,Huddersfield Town,700000.0,3000000.0
157368,Tom,Ince,Tom Ince,2017,1110,tom-ince,England,Stockport,England,1992-01-30 00:00:00,Right Winger,Attack,left,178.0,2025-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/157368-1578401761.jpg?lm=1,,,,https://www.transfermarkt.co.uk/tom-ince/profil/spieler/157368,GB1,Huddersfield Town,1500000.0,10000000.0
261739,Tareiq,Holmes-Dennis,Tareiq Holmes-Dennis,2017,1110,tareiq-holmes-dennis,England,Farnborough,England,1995-10-31 00:00:00,Left-Back,Defender,left,175.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/tareiq-holmes-dennis/profil/spieler/261739,GB1,Huddersfield Town,250000.0,250000.0
278092,Jack,Payne,Jack Payne,2018,1110,jack-payne,England,London,England,1994-10-25 00:00:00,Attacking Midfield,Midfield,left,165.0,2024-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jack-payne/profil/spieler/278092,GB1,Huddersfield Town,500000.0,500000.0
284320,Dion,Charles,Dion Charles,2025,1110,dion-charles,England,Preston,Northern Ireland,1995-10-07 00:00:00,Centre-Forward,Attack,right,178.0,2027-06-30 00:00:00,Wasserman,https://img.a.transfermarkt.technology/portrait/header/284320-1643291543.jpg?lm=1,33.0,4.0,5674.0,https://www.transfermarkt.co.uk/dion-charles/profil/spieler/284320,GB1,Huddersfield Town,,
285551,Joel,Coleman,Joel Coleman,2018,1110,joel-coleman,England,Bolton,England,1995-09-26 00:00:00,Goalkeeper,Goalkeeper,right,198.0,2023-01-01 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/285551-1473931285.jpg?lm=1,,,,https://www.transfermarkt.co.uk/joel-coleman/profil/spieler/285551,GB1,Huddersfield Town,250000.0,500000.0
